Year,Season,Title,Type,Episodes,Status,Source,Genres,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Themes,Demographics,Broadcast_Day,Broadcast_Hour,Duration_Minutes,Premiere Datetime
2020,0,Kitsutsuki Tanteidokoro,TV,12.0,Finished Airing,Novel,['Mystery'],R - 17+ (violence & profanity),6.12,9262.0,4394.0,28498,53,8404.0,"['Adult Cast', 'Detective', 'Historical']",,1.0,23.0,24.0,2020-04-13
2020,0,Komatta Jiisan,TV,13.0,Finished Airing,Manga,"['Comedy', 'Romance']",,6.43,7495.0,8971.0,4880,6,2130.0,['Adult Cast'],,3.0,23.0,1.0,2020-04-08
2020,0,Koukaku Kidoutai: SAC_2045,ONA,12.0,Finished Airing,Manga,"['Action', 'Sci-Fi']",R - 17+ (violence & profanity),6.61,6413.0,3976.0,35080,71,11095.0,"['Adult Cast', 'Detective', 'Mecha', 'Military']",['Seinen'],,,24.0,
2020,0,Kutsujoku 2 The Animation,OVA,2.0,Finished Airing,Visual novel,['Hentai'],Rx - Hentai,6.3,,8392.0,5814,12,2220.0,,,,,19.0,2020-06-26
2020,0,Kyonyuu Princess Saimin,OVA,2.0,Finished Airing,Visual novel,"['Fantasy', 'Hentai']",Rx - Hentai,6.94,,6650.0,10283,87,4476.0,,,,,15.0,2020-04-03
2020,0,Li Shi,ONA,16.0,Finished Airing,Novel,"['Action', 'Mystery', 'Supernatural']",PG-13 - Teens 13 or older,6.32,8166.0,9684.0,3866,9,451.0,,,,,23.0,2020-05-07
2020,0,Listeners,TV,12.0,Finished Airing,Original,"['Action', 'Sci-Fi']",PG-13 - Teens 13 or older,5.39,12437.0,2865.0,65376,55,22322.0,"['Mecha', 'Music']",,6.0,1.0,24.0,2020-04-04
2020,0,Long Hu Ji: Zhongyi Guanyunzhang,ONA,1.0,Finished Airing,Unknown,['Fantasy'],R - 17+ (violence & profanity),,17224.0,24060.0,106,0,,['Historical'],,,,73.0,
2020,0,Longlong Juggessji?,TV,26.0,Finished Airing,Original,"['Comedy', 'Fantasy']",PG - Children,,17241.0,23269.0,123,0,,,['Kids'],,,7.0,2019-09-28
2020,0,Luo Fanchen,ONA,1.0,Finished Airing,Original,"['Fantasy', 'Romance']",,,17274.0,26132.0,75,0,,['Historical'],,,,6.0,
2020,0,Ma La Nu Pei,ONA,32.0,Finished Airing,Manga,"['Comedy', 'Romance']",PG-13 - Teens 13 or older,6.97,4500.0,8644.0,5408,25,1304.0,,,,,8.0,2020-04-07
2020,0,Ma-eum-uisoli Season 2,TV,20.0,Finished Airing,Web manga,"['Comedy', 'Slice of Life']",PG-13 - Teens 13 or older,,17288.0,21109.0,214,0,,,,2.0,,21.0,2020-05-19
2020,0,Major 2nd 2nd Season,TV,25.0,Finished Airing,Manga,['Sports'],PG-13 - Teens 13 or older,7.47,2073.0,4824.0,23053,67,10334.0,['Team Sports'],['Shounen'],6.0,17.0,24.0,2020-04-04
2020,0,Majutsushi Orphen Hagure Tabi: Tennin no Isan,Special,1.0,Finished Airing,Light novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",PG-13 - Teens 13 or older,6.07,9539.0,6360.0,11403,5,4116.0,['Martial Arts'],,,,23.0,
2020,0,Mamoru Hikitsugu Watashitachi no Kurashi,ONA,1.0,Finished Airing,Original,['Slice of Life'],G - All Ages,5.89,10464.0,17988.0,412,0,180.0,['Music'],,,,3.0,
2020,0,Manul no Yuube,TV,,Currently Airing,Web manga,['Slice of Life'],PG-13 - Teens 13 or older,,17389.0,15745.0,648,1,,,,0.0,,1.0,2018-11-11
2020,0,Marumaru Manul,TV,50.0,Finished Airing,Web manga,['Comedy'],G - All Ages,,17424.0,15324.0,717,0,,,,1.0,0.0,1.0,2020-01-06
2020,0,Mashin Eiyuuden Wataru: Shichikon no Ryuujinmaru,ONA,9.0,Finished Airing,Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",G - All Ages,6.11,9343.0,14513.0,915,3,174.0,['Mecha'],,,,17.0,2020-04-10
2020,0,Mashin Mukashi Banashi Gekijou,ONA,5.0,Finished Airing,Other,['Comedy'],G - All Ages,,17430.0,21796.0,178,0,,['Historical'],,,,,2020-06-07
2020,0,Meitantei Conan,TV,,Currently Airing,Manga,"['Adventure', 'Comedy', 'Mystery']",PG-13 - Teens 13 or older,8.17,433.0,698.0,359700,15278,163902.0,['Detective'],['Shounen'],6.0,18.0,24.0,1996-01-08
2020,0,Menghuan Shuyuan 3rd Season,ONA,14.0,Finished Airing,Game,"['Comedy', 'Fantasy']",,,17535.0,20849.0,230,0,,,,,,2.0,2020-04-06
2020,0,Mewkledreamy,TV,48.0,Finished Airing,Other,"['Adventure', 'Fantasy']",G - All Ages,7.0,4381.0,7123.0,8729,31,1879.0,,['Kids'],0.0,10.0,24.0,2020-04-05
2020,0,Micchiri Wanko! Animation,TV,24.0,Finished Airing,Other,['Comedy'],G - All Ages,5.9,10446.0,14565.0,904,1,115.0,,['Kids'],3.0,7.0,1.0,2020-04-01
2020,0,Microphone Soul Spinners: Kotodama Shoujo - Furikaeri Douga,ONA,1.0,Finished Airing,Original,,PG-13 - Teens 13 or older,,17601.0,18939.0,340,0,,['Music'],,,,5.0,
