,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Genres,Theme,Synonyms,French,Demographic,Themes,Demographics
10,学園ベビーシッターズ,School Babysitters,['TV'],12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018",['Winter 2018'],Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Hakusensha', 'Banpresto', 'Marui Group']","None found,","[""Brain's Base""]",['Manga'],['Slice of Life'],23 min. per ep.,PG-13 - Teens 13 or older,7.90,#834,#712,"358,231","3,323",180247,"After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain a friendly and kindhearted demeanor, Kotarou is a reserved toddler still too young to understand the reality of the situation. At their parents' funeral, they are approached by Youko Morinomiya, the stern chairman of an elite academy, who decides to take them under her care. However, there is one condition Ryuuichi must fulfill in exchange for a roof over their heads and enrolment in the school—he must become the school's babysitter. In an effort to support the female teachers at the academy, a babysitter's club was established to look after their infant children; unfortunately, the club is severely short-staffed, so now not only is Ryuuichi responsible for his little brother, but also a handful of toddlers who possess dynamic personalities. [Written by MAL Rewrite]","['Sequel (Special) Gakuen Babysitters Special', 'Adaptation (Manga) Gakuen Babysitters']",Gakuen Babysitters,School Babysitters,School Babysitters (Gakuen Babysitters),,,,School Babysitters,['Shoujo'],"['Childcare', 'Iyashikei', 'School']",
11,グランクレスト戦記,Record of Grancrest War,['TV'],24,Finished Airing,"Jan 6, 2018 to Jun 23, 2018",['Winter 2018'],Saturdays at 00:00 (JST),"['Aniplex', 'Bandai Namco Entertainment', 'Good Smile Company', 'BS11', 'ABC Animation', 'Kinoshita Group Holdings', 'Kadokawa', 'Cromea', 'Sonilude']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],,23 min. per ep.,R - 17+ (violence & profanity),7.22,#3260,#787,"327,806","1,363",138496,"The continent of Atlatan once again finds itself devoured by the flames of war after a horrific event known as the Great Hall Tragedy. What was supposed to be a joyful occasion that would establish peace between the Fantasia Union and the Factory Alliance, the marriage of Sir Alexis Douse and Lady Marrine Kreische, was instead a tragedy. As the bride and groom walked down the aisle, the ceremony was suddenly interrupted by a powerful convergence of ""Chaos,"" a dark energy from another dimension that corrupts the land and brings forth monsters and demons into the world. From within that energy appeared the Demon Lord of Diabolos, an evil being who instantly murdered the archdukes of both factions, shattering any hope for peace between them. Having failed to prevent this disaster, Siluca Meletes, an Alliance mage, is traveling through the Chaos-infested countryside to study under a master magician. When she is intercepted by a group of soldiers working with the Federation, Siluca is rescued by Theo Cornaro, a young warrior carrying a mysterious ""Crest,"" a magical symbol that gives its wielder the ability to banish Chaos. Bearing no allegiance to a specific domain, Theo hopes to attain the rank of Lord so that he can liberate his home town of Sistina from its tyrannical ruler and the Chaos spreading within it. Impressed by his noble goal, Siluca enters into a magical contract with Theo, and the two embark on a journey to restore balance to their war-torn land. [Written by MAL Rewrite]","['Adaptation (Manga) Grancrest Senki', 'Adaptation (Light Novel) Grancrest Senki']",Grancrest Senki,Record of Grancrest War,Record of Grancrest War,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",['Military'],,Record of Grancrest War,,,
12,恋は雨上がりのように,After the Rain,['TV'],12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",['Winter 2018'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'DMM pictures']",['Sentai Filmworks'],['Wit Studio'],['Manga'],,22 min. per ep.,PG-13 - Teens 13 or older,7.47,#2072,#803,"321,005","1,671",129587,"Akira Tachibana, a reserved high school student and former track runner, has not been able to race the same as she used to since she experienced a severe foot injury. And although she is regarded as attractive by her classmates, she is not interested in the boys around school. While working part-time at the Garden Cafe, Akira begins to develop feelings for the manager—a 45-year-old man named Masami Kondou—despite the large age gap. Kondou shows genuine concern and kindness toward the customers of his restaurant, which, while viewed by others as soft or weak, draws Akira to him. Spending time together at the restaurant, they grow closer, which only strengthens her feelings. Weighed down by these uncertain emotions, Akira finally resolves to confess, but what will be the result? [Written by MAL Rewrite]","['Adaptation (Manga) Koi wa Ameagari no You ni', '']",Koi wa Ameagari no You ni,After the Rain,Después de la Lluvia,"['Drama', 'Romance']",['Workplace'],"Koi wa Amaagari no You ni, Love is Like after the Rain, KoiAme",Après la Pluie,['Seinen'],,
13,ポプテピピック,Pop Team Epic,['TV'],12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018",['Winter 2018'],Sundays at 01:00 (JST),"['King Records', 'AC-Bu']","['Funimation', 'Sentai Filmworks']",['Kamikaze Douga'],['4-koma manga'],['Comedy'],11 min. per ep.,PG-13 - Teens 13 or older,7.29,#2876,#1135,"229,512","1,424",112280,"Poputepipikku turns absurdist comedy up to eleven with its pop culture references and surreal hilarity. With two bonafide high school girl protagonists—the short and exceptionally quick to anger Popuko, and the tall and unshakably calm Pipimi—they throw genres against the wall and don't wait to see what sticks. Parody is interlaced with drama, action, crudeness, and the show's overarching goal—to become a real anime. [Written by MAL Rewrite]","['Sequel (TV Special) Poputepipikku TV Special', 'Sequel (TV) Poputepipikku 2nd Season', 'Adaptation (Manga) Poputepipikku', '']",Poputepipikku,Pop Team Epic,Pop Team Epic,,,"PPTP, Poptepipic",Pop Team Epic,,"['Gag Humor', 'Parody']",
14,Fate/EXTRA Last Encore,Fate/Extra: Last Encore,['TV'],10,Finished Airing,"Jan 28, 2018 to Apr 1, 2018",['Winter 2018'],Sundays at 00:00 (JST),"['Aniplex', 'Marvelous Entertainment', 'Notes']","None found,",['Shaft'],Game,,24 min. per ep.,R - 17+ (violence & profanity),6.30,#8260,#1139,"228,498",485,103051,"A technological hell masquerading as paradise, Tsukimihara Academy is an artificial high school that serves as the setting for the next Holy Grail War. Created by the Moon Cell computer, the school is inhabited by Earth-projected souls who have even the slightest aptitude for being a ""Master."" Of these 256 souls, 128 will be chosen for the main tournament and granted a Servant. With all of the Masters selected, the Academy activates a purge, targeting the remaining lifeforms for elimination. Awakening in a pool of his own blood, Hakuno Kishinami refuses to die. Fueled by unknown feelings of hatred, he vows to fight for survival. As he struggles to escape from a relentless pursuer, he finds a crimson blade plunged into the ground; and by pulling it out, Hakuno summons his own Servant, Saber, who instantly destroys his pursuer in a flurry of rose petals. With his newfound power, Hakuno must now begin his journey to Moon Cell's core, the Angelica Cage. There, he will unveil the reason for this artificial world and the secrets of his own blood-soaked past. [Written by MAL Rewrite]","['Sequel (TV) Fate/Extra: Last Encore - Illustrias Tendousetsu', 'Adaptation (Manga) Fate/Extra']",Fate/Extra: Last Encore,,,"['Action', 'Fantasy']",,,,,,
15,銀魂. 銀ノ魂篇,Gintama. Silver Soul Arc,['TV'],12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",['Winter 2018'],Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found,",['Bandai Namco Pictures'],['Manga'],,24 min. per ep.,PG-13 - Teens 13 or older,8.81,#31,#1170,"222,762","1,191",109413,"After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu’s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet—and himself—is nearly complete. An attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule. Caught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear? [Written by MAL Rewrite]","['Prequel (TV) Gintama. Porori-hen', 'Sequel (TV) Gintama. Shirogane no Tamashii-hen - Kouhan-sen', 'Adaptation (Manga) Gintama', '']",Gintama. Shirogane no Tamashii-hen,,,"['Action', 'Comedy', 'Sci-Fi']",,,,['Shounen'],"['Gag Humor', 'Historical', 'Parody', 'Samurai']",
16,りゅうおうのおしごと！,The Ryuo's Work is Never Done!,['TV'],12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",['Winter 2018'],Mondays at 22:00 (JST),"['AT-X', 'Magic Capsule', 'Nippon Columbia', 'KlockWorx', 'BS Fuji', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Radio Osaka', 'Aquamarine', 'Dream Shift']","None found,",['Project No.9'],['Light novel'],['Comedy'],23 min. per ep.,PG-13 - Teens 13 or older,6.82,#5225,#1268,"201,659",354,86809,"Shogi, a Japanese game similar to chess, is one of the most popular board games in the country, played by everyone from children to the elderly. Some players are talented enough to take the game to a professional level. The title of Ryuuou, meaning ""the dragon king,"" is only awarded to the person who reaches the pinnacle of competitive shogi. Yaichi Kuzuryuu has just become the youngest Ryuuou after winning the grand championship. However, the shogi community is unwelcoming to his victory, some even calling him the worst Ryuuou in history. Moreover, he forgets about the agreement he made with Ai Hinatsuru, a little girl he promised to coach if he won. After she shows up at his doorstep, he reluctantly agrees to uphold his promise and makes Ai his disciple. Together, they aim to improve and exceed the limits of their shogi prowess: Ai, to unlock her hidden talents; Yaichi, to prove to the world that he deserves his accomplishments. [Written by MAL Rewrite]","['Adaptation (Manga) Ryuuou no Oshigoto!', 'Adaptation (Light Novel) Ryuuou no Oshigoto!']",Ryuuou no Oshigoto!,The Ryuo's Work is Never Done!,The Ryuo's Work Is Never Done!,,['Strategy Game'],,The Ryuo's Work is Never Done!,,,
17,キリングバイツ,Killing Bites,['TV'],12,Finished Airing,"Jan 13, 2018 to Mar 31, 2018",['Winter 2018'],Saturdays at 02:25 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'NBCUniversal Entertainment Japan', 'Medicos Entertainment', 'Fields', 'KLab', 'Christmas Holly', 'C-one']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],,24 min. per ep.,R+ - Mild Nudity,6.55,#6746,#1289,"198,431",464,84475,"After unknowingly participating in a kidnapping, college student Yuuya Nomoto finds his friends brutally murdered by Hitomi Uzaki, the high school girl they attempted to abduct. Forced to drive her to an undisclosed location, he finds himself being wagered as the prize for a death match between two Therianthropes, superpowered human-animal hybrids created through advanced gene therapy. As one of these hybrids, Hitomi uses the speed and fearlessness she gained from her ratel genes to viciously dispatch her foe and save Yuuya from certain death. Waking up hours later hoping the whole event was only a nightmare, Yuuya realizes that he has become embroiled in a secret proxy war between four large Japanese business conglomerates, with the winner taking control of the economy. As her sole albeit unwilling investor, his life is now directly linked to Hitomi's ability to participate in underground bloodsport matches known only as Killing Bites. [Written by MAL Rewrite]","['Adaptation (Manga) Killing Bites', '']",Killing Bites,,Bocados Mortales,"['Action', 'Sci-Fi', 'Ecchi']",,,,['Seinen'],"['Anthropomorphic', 'Gore']",
18,刻刻,Kokkoku,['TV'],12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",['Winter 2018'],Mondays at 00:30 (JST),['Twin Engine'],['Sentai Filmworks'],['Geno Studio'],['Manga'],,23 min. per ep.,R - 17+ (violence & profanity),6.98,#4479,#1325,"193,085",351,74221,"After presumably failing 19 job interviews in one day, Juri Yukawa's dreams of moving out of her parents' home are utterly dashed. Stuck living with her working mother Nobuko, NEET brother Tsubasa, laid-off father Takafumi, and single-parent sister Sanae, the only hope for this family to raise a decent adult is her little nephew Makoto. However, this struggling family's life takes a turn for the worse when Makoto and Tsubasa are violently kidnapped by a mysterious organization and held for ransom. With only 30 minutes to deliver five million yen to the criminals, Juri's grandfather reveals a dangerously powerful secret to her and Takafumi. By offering blood to her grandfather's mystical stone, the three enter the world of ""Stasis,"" a version of their world where time stops for everyone but the users. Having arrived at their destination, their rescue efforts go awry when they are assailed by a surprising group of people who are somehow able to move around within Stasis. While all hope seems lost, a monstrous giant known as the Herald appears amidst the chaos, its intent and motivations as cryptic as the very nature of this timeless world. [Written by MAL Rewrite]","['Adaptation (Manga) Kokkoku', '']",Kokkoku,,,"['Drama', 'Fantasy', 'Mystery', 'Suspense']",,Kokkoku: Moment by Moment,,['Seinen'],"['Adult Cast', 'Psychological']",
19,伊藤潤二「コレクション」,Junji Ito Collection,['TV'],12,Finished Airing,"Jan 5, 2018 to Mar 23, 2018",['Winter 2018'],Fridays at 22:30 (JST),"['Nippon Columbia', 'Asahi Shimbun', 'Yomiuri TV Enterprise', 'Pony Canyon Enterprises', 'SMIRAL Animation', 'Crunchyroll SC Anime Fund', 'Muse Communication', 'Asahi Shinbun Shuppan']",['Funimation'],['Studio Deen'],['Manga'],,24 min. per ep.,R - 17+ (violence & profanity),6.55,#6743,#1336,"191,375","1,169",86590,"In the light of day and in the dead of night, mysterious horrors await in the darkest shadows of every corner. They are unexplainable, inescapable, and undefeatable. Be prepared, or you may become their next victim. Sit back in terror as traumatizing tales of unparalleled terror unfold. Tales, such as that of a cursed jade carving that opens holes all over its victims' bodies; deep nightmares that span decades; an attractive spirit at a misty crossroad that grants cursed advice; and a slug that grows inside a girl's mouth. Tread carefully, for the horrifying supernatural tales of the Itou Junji: Collection are not for the faint of heart. [Written by MAL Rewrite]","['Adaptation (Manga) Tomie', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Namekuji Shoujo', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Kao Dorobou', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Kubi Gensou']",Itou Junji: Collection,Junji Ito Collection,Junji Ito Collection,"['Drama', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],,Junji Ito Collection,,,
20,BEATLESS,Beatless,['TV'],20,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",['Winter 2018'],Saturdays at 01:55 (JST),"['Kadokawa Shoten', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Good Smile Company', 'Animatic']","None found,",['Diomedéa'],['Light novel'],,24 min. per ep.,PG-13 - Teens 13 or older,6.22,#8742,#1413,"178,087",494,55648,"With great advancements in technology, mankind has created hIEs, human-like robots that act as public and personal servants for society. Unlike many others, the kind-hearted high school student Arato Endou treats hIEs as equals, but his financial situation keeps him from ever owning one. However, his normal life is shattered when an ordinary run to the local grocery store goes horribly awry. Viciously assaulted by a hacked hIE, Arato is on the verge of death; but luckily, he is saved by an abnormal hIE carrying a weaponized coffin. Her name is Lacia, one of five highly advanced hIEs that recently escaped the clutches of the mysterious MemeFrame Corporation. Faced with a hacked car threatening to run them over, Lacia offers Arato a deal: in exchange for saving his life, he must register as her new owner, thus taking full responsibility for her actions. With little choice, he decides to trust this artificial girl and allows her to live in his home. Though Lacia begins to adapt to her new, peaceful lifestyle, she warns the entranced Arato of one thing—she does not have a soul. [Written by MAL Rewrite]","['Sequel (TV) Beatless Final Stage', 'Adaptation (Manga) Beatless: Dystopia', 'Adaptation (Light Novel) Beatless', '']",Beatless,,Sin Latidos,"['Action', 'Drama', 'Romance', 'Sci-Fi']",,,,,,
21,だがしかし2,Dagashi Kashi 2,['TV'],12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",['Winter 2018'],Fridays at 02:28 (JST),"['Pony Canyon', 'TBS', 'Shogakukan', 'Lawson', 'Pony Canyon Enterprises']",['Funimation'],['Tezuka Productions'],['Manga'],,12 min. per ep.,PG-13 - Teens 13 or older,6.82,#5253,#1431,"176,261",211,75366,Second season of Dagashi Kashi.,"['Prequel (TV) Dagashi Kashi', 'Adaptation (Manga) Dagashi Kashi']",Dagashi Kashi 2,Dagashi Kashi Staffel 2,Dagashi Kashi Temporada 2,"['Comedy', 'Gourmet']",,Dagashikashi 2,Dagashi Kashi Saison 2,['Shounen'],,
22,博多豚骨ラーメンズ,Hakata Tonkotsu Ramens,['TV'],12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",['Winter 2018'],Fridays at 22:30 (JST),"['Sotsu', 'AT-X', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Tokyo MX', 'BS11']",['Funimation'],['Satelight'],Novel,,23 min. per ep.,R - 17+ (violence & profanity),7.36,#2552,#1566,"160,654",676,63959,"Although the city of Fukuoka might look relatively peaceful at first glance, in actuality it houses a thriving mixture of dangerous individuals such as killers, detectives, and professional revenge seekers right beneath its surface. Among their number is Zenji Banba, a laidback and observant detective who is investigating the work of other hitmen companies in the area. However, Banba might not be the only one with a bone to pick with these organizations, as Xianming Lin, a crossdressing male hitman in the employ of one such company begins getting fed up with his lack of jobs and pay. One day, after Lin's current target commits suicide before the hitman could reach him, his company refuses to pay him even half the amount they were originally supposed to for the assassination. Frustrated, Lin requests another mission and is offered the job of taking out Banba, whom his organization believes has been interfering with their business. However, when Banba arrives at his home and finds the hitman inside, Lin surprisingly doesn't even attempt to kill him. Instead, he offers the detective another option: to join him and form a team. With the offer on the table, exactly how will Banba respond, and just what plans does Lin have in store for the underground world of Fukuoka? [Written by MAL Rewrite]","['Adaptation (Manga) Hakata Tonkotsu Ramens', 'Adaptation (Manga) Hakata Tonkotsu Ramens Dai-2-maku', 'Adaptation (Novel) Hakata Tonkotsu Ramens', '']",Hakata Tonkotsu Ramens,,,"['Action', 'Mystery']",,,,,"['Adult Cast', 'Crossdressing', 'Detective', 'Organized Crime']",
23,ミイラの飼い方,How to Keep a Mummy,['TV'],12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",['Winter 2018'],Fridays at 01:58 (JST),"['TBS', 'Grooove', 'Nichion', 'Exit Tunes', 'ONEMUSIC', 'Crunchyroll SC Anime Fund']","None found,",['8bit'],['Web manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2127,#1702,"143,228",759,56350,"High school student Sora Kashiwagi is accustomed to receiving bizarre presents from his father, who is on an expedition around the world. Unfortunately, these gifts have been nothing but nightmares. As a result, when his father sends him a huge package from Egypt, Sora prepares himself for the worst, only to be greeted by Mii-kun—a cute, pint-sized mummy! While initially wary, Sora soon learns that Mii-kun is harmless, a delicate creature yearning for attention. Throughout their amusing day-to-day lives, the unlikely pair meet other people with unique pets, while also strengthening their bond together. Although keeping a pet is a difficult task, Sora is set on caring for the lovable Mii-kun. [Written by MAL Rewrite]","['Adaptation (Manga) Miira no Kaikata', '']",Miira no Kaikata,How to Keep a Mummy,How to Keep a Mummy,"['Slice of Life', 'Supernatural']",,How to keep a mummy,How to Keep a Mummy,,"['Mythology', 'Pets', 'School']",
24,カードキャプターさくら クリアカード編,Cardcaptor Sakura: Clear Card,['TV'],22,Finished Airing,"Jan 7, 2018 to Jun 10, 2018",['Winter 2018'],Sundays at 07:30 (JST),"['NHK', 'Kodansha', 'NHK Enterprises']",['Funimation'],['Madhouse'],['Manga'],,25 min. per ep.,PG - Children,7.66,#1397,#1858,"128,187",694,48339,"With all of the Clow Cards recaptured and changed into her own Sakura Cards, Sakura Kinomoto now enters her first year at Tomoeda Middle School. After her initial day of classes, Sakura reunites with her love Shaoran Li, who informs her that he is permanently moving back to Tomoeda. Much to her surprise, it even turns out that Shaoran will attend the same school and it seems as if Sakura's life is heading in all the right directions. However, when Sakura goes to sleep, she encounters in her dream a mysterious cloaked figure and finds herself surrounded by transparent cards. Waking up in fear, Sakura is shocked to see her dream has come true, with the Sakura Cards having turned clear. Continued dreamlike encounters with the unknown enemy and her gaining a new magical key sets the stage for Cardcaptor Sakura's latest adventure! [Written by MAL Rewrite]","['Prequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Prequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Sequel (Unknown) Cardcaptor Sakura: Clear Card-hen (Zoku-hen)', 'Adaptation (Manga) Cardcaptor Sakura: Clear Card-hen']",Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura Clear Card,Cardcaptor Sakura Clear Card,"['Adventure', 'Comedy', 'Romance']",['Mahou Shoujo'],Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card,['Shoujo'],,
25,三ツ星カラーズ,Mitsuboshi Colors,['TV'],12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018",['Winter 2018'],Sundays at 22:30 (JST),"['Frontier Works', 'Movic', 'AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['SILVER LINK.'],['Manga'],['Slice of Life'],23 min. per ep.,PG-13 - Teens 13 or older,7.41,#2320,#2134,"105,693",354,36172,"Residing within Tokyo's district of Ueno are the Colors, three individuals who protect their city by performing good deeds and aiding their community. Or, at the very least, they pretend to be the city's defenders. In reality, the Colors are just three young girls: the shy Yui Akamatsu, the noisy Sacchan, and the video game-loving Kotoha, who spend their time playing make-believe and exploring the city. The Colors' activities are facilitated by the grandfatherly Daigorou ""Pops"" Kujiraoka, who uses his store's inventory of knick-knacks to entertain the rambunctious trio. Not everyone is a fan of the Colors though. The local policeman Saitou just wants to deal with his regular duties, but he often finds himself the target of the Colors' attention, having been made the villain in most of their fantasies. But despite his personal feelings, Saitou always finds the time to go along with the three girls' games. Even though the Colors do not actually defend Ueno, they definitely help brighten everyone's day. [Written by MAL Rewrite]","['Adaptation (Manga) Mitsuboshi Colors', '']",Mitsuboshi Colors,,,,,,,['Shounen'],"['CGDCT', 'Iyashikei']",
26,スロウスタート,Slow Start,['TV'],12,Finished Airing,"Jan 7, 2018 to Mar 25, 2018",['Winter 2018'],Sundays at 00:30 (JST),"['Aniplex', 'Houbunsha', 'Kansai Telecasting', 'Lawson', 'Kinoshita Group Holdings', 'Drecom']",['Aniplex of America'],['CloverWorks'],['4-koma manga'],['Comedy'],23 min. per ep.,PG-13 - Teens 13 or older,7.02,#4314,#2458,"85,125",178,30397,"Hana Ichinose, a 17-year-old high school student who is not only introverted, but also insecure and timid, has just moved and will be attending a new school. To make her situation more difficult, Hana is a ""slow start,"" which means that she missed a year and worries about attending a class where everyone is younger than her. During her introduction, the teacher reveals it is Hana's birthday, which gives her the jumping-off point to meet three of her classmates: Tamate Momochi, a charismatic and extroverted girl; Kanmuri Sengoku, who is shy and small; and the popular and pretty Eiko Tokura. Not wanting to lose the chance to make new friends, Hana's interactions with these three mark the beginning of some beautiful relationships that will change her life. [Written by MAL Rewrite]","['Adaptation (Manga) Slow Start', '']",Slow Start,,,,,,,,"['CGDCT', 'School']",
27,刀使ノ巫女,Katana Maidens: Toji no Miko,['TV'],24,Finished Airing,"Jan 5, 2018 to Jun 22, 2018",['Winter 2018'],Fridays at 21:30 (JST),"['Square Enix', 'Genco', 'Mainichi Broadcasting System', 'AT-X', 'Glovision', 'Crunchyroll', 'Kadokawa', 'My Theater D.D.']",['Funimation'],['Studio Gokumi'],Original,,23 min. per ep.,PG-13 - Teens 13 or older,6.79,#5387,#2501,"82,638",245,25090,"Throughout history, an elite group of shrine maidens known as ""Toji"" have saved the world from ""Aratama,"" strange and malevolent beings bent on destroying humanity. In modern times, these warriors have been assigned to a special police squad to exterminate Aratama. The government has also set up five elite schools across the country to provide young girls the necessary sword fighting skills to eradicate these monsters and eventually join their fellow Toji in protecting the world. A student of one of those five schools, Kanami Etou is chosen to represent Minoseki Academy in a sword fighting tournament, where she meets the mysterious Hiyori Juujou. Although Kanami and Hiyori rise to the top of the tournament, their battle takes an unexpected turn, throwing the world of the Toji into chaos. Likely that the Toji are facing betrayal from within, the two are forced to flee the tournament, clashing with former comrades on the way. [Written by MAL Rewrite]","['Sequel (OVA) Toji no Miko: Kizamishi Issen no Tomoshibi', 'Adaptation (Manga) Toji no Miko']",Toji no Miko,Katana Maidens: Toji No Miko,Katana Maidens: Toji no Miko,"['Action', 'Fantasy']",['Urban Fantasy'],"Sword User Shrine Maiden, The Shrine Maiden Swordwielders",Katana Maidens: Toji no Miko,,,
28,アイドリッシュセブン,IDOLiSH7,['TV'],17,Finished Airing,"Jan 7, 2018 to May 19, 2018",['Winter 2018'],Sundays at 22:30 (JST),"['Bandai Visual', 'Lantis', 'Bandai Namco Games']","None found,",['TROYCA'],Game,['Drama'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1331,#2650,"75,057","1,477",25301,"On her first day of work at her father's small production agency, Tsumugi Takanashi was not expecting to be made the manager of the agency's new male idol group. Though shocked that her father is trusting her with such a major project so soon, Tsumugi vows to do everything she can to support the seven young boys. After seeing how well the boys work as a team, Tsumugi meets with her father and learns that her first job as manager will be to cut four boys from the group. This is because her father believes seven idols are too much to manage, and the current top group, TRIGGER, only has three members. After holding an impromptu audition, Tsumugi returns to her father and boldly declares that she refuses to cut anyone from the group, as each member has a unique allure which collectively enhances the group's appeal. She returns to the boys and they are thrilled that none of them will get to miss out on their dreams. Together they become IDOLiSH7, and prepare to take on the fiercely competitive world of idols. [Written by MAL Rewrite]","['Sequel (TV) IDOLiSH7 Second Beat!', 'Adaptation (Manga) IDOLiSH7']",IDOLiSH7,,,,,"Idolish Seven, Ainana",,,"['Idols (Male)', 'Music']",
