,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
10,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,"Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",['TV'],13,Finished Airing,"Oct 6, 2021 to Dec 29, 2021",['Fall 2021'],Wednesdays at 22:30 (JST),"['AT-X', 'Nippon Columbia', 'Kadokawa Media House', 'BS NTV', 'Kadokawa', 'Kyoto Broadcasting System']",['Funimation'],"['Studio Flad', 'Wolfsbane']",['Light novel'],"['Fantasy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.93,#4698,#704,"360,167","2,082",174268,"Far away from the reaches of demons and war, near the borderland of Zoltan, D-Rank adventurer Red lives a normal existence. Through perseverance and hard work, his dream of starting his own apothecary and peaceful life in the countryside finally came true. Abruptly, Red gets a live-in partner and assistant named Rit—the princess of Duchy Loggervia and an adventurer herself—who gives everything up to join him. Although honest, kind, and loved by all, Red has a secret shared only with Rit: his real name is Gideon, brother of Ruti Ragnason, the ""Hero"" and a former member of her party. Ares Drowa, the ""Sage,"" kicked Red out of their party after their war against the Demon Lord after deciding he was weak and insignificant. Now, even though Red has left the Hero's party behind by assuming a new life together with Rit, his past has yet to let go of him. [Written by MAL Rewrite]","['Sequel (TV) Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd', 'Adaptation (Light Novel) Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita']","Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside, I Was Kicked out of the Hero's Party Because I Wasn't a True Companion so I Decided to Have a Slow Life at the Frontier",,,,,,,
11,先輩がうざい後輩の話,My Senpai is Annoying,['TV'],12,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",['Fall 2021'],Sundays at 01:00 (JST),"['Movic', 'KlockWorx', 'King Records', 'Ichijinsha', 'DMM pictures']",['Funimation'],['Doga Kobo'],['Web manga'],"['Comedy', 'Romance']","['Adult Cast', 'Love Status Quo', 'Workplace']",23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1747,#718,"355,252","1,731",164761,"At a certain trading company, saleswoman Futaba Igarashi has managed to hold her respectable job for almost two years thanks to the guidance of her senior coworker—Harumi Takeda. However, due to Igarashi's short stature, Takeda often teases her and treats her like a kid, leaving Igarashi constantly annoyed by his antics. Despite this, Igarashi notices Takeda's reliability as he is always ready to help whenever something at their workplace goes awry. As Igarashi and Takeda spend more time together, their relationship soon develops further than simply being coworkers at the office. [Written by MAL Rewrite]","['Adaptation (Manga) Senpai ga Uzai Kouhai no Hanashi', '']",Senpai ga Uzai Kouhai no Hanashi,,,,,,,,
12,最果てのパラディン,The Faraway Paladin,['TV'],12,Finished Airing,"Oct 9, 2021 to Jan 3, 2022",['Fall 2021'],Saturdays at 22:00 (JST),"['DAX Production', 'Docomo Anime Store', 'bilibili', 'Overlap', 'Good Smile Film']","None found,","[""Children's Playground Entertainment""]",['Light novel'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",23 min. per ep.,PG-13 - Teens 13 or older,6.87,#4996,#781,"330,430","1,456",150947,"Born into a new world after a life of stagnancy, Will awakens to the faces of a skeleton, a ghost, and a mummy. Living in the ruins of a city long fallen, the three raise Will as their own. The skeleton— Blood—teaches him to fight; the ghost—Gus—teaches him magic; and the mummy—Mary—teaches him religion and responsibility. Most importantly, they all teach him love. As Will grows up and learns about the world he was born into, he prepares for the day when he must finally set out on his own. For Will, this journey includes a lifelong promise. At their coming-of-age, every adult is required to swear an oath to the god of their choice, with the strength of the pledge affecting the degree of their sworn god's blessing. With his departure approaching, Will must prepare to accept the truth of his undead guardians and embark into a world that even they don't know the state of. Will discovers, however, that every oath must be fulfilled, one way or another. [Written by MAL Rewrite]","['Sequel (TV) Saihate no Paladin: Tetsusabi no Yama no Ou', 'Adaptation (Manga) Saihate no Paladin', 'Adaptation (Light Novel) Saihate no Paladin', '']",Saihate no Paladin,"Paladin of the End, Ultimate Paladin",,,,,,,
13,進化の実～知らないうちに勝ち組人生～,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",['TV'],12,Finished Airing,"Oct 5, 2021 to Dec 21, 2021",['Fall 2021'],Tuesdays at 02:00 (JST),"['feel.', 'Glovision', ""Children's Playground Entertainment""]","None found,",['Hotline'],['Light novel'],"['Adventure', 'Fantasy', 'Romance']","['Harem', 'Isekai']",23 min. per ep.,PG-13 - Teens 13 or older,6.17,#8980,#1160,"224,593","1,002",108794,"One day, a man claiming to be a god suddenly hacks a certain school's intercoms, ordering all of its students to team up and prepare to be transported to another world. There, they will be given special skills in the hopes that they become that world's heroes and defeat the Demon King that ravages the land. The initial transfer is a success. However, Seiichi Hiiragi, who suffers from his classmates' constant bullying due to his somewhat undesirable appearance, is left behind as no one is willing to be his teammate. Nevertheless, the self-proclaimed god decides to send Seiichi to the parallel world and lets him join his peers. Unfortunately, this fateful ordeal causes Seiichi to arrive at a location deep in the forest, far not only from his schoolmates but from human civilization as well. Desperately searching for a way to change his predicament, Seiichi's miserable days only seem to continue to worsen. Yet when all hope seems lost, Seiichi discovers a strange fruit known as the ""Fruit of Evolution""—which may be his first step toward a significantly better future. [Written by MAL Rewrite]","['Sequel (TV) Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei', 'Adaptation (Manga) Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei', 'Adaptation (Light Novel) Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei', '']",Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,The Evolution Fruit: Conquering Life Unknowingly,,,,The Fruit of Evolution: Before I Knew It My Life Had It Made,The Fruit of Evolution: Before I Knew It My Life Had It Made,The Fruit of Evolution: Before I Knew It My Life Had It Made,
14,海賊王女,Fena: Pirate Princess,['TV'],12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",['Fall 2021'],Sundays at 02:38 (JST),"['flying DOG', 'Crunchyroll', 'DMM pictures']","None found,",['Production I.G'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4074,#1218,"211,915","1,252",71309,"A decade ago, a tragic shipwreck separated Fena Houtman from her childhood friend Yukimaru and took her father's life. Now, at age 23, she is trapped on an island and is doomed to spend the rest of her life selling herself to men. On the night she is to be forcibly wed to a client, Fena hatches a plan to escape from her employers, but two old acquaintances unexpectedly intervene and help her run away. The three make haste for the open sea and land upon Goblin Island—a mysterious place that a clan of fierce warriors call home. It is there that Fena learns that her father's ill-fated final journey at sea was in search of a place called ""Eden,"" the location of something important that he had to protect. With nothing but a clear crystal as a clue, Fena is tasked with finding this place, as she is the only person who can do so. While still contemplating the search for what her father left behind, Fena reunites with Yukimaru, who encourages her to take up the quest. Now the captain of a seven-person crew, Fena must navigate the high seas in search of Eden. But as uncanny groups begin to target her, the perilous journey proves to be even more challenging than it previously seemed. [Written by MAL Rewrite]",[],Kaizoku Oujo,,,['Historical'],,,,,
15,月とライカと吸血姫,Irina: The Vampire Cosmonaut,['TV'],12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",['Fall 2021'],Sundays at 01:35 (JST),"['Shogakukan', 'BS TV Tokyo', 'Bandai Namco Arts', 'ADK Marketing Solutions']",['Funimation'],['Arvo Animation'],['Light novel'],,"['Historical', 'Military', 'Space', 'Urban Fantasy', 'Vampire']",23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2762,#1548,"162,580",776,56541,"On November 23, 1957, the whole world witnessed the Federal Republic of Zirnitra's monumental achievement of sending the first live animal—a dog—to outer space. Since then, the space race between the confederacy and its competitor, the United Kingdom of Arnack, has intensified; the two countries hope to one day send humans to the cosmos above. As a dog's biology is inherently different from a human's anatomy, there is no way to perfectly identify the risks involving space travel and its effects on an individual's body without actually sending someone for observation. However, Zirnitra's government has a potential solution: to experiment on vampires, whose biological similarity to humans is too significant to ignore. Despite being forcibly taken from her home in the mountains, vampire Irina Luminesk shows no resistance and is even willing to train as a test subject. Lev Leps, a former top candidate to become the first human cosmonaut, is designated to accompany Irina and act as her guide. Through their time together, Irina and Lev begin to develop a mutual love for outer space, bringing them closer together. [Written by MAL Rewrite]","['Adaptation (Manga) Tsuki to Laika to Nosferatu', 'Adaptation (Light Novel) Tsuki to Laika to Nosferatu']",Tsuki to Laika to Nosferatu,"Moon, Laika, and the Bloodsucking Princess",['Fantasy'],,,,,,
16,大正オトメ御伽話,Taisho Otome Fairy Tale,['TV'],12,Finished Airing,"Oct 9, 2021 to Dec 25, 2021",['Fall 2021'],Saturdays at 01:53 (JST),"['Pony Canyon', 'Bit grooove promotion']",['Funimation'],['SynergySP'],['Manga'],"['Comedy', 'Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.79,#1055,#1576,"158,930","1,207",67039,"Self-styled pessimist Tamahiko Shima lives alone in the mountains of Chiba after losing the use of his right hand in the same car accident that took his mother's life. Deemed incapable by his father and other wealthy relatives, he has been forced into exile; he experiences idle days of reading and sleepless nights of irrepressible angst. True to the Shimas' famous pride and determined not to disgrace his family, Tamahiko is resigned to his new duty—stay in the mountains and wait for death to put an end to his suffering. However, on one snowy night, Tamahiko's insomnia is interrupted by someone knocking at the door. He then meets the 14-year-old Yuzuki Tachibana, who announces that she has come to be his future wife! Suddenly, Tamahiko remembers his father promising to send him a bride to assist him with impediments to his daily life. Although she was sold as a bride to repay her family's debts, Yuzuki proves to be thoughtful, diligent, and dedicated to Tamahiko. Will the world-weary teenager prove insensitive to the rare breeze of kindness her presence brings to his monotonous existence? [Written by MAL Rewrite]","['Adaptation (Manga) Taishou Otome Otogibanashi', '']",Taishou Otome Otogibanashi,Taishou Maiden Fairytale,,['Historical'],['Shounen'],,,,
17,ワールドトリガー,,['TV'],14,Finished Airing,"Oct 10, 2021 to Jan 23, 2022",['Fall 2021'],Sundays at 01:30 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,8.25,#341,#1849,"128,549","1,216",49656,"At the Border Defense Agency's headquarters, the B-Rank Wars are underway as each team fights intensely to secure a spot in the upcoming Away Mission. Though Osamu Mikumo and the rest of Tamakoma-2 have pulled through thus far, the final rounds will require them to push far beyond the limits of their current abilities. Taking in a talented new member, the squad begins to train and develop new strategies, but, amid these efforts, the team is shaken by a heated dispute—one that could jeopardize their ticket to the Neighbor's dimension. [Written by MAL Rewrite]","['Prequel (TV) World Trigger 2nd Season', 'Adaptation (Manga) World Trigger']",World Trigger 3rd Season,,,,['Shounen'],Word Trigger Temporada 3,,,
18,異世界食堂 2,Restaurant to Another World 2,['TV'],12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",['Fall 2021'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Nippon Animation', 'TV Osaka', 'AT-X', 'KlockWorx', 'flying DOG', 'DMM pictures', 'Shufunotomo', 'Polygon Magic', 'MAGNET']",['Crunchyroll'],['OLM'],['Light novel'],"['Fantasy', 'Gourmet', 'Slice of Life']","['Isekai', 'Workplace']",23 min. per ep.,PG-13 - Teens 13 or older,7.69,#1332,#2126,"106,112",444,45879,"The Western Restaurant Nekoya is adored by its local Japanese clientele. The eatery's continued success can be attributed to its tasty western and Japanese dishes, as well as its cheerful head chef, ""Master"" Tenshu. In Japan, the restaurant appears to be closed on Saturdays, but in actuality, it is the one day that Nekoya transcends to the Other World and opens its doors to guests seeking foreign cuisine. From castles to forests, the ""Restaurant to Another World""—as its patrons call it—travels far and wide. Nekoya's diverse and bizarre clientele can expect to be greeted by one of two devoted waitresses—the courteous demon waitress Aletta, or the enigmatic and elven Kuro. As customers, both old and new, pile into the establishment with stories of their respective lands, Master and his staff ensure that everyone is in for a scrumptious adventure of a lifetime. [Written by MAL Rewrite]","['Prequel (TV) Isekai Shokudou', 'Adaptation (Manga) Isekai Shokudou', 'Adaptation (Manga) Isekai Shokudou: Youshoku no Nekoya', 'Adaptation (Light Novel) Isekai Shokudou']",Isekai Shokudou 2,,,,,,,,
19,サクガン,Sakugan,['TV'],12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",['Fall 2021'],Thursdays at 23:30 (JST),"['VAP', 'Sotsu', 'Mainichi Broadcasting System', 'Bandai', 'Asmik Ace', 'Tohokushinsha Film Corporation', 'Sammy', 'DeNA', 'Nippon Cultural Broadcasting', 'Bandai Namco Arts', 'Bandai Spirits', 'NetEase', 'Fosun Entertainment Japan']","None found,",['Satelight'],Novel,"['Action', 'Adventure', 'Sci-Fi']","['Childcare', 'Mecha']",23 min. per ep.,PG-13 - Teens 13 or older,6.51,#7034,#2149,"104,942",274,33392,"The ""Labyrinth"" is an expansive space deep underground where humans live in clusters known as ""colonies."" Over the years, the surface has become a distant memory—even perhaps only a fantasy to those who have never experienced its wonders. Making sure humanity survives the harsh conditions of the underground, a colony's citizens can take on a variety of specialized jobs. These include ""Workers,"" who mine precious ore to fuel the colonies, and ""Markers,"" who journey into the Labyrinth's surprisingly lush environment to bring back information that eases navigation. However, humanity also faces a threat to its existence—creatures called ""kaijuu"" whose sizes range from that of a small child to an enormous building, and are hostile to any human they see. Moreover, kaijuu that are large enough can force their way into the colonies, further increasing their threat level. Memenpu is a nine-year-old college graduate whose inventions have greatly benefitted the Workers in her local colony. Recently, however, she has been dreaming of a place with a neverending ceiling not bound by bedrock. These aspirations fuel her desire to become a Marker and explore the Labyrinth's vast unknown in search of such a fantastical place. Despite her father Gagumber's vehement disagreement, a certain incident with the kaijuu jumpstarts a dangerous yet exciting adventure that will surely alter humanity's course forever. [Written by MAL Rewrite]","['Adaptation (Manga) Sakugan', '']",Sakugan,"Sacks&Guns!!, Sakugan Labyrinth Marker, Project ANIMA, 削岩ラビリンスマーカー",,,,,,,
20,吸血鬼すぐ死ぬ,The Vampire Dies in No Time,['TV'],12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",['Fall 2021'],Mondays at 23:00 (JST),"['Frontier Works', 'Marvelous Entertainment', 'Pony Canyon', 'Studio Mausu', 'Hakuhodo DY Music & Pictures', 'Akita Shoten', 'BS11', 'Kadokawa Media House']",['Funimation'],['Madhouse'],['Manga'],"['Comedy', 'Fantasy']","['Adult Cast', 'Gag Humor', 'Urban Fantasy', 'Vampire']",23 min. per ep.,PG-13 - Teens 13 or older,7.27,#2967,#2267,"96,995",603,35445,"Vampires are known to have many weaknesses that balance out their incredible power, but the vampire lord Draluc happens to be weak to pretty much anything. The vampire hunter Ronald receives a job to infiltrate the castle of the so-called ""Invincible Progenitor"" and rescue a woman's son from the monster within. But upon arriving, he is dumbfounded to discover that the vampire quickly turns to ash by something as trivial as a clap of his hands! Moreover, the child he was sent to save had merely wandered in to play the vampire lord's video games while he slept! In a disastrous turn of events, Draluc's castle is destroyed, and the fragile vampire decides to move in with the hunter who has only just defeated him. Ronald, Draluc, and the vampire's pet armadillo John form quite the eccentric team as they are forced to work together while fending off Ronald's violent editor, the lesser vampires plaguing the city, and even their fellow vampire hunters. [Written by MAL Rewrite]","['Sequel (TV) Kyuuketsuki Sugu Shinu 2', 'Adaptation (Manga) Kyuuketsuki Sugu Shinu']",Kyuuketsuki Sugu Shinu,KyuuShi,,,['Shounen'],,,,
21,ビルディバイド -#000000(コードブラック)-,Build-Divide -#000000- Code Black,['TV'],12,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",['Fall 2021'],Sundays at 00:30 (JST),['Aniplex'],['Aniplex of America'],['LIDENFILMS'],Mixed media,,,23 min. per ep.,PG-13 - Teens 13 or older,6.39,#7727,#3025,"59,495",317,15887,"Neo Kyoto is a place where everything is decided through the card game ""Build Divide."" From resolving personal conflicts to determining social status, success in Build Divide means success in life. The biggest ambition of every player is to become the King, whose peerless skills grant them near-total rule over the city. One day, a young man wakes up in Neo Kyoto—with the knowledge of just his name, Teruto Kurabe, and carrying only a deck for a card game he no longer knows. Teruto soon encounters another player, Sakura Banka, who helps him remember both how to play Build Divide and his original mission: that no matter what, he must meet the King. Teaming up together, Teruto and Sakura find that their best chance for a royal audience is with the Rebuild tournament, where the one who collects twenty-one tokens from other competitors can challenge the King for their throne. However, as Teruto continues to play, he begins to regain his lost memories that call into question the very nature of Neo Kyoto. [Written by MAL Rewrite]","['Sequel (TV) Build Divide: Code White', '']",Build Divide: Code Black,Build Divide: #000000,['Fantasy'],['Strategy Game'],,,,,
22,さんかく窓の外側は夜,The Night Beyond the Tricornered Window,['TV'],12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",['Fall 2021'],Sundays at 22:00 (JST),"['MediaNet', 'Avex Pictures', 'bilibili', 'Crunchyroll', 'Yomiuri TV Enterprise', 'A-Sketch', 'Libre', 'animate']","None found,",['Zero-G'],['Manga'],"['Boys Love', 'Drama', 'Horror', 'Mystery', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),6.75,#5629,#3284,"50,909",356,16566,"Kousuke Mikado has been able to see spirits for as long as he can remember. Extremely terrified of them, he tries to suppress his ability by wearing glasses. One day, while working at a bookstore, he catches the attention of Rihito Hiyakawa, an eccentric medium who is convinced that they were destined to meet each other. Thanks to Hiyakawa's antics, Mikado is thrust into the world of the paranormal, with the former promising that he will shed his fears if Mikado stays with him. As they continue to work together, the two discover a series of malicious curses that all point to the same name—""Erika Hiura."" What is this person's goal, and how do they connect with Mikado and Hiyakawa? [Written by MAL Rewrite]","['Adaptation (Manga) Sankaku Mado no Sotogawa wa Yoru', '']",Sankaku Mado no Sotogawa wa Yoru,,,['Adult Cast'],,The Night Beyond the Tricornered Window,The Night Beyond the Tricornered Window,The Night Beyond the Tricornered Window,
23,SELECTION PROJECT,,['TV'],13,Finished Airing,"Oct 1, 2021 to Dec 24, 2021",['Fall 2021'],Fridays at 22:00 (JST),['Kadokawa'],['Funimation'],['Doga Kobo'],Mixed media,,"['Idols (Female)', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,7.26,#3060,#3432,"46,892",385,16721,"Due to a weak heart, Suzune Miyama has remained bedridden for most of her childhood. However, despite her illness, she has always dreamed of becoming an idol. Eventually, her opportunity comes in the form of the seventh Selection Project—a brutal series of competitions best known as the starting point of the legendary idol Akari Amasawa. Anxious but excited, Suzune enters the preliminary round of Selection Project. Though her singing dazzles the judges and her fellow competitors, Suzune is unfortunately overcome by her nerves and freezes up in the middle of her performance. She recovers quickly, but the stumble is great enough that she loses the winning spot and is disqualified. Or so it seems—until Seira Kurusu, the girl Suzune lost to, announces that she plans to drop out of Selection Project, believing Suzune is a more talented singer and therefore deserves the right to compete. Suzune is caught off guard by the decision, but promises Seira that they will meet again as top idols. She prepares herself for the challenging obstacles that lie ahead. [Written by MAL Rewrite]",[],Selection Project,Selepro,,,,,,,
24,半妖の夜叉姫 -戦国御伽草子- 弐の章,Yashahime: Princess Half-Demon: The Second Act,['TV'],24,Finished Airing,"Oct 2, 2021 to Mar 26, 2022",['Fall 2021'],Saturdays at 17:30 (JST),"['Yomiuri Telecasting', 'Shogakukan']",['VIZ Media'],['Sunrise'],Original,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Mythology', 'Time Travel']",24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4067,#3444,"46,622",324,14660,Second season of Hanyou no Yashahime: Sengoku Otogizoushi.,"['Prequel (TV) Hanyou no Yashahime: Sengoku Otogizoushi', 'Adaptation (Manga) Iden Ehon Zoushi: Hanyou no Yashahime']",Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,Hanyou no Yashahime: Sengoku Otogizoushi 2nd Season,,,,,,,
25,Deep Insanity THE LOST CHILD,Deep Insanity: The Lost Child,['TV'],12,Finished Airing,"Oct 13, 2021 to Dec 29, 2021",['Fall 2021'],Wednesdays at 00:30 (JST),"['Square Enix', 'Kadokawa', 'Bit grooove promotion']",['Funimation'],['SILVER LINK.'],Mixed media,"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,5.60,#11789,#3480,"45,873",243,12835,"Madness and unawakening sleep, Randolph syndrome. This new illness is slowly but steadily approaching humanity, caused by the huge underground world Asylum that appeared in Antarctica. There are strange creatures different from the earth, and unknown resources. People bet their lives on the depths of the mysterious new world to get huge wealth, organizational plots, or their own ambitions. And here alone, a young man with a wish in his heart is trying to challenge the front line of Asylum. (Source: MAL News)",[],Deep Insanity: The Lost Child,,,,,,,,
26,マブラヴ オルタネイティヴ,,['TV'],12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",['Fall 2021'],Thursdays at 00:55 (JST),"['Dentsu', 'Fuji TV', 'BS Fuji', 'Avex Pictures', 'Crunchyroll', 'Tencent Japan', 'Bandai Namco Arts', 'aNCHOR']","None found,","['Yumeta Company', 'Graphinica', 'Flagship Line']",Visual novel,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",22 min. per ep.,R+ - Mild Nudity,5.84,#10749,#3547,"44,545",183,13500,"The world has been engulfed in a desperate, three-decade-long war against the BETA—an alien species that invaded the planet in 1973. Amid this chaos, a high school student named Takeru Shirogane suddenly wakes up from a terrifying nightmare where he sees mankind in utter defeat. Soon after, he realizes that his dream was nothing more than the recollections of his life in an alternative universe. In those memories, the Alternative V project is implemented, sending hundreds of thousands of people into space as a last resort to preserve humanity, while leaving the remaining billion on Earth to suffer a cruel fate. Yearning to change this grim future, Takeru joins a military base in Yokohama, which happens to be his former high school. There, he manages to convince the base's vice-commander and leader of the Alternative IV project, Professor Yuuko Kouzuki, to prevent Alternative V from happening. To ensure the success of Alternative IV, Takeru must pilot the gigantic humanoid machines Tactical Surface Fighters (TSF) alongside his fellow cadets. However, he has only two months to complete his training and exploit his partial knowledge of the future—lest the ensuing tragedy take place. [Written by MAL Rewrite]","['Sequel (TV) Muv-Luv Alternative 2nd Season', 'Adaptation (Manga) Muv-Luv Alternative']",Muv-Luv Alternative,,,,,,,,
27,ヴィジュアルプリズン,Visual Prison,['TV'],12,Finished Airing,"Oct 9, 2021 to Dec 25, 2021",['Fall 2021'],Saturdays at 00:00 (JST),"['Aniplex', 'ABC Animation', 'CMI']","None found,",['A-1 Pictures'],Original,,"['Music', 'Vampire']",24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5811,#3618,"42,855",500,10119,"Vampires have existed for centuries and live under the rule of the Scarlet Moon. Once a year, ""Visual Prison"" occurs, a visual kei competition where the vampire who sings the most beautiful song is bestowed with great power by the Scarlet Moon. At the forefront of the competition are ECLIPSE—the reigning champions who stand for an established order, and LOST EDEN—a group that believes the strongest should rule. Ange Yuki is a lonely boy with no confidence in his singing ability. He moves to Harajuku in search of a musician he idolizes, but during his quest, he gets entangled in one of the many live performance clashes between ECLIPSE and LOST EDEN. Their fascinating stages stun him, but he soon collapses, overcome by bloodlust. Regaining consciousness, Ange finds himself under the care of Guiltia ""Guil"" Brion, the musician he admires, and learns that he is a dhampir—half-human, half-vampire. While Ange now has the privilege of participating in the upcoming Visual Prison, Guil explains that he will not join him in this endeavor. Meanwhile, Ange encounters Robin Laffite, a foreigner from England who is enamored by his astonishing singing voice. With the day of the competition slowly creeping up, Ange has to put together a capable unit in an exciting race against time. [Written by MAL Rewrite]","['Adaptation (Manga) Visual Prison: Comics', '']",Visual Prison,,['Supernatural'],,,,,,
28,180秒で君の耳を幸せにできるか?,Can I Make Your Ears Happy in 180 Seconds?,['TV'],12,Finished Airing,"Oct 15, 2021 to Dec 31, 2021",['Fall 2021'],Fridays at 01:00 (JST),"None found,","None found,","['EKACHI EPILKA', 'Indivision']",Original,,,3 min. per ep.,PG-13 - Teens 13 or older,5.31,#12645,#3826,"38,620",211,11921,"From the mouthwatering chewing in mukbang to the relaxing whispers of voice acting, ASMR has steadily grown in popularity in recent years. As such, many people around the world enjoy it, and high schooler Akari Sawake is no exception. Sporting her trusty headphones, Akari explores the various ways ASMR can stimulate her senses and shares with others the plentiful wonders it can offer. [Written by MAL Rewrite]",[],180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,,['Slice of Life'],,,,,,
