,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
155,名探偵コナン ～ロンドンからの㊙指令 (ロンドンからのマル秘指令),Detective Conan OVA 11: A Secret Order from London,['OVA'],1,Finished Airing,"May 30, 2011",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,25 min.,PG-13 - Teens 13 or older,7.40,#2379,#5944,"13,742",2,6463,"Diana invites Kogorou and Ran to London, but since Conan cannot travel with his invented name, Ai gives him a temporary antidote, letting him travel as Kudou Shin'ichi. Together with Professor Agasa they are on a plane to London. Back in Japan, Ai now lives with Ayumi. Near their apartment, a suspicious man clothed in black named Kurokawa Youji has been trying to track down and now has found Ai. Shortly after Mitsuhiko notices a picture in a magazine of a foreign actress named Grace Aihara, who looks exactly like Ai, Conan calls, ominously instructing Mitsuhiko to keep Ai away from the Professor's house. And so, Mitsuhiko and Genta go about trying to protect Ai... (Source: foo2)",[],Meitantei Conan OVA 11: London kara no Maru Hi Shirei,,,,,['Shounen'],,['Detective'],
156,俺は彼女を信じてる!,,['OVA'],1,Finished Airing,"May 27, 2011",,,['L.'],"None found,",['Silver'],Visual novel,,,24 min.,Rx - Hentai,6.29,N/A,#6183,"12,390",78,4898,"Kensuke and Ayumu have known each other since childhood. It wasn’t until recently that they realized that they had feelings for each other that were much more than friends. While working in a PC Software company as a salesman, Kensuke is told to work at another branch due to a shortage of manpower. The big catch here is that he won’t be able to live at his apartment anymore so that he can easily commute to his new job. That being said, he won’t be able to see Ayumu for a very long time, but she’s been sweet enough to watch over his apartment while he’s gone. Well, you know what they say about long distance relationships; after a good amount of time has passed, Kensuke is in a mixture of loneliness and paranoia. He’s missing Ayumu, but also doubting why a woman like her would stick around for a guy like him. To add more confusion to the fire he’s come across four women around his new work that give him more temptation that he can bare. Will our hero hold out for love, or will he give into the pressures? (Source: White Masq)",[],Ore wa Kanojo wo Shinjiteru!,,,,,,['Hentai'],,
157,りユニオン,,['OVA'],2,Finished Airing,"Jun 24, 2011 to Sep 30, 2011",,,"None found,","None found,",['PoRO'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.55,N/A,#6394,"11,365",27,4157,"Yuji is on summer holiday, but he works hard at his uncle's house every day. There is a girl who often comes to the house. Her name is Saki and he soon falls in love with her.... Days later, he tells Saki that he loves her and they start dating. However, their relationship suddenly ends.... She does not appear in front of him anymore.... On the last day at his uncle's house, he sees a girl being chased by some men. He tries to ignore it, but she asks him for help. They somehow run away from them and rush into a deserted house. She is wet through.... To warm their bodies up, they finally sleep together.... After summer holiday, he meets two girls again.... One of them is a rookie teacher and the other is a classmate after suspension.... (Source: ErogeShop)",[],Reunion,,,,,,['Hentai'],['Harem'],
158,ショッキングピンク!,,['OVA'],2,Finished Airing,"Jun 24, 2011 to Aug 5, 2011",,,['Mary Jane'],"None found,",['Studio Eromatick'],['Manga'],,,16 min. per ep.,Rx - Hentai,6.82,N/A,#6417,"11,292",27,4078,"A boy named similar to Zhuge Liang, from Romance of Three Kingdoms meets a girl who believe that she's a desendant of Liu Bei. She wants him to become her strategist. (Source: MU)","['Adaptation (Manga) Shocking Pink!', '']",Shocking Pink!,,,,,,['Hentai'],['Harem'],
159,Ran→Sem～白濁デルモ妻のミイラ捕り～,,['OVA'],2,Finished Airing,"May 27, 2011 to Jun 24, 2011",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.78,N/A,#6458,"11,106",67,4077,"After the disappearance of her sister and finding out she had joined a suspicious enlightenment group seminar, Riko enlisted herself into the course to find her but the only way to reach the same course as her was to rank up and the only way to do so was to help others release... that being through sex.",[],Ran->Sem: Hakudaku Delmo Tsuma no Miira Tori,,,,,,['Hentai'],,
160,名探偵コナン MAGIC FILE 2011 ～新潟～東京 おみやげ狂騒曲（カプリチオ）～,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,['OVA'],1,Finished Airing,"Apr 16, 2011",,,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'TOHO']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,25 min.,PG-13 - Teens 13 or older,7.33,#2664,#6645,"10,405",8,4518,Another Detective Conan Magic File.,[],Meitantei Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,,,,,['Shounen'],,['Detective'],
161,JKと淫行教師4,,['OVA'],2,Finished Airing,"May 27, 2011 to Jan 27, 2012",,,"None found,","None found,",['PoRO'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.58,N/A,#6774,"9,965",19,3357,"Takashi is a teacher. One day, two new students come to his class, Shizuka and Satsuki. Shizuka is friendly and Satsuki is quiet. Some days later the vice-principal suddenly orders Takashi to take care of them, and it turns out that Shizuka is actually selfish and egoistic...",[],JK to Inkou Kyoushi 4,,,,,,['Hentai'],,
162,りんかん倶楽部,,['OVA'],4,Finished Airing,"Apr 29, 2011 to Jan 31, 2014",,,['Pixy'],"None found,",['Seven'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.57,N/A,#6975,"9,298",73,3281,"The main character is a senior who attends Rinin High School; the only school among the mountain town of Rinin City. The main character, who is the student president of the high school, has another hidden persona. The persona as head of the “Gang Rape Club”... A dark ceremony existed that had been handed down for thousands of years in the old town of Rinin; the name of the ceremony, in particular, in the oldest of records. That ceremony, enacted to protect the region from disease and crop failure as a curse from the region's guardian deity, Hime Iwanaga, occurs in the evenings between the new moon and full moon, in which a maiden is disguised as Konohanasakuyabime and gangraped to appease Hime Iwanaga's anger. In regards to the maiden, there must be an important man participating in the gang rape, in other words, that man must be related in blood to their wife or lover, mother or daughter, younger sister or older sister, and the like, and after the gang rape, if a pregnancy occurs, Hime Iwanaga's anger is abated, and a good harvest and safety upon the region will be promised. However, if a pregnancy does not occur for the sake of suppressing Hime Iwanaga's anger, the maiden is supposed to be covered with semen, and floated down the river alive, as a sacrifice. And now---After the Tashio era, the ceremony itself had vanished into the dark history, but had still continued on at Rinin High School; the cruel, improper traditions being inherited over into a secret society through actions carried out by the Gang Rape Club. For generations, the student president of the High School has served as the head of the Gang Rape Club, not allowing even one day to pass uneventfully, submerging numerous women to the dark, suffocating pleasure.",[],Rinkan Club,,,,,,['Hentai'],,
163,別にアンタの為に大きくなったんじゃないんだからねっ!!,,['OVA'],1,Finished Airing,"Apr 15, 2011",,,['ChiChinoya'],"None found,",['Studio Boogie Nights'],Original,,,20 min.,Rx - Hentai,6.22,N/A,#7462,"7,793",15,3390,"After a night at a party, a young lady decides to enlist her new butler to help her learn what ""fellatio"" and ""tit-fucking"" are.",[],Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,It's Not Like I Grow Up Just for You!!,,,,,['Hentai'],,
164,孕ませて青龍君!,,['OVA'],2,Finished Airing,"Jun 24, 2011 to Jan 31, 2012",,,"['Pixy', 'Magic Bus']","None found,",['Horannabi'],Visual novel,"['Comedy', 'Hentai']",,28 min. per ep.,Rx - Hentai,6.46,N/A,#7526,"7,656",13,2756,"It seems that everyone is fighting over the main character Seiryu-kun's genes!! They've even made a competition out of it! However, little do they know of the suspicious plot behind the whole situation. In any case this is a crazy school love comedy adventure! An adventure of an upperclassman and her friend trying to be impregnated! (Source: dlsite)","['Adaptation (Light Novel) Haramasete Seiryuu-kun! Jingi Naki Onna no Tatakai', '']",Haramasete Seiryuu-kun!,,,,,,,['Harem'],
165,ビーチクビーチ～南国乳辱撮影会～,,['OVA'],1,Finished Airing,"May 27, 2011",,,['Pink Pineapple'],"None found,",['T-Rex'],Visual novel,,,23 min.,Rx - Hentai,6.36,N/A,#7895,"6,804",14,2559,"An idol group called ""Live un veil"" has been formed. The members are Nagisa, Nanami and Kaede, and a tour with fans to a southern island has been announced. All TVs and magazines pick it up and a lot of fans apply for it. The main character is Ryou. One day, he receives a parcel, which includes a film, an envelope and some erotic swimsuits for girls. ""What is it!?"" He opens the envelope, and finds a ticket to the tour and a letter. It says, ""If you take a photo using this film, their libido will become uncontrollable...."" ""Does this mean take a photo of the idols and make them wear these erotic swimsuits?"" But he is more interested in taking part in the tour because he also applied for it. He doesn't care if the film is fake or not. ""Great! I'll spend a happy time with them!"" Like this, he participates in the tour... (Source: ErogeShop)","['Adaptation (Light Novel) Bi-chiku Beach: Nangoku Nyuujoku Satsueikai', '']",Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,,,,,,['Hentai'],,
166,陰湿オタクにイカれる妹[彼女],,['OVA'],3,Finished Airing,"Jun 24, 2011 to Nov 18, 2011",,,"['White Bear', 'Mediabank']","None found,",['Studio 9 Maiami'],Visual novel,,,19 min. per ep.,Rx - Hentai,6.06,N/A,#8098,"6,384",28,2012,"Shuji lives a peaceful life with his younger sister, Saki. But he secretly loves her and his libido gets uncontrollable day by day. One day, Saki tells him, ""I love you.... I've been always thinking about you since I was a kid...."" Like this, they become boyfriend/girlfriend. However, their happiness is destroyed by an email. ""I know your everything...."" The email attaches a photo of Saki changing clothes and masturbating. Saki thinks her stalker did it. The stalker gives her various immoral orders. She first tries to resist it, but she gradually gets addicted to it.... Well, will Shuji be able to save Saki...? (Source: ErogeShop)","['Adaptation (Light Novel) Inshitsu Otaku ni Ikareru Kanojo', '']",Inshitsu Otaku ni Ikareru Kanojo,,,,,,['Hentai'],,
167,山姫の花 真穂,,['OVA'],1,Finished Airing,"Apr 15, 2011",,,['MS Pictures'],"None found,",['T-Rex'],['Manga'],,,27 min.,Rx - Hentai,5.74,N/A,#8665,"5,437",11,2179,"Naoki has left town for an unknown amount of time, leaving his precious girlfriend Maho, who promises to wait for him. Shortly after reuniting with Maho, Naoki learns that she is cheating on him... (Source: SubDesu-H)","['Adaptation (Doujinshi) Yama Hime no Hana', '']",Akebi no Hana: Maho,Yama Hime no Hana,,,,,['Hentai'],,
168,コスプレ露出研究会,,['OVA'],2,Finished Airing,"Apr 22, 2011 to Jul 22, 2011",,,"['White Bear', 'Mediabank']","None found,",['Studio 9 Maiami'],Visual novel,,,19 min. per ep.,Rx - Hentai,6.08,N/A,#8715,"5,363",12,1988,"Aya, a waitress at a cosplay cafe, receives an E-mail asking her to go to an anime convention, for which she'll be paid as much as she wants, but with one condition: to obey all the males' orders. She ends up going out of curiosity, but the normal perversity among the otaku and her own dirty thoughts turn the photo session into an exhibitionism session. (Source: ANN)",[],Cosplay Roshutsu Kenkyuukai,,,,,,['Hentai'],,
169,ゆるめいつ は?,,['OVA'],1,Finished Airing,"Jun 24, 2011",,,"['Indeprox', 'Takeshobo', 'indigo line']","None found,","None found,",['4-koma manga'],"['Comedy', 'Slice of Life']",,35 min.,PG-13 - Teens 13 or older,6.21,#8817,#10377,"3,146",1,1524,"Yurume Aida has settled into her life at the Maison du Wish, a boarding house full of young students hoping to pass college entrance exams despite rarely progressing in their studies. When Sae Kawano's younger sister moves into the house as a last-ditch effort to get Sae to buckle down, the residents' lazy lifestyle is threatened. Now deep within their ranks, Sae's sister may be the missing piece that can turn this group of misfits around—as long as she can resist the urge to succumb to their slothful ways. [Written by MAL Rewrite]","['Prequel (OVA) Yurumates', 'Adaptation (Manga) Yurumates']",Yurumates wa?,"Yurumates ha?, Yurumeitsu ha?, Yurumeitsu wa?",,,,['Seinen'],,,
170,中学星,chu-gakusei.,['OVA'],2,Finished Airing,"May 13, 2011 to Apr 27, 2012",,,"None found,","None found,","None found,",Original,,,37 min. per ep.,None,[],#17385,#19506,313,0,,"The story takes place on a faraway planet, called ""Chuu-Gakusei,"" where everything is in monochrome. The story follows Tanaka Satou, a junior high school teacher. All his students share the same name of Hiroshi Abe. Both the teacher and students wear a white, skin-tight garment that covers the entire body, including hands, feet and face. A new character, Black Teacher, is introduced and reveals the existence of the Kuro Chuu-Gakusei, an all-black version of the planet. (Source: The Asahi Shimbun)",[],Chuugakusei,Chuu-gakusei,,,,,['Comedy'],,
171,シンデレラひめリカちゃん,,['OVA'],1,Finished Airing,"Apr 18, 2011",,,"None found,","None found,",['Tatsunoko Production'],Other,,,9 min.,G - All Ages,[],#17392,#20627,250,0,,Animated DVD original story bundled with the Licca-chan Cinderella Princess themed doll set.,[],Cinderella Hime Licca-chan,Cinderella-hime Licca-chan,,,,['Kids'],['Fantasy'],['Mahou Shoujo'],
172,おやゆびひめリカちゃん,,['OVA'],1,Finished Airing,"Apr 18, 2011",,,"None found,","None found,",['Tatsunoko Production'],Other,"['Adventure', 'Fantasy']",,9 min.,G - All Ages,[],#20931,#21499,204,0,,Animated DVD original story bundled with the Licca-chan Thumbelina Princess themed doll set.,[],Oyayubi-hime Licca-chan,,,,,['Kids'],,['Mahou Shoujo'],
173,しらゆきひめリカちゃん,,['OVA'],1,Finished Airing,"Apr 18, 2011",,,"None found,","None found,",['Tatsunoko Production'],Other,,,10 min.,G - All Ages,[],#14289,#21523,202,0,,Animated DVD original story bundled with the Licca-chan Snow White Princess themed doll set.,[],Shirayukihime Licca-chan,Shirayuki-hime Licca-chan,,,,['Kids'],['Fantasy'],['Mahou Shoujo'],
174,バカ昔ばなし,,['OVA'],9,Finished Airing,"Apr 29, 2011",,,"None found,","None found,","None found,",Picture book,"['Comedy', 'Fantasy']",,7 min. per ep.,G - All Ages,[],#16783,#23411,125,0,,An animated series of Japanese folktales with modern twists.,"['Sequel (OVA) Baka Mukashibanashi: Sono Ni', '']",Baka Mukashibanashi,,,,,,,['Historical'],
175,星を追う子ども,Children Who Chase Lost Voices,['Movie'],1,Finished Airing,"May 7, 2011",,,"['Media Factory', 'Movic', 'Yahoo! Japan', 'Warner Music Japan', 'Marine Entertainment']","['Sentai Filmworks', 'GKIDS']",['CoMix Wave Films'],Original,"['Adventure', 'Fantasy', 'Romance']",,1 hr. 56 min.,PG-13 - Teens 13 or older,7.50,#1956,#1173,"222,689",695,100848,"If you could turn all your memories into a song, what would it resemble? Between being an exceptional student and taking care of the house alone during her mother's absence, Asuna Watase's only distraction is listening to her old crystal radio in her secret mountain hideout. One day, she accidentally tunes to a mysterious and melancholic melody, different from anything she has ever heard before. Soon after, an enigmatic boy named Shun saves her from a dangerous creature, unknowingly dragging Asuna on a long journey to a long lost land bound to surpass her very imagination, turning her once melodic life into an intricate requiem. [Written by MAL Rewrite]","['Adaptation (Manga) Hoshi wo Ou Kodomo', 'Adaptation (Manga) Hoshi wo Ou Kodomo: Agartha no Shounen', 'Adaptation (Light Novel) Hoshi wo Ou Kodomo', '']",Hoshi wo Ou Kodomo,"Children who Chase Lost Voices from Deep Below, Journey to Agartha",Children Who Chase Lost Voices,Viaje a Agartha,Children Who Chase Lost Voices,,,,
176,劇場版 そらのおとしもの 時計じかけの哀女神（エンジェロイド）,Heaven's Lost Property the Movie: The Angeloid of Clockwork,['Movie'],1,Finished Airing,"Jun 25, 2011",,,"['AIC', 'Kadokawa Shoten', 'KlockWorx', 'NTT Docomo']",['Funimation'],['AIC ASTA'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']",,1 hr. 37 min.,R - 17+ (violence & profanity),7.53,#1860,#1770,"136,149",260,72675,"Movie adaptation of the Sora no Otoshimono manga, based on Kazane Hiyori's arc.","['Prequel (TV) Sora no Otoshimono Forte', 'Sequel (Movie) Sora no Otoshimono Final: Eternal My Master', 'Adaptation (Manga) Sora no Otoshimono', '']",Sora no Otoshimono: Tokeijikake no Angeloid,"Gekijouban Sora no Otoshimono: Tokeijikake no Angeloid, Sora no Otoshimono: The Movie, Lost Property of the Sky Movie, Misplaced by Heaven",,,,['Shounen'],,['Harem'],
177,トワノクオン 第1章 泡沫の花弁,Towanoquon: The Ephemeral Petals,['Movie'],1,Finished Airing,"Jun 18, 2011",,,"['Bandai Visual', 'Lantis', 'Movic', 'Showgate', 'Hakuhodo DY Media Partners', 'Sony PCL', 'Fonishia']",['Sentai Filmworks'],['Bones'],Original,"['Action', 'Sci-Fi']",,48 min.,PG-13 - Teens 13 or older,7.27,#2991,#2489,"83,509",156,27079,"Living amongst the rest of humanity, there is a small number of people known as ""Attractors"" that possess strange powers. Fearful of these dangerous mutations, a highly secretive organization named Custos uses cyborgs from a group called WTOC to exterminate Attractors before they can injure anyone or disrupt the social order. Conversely, inside the theme park Fantasium Garden, there is a hidden group of Attractors who want to save their people from being eradicated by Custos. Led by the ever-optimistic Quon Mitsuchi, the Attractors take on intense fights against Custos's WTOC in the hopes of protecting the existence of their kind. [Written by MAL Rewrite]","['Sequel (Movie) Towa no Quon 2: Konton no Ranbu', 'Adaptation (Manga) Towa no Quon']",Towa no Quon 1: Utakata no Kaben,,,,,,,['Super Power'],
178,名探偵コナン 沈黙の15分,Detective Conan Movie 15: Quarter of Silence,['Movie'],1,Finished Airing,"Apr 16, 2011",,,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'TOHO']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,1 hr. 49 min.,G - All Ages,8.00,#673,#3294,"50,867",53,29350,"The momentous day of the opening of the new Tokyo subway, the Touto Line, has come, but a bombing incident puts all celebrations to a halt. The governor of Tokyo is caught in the blast while onboard the train, but he and everyone else present is fortunately saved by the quick thinking and actions of Conan Edogawa. Intrigued by the incident, Conan researches the governor's political history and discovers that the man was responsible for the destruction of a village in Niigata to build the Kitanosawa Dam. Believing the attack to be related to the construction of the dam, Conan, accompanied by Ran Mouri, Kogorou Mouri, Professor Agasa, Sonoko Suzuki, and the Detective Boys, decides to visit the village and investigate. There, they meet a group of locals who lived in the old village before it was torn down. However, just as one mystery leads to another, one of the locals is murdered. Suspecting that something much more sinister is afoot, Conan vows to uncover the truth behind these two incidents before it is too late. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan: Chinmoku no Quarter', '']",Meitantei Conan Movie 15: Chinmoku no Quarter,,Detektiv Conan Film 15: Die 15 Minuten der Stille,Detective Conan Película 15: 15 Minutos de Silencio,Detective Conan Film 15: Les Quinze Minutes de Silence,['Shounen'],,['Detective'],
179,劇場版 戦国BASARA -The Last Party-,Sengoku Basara - Samurai Kings: The Movie,['Movie'],1,Finished Airing,"Jun 4, 2011",,,"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic', 'Capcom', 'flying DOG']",['Funimation'],['Production I.G'],Game,"['Action', 'Fantasy']","['Historical', 'Martial Arts', 'Samurai']",1 hr. 33 min.,PG-13 - Teens 13 or older,7.55,#1746,#4244,"30,844",70,14655,"The story of the film is set after the conflict instigated by Toyotomi Hideyoshi ended, but not before the Battle of Sekigahara determines who shall be the Shogun of Japan. (Source: ANN)","['Prequel (TV) Sengoku Basara Ni', '']",Sengoku Basara Movie: The Last Party,Gekijouban Sengoku Basara: The Last Party,,,Sengoku Basara: The Last Party,,,,
180,鬼神伝,Legend of the Millennium Dragon,['Movie'],1,Finished Airing,"Apr 29, 2011",,,"['Sony Music Entertainment', 'Atelier Musa']",['Sony Pictures Entertainment'],['Pierrot'],Original,"['Action', 'Award Winning', 'Supernatural']","['Mythology', 'Time Travel']",1 hr. 38 min.,PG-13 - Teens 13 or older,6.48,#7207,#5662,"15,489",22,6032,"A 15-year-old boy travels back in time—over 1,200 years ago to the Heian period—and faces a war between oni (demons) and humans in the former Japanese capital of Kyoto.",[],Onigamiden,,Onigamiden: Legend of the Millenium Dragon,La Leyenda del Dragon Milenario,"Onigamiden, la légende du Dragon millénaire",,,,
181,手塚治虫のブッダ－赤い砂漠よ！美しく－,Buddha: The Great Departure,['Movie'],1,Finished Airing,"May 28, 2011",,,"['Toei Video', 'Tezuka Productions', 'Warner Bros. Japan', 'Yomiuri Shimbun']","None found,",['Toei Animation'],['Manga'],"['Drama', 'Supernatural']","['Historical', 'Military']",1 hr. 51 min.,R - 17+ (violence & profanity),6.94,#4632,#6618,"10,516",19,3406,"In the ancient Shakya Kingdom, King Suddhodhana learns that his wife, Maya, has a curious dream. A white elephant with six tusks enters her body—a sign that their future child, Siddhartha Gautama, is blessed. The wise prophet Master Asita sees the child and foretells that he will become ""chakravartin,"" the ruler of the world. Meanwhile, young Chapra suffers the injustice of the rigid caste system. When Kosala army marches on Kapilavastu, Shakya's capital, Chapra plays a part in forcing them to retreat. But to escape the life of slavery and give his mother a better life, Chapra joins the Kosala army and swears to rise in the ranks. As the young Siddhartha grows, he is taught everything he needs to know to inherit the throne. However, Siddhartha has no interest in martial arts or running a kingdom. What he seeks are the truths of the world and the meaning of life itself. Although Kosala's ever-expanding power threatens Shakya, Siddhartha abandons the royal life and ventures into the world to find the enlightenment he desires. [Written by MAL Rewrite]","['Sequel (Movie) Tezuka Osamu no Buddha: Owarinaki Tabi', 'Adaptation (Manga) Buddha']",Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,Osamu Tezuka's Buddha Movie 1: The Red Desert! It's Beautiful,,"Osamu Tezuka. Buda, el Gran Viaje",,,,,
182,チベット犬物語,The Tibetan Dog,['Movie'],1,Finished Airing,"Jun 6, 2011",,,"None found,",['Maiden Japan'],['Madhouse'],Novel,"['Adventure', 'Drama', 'Fantasy']",,1 hr. 30 min.,G - All Ages,7.22,#3237,#7732,"7,171",10,2418,"After the death of his mother, Tenzin decided to leave town to live with his father in the Tibetan grasslands. Life is tough at first, until one day the young man witnesses a fight between Tibetan guard dogs and a dog with golden hairs outside the pack.",[],Tibet Inu Monogatari,Tibetan Dog Story,,,,,,['Mythology'],
183,映画 クレヨンしんちゃん 嵐を呼ぶ黄金のスパイ大作戦,Crayon Shin-chan: Fierceness That Invites Storm! Operation Golden Spy,['Movie'],1,Finished Airing,"Apr 16, 2011",,,"['Futabasha', 'Imagine']","None found,",['Shin-Ei Animation'],['Manga'],,,1 hr. 48 min.,G - All Ages,7.00,#4406,#8339,"5,953",2,3515,"Comical action spy film including an indecent material (flatus) and a story of a girl who had obeyed her parents, but becomes self-aware. A mystery spy girl Lemon Sunomono suddenly appears in front of Shinnosuke, and she calls herself an emissary of Action Kamen. She had trained as a spy by her parents in the Sukashipestan Republic, and works for the Queens. Under her guidance, Shinnosuke decides to be a spy to fight for justice, and receives spy training. Under the instruction of Action Kamen, Lemon and Shinnosuke perform a mission to creep into the laboratory in the Hedelna Kingdom and recapture a capsule from an evil professor, but Lemon finds the real purpose of the Queens, and they fight to foil the plot of the Queens. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome', 'Sequel (Movie) Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess']",Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,Eiga Crayon Shin-chan: Arashi wo Yobu Ougon no Spy Daisakusen,,Shin Chan Película 19: Operación Espía de Oro,,['Seinen'],['Comedy'],,
184,劇場リミックス版 APPLESEED XIII ～遺言～,,['Movie'],1,Finished Airing,"Jun 13, 2011",,,"None found,",['Funimation'],"['Production I.G', 'Jinnis Animation Studios']",Original,"['Action', 'Mystery', 'Sci-Fi']","['Detective', 'Mecha', 'Military']",1 hr. 24 min.,R - 17+ (violence & profanity),6.22,#8733,#9080,"4,756",5,1192,"This is a remix, theatrical release of the first half of the Appleseed XIII series.","['Sequel (Movie) Appleseed XIII Remix Movie 2: Yogen', '']",Appleseed XIII Remix Movie 1: Yuigon,"Gekijou Remix Han Appleseed XIII 1, Appleseed XIII Gekijou Remix-ban 1: Yuigon",,,,,,,
185,劇場版 放課後のプレアデス   マナームービー,,['Movie'],1,Finished Airing,"Jun 4, 2011",,,"None found,","None found,",['Gainax'],Original,,,52 sec.,G - All Ages,5.37,#12514,#11045,"2,588",0,804,"A manner movie based on the Houkago no Pleiades anime. A manner movie is a reminder video shown in theaters before the main movie starts, it is there to remind the audience to turn off their mobile phones, avoid talking, etc. This Houkago no Pleiades manner movie was exclusive to the United Cinemas theater chain. (Source: AniDB)",[],Houkago no Pleiades: Manner Movie,,,,,,,,
186,소중한 날의 꿈,Green Days: Dinosaur and I,['Movie'],1,Finished Airing,"Jun 16, 2011",,,"['Studio MWP', 'EBS']","None found,","['Studio Meditation With a Pencil', 'Iconix Entertainment']",Original,"['Comedy', 'Drama', 'Romance']",,1 hr. 39 min.,PG-13 - Teens 13 or older,6.42,#7606,#11408,"2,330",2,455,"Not wanting to lose, Yi-rang orchestrates a collapse in the middle of a relay race even though she's on the verge of giving up her dream of becoming an athlete. At the same time, Soo-min transfers in from Seoul and Cheol-soo, who dreams of becoming a scientist, come into her life. They are all immature but they are in the midst of youthful aspiration. With this warm-hearted animation, Han Hye-jin-I and Ahn Jae-hoon encourage Yi-rang's dreams and portray the fantasy and flutter of adolescence through encounters with good people. Set in the '80s and '90s, an old umbrella and a railroad crossing the downtown in the film is the stuff that reminds us of our lost past, evoking a reminiscence in the audience of that which is vanished. It is a way of evoking the real ""dreams"" that we have lost in this modern society where a rapid capitalization is progressing. (Source: Hancinema)",[],Sojunghan Nal-ui Kkum,So-jjoong-han Nam-eui Ggoom,,,,,,,
187,たからさがし,Treasure Hunting,['Movie'],1,Finished Airing,"Jun 4, 2011",,,"None found,","None found,",['Studio Ghibli'],Picture book,"['Adventure', 'Fantasy']",,9 min.,G - All Ages,6.26,#8484,#11476,"2,279",0,365,"Short film shown only in the Ghibli Museum in Mitaka. The nine-minute short adapts a picture book by Rieko Nakagawa and Yuriko Yamawaki, the author and illustrator of two previous books that inspired Ghibli shorts (Sora Iro no Tane, The Whale Hunt). In the story, a boy named Yuuji and a rabbit named Gikku find a stick at the same time, and decide to compete in games to decide who can keep the stick. However, whether it is a foot race, long jump, or sumo wrestling, they always end up in a tie. (Source: ANN)",[],Takara-sagashi,Treasure Hunt,,,,['Kids'],,,
188,やさしいマーチ-The Tender March-,The Tender March,['Movie'],1,Finished Airing,"May 5, 2011",,,['Geidai Animation'],"None found,","None found,",Original,,,4 min.,PG-13 - Teens 13 or older,6.38,#7773,#11571,"2,215",5,1271,"This is a humorous animated work in which a young girl walks through a mysterious town with both tranquil fields and buildings, followed by various monsters. The thoughts and feelings of the young girl as she daydreams are visualized on a monitor screen or by being likened to the forms of the monsters; the closed inner world of a young girl is depicted incisively, against a soundtrack of up-tempo music. The light shades and the lines drawn with a delicate touch and strong sense of design create a unique world view and transparency. (Source: Japan Media Arts Festival)",[],Yasashii March,,,,,,,['Music'],
189,マイブリッジの糸,Muybridge's Strings,['Movie'],1,Finished Airing,"May 16, 2011",,,"['NHK', 'Polygon Pictures']","None found,","['Yamamura Animation, Inc.']",Original,"['Award Winning', 'Drama']",,13 min.,PG-13 - Teens 13 or older,6.13,#9202,#11754,"2,094",4,821,The destiny of photographer Eadweard Muybridge and that of a Japanese mother clash poetically in this exploration of the irrepressible human desire to make time stand still. (Source: AniDB),[],Muybridge no Ito,,,,,,,,
190,豆富小僧,Little Ghostly Adventures Of The Tofu Boy,['Movie'],1,Finished Airing,"Apr 29, 2011",,,"['Dentsu', 'Sotsu', 'Kadokawa Shoten', 'Fuji TV', 'Warner Bros. Japan', 'Lapis']","None found,","None found,",Novel,,,1 hr. 26 min.,G - All Ages,5.80,#10944,#15517,703,0,153,Based on Kyougoku Natsuhiko's Toufu Kozou Sugoroku-douchuu Furidashi novel. (Source: AniDB),[],Toufu Kozou,,,,,,['Comedy'],,
191,はやぶさ HAYABUSA - BACK TO THE EARTH - 帰還,,['Movie'],1,Finished Airing,"May 14, 2011",,,"None found,","None found,","None found,",Unknown,,,45 min.,None,[],#18465,#17607,451,0,,CG anime about a satellite's journey back to Earth.,[],Hayabusa: Back to the Earth - Kikan,,,,,,,['Historical'],
