,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
75,Mankatsu,モンキー・パンチ　漫画活動大写真,,,Monkey Punch: Mankatsu,['TV'],12,Finished Airing,"Aug 1, 2004 to Jun 25, 2005",['Summer 2004'],Not scheduled once per week,['WOWOW'],"None found,",['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Ecchi']",,51 min. per ep.,R+ - Mild Nudity,6.79,#5370,#10743,"2,840",9,742,"It's an animated variety show featuring the works of Monkey Punch that aired on WOWOW with the episodes being 52 minutes long. 12 episodes were aired between July 31, 2004 to June 25, 2005 and received a DVD exclusive 15 minute long special called Crime Mate. (Source: Wikipedia, Lupin III Wiki)","['Adaptation (Manga) Color Girl', 'Adaptation (Manga) Dracula-kun', 'Adaptation (Manga) Up Up Balloon', 'Adaptation (Manga) Bakumatsu Yankee']",Monkey Punch: Manga Katsudou Daishashin,,"['Gag Humor', 'Parody']",['Seinen'],,
76,,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7748,#11558,"2,228",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,
77,,まじめにふまじめ　かいけつゾロリ,,,,['TV'],97,Finished Airing,"Feb 13, 2005 to Jan 28, 2007",['Winter 2005'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Original,,,24 min. per ep.,PG - Children,6.72,#5775,#12859,"1,473",7,451,"Season 1 focuses on the wizard Nelly and the mysterious Najo as Zorori, Ishishi, and Noshishi help them restore the magic forest in a magical country (episodes 1-50). Season 2 focuses on Puppe's search for the Minus Eel (episodes 51-97). (Source: Wikipedia)","['Prequel (TV) Kaiketsu Zorori', 'Sequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori']",Majime ni Fumajime Kaiketsu Zorori,,,['Kids'],['Adventure'],
78,,しましまとらのしまじろう,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10325,#13254,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],,
79,,ザ・ワールド・オブ・ゴールデン・エッグス,,,,['TV'],26,Finished Airing,"Jan 7, 2005 to Dec 9, 2006",['Winter 2005'],Fridays at 22:45 (JST),"None found,","None found,","['Plus Heads', 'Studio Crocodile']",Original,,['Parody'],13 min. per ep.,PG-13 - Teens 13 or older,6.43,#7519,#13488,"1,237",4,281,The citizens of Turkey's Hill model a bizzare American-esque town and engage in non-sequitur behavior. (Source: ANN),[],The World of Golden Eggs,,,,['Comedy'],
80,,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13607,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
81,"Madou Kiden Pandalian, Legend of the Magical Beans Pandalian, Pandarian, PandaMonium",魔豆奇伝パンダリアン,Pandalian,,,['TV'],26,Finished Airing,"Jan 8, 2005 to Jul 9, 2005",['Winter 2005'],Unknown,"None found,","None found,",['Planet'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",['Super Power'],25 min. per ep.,G - All Ages,6.29,#8354,#13613,"1,192",2,371,"It follows the story of a fairy named Mi who is sent to Planet Pandasia to warn the residents about a great evil that threatens to destroy Pandasia. She chooses a heroic panda named Toby to defeat Gold and Silver, two villains who want to collect the seven Beans of Power and rid Pandasia of its colorful, beautiful environment and replace it with a dark wasteland. (Source: Wikipedia)",[],Mafukiden: Pandarian,,,['Kids'],,
82,Nalong: Fly to the Sky,뚜루뚜루뚜 나롱이,,,,['TV'],52,Finished Airing,Dec 2004 to Jan 2006,['Winter 2005'],Unknown,['Studio Kaab'],"None found,","None found,",Original,,,15 min. per ep.,G - All Ages,[],#15090,#18984,347,0,,"Somewhere in this world, there is a town named Lala in a forest called Lulu. This is the home of Nalong and many other furry little creatures. Nalong lives with his father and 10 brothers, and attends elementary school. His friends are an otter named Ukkya, an ostrich named Tajori, and the Mandu brothers, who were accidentally made by the famous inventor Professor Penguil. (Source: Wikipedia)","['Sequel (TV) Kwaegeol Longman Narongi', '']",Turuturutu Narongi,,,['Kids'],['Adventure'],
83,,パンツぱんくろう,,,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19434,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,['Kids'],,
84,,ネポス・ナポス,Nepos Napos,,,['TV'],26,Finished Airing,"Jan 31, 2005 to Jul 25, 2005",['Winter 2005'],Unknown,"None found,","None found,",['The Answer Studio'],Unknown,,,6 min. per ep.,PG - Children,[],#20643,#19653,306,0,,You see a whale-shaped cloud drifting in the blue sky. What you don't see is a strange land of Nepos Napos that lies above it. Don't you want to know what is happening and how everybody lives up there? (Source: The Answer Studio),[],Nepos Napos,,,['Kids'],['Fantasy'],
85,,ウィッチ ヴィレッジ ストーリー,,,,['TV'],24,Finished Airing,"Jan 9, 2005 to Jun 19, 2005",['Winter 2005'],Unknown,"None found,","None found,","None found,",Unknown,,,3 min. per ep.,G - All Ages,[],#15301,#19609,308,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Witch Village Story,,,,['Slice of Life'],
86,"Worku: From Behind, Stranger In Paradigm",WORKU (ウォルク),,,,['ONA'],2,Finished Airing,"Apr 5, 2005 to Mar 14, 2017",,,['The Village of Marchen'],"None found,","None found,",Unknown,,['Psychological'],11 min. per ep.,G - All Ages,5.36,#12529,#15530,701,0,233,"A dark stop motion anime about a lone traveler in a desert who finds a solitary box. When he opens it, he finds a rundown and rather spooky city made up of large tower block apartments. Suddenly, a mysterious ghostly stick entity appears and seems to follow our hero. What is the purpose of this strange figure?",[],Worku,,,,['Fantasy'],
87,Club-To-Death Angel Dokuro-chan,撲殺天使ドクロちゃん,Bludgeoning Angel Dokuro-chan,Bludgeoning Angel Dokoro-chan,Dokuro-Chan,['OVA'],4,Finished Airing,"Mar 13, 2005 to Sep 22, 2005",,,"['Showgate', 'Geneon Entertainment']","['Media Blasters', 'Discotek Media']","['HAL Film Maker', 'Nomad']",['Light novel'],"['Comedy', 'Supernatural', 'Ecchi']",,26 min. per ep.,R - 17+ (violence & profanity),6.53,#6873,#1231,"209,922",929,113903,"Sakura Kusakabe, a mere junior high student, has committed a horrible crime. Or, rather, he will commit a crime—20 years into the future. The crime in question? He will prevent all women from developing past the age of 12, with immortality as an unintended side effect. As a result, the angel Dokuro Mitsukai is sent from the future as an assassin, armed with with a magical spiked bat named Excalibolg. However, rather than kill him, Dokuro wants to take a different approach. She resolves to be a constant nuisance to Sakura, in an attempt to prevent him from focusing on anything long enough to create his criminal technology. With Dokuro going against orders, the angel Sabato is sent out to complete Dokuro's mission. Between the impulsive Dokuro—who often murders Sakura with her bat before reviving him with the magic words ""Pipiru piru piru pipiru pi""—and the electric baton-wielding Sabato, Sakura's life will never be peaceful again. [Written by MAL Rewrite]","['Sequel (OVA) Bokusatsu Tenshi Dokuro-chan 2', 'Adaptation (Manga) Bokusatsu Tenshi Dokuro-chan', 'Adaptation (Light Novel) Bokusatsu Tenshi Dokuro-chan', '']",Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokoro-chan,"['Gag Humor', 'Gore']",,,
88,"I'm My Little Sister's Secret, I'm in Love With My Little Sister",僕は妹に恋をする,,,,['OVA'],1,Finished Airing,"May 18, 2005",,,['ZOOM ENTERPRISE'],"None found,",['Vega Entertainment'],['Manga'],,,49 min.,R+ - Mild Nudity,6.17,#8994,#3564,"44,209",97,24446,"Yori and his twin sister Iku used to be very close as children but lately Yori has grown colder toward Iku and is always eager to stay away from her. Iku was confused by Yori's attitude. Actually Yori is in love with Iku and that forbidden love is causing Yori sleepless nights since Yori and Iku are sharing the same room with bunk beds. Yori tried to ease his intense desire for Iku by bedding Iku's best friend. He had even applied to attend a boarding school in another city to take him far away from Iku. Yori lost his resolve to stay quiet about his feelings when Iku started to talk about having a boyfriend and going on dates. Now Yori want to have his little sister and he confessed. Iku loves her big brother and wanted them to stay together, so Iku is willing to anything to keep them together. But Yori wanted to have Iku as a lover, not as a sister loyal to her twin.","['Adaptation (Manga) Boku wa Imouto ni Koi wo Suru', '']",Boku wa Imouto ni Koi wo Suru,,,['Shoujo'],['Romance'],
89,,いちご１００％　オリジナルDVDアニメーション,Ichigo 100% Original DVD Animation,,,['OVA'],4,Finished Airing,"Jun 20, 2005 to Oct 31, 2005",,,"None found,","None found,",['Madhouse'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,29 min. per ep.,PG-13 - Teens 13 or older,6.82,#5258,#4482,"27,756",8,15060,"Further continuation from the Ichigo 100% TV series. Four episodes in length, comprised mostly of side-story elements such as a Spring Festival featuring Cosplay, Junpei's adventure to return a notebook to Yui's friend who atteneds the All-Girl Oumi Academy, summer work at Sawayaka to help cover production costs and last, but not least.. the Strawberry 'Pantsu' Invaders. This OVA features two new characters. (Note: Best if viewed after the Jump Festa 2004 OVA, or in other words.. ""last"", but could be substituted and watched prior to the Jump Festa OVA.)","['Prequel (Special) Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e', '']",Ichigo 100% OVA,,"['Harem', 'School']",['Shounen'],,
90,,SHUFFLE! (シャッフル!) Prologue,,,,['OVA'],1,Finished Airing,"May 27, 2005",,,['Lantis'],"None found,",['asread.'],Visual novel,"['Comedy', 'Fantasy', 'Romance']",,8 min.,PG-13 - Teens 13 or older,6.64,#6242,#5272,"18,764",4,7335,"Shuffle! Prologue is a short OVA teaser for the Shuffle! anime series based on the visual novel of the same name. While some of the animation was reused for the first episode of the anime series, most of Shuffle! Prologue is unique animation not repeated in the series, although the story itself is retold. (Source: Wikipedia)",[],Shuffle! Prologue,,"['Harem', 'School', 'Urban Fantasy']",,,
91,,MUNTO 時の壁を越えて,Munto 2: Beyond the Walls of Time,,,['OVA'],1,Finished Airing,"Apr 29, 2005",,,['Animation Do'],['Central Park Media'],['Kyoto Animation'],Original,"['Action', 'Fantasy']",['Super Power'],1 hr.,PG-13 - Teens 13 or older,6.93,#4684,#6029,"13,238",14,5813,"Two years have passed since the catastrophic event known as the ""Continent's Dropping"" from the first OVA episode. Yumemi still has not forgotten her ability to see the world above, but now she's in the last years of middle school, tests and real life take over. Unknown to the people of the world, Akuto the world still thrives, but the war rages on. In need of help, Gaz, sends Munto down to Earth once more to find the ""Girl of Destiny"" in order to save Heaven from its untimely demise. Yumemi must once again confront the world only she sees, and not even her friends Ichiko and Suzune can help her. (Source: ANN)","['Prequel (OVA) Munto', '']",Munto: Toki no Kabe wo Koete,,,,,
92,Kuro Ai,黒愛 一夜妻館・淫口乱乳録,Dark Love,,,['OVA'],2,Finished Airing,"Apr 29, 2005 to Jun 24, 2005",,,['Green Bunny'],"['Media Blasters', 'Kitty Media']",['Shinkuukan'],Visual novel,,,26 min. per ep.,Rx - Hentai,6.65,N/A,#6291,"11,856",93,5034,"Tetsuya's investigation into a luxurious hotel turns over a nest of yakuza and a bizarre orgy cult. On rich silk sheets and velvet chairs, the rich and powerful participate in sex acts so depraved that just witnessing them is likely to turn a man into a monster. But the true purpose of this cult is a pact with evil energies that can literally turn Tetsuya into an inhuman demon. (Source: ANN)",[],Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,Dark Love: Kuro Ai,,,['Hentai'],
93,,悪戯～いたずら～ The Animation,G-Spot Express,,,['OVA'],2,Finished Airing,"Apr 8, 2005 to Jul 8, 2005",,,['Arms'],['Kitty Media'],['Studio 9 Maiami'],Visual novel,,,26 min. per ep.,Rx - Hentai,6.61,N/A,#7059,"9,016",41,3813,"Katsuhiko is a master train pervert. He can pull off a feel, a grab, or even go all the way on a crowded train with girls he's never met. One day he meets a sinister pickpocket named Gin, who provides him with the ultimate target. Katsuhiko moves in on the gorgeous TV anchorwoman with perfect skill, but will he be ready for Gin's well-timed double cross. (Source: ANN)",[],Itazura The Animation,,,,['Hentai'],
94,"UFO Ultramaiden Valkyrie 3, UFO Princess Walküre 3, UFO Princess Valkyrie Season 3 - Bride of the Stellar Season, UFO Princess Valkyrie: Bride of Star Spirit Season",円盤皇女ワるきゅーレ 星霊節の花嫁,UFO Ultramaiden Valkyrie 3: Bride of Celestial Souls' Day,,,['OVA'],6,Finished Airing,"May 25, 2005 to Oct 25, 2005",,,"['Media Factory', 'KlockWorx', 'Toshiba Entertainment', 'Omnibus Promotion']","['ADV Films', 'Funimation']",['TNK'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.92,#4720,#7382,"8,049",5,3694,"The third season doesn`t have a particular story behind everything (like ""Valkyrie Ghost"" in the second season). It just tells 6 stories about the life of Kazuto & Co. with some additions: Raine and Chorus get a house on earth, the last three Valhalla princesses each get an episode, and in the last episode Kazuto and Valkyrie, who in the same episode managed to stay adult, >try< to marry again. (Source: ANN)","['Prequel (TV) UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Sequel (OVA) UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage']",UFO Princess Valkyrie 3: Seiresetsu no Hanayome,,,,,
95,Manin Bus,満淫電車,,,,['OVA'],3,Finished Airing,"May 27, 2005 to Apr 24, 2009",,,['Himajin Planning'],"None found,",['Suzuki Mirano'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.22,N/A,#7577,"7,528",25,2401,"While riding the train, some girls get into trouble.","['Adaptation (Light Novel) Manin Densha', '']",Manin Densha,,,,['Hentai'],
96,Mokemoke Taishou Dendou Musume Arisa,もけもけ大正電動娘ARISA,Arisa,,,['OVA'],2,Finished Airing,"May 27, 2005 to Jul 29, 2005",,,['Green Bunny'],['Adult Source Media'],['Enzo Animation'],Visual novel,,['Mecha'],27 min. per ep.,Rx - Hentai,6.05,N/A,#8456,"5,790",14,2398,"It was Taisho Era. Morisaki Shinichiro and his little sister-in-law were managing a café that his dead mother had left. His father used to be an excellent scientist, but he began to absorb in studying ""android"". People began to cast cold eyes on him, and finally, he disappeared. After that, they two were living poor lives. One day, with a loud noise, an android girl dropped breaking the ceiling of the café. Then, their peaceful life suddenly turns into slapstick. (Source: AnimeNfo)",[],Moke Moke Taishou Dendo Musume Arisa,,,,['Hentai'],
97,"Shintaisou (Shin), Shintasou Kari 2, Rhythmic Gymnastics",新体操（真）,Princess 69: Midnight Gymnastics,,,['OVA'],2,Finished Airing,"Jun 24, 2005 to Sep 30, 2005",,,['Discovery'],['Media Blasters'],['AT-2'],Visual novel,,['School'],29 min. per ep.,Rx - Hentai,5.95,N/A,#8632,"5,497",14,2155,"There's a secret competition called ""dark rhythmic gymnastics"". The entrees complete their beauty and lewd by their technique more difficult than rhythmic gymnastics. Haneoka Fubuki is a little brother-in-low of Haneoka Miku who's been missing. While he is looking for his sister, he finds her at the house of Tomomi, Miku's classmate. Acceding to Tomomi, she is trapped in the dark side of ""dark rhythmic gymnastics"". In order to help her out, he resolves his mind to become a coach of ""dark rhythmic gymnastics"", and he gets close to Fujimiya Koyuki who was chosen by Tomomi not knowing his fate... (Source: AnimeNfo)","['Prequel (OVA) Shintaisou: Kari', 'Adaptation (Light Novel) Shintaisou: Shin']",Shintaisou: Shin,,,,['Hentai'],
98,Eien no Aseria: The Spirit of Eternity Sword,永遠のアセリア,The Eternal Aseria,,,['OVA'],2,Finished Airing,"Jun 24, 2005 to Mar 24, 2006",,,['Japan Home Video'],"None found,",['Studio Matrix'],Visual novel,"['Adventure', 'Drama', 'Fantasy']",,29 min. per ep.,PG-13 - Teens 13 or older,5.30,#12698,#8801,"5,217",3,1951,"Yuto Takamine and his younger sister-in-law Kaori, were at their parents' grave, when they were suddenly summoned into another world, Phantasmagoria. The King and a woman named Restina took Kaori as a hostage, and ordered Yuto to fight against their enemies. Then, the King gave him a sword called Motomeh to protect their kingdom from enemy spirits. Kaori will only be freed if Yuto helps protect Phantasmagoria. Thus, Yuto's journey begins... (Source: ANN)","['Adaptation (Light Novel) Eien no Aselia: The Spirit of Eternity Sword', '']",Eien no Aselia,,,,,
99,,夜勤病棟 Ｋｒａｎｋｅ,Night Shift Nurses: Kranke,,Night Shift Nurses Kranke,['OVA'],3,Finished Airing,"May 27, 2005 to Nov 25, 2005",,,['Discovery'],['Adult Source Media'],['AT-2'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.11,N/A,#8837,"5,167",10,1808,"A side story from the original: Ai wishes to be a real woman, after thinking that she had dreamed her sister doing with the doctor. On the other hand, Ryuji Hirasaka wants to have his pervert experiments trial on Hikaru. Instead, the doctor become a savior to Hikaru & Ai for his new invention having both sisters doing it to one another and Ai thought that it as a dream... The last episode ends as the doctor and his newly wedded bride nurse, Ren, went exile to a village to continue his medical practice... and of course his experiment only on his bride. (Source: ANN)",[],Yakin Byoutou Kranke,,,,['Hentai'],
100,Futago no Bosei Honno,双子(フタゴ)ノ母(ハハ)性本能,Menage a Twins,,,['OVA'],2,Finished Airing,"May 25, 2005 to Aug 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['Kitty Media'],['Dream Entertainment'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.21,N/A,#8852,"5,142",8,1903,"One day, Minoru received an e-mail sending to the wrong address. It was the first accident. It was sent by a woman named Akane. Somehow, he felt as if he knew her, but he couldn't understand why he felt so. The next accident happened. When he and Tomoe went home after shopping, they happened to see Akane. Looking at Akane, Tomoe put on a grave face. Putting him between them, they looked at each other. Their encounter is just an accident or intentional? Being disclosed their relations, Minori lost his calmness, and couldn't help devouring their sexual bodies. (Source: AnimeNfo)",[],Futago no Haha Seihonnou,,,,['Hentai'],
101,Invasion of the Booby Snatchers,爆乳姉妹,Bomb Milk Sisters,,,['OVA'],2,Finished Airing,"Apr 8, 2005 to Jul 8, 2005",,,['Digital Works'],"['Media Blasters', 'Kitty Media']",['Y.O.U.C'],Original,,,29 min. per ep.,Rx - Hentai,6.18,N/A,#8925,"5,024",12,1675,"One night, whilst impoverished student Tashiro Shinji was sleeping in his apartment, a beautiful and naked girl appeared in a flash of light. In fact, she's actually an alien named Julia who is searching for her elder sister. (Source: AnimeNfo)",[],Bakunyuu Shimai,,,,['Hentai'],
102,,IMMORAL,,,,['OVA'],2,Finished Airing,"Apr 29, 2005 to Aug 26, 2005",,,"None found,","None found,",['Himajin Planning'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.14,N/A,#8947,"4,994",9,1435,"A school doctor comes in possession of a sexual hypnotic spray that inhibits girls to succumb to sexual desires. One after another, high school girls fall prey to the school doctor's sex schemes turning them into sex slaves.","['Adaptation (Light Novel) Immoral', '']",Immoral,,,,['Hentai'],
103,,REQUIEM [レクイエム],Anal Sanctuary,,,['OVA'],2,Finished Airing,"Jun 25, 2005 to Jul 25, 2005",,,"['Milky Animation Label', 'MS Pictures']","['Media Blasters', 'Kitty Media']",['Eshoya Honpo'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.24,N/A,#9143,"4,683",4,1795,"Based on a game by CLOCKUP Cannone is a violin that entrances people. Ceillia is a violin that was created by the angels that seals Cannone. Akio became a teacher for St. Cecillia Academy. He found Cannone sealed in the torture room under the chapel, he was fascinated by it's power. The other violin picked a girl to use it`s powers to steal Cannone. (Source: AnimeNfo)",[],Requiem,,,,['Hentai'],
104,"Super Robot Taisen Original Generation - The Animation, Super Robot Wars OG: The Animation, SRWOG",スーパーロボット大戦 ORIGINAL GENERATION THE ANIMATION,Super Robot Wars Original Generation: The Animation,,,['OVA'],3,Finished Airing,"May 27, 2005 to Dec 23, 2005",,,['Bandai Visual'],"['Bandai Entertainment', 'Media Blasters', 'Bandai Visual USA']","[""Brain's Base""]",Game,"['Action', 'Sci-Fi']",,28 min. per ep.,PG-13 - Teens 13 or older,6.60,#6497,#9168,"4,642",6,1926,"Dr. Jurgen of DC developed a global defense system to combat potential alien threats. This system has two elements. First is the VTX-001 Vartoul unmanned anti alien PT. Governing these drones is the ODE worldwide network system. However, this system has a noteworthy secret. A living human is needed to control the ODE core. Furthermore, the ODE core needs human organs to support itself. At the present day, the drone have gone on a mass abduction spree. Kyosuke and co has been sent in to take care of the problem. (Source: ANN)","['Prequel (TV) Super Robot Taisen OG: The Inspector', '']",Super Robot Taisen OG The Animation,,"['Mecha', 'Space']",,,
105,"Konjiki no Gash Bell!!: 00F - The Man With the Golden Tits, Zatch Bell!: 00F - The Man With the Golden Tits",金色のガッシュベル！！00F～黄金のチチをもつ男～,,,,['OVA'],1,Finished Airing,"May 25, 2005",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']",['Super Power'],18 min.,PG-13 - Teens 13 or older,6.42,#7584,#9571,"4,059",0,1575,"Folgore - 00F, the world's most ultimate spy is set on retrieving the stolen boobs. Watch as many of the characters from the original series (Konjiki no Gash Bell) are given life anew in this alternate setting.",[],Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,,,['Shounen'],,
106,"Ark of Awakening, Waking Ark",めざめの方舟,Open Your Mind,,,['OVA'],1,Finished Airing,"May 24, 2005",,,"None found,","None found,","None found,",Other,,,35 min.,PG-13 - Teens 13 or older,5.82,#10832,#9666,"3,946",3,1337,"The plot of Open Your Mind follows the extraterrestrial origin of life, coming from outerspace as six deities (Intermission act), evolving into water (Sho-ho) then emerging to the air (Hyakkin) and to the ground (Ku-nu). Each one of these creatures rules one of the six elements of the godai philosophy, i.e. Earth, Water, Fire, Wind (referred to as kaze in the Hyakkin chant), Sky and Consciousness (referred to as ""Awakening"" in the movie's title). (Source: Wikipedia)",[],Mezame no Hakobune,,,,['Fantasy'],
107,,東京鎮魂歌,Tokyo Requiem,,,['OVA'],2,Finished Airing,"Apr 25, 2005 to Mar 25, 2006",,,"['Milky Animation Label', 'MS Pictures']",['JapanAnime'],['Studio Jam'],['Manga'],"['Supernatural', 'Hentai']",['Mythology'],28 min. per ep.,Rx - Hentai,5.74,N/A,#10281,"3,240",3,1043,"An underground society lies beneath the surface of Tokyo. This society has kept silent for many years, but now, they are on the move. They are kidnapping four mikos and use their powers to wake up a long forgotten god... (Source: ANN)",[],Tokyo Requiem,,,,,
108,,きらめき☆プロジェクト,,,,['OVA'],5,Finished Airing,"Jun 24, 2005 to Feb 24, 2006",,,"None found,",['Media Blasters'],['Studio Fantasia'],Original,"['Comedy', 'Sci-Fi', 'Ecchi']",['Mecha'],29 min. per ep.,R+ - Mild Nudity,6.10,#9359,#10802,"2,791",2,841,"In a world where giant rude robots are common and used to fight wars appears a giant Handcrafted robot that defeats the major armies of the world. Meanwhile in a kingdom where three sisters reign in peace and harmony there is a secret that they keep from the rest of the world until they must use a Doll-looking robot to protect their nation, even when her creator refuses to put her friend in danger. (Source: ANN)",[],Kirameki☆Project,,,,,
109,,集団痴漢電車,Gold Throbber,,,['OVA'],2,Finished Airing,"Jun 10, 2005 to Sep 9, 2005",,,['Digital Works'],"['Media Blasters', 'Kitty Media']",['Y.O.U.C'],Visual novel,,,26 min. per ep.,Rx - Hentai,5.82,N/A,#10891,"2,715",4,896,"Yuji is a young businessman with a penchant for groping women on the train. Unfortunately, he's really bad at it... His hobby is about to land him friendless, homeless, and probably behind bars. Enter the dashing hero, Kazuo, the man with the Golden Touch, any woman he touches turns to be horny! Touched by Yuji's plight, Kazuo takes him under his wing and teaches him to score with any woman, anywhere, anyhow. (Source: AniDB)","['Prequel (OVA) Chikan Densha', '']",Shuudan Chikan Densha,,,,['Hentai'],
110,,ハルヲ,,,,['OVA'],1,Finished Airing,"May 5, 2005",,,['CoMix Wave Films'],"None found,","None found,",Original,,,30 min.,PG-13 - Teens 13 or older,4.39,#13688,#12972,"1,424",2,479,"In a violent post-apocalyptic Japan, a reckless juvenile delinquent named Haruwo takes on the Yakuza, but their new bouncer may be more than he can handle... Over a year in the making, this half-hour short was entirely the work of one person--even the music! ""Haruwo"" animator Shao Guee writes, ""I didn't make this film for money, just for fun. I hope people all over the world will have a chance to see it. If you like it, please tell your friends about it. That's all I want. My thanks to everyone who helped me make this project a reality.""",[],Haruwo,,,,['Action'],
111,,スペクトラルフォース クロニクル ディバージェンス,,,,['OVA'],1,Finished Airing,"Jun 22, 2005",,,['Idea Factory'],"None found,",['WAO World'],Game,,,24 min.,PG-13 - Teens 13 or older,4.29,#13721,#13221,"1,330",1,434,Anime based on JRPG series Spectral Force.,[],Spectral Force Chronicle Divergence,,,,['Fantasy'],
112,,シルバニアファミリー ミニ劇場～思いがけないお客様～,,,,['OVA'],1,Finished Airing,Apr 2005,,,['Epoch'],"None found,",['Dyna Method'],Other,,,4 min.,G - All Ages,[],#14651,#19006,345,0,,A 3DCG anime of Sylvanian Families. The OVA was sold bundled with toy merchandise of the franchise.,[],Sylvanian Families Mini Gekijou: Omoigakenai Okyakusama,,,,['Slice of Life'],
113,,名探偵コナン　水平線上の陰謀,Detective Conan Movie 09: Strategy Above the Depths,Detektiv Conan Film 9: Das Komplott über dem Ozean,Detective Conan Film 9: Stratégie en Profondeur,['Movie'],1,Finished Airing,"Apr 9, 2005",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],1 hr. 50 min.,PG-13 - Teens 13 or older,7.78,#1086,#3239,"52,098",22,30276,"Fifteen years ago in a barren stretch of the Pacific, a cruise ship collided with an iceberg and was lost at sea. More than a decade later, Hideto Yashiro—a ship engineer—died in a fatal car accident. The unlikely connection between these events only comes to light on the luxury liner St. Aphrodite during her maiden voyage. Aboard it on a much needed vacation, Kogorou Mouri, his daughter Ran, Conan Edogawa, and the Detective Boys enjoy a trip provided by Sonoko Suzuki's family. But their fun is soon cut short when a game of hide-and-seek leads to Sonoko's disappearance. Some time later, the CEO of the Yashiro group, who built the St. Aphrodite, is found stabbed to death and her father missing. While the police's investigation turns to a dead end, Conan closes in on the culprit. Unwilling to be apprehended, the culprit threatens to blow up the St. Aphrodite and sink all her passengers. As the ship's hull rapidly fills with water, the truth behind the vengeful murders is finally revealed. With no place to escape, Conan and Kogorou must wrestle with the elusive culprit before everyone on board is dragged to the ocean floor. [Written by MAL Rewrite]",[],Meitantei Conan Movie 09: Suihei Senjou no Strategy,,,['Shounen'],,
