,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Spanish,Genre,Demographics
117,"Mai-Otome Zero, My-Otome Zero",舞－乙HiME ０～S.ifr～,My-Otome 0: S.ifr,,,['OVA'],3,Finished Airing,"Feb 21, 2008 to Nov 21, 2008",,,"None found,","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,,,27 min. per ep.,R+ - Mild Nudity,7.34,#2638,#5723,"15,159",26,7623,"This is the prequel of My-Otome, which predates the events before the My-Otome Series. In this series, it focuses upon the origins of Lena Sayers, the mother of Arika Yumemiya and former bearer of Lofty Crimson Jade / Blue Sky Sapphire GEM, and Sifr Fran, the biological mother of Nina Wáng and the former queen of Windbloom Kingdom, as well as the origins of Schwartz, Aswad, and the Garderobe Academy and its Five Columns. The kidnapping of Sifr and the powerful revelation of Lena's GEM will soon fatefully determine the outcome of the future for themselves and the others around them. (Source: ANN)","['Sequel (TV) Mai-Otome', '']",Mai-Otome 0: S.ifr,,,,['Sci-Fi'],
118,,あらいめんとゆーゆー THE ANIMATION,,,,['OVA'],2,Finished Airing,"Feb 29, 2008 to May 23, 2008",,,['Pink Pineapple'],"None found,",['T-Rex'],['Manga'],"['Supernatural', 'Hentai']",['School'],27 min. per ep.,Rx - Hentai,6.72,N/A,#5864,"14,172",88,6044,"Takahashi loves Oohara, and Oohara loves Takahashi, but neither of them knows of the others' feelings yet. Moreover, Takahashi died. How can their love come to be now?","['Adaptation (Manga) Alignment You! You!', '']",Alignment You! You! The Animation,,,,,
119,The Pollinic Girls Attack! ~The Animation~,花粉少女注意報！～THE ANIMATION～,,,,['OVA'],4,Finished Airing,"Mar 28, 2008 to Jun 29, 2012",,,['Pink Pineapple'],"None found,","['T-Rex', 'Space-X']",['Manga'],,,28 min. per ep.,Rx - Hentai,7.06,N/A,#5897,"13,979",85,5100,"As the season changes to spring and flowers begin to bloom, there is one thing humanity looks toward in dread. Yes, the ever troublesome pollen allergy season has come to defile its victims once more, but it's not their noses that are being blown. Through the miracles of evolution, the reproductive process of plants no longer yield the tiny yellow grains that stimulate the nose. Instead, they now produce beautiful girls and boys that float joyfully through the air, stimulating other areas of the body instead, whether willing or not. Moans of ecstasy and frenzy reverberate across the world from those desperate to seek relief from their relief. Although the streets run white with bodily fluids, people are far from relieved of their sexual troubles; fortunately, it is the perfect time to search for solutions! Inspiration can be found around every corner as encounters with the pollinic beings expose both hidden feelings and alluring physicality. Regardless of the climax that each person reaches, one thing is for sure—no amount of tissues will be enough for this allergy season. [Written by MAL Rewrite]","['Adaptation (Manga) Kafun Shoujo', '']",Kafun Shoujo Chuuihou! The Animation,,,,['Hentai'],
120,,よつのは,,,,['OVA'],2,Finished Airing,"Feb 29, 2008 to Mar 28, 2008",,,"['Rondo Robe', 'Geneon Entertainment']","None found,",['HAL Film Maker'],Visual novel,,['School'],36 min. per ep.,PG-13 - Teens 13 or older,6.29,#8317,#6252,"12,013",16,5534,"Based on the game by Haikuo-Soft. A story about the reunion of 4 childhood friends, Yuzuki, Matsuri, Nono and Makoto, in their deserted old school campus, Mochitsuki Academy. 3 years ago, they buried a time capsule under a tree inside the school and made a promise. A promise to meet again after exactly 3 years from that day. And the day of promise has finally arrived. (Source: AniDB)","['Adaptation (Manga) Yotsunoha', '']",Yotsunoha,,,,['Romance'],
121,The Idolmaster Live For You!,アイドルマスター ライブフォーユー!,THE IDOLM@STER Live For You!,,,['OVA'],1,Finished Airing,"Feb 28, 2008",,,"['Frontier Works', 'Bandai Namco Games']","None found,",['Actas'],Game,"['Comedy', 'Drama']",,17 min.,PG-13 - Teens 13 or older,6.18,#8962,#6668,"10,311",8,3958,"On the day before the 765 Productions Fan Appreciation Event, each of the idols prepare to head home. However, Chihaya Kisaragi, uneasy about tomorrow's events, decides to have a last minute personal rehearsal. One thing leads to another as Chihaya, Miki and Haruka are dragged from one exciting situation to the next. What is the truck driver's true destination? What is the secret behind the old house? Will the girls make it in time for the event? Watch as Miki, Haruka, Chihaya and the other idols join together for their biggest adventure yet! (Source: e-n-m.net)",[],The iDOLM@STER Live For You!,"['Idols (Female)', 'Music']",,,,
122,"Consolidated System, Method of Coupling",連結方式,,,,['OVA'],3,Finished Airing,"Jan 25, 2008 to Sep 26, 2008",,,"None found,","None found,",['Suzuki Mirano'],['Manga'],,,27 min. per ep.,Rx - Hentai,6.58,N/A,#6824,"9,819",33,3382,"Keisuke's father has informed his mother as well as Keisuke and Misaki that he has been diagnosed with cancer. And so, Keisuke announces that he wishes to inherit the family's liquor business and be married to the daughter of his father's former colleague. However, Keisuke's sister Misaki does not give her blessing to the marriage. They are more than siblings. The both of them cross the threshold and make love all night and on the day that Keisuke's fiancé's family comes to meet with them. Misaki shows her desire for Keisuke and they mutually surrender themselves to each others' flesh. (Source: BoxTorrents)",[],Renketsu Houshiki,,,,['Hentai'],
123,Shin Kyuuseishu Densetsu Hokuto no Ken Toki-den,真救世主伝説 北斗の拳 トキ伝,Fist of the North Star: The Legend of Toki,Fist of the North Star: The Legend of Toki,Hokuto No Ken: La Légende de Toki,['OVA'],1,Finished Airing,"Mar 26, 2008",,,"['TMS Entertainment', 'North Stars Pictures']",['Discotek Media'],['APPP'],['Manga'],,['Martial Arts'],57 min.,R - 17+ (violence & profanity),7.38,#2454,#6939,"9,418",14,4154,"The fourth part of the new Hokuto no Ken pentalogy (3 movies, 2 OVAs).","['Prequel (Movie) Hokuto no Ken: Raoh Gaiden Gekitou-hen', 'Sequel (Movie) Hokuto no Ken Zero: Kenshirou Den']",Hokuto no Ken: Toki-den,,['Shounen'],,['Action'],
124,"ToHeart 2: Another Days, To Heart 2: Another Days, ToHeart2ad",トゥハート2,ToHeart 2 AD,,,['OVA'],2,Finished Airing,"Mar 26, 2008 to Aug 8, 2008",,,"None found,","None found,",['Chaos Project'],Visual novel,"['Comedy', 'Romance', 'Ecchi']",,28 min. per ep.,PG-13 - Teens 13 or older,6.81,#5304,#7589,"7,496",5,2840,"Based on the Visual Novel ToHeart 2 AD (Another Days), the sequel to ToHeart 2.","['Prequel (OVA) To Heart 2 OVA', 'Sequel (OVA) To Heart 2 AD Plus', 'Adaptation (Manga) To Heart 2: Another Days', '']",To Heart 2 AD,,,,,
125,,愛のカタチ ～エッチな女のコは嫌い...ですか?～,The Shape of Love,,,['OVA'],2,Finished Airing,"Feb 25, 2008 to Jun 25, 2008",,,"['Milky Animation Label', 'MS Pictures']","['Media Blasters', 'Kitty Media']",['T-Rex'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.19,N/A,#7872,"6,855",16,2485,The secret world behind the amateur porn magazines. Young girls discover that is really easy to make money working for some guys that take photos of their sexual life. And some of them just get too hot by thinking of the many readers that will see their sinful acts that go crazy and wild.,[],Ai no Katachi: Ecchi na Onnanoko wa Kirai... desu ka?,,,,['Hentai'],
126,"Fuyu no Semi Special Revised Edition, Winter Cicada Special Revised Edition, Fuyu no Semi: Tokubetsu Henshuuhan",冬の蝉 ~特別編集版~,,,,['OVA'],1,Finished Airing,"Mar 26, 2008",,,"None found,","None found,",['Venet'],['Manga'],"['Action', 'Boys Love', 'Drama', 'Erotica']",,1 hr. 36 min.,R - 17+ (violence & profanity),6.86,N/A,#8608,"5,542",7,1845,Summary of the Fuyu no Semi OVA with revised animation and some extra scenes.,[],Fuyu no Semi Special,"['Historical', 'Military', 'Samurai']",,,,
127,,シオン,Sion,,,['OVA'],4,Finished Airing,"Mar 28, 2008 to Jan 23, 2010",,,['Pixy'],"None found,",['Anime Antenna Iinkai'],Visual novel,"['Action', 'Fantasy', 'Supernatural', 'Hentai']",,29 min. per ep.,Rx - Hentai,6.45,N/A,#8693,"5,396",31,1919,Based on the game by Lilith Mist.,[],Shion,,,,,
128,,姫騎士アンジェリカ,Princess Knight Angelica,,,['OVA'],2,Finished Airing,"Jan 25, 2008 to Jul 25, 2008",,,"['Milky Animation Label', 'MS Pictures']",['Kitty Media'],"None found,",Visual novel,"['Fantasy', 'Hentai']",,28 min. per ep.,Rx - Hentai,6.22,N/A,#8694,"5,394",12,1791,Based on the game by Silky's. A clever and ambitious man is able to take over a kingdom by cunningly forcing his way into the hearts of the Rothschilt family women. One by one he convinces them they can't live without him and makes them into his obedient and willing sex slaves. Now the kingdom is at his mercy and his real revenge can commence. (Source: AniDB),[],Himekishi Angelica,,,,,
129,,思春期少女,,,,['OVA'],2,Finished Airing,"Mar 28, 2008 to Jul 25, 2008",,,"None found,","None found,",['Suzuki Mirano'],['Manga'],,['School'],27 min. per ep.,Rx - Hentai,6.41,N/A,#9290,"4,452",11,1559,"A pair of high school girls, who think they can handle trouble, try to keep the punks in line at their school and discover they aren't as tough as they thought.",[],Shishunki Shoujo,,,,['Hentai'],
130,"Saishuu Shiken Kujira OVA, Final Examination Kujira Progressive",最終試験くじら Progressive,,,,['OVA'],1,Finished Airing,"Mar 26, 2008",,,['Starchild Records'],['Media Blasters'],['Zexcs'],Visual novel,"['Drama', 'Romance']",,30 min.,PG-13 - Teens 13 or older,5.97,#10062,#10248,"3,277",1,1268,"In the past Mutsumi (Mucchan) and Sae (Sacchan) met. Enjoying the time together, they decided to meet again and chose a place. Mucchan, however, never came to that place. A few years later he passed through that place on his way to school, and met Sacchan, who had been waiting for him for all those years. And so, they start playing together again. However, it won't last so long, because...",[],Saishuu Shiken Kujira Progressive,,,,,
131,Ryojoku Guerrilla Kari 3,凌辱ゲリラ狩り3,,,,['OVA'],2,Finished Airing,"Feb 29, 2008 to Apr 25, 2008",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.01,N/A,#10448,"3,096",8,882,"There is a spaceship called Victoire. It keeps winning and never loses. The ship is controlled by young and beautiful women, and their victory always boosts the morale of the team. But the ship and its secrets are sold to the enemy after the war, and the women are confined in prison. They have nothing to protect themselves... (Source: AniDB)",[],Ryoujoku Guerrilla Kari 3,,,,['Hentai'],
132,,失楽園,Sinners Paradise,,,['OVA'],2,Finished Airing,"Feb 8, 2008 to May 9, 2008",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Original,,,28 min. per ep.,Rx - Hentai,5.35,N/A,#11985,"1,958",0,614,"Longtime friends Erika and Akino have a difficult road ahead of them. One minute, they're basking in the warm summer air, and the next, they're sucked into a strange dimension. There, an army of mysterious soldiers declare that the two women are allies of an enemy nation and put them through all manner of perverse torture. But even if they could escape their captors, where could they run when they don't even know where they are? (Source: Mania.com)",[],Shitsurakuen,,,,['Hentai'],
133,"Shinran-sama: His Wish and Light, Nenbutsu Monogatari: Shinran-sama - Negai, Soshite Hikari",親鸞さま ねがい そして、ひかり。,,,,['OVA'],1,Finished Airing,"Mar 20, 2008",,,"None found,","None found,",['Group TAC'],Other,,['Historical'],1 hr. 48 min.,G - All Ages,6.04,#9705,#16958,510,0,128,"The life story of Shinran, founder of Joudo Shinshuu.",[],"Shinran-sama: Negai, Soshite Hikari",,,,,
134,,チャレンジ1年生でかっこいい1年生にへんしん!DVD,Question Fairy,,,['OVA'],1,Finished Airing,"Feb 10, 2008 to Feb 11, 2008",,,"None found,","None found,","None found,",Unknown,,,35 min.,PG - Children,[],#17176,#17795,435,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Challenge 1-nensei de Kakkoii 1-nensei ni Henshin!,,['Kids'],,,
135,,サンリオぽこあぽこ シナモンの げんきにおでかけ,,,,['OVA'],1,Finished Airing,"Mar 17, 2008",,,['Sanrio'],"None found,","None found,",Original,,['Educational'],45 min.,PG - Children,[],#13929,#20712,246,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sanrio Pokoapoko Cinnamon no Genki ni Odekake,,['Kids'],,,
136,"Kara no Kyoukai: The Garden of Sinners Movie 3, Borderline of Emptiness: Remaining Sense of Pain, The Garden of Sinners: ever cry, never life",劇場版 空の境界 the Garden of sinners 第三章『痛覚残留』,The Garden of Sinners Chapter 3: Remaining Sense of Pain,The Garden of Sinners Film 3: Verbliebener Sinn für Schmerz,The Garden of Sinners Película Film 3: Persistante Douleur,['Movie'],1,Finished Airing,"Feb 9, 2008",,,['Notes'],['Aniplex of America'],['ufotable'],['Light novel'],"['Action', 'Drama', 'Fantasy', 'Mystery', 'Suspense']",['Urban Fantasy'],59 min.,R+ - Mild Nudity,8.01,#650,#1107,"235,402",686,143023,"On a solemn night in July 1998, teenager Fujino Asagami is mercilessly raped by a street gang in a dilapidated bar. No matter what physical or sexual abuse they deal, however, the girl regards her captors with the same apathetic expression. The next day, mangled bodies are discovered in that same building, so torn apart that investigators find it infeasible to even consider the culprit human. Elsewhere, a client request reaches Touko Aozaki's detective agency, tasking Shiki Ryougi with either capturing or killing the perpetrator of last night's incident. But soon, word spreads that a single survivor escaped the slaughter, and now the murderer is plowing down everything in their path to locate and exterminate him. A brutal race against time begins, pitting Shiki against a dangerous foe imperceptible even to her legendary eyes. [Written by MAL Rewrite]","['Prequel (Movie) Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen)', 'Sequel (Movie) Kara no Kyoukai Movie 4: Garan no Dou', 'Adaptation (Manga) Kara no Kyoukai: The Garden of Sinners', 'Adaptation (Light Novel) Kara no Kyoukai: The Garden of Sinners']",Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,,,,,
137,,ＯＮＥ ＰＩＥＣＥ（ワンピース） エピソードオブチョッパー＋冬に咲く、奇跡の桜,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",One Piece Film 9: Chopper und das Wunder der Winterkirschblüte,One Piece Film 9: Episode de Chopper - Le Miracle des Cerisiers en Hiver,['Movie'],1,Finished Airing,"Mar 1, 2008",,,"['Fujipacific Music', 'Shueisha']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 53 min.,PG-13 - Teens 13 or older,7.43,#2245,#2751,"70,787",24,36908,"As Nami has fallen seriously ill, the Straw Hats head to Drum Island in search of a doctor. However, they learn that there is only one doctor left on the island, the reclusive Dr. Kureha who currently resides at the top of a mountain. With a sick Nami in tow, Monkey D. Luffy and Sanji set out on an arduous journey to seek her help. Meanwhile, the return of Wapol—Drum Island's former king—and his brother spells trouble for the island's inhabitants. As the one responsible for the current lack of doctors, Wapol has finally returned to take back his position as the people's despot and absolute ruler. With the help of new allies like the half-human reindeer Chopper Tony Tony, the Straw Hat Crew must overcome all the obstacles in its way to save Nami's life and stop Wapol from plunging Drum Island back into tyranny. [Written by MAL Rewrite] (Source: Wikipedia)",[],"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",,['Shounen'],One Piece Película 9: La Saga de Chopper. El Milagro del Cerezo Florecido en Invierno,,
138,"Doraemon the Future 2008, Doraemon the Movie 2008, Doraemon: Nobita to Midori no Kyojinden",映画 ドラえもん のび太と緑の巨人伝,Doraemon the Movie: Nobita and the Green Giant Legend,,,['Movie'],1,Finished Airing,"Mar 8, 2008",,,"['TV Asahi', 'Shogakukan Productions']","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,1 hr. 52 min.,PG - Children,7.53,#1834,#5981,"13,495",10,8779,"One day Nobita found a small sapling behind the hill but his mom won't allow him to plant it in the backyard. Using Doraemon's special tool, they made the tree alive so it could move around freely. Nobita name it Ki-bō and the two became like brothers. From there, a new adventure awaits...",[],Doraemon Movie 28: Nobita to Midori no Kyojin Den,,,Doraemon Película 28: Doraemon y el Reino de Kibo,,"['Kids', 'Shounen']"
139,"Chou Gekijouban Keroro Gunso 3: Keroro Tai Keroro - Tenkuu Daikessen de Arimasu!, Keroro Gunso the Super Movie 3: Keroro vs. Keroro Great Sky Duel de arimasu!",超劇場版ケロロ軍曹3 ケロロ対ケロロ 天空大決戦であります！,Keroro Movie 3,,,['Movie'],1,Finished Airing,"Mar 1, 2008",,,['Kadokawa Pictures Japan'],"None found,",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,1 hr. 35 min.,PG - Children,7.39,#2388,#8581,"5,595",15,2567,"The movie begins with Fuyuki Hinata and the Keroro Platoon exploring an abandoned temple in the mountaintop city of Machu Picchu in Peru. While on the exploration, Keroro accidentally sets off a trap, and by chance they find a hidden chamber with a large blue crystal in the center, on a stand that has a key in it. Keroro leans on the key, causing the room to activate a mysterious machine, this caused the entire temple to shake. As soon as the group realized what was happening, they run out of the room. While running, Keroro accidentally loses his Kero Ball while Fuyuki catches a fleeting glimpse of a glowing young woman as he is running out, and tells Keroro that there was a girl in the room, but he is forced to leave the room before he can say anything else. The group successfully escapes, while the girl (now sprouting a pair of glowing wings) watches them leave - while back in the chamber, something is growing within the crystal... (Source: AniDB)",[],Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,,['Shounen'],,,
140,"Precure Splash Star 3D Short Movie, Pretty Cure Splash Star Magic Doki 3D Theater Movie",ふたりはプリキュア Splash Star マジッ★ドキッ♥ シアター,,,,['Movie'],1,Finished Airing,"Jan 1, 2008",,,"None found,","None found,","None found,",Original,"['Action', 'Comedy']",['Mahou Shoujo'],12 min.,G - All Ages,6.27,#8439,#10788,"2,802",0,882,"A seed of hope descends from the sky, landing atop Flappy's head and sprouting between his ears. Goyaan is sent after the seed of hope and uses a seed of despair to transform an Uzaina, causing big trouble for the Precure!",[],Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,,,,,
141,,菅井君と家族石 THE MOVIE,Sguy and the Family Stone the Movie,,,['Movie'],1,Finished Airing,"Feb 16, 2008",,,['Kaeruotoko Shokai'],"None found,",['DLE'],Unknown,,['Parody'],1 hr. 33 min.,None,[],#14611,#18604,375,1,,"The Japanese animation production company Animax announced that Kaeruotoko-Shokai's second theatrical Flash-animated film, Sguy and The Family Stone the Movie, will open in a limited engagement in Japan on February 16. (Source: ANN)",[],Sugai-kun to Kazoku Ishi The Movie,,,,['Comedy'],
142,,,,,,['Movie'],1,Finished Airing,"Jan 31, 2008",,,"None found,","None found,","None found,",Original,,,1 min.,PG-13 - Teens 13 or older,5.77,#11079,#20433,262,0,118,Naoki Yoshibe's graduation work.,[],Around the World!,,,,['Avant Garde'],
143,Baccano! OVA,バッカーノ!,Baccano! Specials,,Baccano!,['Special'],3,Finished Airing,"Feb 27, 2008 to May 28, 2008",,,['Aniplex'],"['Funimation', 'Aniplex of America']","[""Brain's Base""]",['Light novel'],"['Action', 'Mystery', 'Supernatural']",,28 min. per ep.,R - 17+ (violence & profanity),8.08,#552,#1392,"182,818",307,114371,"In 1929, Ladd Russo spared Graham Specter's life and earned his unwavering loyalty. Three years later, Graham is infuriated upon learning that Ladd was pushed off the train after the events aboard the Flying Pussyfoot. As a man of bizarre yet passionate philosophies, he plans to make an offering to Ladd by kidnapping Eve Genoard and subsequently capturing Jacuzzi Splot, who has been living in the Genoard mansion with his gang. Meanwhile, Jacuzzi and his gang take in an unfamiliar woman, Elmer C. Albatross pays a visit to the prison to meet an old friend, and Czeslaw Meyer runs into the man he hoped he would never see again. These seemingly separate storylines merge, tying up several loose ends and revealing the whole truth of the anomaly that occurred aboard the Advena Avis in 1711. [Written by MAL Rewrite]","['Prequel (TV) Baccano!', 'Adaptation (Manga) Baccano! 1931 The Grand Punk Railroad', 'Adaptation (Manga) Baccano!', 'Adaptation (Light Novel) Baccano!']",Baccano! Specials,"['Adult Cast', 'Historical', 'Organized Crime']",,,,
144,"Darker than Black Episode 26, DTB, Darker than Black: Kuro no Keiyakusha Special",DARKER THAN BLACK -黒の契約者- 桜の花の満開の下,Darker Than Black Episode 26: Beneath the Fully Bloomed Cherry Blossoms,Darker Than Black: Unter Voll Erblühten Kirschbäumen,,['Special'],1,Finished Airing,"Mar 26, 2008",,,"['Aniplex', 'Square Enix']",['Funimation'],['Bones'],Original,"['Comedy', 'Sci-Fi']",['Parody'],23 min.,R - 17+ (violence & profanity),7.53,#1833,#1697,"143,988",193,81224,"A side-story of Darker than Black, also called Episode 26, that takes place during the events of Kuro no Keiyakusha. The Syndicate has another job for Hei and his team. This assignment involves the sought after possessions of a dead contractor, which are believed to have been buried beneath a cherry tree. Meanwhile, Misaki Kirihara and her team plan a trip to the Cherry Blossom festival. [Written by MAL Rewrite]",[],Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,,,,,
145,"NARUTO Shippu Konoha Gakuen Den Special, Konoha High","NARUTO 疾風伝「疾風! ""木ノ葉学園""伝」",Naruto Shippuden: Konoha Gakuen - Special,,,['Special'],1,Finished Airing,"Feb 6, 2008",,,['Bandai'],"None found,",['Pierrot'],['Manga'],,,8 min.,PG-13 - Teens 13 or older,7.13,#3771,#2826,"67,319",185,32805,Naruto school special. Naruto is a new cool student and when he meets Sasuke they start fighting.,[],"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den","['Martial Arts', 'School']",['Shounen'],,['Action'],
146,"Tengen Toppa Gurren Lagann Episode 6, Tengen Toppa Gurren Lagann Special, TTGL Special",天元突破 グレンラガン  見てえものは見てえんだ!!,Gurren Lagann: There are Some Things I Just Have to See!!,,,['Special'],1,Finished Airing,"Feb 26, 2008",,,"None found,","None found,",['Gainax'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],24 min.,PG-13 - Teens 13 or older,7.34,#2613,#3512,"45,373",34,20170,"An uncut version of episode six, involving Kamina's hopes of seeing Yoko and The Black Siblings naked, even at the risk of his friends' safety. (Source: Wikipedia)",[],Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,,,,,
147,"Shakugan no Shana-tan Begins, Shakugan no Shana-tan & Yoshida: Fumina Konoe Strikes Back!, Shakugan no Shana-tan Revenge",灼眼のシャナたん,,,,['Special'],3,Finished Airing,"Jan 25, 2008 to Oct 19, 2009",,,"None found,",['Funimation'],['J.C.Staff'],Unknown,,['Parody'],6 min. per ep.,PG-13 - Teens 13 or older,7.17,#3541,#3674,"41,793",51,21131,Shana-tan specials bundled with the limited edition first and fifth volumes of the Shakugan no Shana II (Second) DVD and the limited edition Shakugan no Shana II (Second) guide book. Episodes #1: Shakugan no Shana-tan Begins #2: Shakugan no Shana-tan & Yoshida: Konoe Fumina no Gyakushuu #3: Shakugan no Shana-tan Revenge,"['Prequel (Special) Shakugan no Shana-tan', 'Sequel (Special) Shakugan no Shana-tan S']",Shakugan no Shana-tan II (Second),,,,['Comedy'],
148,Code Geass: Hangyaku no Lelouch R2 Omake Flash - Kaette Kita Baba Gekijou,コードギアス 反逆のルルーシュ おまけFLASH「帰ってきたBABA劇場」,Code Geass: Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux,,,['Special'],9,Finished Airing,"Aug 22, 2008 to Apr 24, 2009",,,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,,['Parody'],1 min. per ep.,PG-13 - Teens 13 or older,5.72,#11279,#5396,"17,616",16,5900,9 flash anime specials included in the Code Geass R2 DVDs and BDs.,[],Code Geass: Hangyaku no Lelouch R2 Omake Flash,,,,['Comedy'],
149,Sayonara Zetsubou Sensei - Preface -Zetsubou Girls Collection-,さよなら絶望先生 序〜絶望少女撰集〜,,,,['Special'],1,Finished Airing,"Jan 1, 2008",,,"None found,","None found,",['Shaft'],['Manga'],,,1 hr. 1 min.,PG-13 - Teens 13 or older,7.41,#2325,#5488,"16,836",10,6413,"A special summary episode of the first season of Sayonara Zetsubou Sensei, focusing on seven of the girls: Komori Kiri, Matoi Tsunetsuki, Kobushi Abiru, Kimura Kaere, Kitsu Chiri, Sekiuchi ""Maria"" Tarou and Hitou Nami. Note: This entry also includes the 24 minute version which aired on BS11.","['Sequel (Special) Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu', '']",Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,"['Gag Humor', 'Parody', 'School']",['Shounen'],,['Comedy'],
150,"Ookiku Furikabutte - The Basics of Basics, Oofuri, Ohkiku Furikabutte, Swing Big!",おおきく振りかぶって 基本のキホン,Big Windup! The Basics of Basics,,,['Special'],1,Finished Airing,"Feb 27, 2008",,,"None found,",['Funimation'],['A-1 Pictures'],['Manga'],"['Drama', 'Sports']",['Team Sports'],23 min.,G - All Ages,7.23,#3211,#5958,"13,626",9,7795,"In the summer before Ren Mihashi makes his high school baseball debut, another drama is playing out at Musashino High. The short-statured Naoto Kaguyama feels threatened by freshman pitcher Motoki Haruna after seeing how seriously he trains. Afraid that Haruna will take his place on the mound, Kaguyama tries to understand why such a devoted player came to their low-ranked school, and how to build their team into one more befitting of a player of Haruna's skill. [Written by MAL Rewrite]",[],Ookiku Furikabutte: Kihon no Kihon,,['Seinen'],,,
151,"Kaibutsu Oujo Special, Kaibutsu Oujo: Sleeping Princess, Princess Resurrection Special",怪物王女　第26話「昏睡王女」,Princess Comatose,,,['Special'],1,Finished Airing,"Feb 14, 2008",,,['Lantis'],['Sentai Filmworks'],['Madhouse'],['Manga'],"['Action', 'Comedy', 'Horror', 'Supernatural']",['Vampire'],23 min.,PG-13 - Teens 13 or older,6.92,#4734,#6178,"12,410",11,5697,Episode 26 included in the ninth DVD volume of Kaibutsu Oujo.,"['Prequel (TV) Kaibutsu Oujo', '']",Kaibutsu Oujo: Konsui Oujo,,['Shounen'],,,
152,True Tears Specials,true tears ミニキャラ4コマ劇場,,,,['Special'],7,Finished Airing,"Mar 25, 2008 to Sep 26, 2008",,,"['Bandai Visual', 'Lantis']","None found,",['P.A. Works'],Original,,,30 sec. per ep.,G - All Ages,6.29,#8312,#6471,"11,088",4,4816,30-second sketches/omakes based around the events of the TV series with little twists.,[],True Tears: Mini Chara 4-koma Gekijou,"['Parody', 'School']",,,['Comedy'],
153,,.hack//G.U. Trilogy,.hack//G.U. Trilogy: Parody Mode,,,['Special'],1,Finished Airing,"Mar 25, 2008",,,['Bandai Visual'],"None found,","None found,",Game,"['Comedy', 'Fantasy', 'Sci-Fi']",,6 min.,PG-13 - Teens 13 or older,6.35,#7960,#6493,"10,998",10,4292,A special bonus Parody Mode added to the extras of the .hack//G.U. Trilogy (Source: AniDB),[],.hack//G.U. Trilogy: Parody Mode,"['Parody', 'Video Game']",,,,
154,Friagne and Marianne's Why What Shana! Ask Anything Question Box,フリアグネ&マリアンヌのなぜなにシャナ!なんでも質問箱!,,,,['Special'],8,Finished Airing,"Jan 25, 2008 to Aug 29, 2008",,,"None found,",['Funimation'],['J.C.Staff'],['Light novel'],"['Comedy', 'Fantasy']",['Urban Fantasy'],4 min. per ep.,PG-13 - Teens 13 or older,6.37,#7849,#7383,"8,039",1,2337,A series of short specials where Friagne and Marianne explain different terms from the second season of Shakugan no Shana.,"['Prequel (Special) Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako!', '']",Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2,,,,,
155,"Kyou no Go no Ni Special, Kyou no Go no Ni Tokuten, Kyou no Go no Ni Special Class: Water Splash, Kyou no Go no Ni Extra lesson: Water Splash, Today in Class 5-2 Special",今日の５の２課外授業:ミズカケ,,,,['Special'],1,Finished Airing,"Jan 30, 2008",,,"None found,","None found,",['Lyrics'],['Manga'],"['Comedy', 'Ecchi']",['School'],5 min.,PG-13 - Teens 13 or older,6.85,#5067,#7899,"6,798",1,3079,"A short 5-minute special included in the ""「Kyou no Go no Ni」 Collectable BOX"" Limited Edition DVD released on January 30, 2008.",[],Kyou no 5 no 2 Kagai Jugyou: Mizukake,,['Seinen'],,,
