,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genres,Themes,Demographic,Spanish,Demographics
148,,宮崎摩耶大図鑑,Maya Miyazaki's Encyclopedia Erotica,['OVA'],2,Finished Airing,"Nov 19, 2010 to Feb 18, 2011",,,"['MS Pictures', 'AniMan']",['Kitty Media'],"None found,",['Manga'],['Hentai'],,17 min. per ep.,Rx - Hentai,5.77,N/A,#9469,"4,193",10,1336,"A compilation of 3 unrelated stories across 2 approximately 15 minute episodes. The Legend of Ooedo's 800 Holes Ishide Takehiko falls in a manhole and ends up in ancient Japan. After wandering with no food or water for 3 days he stumbles across run-away princess Tokugawa Tsubaki and decides to have his way with her. She doesn't protest, much. But now she expects him to what?! Bicycle A guy (""the substitute guy"") watches Wadameda Chitose ride her bike down a hill every day in her gym uniform. She uses the bumpy ride for her own personal enjoyment. He's come up with a plan to get involved with her daily activities. Winter Love Virgin science teacher Ootsuka Jinpachi one day decides that fellow teacher Matsuo Aiko's bad attitude has earned her a ravaging. He tricks her into drinking an aphrodisiac and 'researches' her with various scientific glassware and a pen before ravaging her. But she actually...?",[],Miyazaki Maya Daizukan,,,,,,,
149,,ボトムズファインダー,Votoms Finder Armored Trooperoid,['OVA'],1,Finished Airing,"Dec 4, 2010",,,"None found,",['Maiden Japan'],['Sunrise'],Original,,,39 min.,PG-13 - Teens 13 or older,6.04,#9713,#9724,"3,877",0,1746,"Aki Tesno lives in a poor village at the bottom of a valley. One day, a man from an uptown city asks Aki to rescue a kidnapped girl.",[],Votoms Finder,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",,,
150,,装甲騎兵ボトムズ Case;IRVINE,Armored Trooper Votoms: Case; Irvine,['OVA'],1,Finished Airing,"Nov 6, 2010",,,"None found,","None found,",['Sunrise'],Original,,,49 min.,R - 17+ (violence & profanity),6.37,#7853,#10163,"3,368",3,1456,"Irvine Lester is an AT repairman. In order to make a living with his sister, he is secretly fighting in AT gambling matches and intentionally losing the games for money. But the other fighters find out about his excellent AT maneuvering skills and demand a real match.",[],Soukou Kihei Votoms: Case;Irvine,,,"['Drama', 'Sci-Fi']","['Mecha', 'Military']",,,
151,,고스트 메신저,,['OVA'],2,Finished Airing,"Dec 21, 2010 to Aug 19, 2014",,,"None found,","None found,",['Studio Animal'],Unknown,,,35 min. per ep.,PG-13 - Teens 13 or older,5.93,#10280,#11298,"2,407",0,184,"Ghost Messengers are super-power agents from the underground world called the World of Death. The World of Death is a digitalized world with cutting-edge technologies that control and manage the life and death of all living things based on its elaborate systems. Our Ghost Messenger hero, Kang-lim, has been dispatched to the human world to capture the remaining ghosts who are refusing to go to the World of Death although it is their time. An accident occurs during his mission and Kang-lim gets captured in his own mobile phone. Little Kang-lim, a human boy who has extraordinary spiritual powers, finds the mobile phone and takes GhostMessenger Kang-lim out from the mobile phone. And the adventure begins. (Source: Anime World Network)",[],Ghost Messenger,,,"['Action', 'Supernatural']",,,,
152,,姫ギャル♥パラダイス,,['OVA'],9,Finished Airing,"Dec 28, 2010 to Apr 3, 2012",,,"None found,","None found,",['SynergySP'],['Manga'],,['Crossdressing'],11 min. per ep.,PG - Children,6.05,#9673,#11884,"2,016",7,533,"Tachikawa Himeko is a plain high school girl. One day, a handsome boy Mikami Tochiotome starts to lodge at her house. He likes to dress in drag and his fashion awakes Himeko to sense of beauty.","['Adaptation (Manga) Hime Gal♥Paradise', '']",Hime Gal♥Paradise,,,,,['Shoujo'],,
153,Mayo Elle Otoko no Ko,迷elleオトコノ娘,,['OVA'],1,Finished Airing,"Nov 26, 2010",,,"None found,","None found,",['Actas'],Original,['Comedy'],,5 min.,PG-13 - Teens 13 or older,4.60,#13591,#12076,"1,907",0,392,"Located far from town, standing on a headland, is Ginga Private Academy. The school buildings are refined and graceful, and waterways wend through the grounds. It is a large facility with 600 students in primary, middle, and high school sections, all studying the performing arts. One spring, a certain boy transfers in...","['Adaptation (Manga) Mayo Elle Otokonoko', '']",Mayo Elle Otokonoko,,,,"['Crossdressing', 'School']",,,
154,Masked Rider Den-O: Imagin Anime 3,仮面ライダー電王: イマジンあにめ 3,,['OVA'],12,Finished Airing,"Oct 21, 2010",,,['animate Film'],"None found,","None found,",Other,,['Super Power'],4 min. per ep.,G - All Ages,6.19,#8866,#14378,967,1,342,"A third set of animated shorts featuring the popular Imagin characters from the Japanese live-action series ""Kamen Rider Den-O"".","['Prequel (OVA) Kamen Rider Den-O: Imagin Anime 2', '']",Kamen Rider Den-O: Imagin Anime 3,,,"['Action', 'Adventure', 'Comedy']",,['Kids'],,
155,Bleach: The Hell Chapter,劇場版 BLEACH 地獄篇,Bleach the Movie: Hell Verse,['Movie'],1,Finished Airing,"Dec 4, 2010",,,"None found,",['VIZ Media'],['Pierrot'],['Manga'],,,1 hr. 34 min.,PG-13 - Teens 13 or older,7.62,#1495,#1159,"225,159",510,128565,"When a soul has committed irredeemable sins, it is removed from the cycle of reincarnation monitored by the Soul Society, and the gates of Hell open to condemn the soul to eternal damnation. From this place from where no one has ever come back, three tormented souls who refer to themselves as Sinners of Hell burst in Karakura Town, where a ruthless fight involving them against the substitute Soul Reaper Ichigo Kurosaki and his friends ensues. In the aftermath of the fight, Ichigo's sisters are abducted, with the aforementioned group's leader Shuren hoping to lure Ichigo to be finally freed from the chains of Hell. Helped by a Sinner named Kokutou, Ichigo and his friends head to Hell for a rescue mission. However, the Soul Society opposes the journey, in fear of threatening the balance between worlds. As the lines between friends and foes get blurred, Ichigo will have to face his most challenging dilemma yet—a decision that may well engulf the three worlds into chaos. [Written by MAL Rewrite]","['Adaptation (One-shot) Bleach: The Unforgivens', '']",Bleach Movie 4: Jigoku-hen,Bleach Film 4: Hell Verse,Bleach Film 4: Hell Verse,"['Action', 'Adventure', 'Supernatural']",,['Shounen'],,
156,Mardock Scramble: Asshuku,マルドゥック・スクランブル 圧縮,Mardock Scramble: The First Compression,['Movie'],1,Finished Airing,"Oct 8, 2010",,,"['Aniplex', 'Starchild Records']",['Sentai Filmworks'],['GoHands'],Novel,,['Psychological'],1 hr. 9 min.,R+ - Mild Nudity,7.41,#2317,#2645,"75,483",185,29000,"Rune Balot is a down-and-out teen prostitute in Mardock City. One day, she's picked up by an ambitious casino manager named Shell who gives her everything she could want. Renewed by a false innocence, a false past, and now the false life Shell has given her, Balot feels grateful. However, she can't help but be curious about why he's done so much for her, so she does some research about his past on a computer. This turns out to be a mistake which will change her life greatly. When Shell finds out what she's done, he attempts to burn her to death by blowing up her car. Due to the high crime rate in Mardock, a new law called ""Scramble 09"" has given police carte blanche to take extreme and otherwise illegal measures to revive crime witnesses. With this in mind, they allow a professor to bring Balot back from the brink of death by reassembling her entire body with reinforced synthetic fiber. When she finally wakes up, her confused mental state eventually turns toward revenge as Shell is revealed as her killer. (Source: Nippon Cinema)","['Sequel (Movie) Mardock Scramble: The Second Combustion', 'Adaptation (Manga) Mardock Scramble']",Mardock Scramble: The First Compression,,,"['Action', 'Sci-Fi', 'Suspense']",,,Mardock Scramble: The First Compresion,
157,"Breaker Blade 4, Break Blade 4: Area of Disaster",ブレイク ブレイド 第四章 惨禍ノ地,Broken Blade 4,['Movie'],1,Finished Airing,"Oct 30, 2010",,,['KlockWorx'],['Sentai Filmworks'],"['Production I.G', 'Xebec']",['Manga'],,,49 min.,R - 17+ (violence & profanity),7.81,#1016,#3042,"58,907",31,35427,Fourth Break Blade Movie.,"['Prequel (Movie) Break Blade Movie 3: Kyoujin no Ato', 'Sequel (Movie) Break Blade Movie 5: Shisen no Hate', 'Adaptation (Manga) Break Blade', '']",Break Blade Movie 4: Sanka no Chi,,,"['Action', 'Fantasy']","['Adult Cast', 'Mecha', 'Military']",['Shounen'],,
158,"Gekijouban Inazuma Eleven: Saikyou Gundan Ogre Shuurai, Inazuma Eleven the Movie",劇場版イナズマイレブン 最強軍団オーガ襲来,,['Movie'],1,Finished Airing,"Dec 23, 2010",,,['Dentsu Tec'],"None found,",['OLM'],Game,['Sports'],,1 hr. 30 min.,G - All Ages,7.40,#2368,#3974,"35,496",71,21526,"An organization in the future sends the specially trained Team Ogre to defeat Endou Mamoru and his team, to prevent him from influencing the world with his soccer. (Source: AniDB)",[],Inazuma Eleven: Saikyou Gundan Ogre Shuurai,,Inazuma Eleven Le film: Tous Unis Contre L'Équipe Ultime Ogre!,,"['Super Power', 'Team Sports']",,,
159,"Omae Umasou da na, You Are Umasou",おまえうまそうだな,Heart and Yummie,['Movie'],1,Finished Airing,"Oct 16, 2010",,,"['TMS Entertainment', 'MediaNet', 'Kids Station', 'Happinet Pictures', 'Tokyo Theatres']",['Discotek Media'],['Ajia-do'],Picture book,,,1 hr. 30 min.,G - All Ages,8.02,#637,#4999,"21,456",191,8945,"By a twist of fate, a herbivorous dinosaur finds a lost egg and brings it back to her nest. When the egg hatches, however, a carnivorous dinosaur emerges. Unable to abandon the child, she names him ""Heart"" and raises him in exile alongside her own child. As Heart comes of age, he struggles to eat the same food as his family and runs away in disgrace when he learns that he cannot live properly without meat. Years later, the now feared predator Heart encounters a situation similar to his past—he spots a dinosaur egg opposite his kind. As it emerges, Heart remarks that the newborn is delicious-looking. The newborn herbivore thinks that Heart is his father and takes delicious-looking, or ""Umasou,"" as his name. Unable to eat a newborn who loves him, Heart reluctantly decides to raise Umasou as his own. As he nurtures a forbidden child like his mother before him, Heart struggles to deal with an unforgiving world and the true natures of predator and prey. [Written by MAL Rewrite]",[],Omae Umasou da na,,,"['Action', 'Adventure', 'Fantasy']","['Anthropomorphic', 'Childcare']",['Kids'],,
160,Fafner in the Azure: Dead Aggressor - Heaven and Earth,蒼穹のファフナー Dead Aggressor HEAVEN AND EARTH,Fafner: Heaven and Earth,['Movie'],1,Finished Airing,"Dec 25, 2010",,,"['Production I.G', 'Movic', 'KlockWorx', 'King Records']",['Funimation'],['Xebec'],Original,,,1 hr. 32 min.,PG-13 - Teens 13 or older,7.36,#2533,#5663,"15,489",45,6040,"The year is 2148. Two years after the end of the original Fafner in the Azure TV series, Tatsumiya Island and its surviving residents have returned to some semblance of recovery. However, things have become desperate for our hero, Kazuki; nearly blind now, and partially crippled from his battles with the Festum two years earlier, he clings to the promise his fallen friend Soushi made to him to return to the island and set things right again. Kazuki's hopes flare when a lifeform is detected within an unmanned submarine that comes floating into Tatsumiya Bay one night, but the person aboard isn't Soushi; it is a mysterious ""boy"" named Misao Kurusu who may not be entirely human, and who claims to have been sent by Sōshi. With Misao's arrival, hostilities break out anew between the Human Army and the Festum, and the Fafner pilots are thrown into the most desperate battle of their lives - this time, with the fate of TWO races riding on their shoulders. (Source: Wikipedia)","['Prequel (TV) Soukyuu no Fafner: Dead Aggressor', 'Sequel (TV) Soukyuu no Fafner: Dead Aggressor - Exodus']",Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",,,
161,"Heartcatch Precure! Hana no To de Fashion Show... desuka!?, Heart Catch Pretty Cure! The Movie: Fashion Show in Paris!",映画 ハートキャッチプリキュア！花の都でファッションショー・・・ですか！？,,['Movie'],1,Finished Airing,"Oct 30, 2010",,,"None found,","None found,",['Toei Animation'],Original,,['Mahou Shoujo'],1 hr. 13 min.,G - All Ages,7.63,#1490,#7232,"8,515",14,4426,"Sakura Kurumi, Erika's mother, is preparing for a fashion show in Paris. The girls of the school's fashion club are going to model there, including some high school students. While in Paris, they meet a mysterious boy named Oliver. However, Baron Salamander of the Desert Apostles appears, and the girls transform into Pretty Cures to defend Paris.",[],Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,,,,,,,
162,,パン種とタマゴ姫,Mr. Dough and the Egg Princess,['Movie'],1,Finished Airing,"Nov 20, 2010",,,"None found,","None found,",['Studio Ghibli'],Original,,,11 min.,PG-13 - Teens 13 or older,6.89,#4901,#8287,"6,044",6,2202,"In a lonesome water mill deep in a forest of briers and brambles lives a witch named Baba Yaga. There the witch keeps her servant the Egg Princess confined and forces the tiny egg-girl to do all the hard daily chores around the mill. One night, a large batch of kneaded dough resting in a trough suddenly comes to life from the witch's spell. Fearful of the witch, the Egg Princess and her new friend decide to run away. What will lay ahead for the two of them...? (Source: Official Website)",[],Pandane to Tamago-hime,,,"['Adventure', 'Fantasy']",,,,
163,,DEVA ZAN,,['Movie'],1,Finished Airing,"Dec 21, 2010",,,['Studio Deva Loka'],"None found,","None found,",Original,,,1 min.,PG-13 - Teens 13 or older,4.83,#13395,#11227,"2,455",1,525,"The Divine Warriors were defeated by the Darkness and vanished far into the space-time. In the world in chaos, a samurai ZAN realizes his mission and travels beyond the space-time to gather the scattered warriors. In order to beat the corps of the Darkness, ZAN tries to acquire the Dark Power... Note: While a minute long trailer was released, the feature length film was never produced.",[],Deva Zan,,,"['Action', 'Fantasy']",,,,
164,,チェブラーシカ,,['Movie'],1,Finished Airing,"Dec 18, 2010",,,"None found,","None found,",['Comma Studio'],Book,['Comedy'],,1 hr. 20 min.,G - All Ages,7.22,#3244,#12218,"1,810",5,676,The stop-motion animated film based on Russia's Cheburashka character.,[],Cheburashka,Cheburashka und seine Freunde,Cheburashka & Ses Amis,,,,,
165,,Wake up!! TAMALA,,['Movie'],1,Finished Airing,"Oct 11, 2010",,,"None found,","None found,","None found,",Unknown,['Fantasy'],['Psychological'],17 min.,G - All Ages,5.44,#12296,#13070,"1,383",1,580,"In 2050, the world's climate has changed for the worse. One rainy day, Tamala saves a honeybee named Kuronosuke from drowning in a gutter. As the last bee of the cat world, he invites Tamala on a magical journey back in time—back to our near future. With Tamala's era quickly approaching, civilization has begun to waste and destroy the nature that lie around them. Roving around a land where all other animals are extinct, she finally begins to starve.. Until Kuronosuke offers himself as food. (Source: Official site, edited)",[],Wake up!! Tamala,,,,,,,
166,Straight into the Universe,宇宙一直線,,['Movie'],1,Finished Airing,"Oct 5, 2010",,,['KAGAYA Studio'],"None found,","None found,",Unknown,,,27 min.,G - All Ages,6.01,#9874,#14685,896,5,123,"Can you share the yearning for space? An astronomy boy has grown up into an artist painting the universe, the world of Greek myths including the zodiac, and a variety of scenes with starry sky. The fulldome screen projects his fantastic CG movies. You will also see a live-action movie of the total solar eclipse in 2003 which was observed for the first time in human history in Antarctica. Receive a message from the artist, KAGAYA: ""Enjoy science and art."" ""Chase your dreams!"" (Source: KAGAYA Studio)",[],Uchuu Icchokusen,,,"['Fantasy', 'Mystery', 'Sci-Fi']","['Space', 'Visual Arts']",,,
167,Gekijouban 3D Atashin'chi Jounetsu no Chou Chounouryoku Haha Dai Bousou,劇場版3D あたしンち 情熱のちょ～超能力♪母大暴走!,,['Movie'],1,Finished Airing,"Nov 13, 2010",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,['Comedy'],['Super Power'],40 min.,G - All Ages,6.40,#7705,#14761,876,2,311,"A 3D theatrical anime adaptation. Mother is having a very lucky day but gets struck by lightening on her way home from shopping. From it she gains telekinesis and uses it to level up her housewife skills. Eventually she branches out into being a vigilante when her family gets tired of her powers. But while fulfilling her desire to be a cool super powered woman, she neglects her family duties. During a fight she accidentally hurts Mikan and starts to have a break down, which puts her powers out of control and threatens the safety of everyone in the whole apartment building.","[""Adaptation (Manga) Atashin'chi"", '']",Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,,,,,,,
168,,魔法使いハーレイのスピードストーリー,,['Movie'],1,Finished Airing,"Nov 6, 2010",,,['Trash Studio'],"None found,",['Nippon Animation'],Unknown,['Fantasy'],,22 min.,G - All Ages,6.24,#8613,#15536,698,1,111,"A scientific animation and the second project of Anime Innovation Tokyo, THINK Corporation and Tokyo Metropolitan Government's investment initiative to sponsor animation works by independant animators or small studios What would be your guess of the world's fastest moving transport? Haley is a student at the school of wizardry, doing nothing but racing with his friends on flying broomsticks. One day, Haley's teacher unveils one of his latest inventions - magic goggles that measure the speed of moving objects, simply by wearing them. He has Haley and his friends use these goggles and compete against each other to decide who will measure the fastest speed of any surrounding animal. Peter, frustrated after losing against Haley, challenges him to another match and the two head toward the human world, taking with them an advanced magic broomstick their teacher had developed. Although this broomstick was incomplete, Haley and Peter succeed in flying around the human world to discover the fastest moving object. Now, what do you suppose this could be...?! (Source: AniDB)",[],Mahoutsukai Haley no Speed Story,,,,,['Kids'],,
169,The Bears' School,くまのがっこう ～ジャッキーとケイティ～,,['Movie'],1,Finished Airing,"Dec 18, 2010",,,['TOHO'],"None found,","None found,",Picture book,['Comedy'],,27 min.,None,[],#19658,#17094,493,0,,The story follows 12 bear cubs living in a dormitory on the top of a mountain. (Source: AniDB),"['Sequel (Movie) Kuma no Gakkou: Patissier Jackie to Ohisama no Sweets', '']",Kuma no Gakkou: Jackie to Katie,,,,,['Kids'],,
170,,紙兎ロペ２,Paper Rabbit Rope 2,['Movie'],12,Finished Airing,Nov 2010 to Dec 2011,,,"None found,","None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#19284,#17131,492,0,,The sequel to Kamiusagi Rope; it also aired in between commercials at theaters.,"['Prequel (Movie) Kamiusagi Rope', 'Sequel (Movie) Kamiusagi Rope 3']",Kamiusagi Rope 2,,,"['Comedy', 'Slice of Life']",,,,
171,3D Picture Book,とびだす絵本3D,,['Movie'],1,Finished Airing,"Oct 23, 2010",,,"None found,","None found,",['Kachidoki Studio'],Unknown,,,31 min.,PG - Children,[],#14930,#20684,248,0,,"A film encompassing five short stories, presented in an animated 3D method.",[],Tobidasu Ehon 3D,,,,,['Kids'],,
172,,BEACH,Beach,['Movie'],1,Finished Airing,"Oct 15, 2010",,,"None found,","None found,","None found,",Original,['Avant Garde'],,5 min.,PG-13 - Teens 13 or older,[],#16892,#22655,149,0,,"This animation was based on a scene I dreamt, where white smoke was rising from a bed. I was influenced by one of Zhuangzi’s thought, The butterfly dream, and visualized the contrast between dream and reality. While I was creating this piece, I was never aware of whom the man sleeping in the movie was, but somehow, he ended up looking just like my grandfather. (Source: Official Website)",[],Beach,,,,,,,
173,,それいけ！アンパンマン～星の色と空の色～,,['Movie'],1,Finished Airing,"Dec 11, 2010",,,"None found,","None found,","None found,",Picture book,,['Space'],26 min.,PG - Children,[],#14524,#22805,143,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Hoshi no Iro to Sora no Iro,,,"['Comedy', 'Fantasy', 'Sci-Fi']",,['Kids'],,
174,,反斗高比玩转圣诞城3D,Little Gobie,['Movie'],1,Finished Airing,"Dec 11, 2010",,,"None found,","None found,","None found,",Original,,,1 hr. 27 min.,PG - Children,[],#17918,#23849,115,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fan Dou Gao Bi Wan Zhuan Sheng Dan Cheng 3D,,,,,['Kids'],,
175,"A New Journey To the West, 西游新传: 大电影",西游新传,,['Movie'],1,Finished Airing,"Nov 6, 2010",,,"None found,","None found,","None found,",Novel,,['Anthropomorphic'],1 hr. 18 min.,PG - Children,[],#15939,#24903,97,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiyou Xin Chuan,,,"['Adventure', 'Fantasy']",,['Kids'],,
176,"Angel Beats!: Stairway to Heaven, Angel Beats!: Hell's Kitchen",エンジェルビーツ,,['Special'],2,Finished Airing,"Dec 22, 2010 to Jun 24, 2015",,,"['Aniplex', 'Visual Arts']",['Sentai Filmworks'],['P.A. Works'],Original,,['School'],27 min. per ep.,PG-13 - Teens 13 or older,7.55,#1755,#931,"277,246",322,162375,"As the Shinda Sekai Sensen (SSS) continue their vindictive rebellion against God, their leader, Yuri Nakamura, comes up with an ingenious plan to escape the afterlife. Her subordinates prepare to carry out ""Operation High Tension Syndrome"" to deceive Kanade Tachibana, student council president and alleged associate of God, into thinking that they are ready to pass on. With a week's worth of food on the line and with Heaven as the ultimate prize, will the SSS members be able to fool the inscrutable Kanade? [Written by MAL Rewrite]",[],Angel Beats! Specials,,,"['Comedy', 'Fantasy']",,,,
177,,エンジェルビーツ! アナザーエピローグ,,['Special'],1,Finished Airing,"Dec 22, 2010",,,"['Aniplex', 'Visual Arts']","None found,",['P.A. Works'],Original,['Fantasy'],['School'],2 min.,PG-13 - Teens 13 or older,7.45,#2164,#1045,"247,377",237,146493,"Disillusioned with the afterlife, a new student causes a scene during a classroom test and expresses his doubts about whether getting good grades can really lead to escaping the school and ascending to Heaven. Afterwards, he is confronted by the new student council president—a familiar face whose past experiences give him powerful insight into the true nature of the school and first-hand knowledge regarding the futility of rebellion. [Written by MAL Rewrite]",[],Angel Beats! Another Epilogue,,,,,,,
178,"Ciel in Wonderland, Welcome to the Phantomhive Family",黒執事II: シエル・イン・ワンダーランド,Black Butler II Specials,['Special'],6,Finished Airing,"Oct 27, 2010 to May 25, 2011",,,['Square Enix'],['Funimation'],['A-1 Pictures'],['Manga'],,['Parody'],25 min. per ep.,PG-13 - Teens 13 or older,7.39,#2391,#1827,"130,010",363,66119,"According to the Kuroshitsuji website, there are 6 OVAs included in the DVD releases. DVD 2: Ciel in Wonderland (Part 1) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 3: Welcome to the Phantomhive's This is meant to be like a simulation game. Elizabeth invites a lady (perhaps the viewer) to join her at a ball held at the Phantomhive mansion. DVD 5: The Making of Kuroshitsuji II This is a Hollywood style documentary with behind the scenes interviews with Sebastian, Ciel, Claude and Alois etc. DVD 6: Ciel in Wonderland (Part 2) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 8: The Tale of William the Shinigami William and Grell have to train new shinigami and reminisce about when they were training partners. DVD 9: The Spider's Intention The life in Trancy household and how those work under Alois is caring for him.",[],Kuroshitsuji II Specials,,,"['Comedy', 'Supernatural']",,['Shounen'],,
179,"Mo Hitotsu Omake no Daimaou, Another Extra Daimaou",いちばんうしろの大魔王,Demon King Daimao Specials,['Special'],6,Finished Airing,"Jun 25, 2010 to Nov 25, 2010",,,"['Marvelous Entertainment', 'Hobby Japan']","None found,",['Artland'],['Light novel'],,,3 min. per ep.,R+ - Mild Nudity,6.65,#6196,#3199,"53,432",25,26698,DVD/BD specials of Ichiban Ushiro no Daimaou.,"['Adaptation (Manga) Ichiban Ushiro no Daimaou', 'Adaptation (Light Novel) Ichiban Ushiro no Daimaou']",Ichiban Ushiro no Daimaou Specials,,,"['Comedy', 'Fantasy', 'Ecchi']",,,,
180,"Gintama: Shinyaku Benizakura-hen OVA, Gintama: Benizakura Arc - A New Retelling Special, Gintama Movie: Crimson Sakura Chapter New Edition, Gintama: Shin-yaku Benizakura-hen",銀魂 新訳紅桜篇,,['Special'],1,Finished Airing,"Dec 15, 2010",,,"None found,","None found,",['Sunrise'],['Manga'],,,11 min.,PG-13 - Teens 13 or older,8.28,#301,#3505,"45,462",53,20157,"It's the running gag of Ben Johnson episode where animation staff reuse the New Years footage; Yorozuya would sit around the kotatsu eating a bowl of tangerines. They discuss elaborate subjects, Shinpachi complains about reusing animation footage, and then Gin-chan always ending the gag with a pointless announcement.",[],Gintama: Shinyaku Benizakura-hen,,,"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Parody', 'Samurai']",['Shounen'],,
181,"Beelzebub Jump Super Anime Tour Special, Beelzebub: Jump Festa 2010 Special",べるぜバブ 拾った赤ちゃんは大魔王!?,,['Special'],1,Finished Airing,"Oct 23, 2010",,,"['Pierrot', 'Shueisha']","None found,",['Pierrot Plus'],['Manga'],,,30 min.,PG-13 - Teens 13 or older,7.28,#2917,#3788,"39,410",46,18250,"The delinquents of Ishiyama High School either fear Tatsumi Oga or wish to defeat him, but the young fighter finds himself preoccupied with other matters—like tending to baby Kaiser de Emperana ""Beel"" Beelzebub IV, the son of the Demon Lord. Baby Beel's maid, Hildegard ""Hilda,"" informs Oga that the infant has latched onto him due to the former's immense strength. In turn, Oga must take responsibility and raise the Demon Lord's son, or face Hilda's blade—that is, unless he can find someone stronger than him to appeal to Beel. Perhaps Oga can convince one of the Tohoshinki, composed of the four strongest fighters of Ishiyama High, to take Beel off his hands! [Written by MAL Rewrite]","['Adaptation (Manga) Beelzebub', '']",Beelzebub: Hirotta Akachan wa Daimaou!?,,,"['Action', 'Comedy', 'Supernatural']","['Childcare', 'Delinquents', 'Mythology', 'School']",['Shounen'],,
182,"MM! Hidden Cam, MM! SS!, MM! Group, Emu Emu!",えむえむっ! えすえすっ！,MM! Hidden Camera Shorts,['Special'],9,Finished Airing,"Dec 22, 2010 to May 25, 2011",,,"None found,","None found,",['Xebec'],['Light novel'],,['School'],1 min. per ep.,R+ - Mild Nudity,6.59,#6555,#4045,"34,269",14,16473,"The six Blu-ray Disc/DVD volumes for the MM! television anime series will each include one or two new, ""somewhat extreme"" anime short stories.",[],MM! Specials,,,"['Comedy', 'Ecchi']",,,,
183,"Yojo-Han Shinwa Taikei, Yojou-Han Shinwa Taikei, Yojohan Shinwa Taikei",四畳半神話大系,The Tatami Galaxy Specials,['Special'],3,Finished Airing,"Aug 20, 2010 to Nov 26, 2010",,,"None found,","None found,",['Madhouse'],Novel,['Comedy'],['Adult Cast'],6 min. per ep.,PG-13 - Teens 13 or older,6.33,#8113,#4389,"28,927",18,13130,"A college student and his friends—Seitarou Higuchi, Akashi, Ozu, and Ryouko Hanuki—share various stories about a submarine that can travel through land, each one trying to outdo the others in terms of creativity. Ranging from a journey to stop the melting of the ice caps, to a quest to stop perverts from spying on girls, and to a fishing trip, no topic is off-limits. [Written by MAL Rewrite]",[],Yojouhan Shinwa Taikei Specials,,The Tatami Galaxy: 3 Mini Épisodes Spéciaux,,,,,
184,"Hyakka Ryouran ~Otome Ureshi Hazukashi Shoshi no Chigiri~, Hyakka Ryouran: Samurai Girls OVA",百花繚乱 サムライガールズ 〜乙女♥嬉し恥ずかし将士の契り〜,,['Special'],6,Finished Airing,"Nov 25, 2010 to Apr 27, 2011",,,['Hobby Japan'],['Sentai Filmworks'],['Arms'],['Light novel'],['Ecchi'],,3 min. per ep.,R+ - Mild Nudity,6.61,#6463,#4621,"25,808",13,11856,Special episodes added to DVDs and Blu-rays.,[],Hyakka Ryouran: Samurai Girls Specials,,Samurai Girls: 6 Mini-OAV,,,,,
185,"Ore no Imouto ga Konnani Kawaii Wake ga Nai Animated Commentary, My Little Sister Can't Be This Cute Specials Animated Commentary",俺の妹がこんなに可愛いわけがない SDキャラによるキャラクターコメンタリー,Oreimo Animated Commentary,['Special'],16,Finished Airing,"Dec 22, 2010 to Jul 27, 2011",,,['Aniplex'],"None found,",['I was a Ballerina'],['Light novel'],['Comedy'],,13 min. per ep.,PG-13 - Teens 13 or older,6.73,#5704,#4833,"23,168",28,8409,Special episodes from the BD/DVDs.,[],Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,,,,,,,
186,"Densetsu no Yuusha no Densetsu Recap, Densetsu no Yuusha no Densetsu Episode 15.5, Legend of the Lengendary Heroes Episode 15.5",伝説の勇者の伝説 いりす・れぽ～と,The Legend of the Legendary Heroes: Iris Report,['TV Special'],1,Finished Airing,"Oct 14, 2010",,,['Kadokawa Contents Gate'],['Funimation'],['Zexcs'],['Light novel'],,['Military'],23 min.,R - 17+ (violence & profanity),6.53,#6882,#5091,"20,489",22,9541,Recap episode. Includes re-edited footage from episode 1 up to episode 15. Iris is narrating along with Sion.,[],Densetsu no Yuusha no Densetsu: Iris Report,,,"['Action', 'Adventure', 'Fantasy']",,,,
