,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,Genre,Demographics
10,聖剣使いの禁呪詠唱〈ワールドブレイク〉,World Break: Aria of Curse for a Holy Swordsman,World Break: Aria of Curse for a Holy Swordman,,,['TV'],12,Finished Airing,"Jan 12, 2015 to Mar 30, 2015",['Winter 2015'],Mondays at 01:05 (JST),['Sotsu'],['Funimation'],['Diomedéa'],['Light novel'],"['Action', 'Fantasy', 'Romance']",,,24 min. per ep.,R - 17+ (violence & profanity),6.75,#5623,#794,"323,752",891,164570,"Seiken Tsukai no World Break takes place at Akane Private Academy where students who possess memories of their previous lives are being trained to use Ancestral Arts so that they can serve as defenders against monsters, called Metaphysicals, who randomly attack. Known as saviors, the students are broken up into two categories: the kurogane who are able to use their prana to summon offensive weapons and the kuroma who are able to use magic. The story begins six months prior to the major climax of the series during the opening ceremonies on the first day of the school year. After the ceremony is over, the main character, Moroha Haimura, meets a girl named Satsuki Ranjou who reveals that she was Moroha's little sister in a past life where Moroha was a heroic prince capable of slaying entire armies with his sword skills. Soon afterwards he meets another girl, Shizuno Urushibara, who eventually reveals that she also knew Moroha in an entirely different past life where he was a dark lord capable of using destructive magic but saved her from a life of slavery. Can those whose minds live in both the present and the past truly reach a bright future? Delve into the complex world of Seiken Tsukai no World Break to find out!","['Adaptation (Manga) Seiken Tsukai no World Break', 'Adaptation (Light Novel) Seiken Tsukai no World Break']",Seiken Tsukai no World Break,"['Harem', 'Reincarnation', 'School', 'Urban Fantasy']","Seiken Tsukai no Kinshuu Eishou, Warubure",,
11,アルドノア・ゼロ（第2クール）,Aldnoah.Zero,Aldnoah.Zero Saison 2,Aldnoah.Zero Temporada 2,Aldnoah.Zero Saison 2,['TV'],12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",['Winter 2015'],Sundays at 00:00 (JST),"['Aniplex', 'Movic', 'Nitroplus', 'Houbunsha', 'MAGES.', 'Tokyo MX', 'Asahi Broadcasting', 'BS11']",['Aniplex of America'],"['A-1 Pictures', 'TROYCA']",Original,"['Action', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),6.91,#4793,#809,"317,470",755,195769,"The war between the Terrans and the Vers Empire of Mars has ended, allowing humanity to blissfully enjoy their lives in a time of peace. Nineteen months later, however, the Vers princess makes a shocking public declaration: ""the Terrans are a foolish race that covets resources, destroys nature, and are devoted to the pursuit of pleasure."" And so, to protect their precious Earth, she calls upon her knights to take up arms, and the raging battle between the two civilizations reignites. Slaine Troyard has found a place among the Martians, giving Earth a short respite from the war against the Vers Empire. However, a peaceful resolution seems inconceivable. The various people who fought desperately for survival in the past now find themselves in the midst of yet another bloody and chaotic conflict, one that will forever alter the fate of humankind. [Written by MAL Rewrite]","['Prequel (TV) Aldnoah.Zero', 'Adaptation (Manga) Aldnoah.Zero 2nd Season']",Aldnoah.Zero Part 2,"['Mecha', 'Space']",Aldnoah.Zero 2nd Season,,
12,艦隊これくしょん -艦これ-,KanColle,KanColle: Fleet Girls Collection,KanColle,KanColle,['TV'],12,Finished Airing,"Jan 8, 2015 to Mar 26, 2015",['Winter 2015'],Thursdays at 01:05 (JST),"['Movic', 'KlockWorx', 'flying DOG', 'DMM.com', 'Kadokawa Media House', 'Kadokawa']","['Funimation', 'Crunchyroll']",['Diomedéa'],Game,"['Action', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.82,#5210,#1173,"222,355","1,340",93276,"With the seas under constant threat from the hostile ""Abyssal Fleet,"" a specialized naval base is established to counter them. Rather than standard naval weaponry, however, the base is armed with ""Kanmusu""—girls who harbor the spirits of Japanese warships—possessing the ability to don weaponized gear that allows them to harness the powerful souls within themselves. Fubuki, a young Destroyer-type Kanmusu, joins the base as a new recruit; unfortunately for her, despite her inexperience and timid nature, she is assigned to the famous Third Torpedo Squadron and quickly thrust into the heat of battle. When she is rescued from near annihilation, the rookie warship resolves to become as strong as the one who saved her. [Written by MAL Rewrite]","['Sequel (Movie) KanColle Movie', 'Sequel (TV) KanColle: Itsuka Ano Umi de']",Kantai Collection: KanColle,"['Anthropomorphic', 'Military', 'School']","Kankore, Kantai Collection",,
13,銃皇無尽のファフニール,Unlimited Fafnir,Unlimited Fafnir,Mujin Fafnir,Unlimited Fafnir,['TV'],12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015",['Winter 2015'],Fridays at 02:16 (JST),"['TBS', 'Kodansha', 'DAX Production', 'Nippon Columbia', 'Daiichikosho', 'RAY', 'Nichion', 'NichiNare']","None found,",['Diomedéa'],['Light novel'],"['Action', 'Fantasy', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.16,#9036,#1551,"161,936",175,75576,"Midgar, all-girl academy, would have been notable just for the action of accepting its first and only male student, Yuu Mononobe. But Midgar stands out for much more than that: it's a school exclusive to a group of girls known as D's. Each of them have extremely powerful abilities in generating dark matter and manipulating it into powerful weaponry. The D's didn't exist twenty-five years ago, and only appeared after a number of mysterious, destructive monsters known as ""Dragons"" started appearing around the world. Strangely, just as suddenly as they appeared, they vanished. In their destructive wake, some girls started being born with symbols on their bodies and powers similar in nature to those wielded by the Dragons themselves. Now the D's attend this school, hoping to harness and utilize their powers against the Dragons. Yuu is their latest member and is extraordinary for being the only known male D in existence. Now he must forge relationships with the girls around him, including his long separated sister who attends the school as well, and work with them to investigate and eliminate the threat of the powerful Dragons.","['Adaptation (Manga) Juuou Mujin no Fafnir', 'Adaptation (Light Novel) Juuou Mujin no Fafnir']",Juuou Mujin no Fafnir,"['Harem', 'School']",,,
14,純潔のマリア,Maria the Virgin Witch,Maria the Virgin Witch,,,['TV'],12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",['Winter 2015'],Sundays at 22:30 (JST),"['Bandai Visual', 'Lantis', 'Kodansha', 'I Will']",['Funimation'],['Production I.G'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",['Historical'],['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.10,#3903,#1584,"158,394",253,66658,"Maria is a powerful young witch living with her two familiars in medieval France during the Hundred Years' War against England. As the war rages on and the innocent get caught in its destruction, Maria becomes fed up with the situation and begins using her magic to try and prevent further conflict in hopes of maintaining peace. However, her constant intervention soon attracts the attention of the heavens, and the archangel Michael is sent to keep her from meddling in human affairs. The divine being confronts Maria, and he forbids her from using her powers, issuing a decree that her magic will be taken if she loses her virginity. Though she is now labeled a heretic, Maria adamantly refuses to heed Michael's warning and continues to disrupt the war between the two nations. But as the Church begins plotting to take away the witch's power and put a stop to Maria's interference once and for all, her peacemaking may soon come to an end. [Written by MAL Rewrite]","['Adaptation (Manga) Junketsu no Maria', '']",Junketsu no Maria,,"Junketsu no Maria: Sorcière de gré, pucelle de force",,
15,ISUCA [イスカ],Isuca,,,,['TV'],10,Finished Airing,"Jan 24, 2015 to Mar 28, 2015",['Winter 2015'],Saturdays at 01:35 (JST),"['Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx', 'MAGES.']",['Discotek Media'],['Arms'],['Manga'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,5.96,#10112,#1621,"153,169",101,69428,"Poor Shinichirou Asano has the worst of luck. His parents abandoned him and ran off to Europe. If that isn't bad enough on its own, they barely left him any money to take care of himself. In order to pay rent and keep a roof over his head, he has to work. Unfortunately, he was just fired from his last job and as a high school student, he doesn't have many other prospects. One evening, he's attacked by a centipede monster on his way home. Shinichirou is saved by a mysterious girl with a bow and arrow, who he later discovers is Sakuya Shimazu, a beautiful student who attends his school. But when he later helps an injured girl, he discovers two things. First, the injured girl isn't human at all but rather a nekomata, a two-tailed demon cat. And second, Sakuya comes from a family of exorcists, who've protected humanity from rogue monsters and spirits for generations. Because Shinichirou was responsible for releasing the nekomata, Sakuya enlists his help in recapturing the demon, but that's just the beginning of Shinichirou's relationship with Sakuya. It turns out the Shimazu family needs a housekeeper and it just so happens that Shinichirou excels at cooking and likes to clean! It may not be his dream job, but if it pays the rent and puts food on the table...","['Sequel (OVA) Isuca: Gokuraku', 'Adaptation (Manga) Isuca']",Isuca,"['Harem', 'Mythology', 'School']",Isuka,,
16,ユリ熊嵐,Yurikuma Arashi,,,,['TV'],12,Finished Airing,"Jan 6, 2015 to Mar 31, 2015",['Winter 2015'],Tuesdays at 00:30 (JST),"['Frontier Works', 'Media Factory', 'Mainichi Broadcasting System', 'Movic', 'Gentosha Comics']",['Funimation'],['SILVER LINK.'],Original,"['Avant Garde', 'Drama', 'Fantasy', 'Girls Love', 'Ecchi']",,,24 min. per ep.,R - 17+ (violence & profanity),7.03,#4256,#2131,"105,808",766,35617,"In the past, humanoid bears coexisted with humans. However, a meteor shower that fell onto Earth had a strange effect on bears throughout the world: they suddenly became violent and hungry for human flesh, spurring an endless cycle of bloodshed in which bear ate man and man shot bear, forgetting the lively relationship they once had. The ""Wall of Severance"" was thus built, separating the two civilizations and keeping peace. Kureha Tsubaki and Sumika Izumino are two lovers attending Arashigaoka Academy, who, upon the arrival of two bears that have sneaked through the Wall of Severance and infiltrated the academy, find their relationship under a grave threat. The hungering yet affectionate bears, Ginko Yurishiro and Lulu Yurigasaki, seem to see the bear-hating Kureha as more than just another meal, and in getting closer to her, trigger an unraveling of secrets that Kureha may not be able to bear. When their relationships provoke the Invisible Storm, a group that keeps order within the ideological school, the girls must stand on trial with their love, embarking on a journey of self-discovery en route to attaining true love's ""promised kiss."" [Written by MAL Rewrite]","['Adaptation (Manga) Yuri Kuma Arashi', 'Adaptation (Light Novel) Yuri Kuma Arashi']",Yuri Kuma Arashi,"['Anthropomorphic', 'Psychological', 'School']","Yuri Bear Storm, Love Bullet: Yurikuma Arashi",,
17,ローリング☆ガールズ,The Rolling Girls,The Rolling Girls,The Rolling Girls,The Rolling Girls,['TV'],12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",['Winter 2015'],Sundays at 01:58 (JST),"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic']",['Funimation'],['Wit Studio'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.58,#6585,#2335,"92,114",215,28718,"In a dystopian future where Japan's political organization has crumbled after the Great Tokyo War, Japan is broken up into 10 independent nations, with each nation controlled by a gang led by a ""Best,"" a human-proclaimed prophet with destructive superpowers. Nozomi Moritomo is a ""Rest""—a normal girl that has just started out as a rookie in the local gang. She wants to help the Best Masami Utoku, her childhood friend and role model, in the ongoing territorial dispute. When Masami becomes severely injured and unable to fight, Nozomi decides to go on a mission to complete the requests sent to Masami from all over Japan. Along the way, she meets Yukina Kosaka, a shy girl with no sense of direction; Ai Hibiki, an upbeat girl who loves eating; and Chiaya Misono, a quiet and mysterious girl that wears a gas mask. Together, the four girls travel all over the country on their motorcycles while getting involved in territorial wars, disagreements, and even suspicious conspiracies. [Written by MAL Rewrite]","['Adaptation (Manga) Rolling☆Girls', '']",Rolling☆Girls,"['CGDCT', 'Super Power']",,,
18,美男高校地球防衛部LOVE!,Cute High Earth Defense Club LOVE!,Cute High Earth Defense Club LOVE!,Cute High Earth Defense Club LOVE!: Binan Koukou Chikyuu Bouei-bu LOVE!,Binan Kôkô Chikyû Bôei-bu Love!,['TV'],12,Finished Airing,"Jan 7, 2015 to Mar 25, 2015",['Winter 2015'],Wednesdays at 01:40 (JST),"['Sotsu', 'Pony Canyon']",['Ponycan USA'],['Diomedéa'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.82,#5245,#2462,"84,881",530,34229,"Why should girls get to have all the fun? These magical boys are here to save the world from the loveless... at least that's what the pink wombat who gives them their magical powers wants them to do. In Binan Koukou Chikyuu Bouei-bu Love!, the main characters are the members of the ""Earth Defense Club"" at the Binan High School, though all they really want to do is hang out, goof off, and relax at the nearby Kurotama Bath. One fateful day, though, a pink wombat appears out of nowhere and forces these five high school students to become ""Battle Lovers"" and protect Earth from a trio of villains who are taking orders from a green hedgehog. Over the course of the series, the Battle Lovers will take on a variety of fiends, including the chikuwabu monster, a chopstick phantom, a monster remote control, and plenty more strange enemies! Will the heirs to the throne of love be able to protect Earth from those who want to destroy love? Or will the Earth Conquest Club fill the world with hate?","['Sequel (TV) Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!', 'Adaptation (Light Novel) Binan Koukou Chikyuu Bouei-bu Love! Novel!']",Binan Koukou Chikyuu Bouei-bu LOVE!,"['Parody', 'School']",,['Comedy'],
19,幸腹グラフィティ,Gourmet Girl Graffiti,Gourmet Girl Graffiti,Gourmet Girl Graffiti,Gourmet Girl Graffiti,['TV'],12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015",['Winter 2015'],Fridays at 01:46 (JST),"['TBS', 'Movic', 'flying DOG', 'Sony Music Communications', 'Houbunsha', 'Kadokawa']",['Sentai Filmworks'],['Shaft'],['4-koma manga'],"['Gourmet', 'Slice of Life']",['CGDCT'],['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,6.80,#5352,#2524,"81,469",160,29589,"The path to becoming a fine wife begins with being an accomplished cook—at least, that is what Ryou Machiko's late grandmother had led her to believe. For a middle schooler, Ryou's cooking skills are incomparable; but recently, though Ryou's food looks appetizing and smells inviting, the taste has not been delicious. Just when the dejected art student comes to terms with the possibility that she might continue living alone for the rest of her life, her aunt tells her that Kirin Morino—Ryou's second cousin—will begin staying with her every weekend since the younger girl has joined a cram school in Tokyo and aims to attend the same school as Ryou. Surprisingly, with her cousin's arrival, Ryou finds that her cooking has vastly improved—apparently, it is not her prowess in the kitchen, but the sharing of the experience with those closest to her that seems to make the flavors shine. [Written by MAL Rewrite]","['Adaptation (Manga) Koufuku Graffiti', '']",Koufuku Graffiti,,Happy Cooking Graffiti,,
20,アイドルマスター シンデレラガールズ,THE IDOLM@STER CINDERELLA GIRLS,,,,['TV'],13,Finished Airing,"Jan 10, 2015 to Apr 11, 2015",['Winter 2015'],Saturdays at 00:00 (JST),"['Aniplex', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Games', 'Anime Consortium Japan', 'Cygames']","None found,",['A-1 Pictures'],Game,"['Comedy', 'Drama']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3564,#2586,"78,117",469,30671,"Uzuki Shimamura is an aspiring student who dreams of being an idol. After failing her first audition, a producer from 346 Productions tells Uzuki that she has been chosen for the ""Cinderella Project,"" a new idol group. The project, however, still lacks two other members, so the producer needs to scout suitable candidates. The producer's eyes fall upon Rin Shibuya, who is in the midst of an incident with an upset crowd. As the imposing producer defends her, the two of them are taken in for interrogation by the police, and released after some explanation. Taking this opportunity, he scouts Rin for the Cinderella Project, only to be rejected. Will the producer be able to find two more members for his idol group? [Written by MAL Rewrite]","['Sequel (TV) The iDOLM@STER Cinderella Girls 2nd Season', 'Adaptation (Manga) The iDOLM@STER Cinderella Girls']",The iDOLM@STER Cinderella Girls,"['Idols (Female)', 'Music']",The Idolmaster Cinderella Girls,,
21,ドッグデイズ'',,Dog Days Staffel 3,Dog Days Temporada 3,Dog Days Saison 3,['TV'],12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",['Winter 2015'],Sundays at 00:30 (JST),"['Aniplex', 'Starchild Records', 'Bandai Namco Games', 'Glovision']","None found,",['Seven Arcs Pictures'],Original,"['Action', 'Adventure', 'Fantasy']",['Isekai'],,23 min. per ep.,PG-13 - Teens 13 or older,6.85,#5108,#2617,"76,576",79,34913,"Cinque Izumi, Nanami Takatsuki, and Rebecca Anderson must once again embark on a journey to the continent of Flonyard and participate in the friendly war games of the three allied nations: Biscotti Republic, Galette, and Pastilage. Cinque is Biscotti’s hero, who also happens to be the cousin of Galette’s hero Nanami. Rebecca is Pastillage’s hero and a dear friend of Cinque. Dog Days'' begins in the human world. Rebecca prepares her things for her journey back to Pastilage from Japan. Meanwhile, Cinque and Nanami set out to travel to Biscotti and Galette, respectively, all the way from England, when suddenly, a freakish streak of bad luck—in the form of lightning, of course—sends them off course. They soon find themselves in the great Dragon Forest, protected by a Dragon Priestess named Sharu. The Dragon Priestess informs them that demons threaten to invade the forest, as well as the whole continent of Flonyard! It looks like a real war is about to begin in Dog Days''. Can these three heroes save the whole continent from these evil beings?","[""Prequel (TV) Dog Days'"", 'Prequel (TV Special) Dog Days Recap', ""Sequel (Special) Dog Days'': Limone Resort Tenbou Onsen!"", '']",Dog Days'',,Dog Days 3,,
22,みりたり!,,,,,['TV'],12,Finished Airing,"Jan 7, 2015 to Mar 25, 2015",['Winter 2015'],Wednesdays at 23:25 (JST),"['DAX Production', 'Dream Creation']","None found,",['Creators in Pack'],['4-koma manga'],"['Comedy', 'Slice of Life', 'Ecchi']",['Military'],,3 min. per ep.,PG-13 - Teens 13 or older,5.79,#10993,#3567,"44,065",56,19807,"The story takes place during a conflict between the Krakozhia Dukedom and the Grania Republic. In the midst of the fighting, a savior appears to the Krakozhia Dukedom, and it is a high school student named Yano Souhei. Two female soldiers, First Lieutenant Ruto and Second Lieutenant Haruka, appear in tanks to intrude on Souhei's everyday life, followed by the enemy soldier Shachirofu, all of whom use firearms without hesitation at his house. (Source: ANN)","['Sequel (Special) Military!: Tamatama Shoumetsu Suru Shiroki Hikari!', 'Adaptation (Manga) Military!']",Military!,,Miritari!,,
23,夜ノヤッターマン,Yatterman Night,Yatterman Night,Yatterman Night,Yatterman Night,['TV'],12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",['Winter 2015'],Sundays at 22:00 (JST),"['Yomiuri Telecasting', 'Starchild Records', 'Lantis', 'Half H.P Studio']",['Funimation'],['Tatsunoko Production'],Original,"['Action', 'Adventure', 'Comedy', 'Drama']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.50,#7058,#4110,"33,325",34,13291,"Several generations after the original Yatterman series, Leopard lives with her mother and guardians, Dorothy, Voltkatze, and Elephantus, just outside the prosperous Yatter Kingdom. She lives a happy if impoverished life, unaware of her ancestral ties to the infamous Doronbow Gang, until she discovers a mural of Doronjo, Boyacky, and Tonzura in a sealed off area of her home. It turns out that Dorothy, Voltkatze, and Elephantus are descendants of the villainous gangsters, which is why they have been forbidden from entering the hero Yatterman's Kingdom! At first, Leopard vows to never engage in villainous actions like her ancestors, but new circumstances may mean that she must go back on her word, donning the identity of villain in search of true justice.",[],Yoru no Yatterman,,,,
24,戦国無双,Samurai Warriors,Samurai Warriors,Samurai Warriors: Sengoku Musou,Samurai Warriors,['TV'],12,Finished Airing,"Jan 12, 2015 to Mar 30, 2015",['Winter 2015'],Mondays at 01:35 (JST),"['TV Tokyo', 'Avex Entertainment', 'Nihon Ad Systems', 'Koei']",['Funimation'],"['Tezuka Productions', 'TYO Animations']",Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6943,#4769,"23,995",41,8421,"Toyotomi Hideyoshi is on the verge of unifying the realm, and all that remains is the Odawara Castle protected by the ""Lion of Sagami"" Ujiyasu Houjou. Hideyoshi's personally trained generals—Ishida Mitsunari, Katou Kiyomasa, and Fukushima Masanori—as well as Ootani Yoshitsugu, Shima Sakon, and Naoe Kanetsugu are all on the frontline of the battle. Amidst the battle formation are the two young warriors of the Sanada household: older brother Nobuyuki and younger brother Yukimura. As the stalemate begins to break down, Sanada Yukimura rides on a lone horse into the fray. His brother follows him right after. (Source: ANN)","['Prequel (TV Special) Sengoku Musou SP: Sanada no Shou', '']",Sengoku Musou,"['Historical', 'Samurai']",,['Action'],
25,蒼穹のファフナー Dead Aggressor EXODUS,Fafner Exodus,Fafner Exodus,Fafner Exodus,Fafner Exodus,['TV'],13,Finished Airing,"Jan 9, 2015 to Apr 3, 2015",['Winter 2015'],Fridays at 02:19 (JST),"['Starchild Records', 'Mainichi Broadcasting System']","None found,",['I.Gzwei'],Original,"['Action', 'Drama', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.37,#2477,#4799,"23,514",78,8007,"2150 AD. The battle against the silicon-based Festums from outer space reaches a new phase. Fragments of the North Pole Mir were scattered throughout the world. Eventually, they began to act on their own as independent Mirs. Most hated humanity and attacked them, but some chose to coexist with mankind. Some with the same way of thinking existed within the human race, as well: those who were both human and Festum. They added to the chaos of the battle and brought about even more hatred. (Source: Crunchyroll)","['Prequel (Movie) Soukyuu no Fafner: Dead Aggressor - Heaven and Earth', 'Sequel (TV) Soukyuu no Fafner: Dead Aggressor - Exodus Part 2']",Soukyuu no Fafner: Dead Aggressor - Exodus,"['Mecha', 'Military']",Fafner in the Azure: Dead Aggressor - Exodus,,
26,Go! プリンセスプリキュア,Go! Princess Pretty Cure,,,,['TV'],50,Finished Airing,"Feb 1, 2015 to Jan 31, 2016",['Winter 2015'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",,,24 min. per ep.,G - All Ages,7.81,#1020,#5098,"20,405",361,7829,"Ever since she was young, Haruka Haruno has always aspired to become a princess. Despite being mocked for this seemingly childish wish, Haruka perseveres to make her dream a reality, ultimately culminating in her acceptance into the prestigious Noble Academy—the birthplace of people's fantasies. When Haruka arrives at her new school, a chance encounter with a pair of magical creatures influences a series of unbelievable events, and Haruka awakens as ""Cure Flora,"" the princess of blooming flowers. After two of Haruka's classmates also transform into legendary princesses, a story of self-discovery unfolds as the newfound team ""Princess Precure"" carries the responsibility of protecting everyone's dreams. Engaged in a battle between hope and despair, Haruka may find the key toward becoming the princess she has always dreamed to be. [Written by MAL Rewrite]","['Adaptation (Manga) Go! Princess Precure', '']",Go! Princess Precure,"['Mahou Shoujo', 'School']",,,
27,探偵歌劇ミルキィホームズTD,,,,,['TV'],12,Finished Airing,"Jan 3, 2015 to Mar 28, 2015",['Winter 2015'],Saturdays at 22:00 (JST),"['Sotsu', 'Bushiroad', 'Chrono Gear Creative']","None found,","['J.C.Staff', 'Nomad']",Original,"['Comedy', 'Mystery']",,,22 min. per ep.,PG-13 - Teens 13 or older,6.44,#7436,#6792,"9,887",9,3705,"There have been many cases of stolen songs happening among the idols in Yokohama District recently. Even super idol Marine Amagi's hit song ""Kiseki no Uta"" was taken away. At the request of Marine, the Milky Holmes team starts investigating the case. (Source: Crunchyroll)","['Prequel (TV) Futari wa Milky Holmes', 'Sequel (Movie) Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes']",Tantei Kageki Milky Holmes TD,"['Detective', 'Parody', 'Super Power']",Tantei Opera Milky Holmes TD,,
28,少年ハリウッド-HOLLY STAGE FOR 50-,,Shonen Hollywood: Holly Stage for 50,Shonen Hollywood: Holly Stage for 50,Shonen Hollywood: Holly Stage for 50,['TV'],13,Finished Airing,"Jan 10, 2015 to Apr 4, 2015",['Winter 2015'],Saturdays at 20:30 (JST),"['Starchild Records', 'Studio Mausu']",['Funimation'],['Zexcs'],Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.48,#7224,#7699,"7,229",9,2461,Second Season of Shounen Hollywood: Holly Stage for 49.,"['Prequel (TV) Shounen Hollywood: Holly Stage for 49', '']",Shounen Hollywood: Holly Stage for 50,"['Idols (Male)', 'Music', 'Performing Arts']",Shonen Hollywood 2,,
29,血液型くん！2,,,,,['TV'],12,Finished Airing,"Jan 8, 2015 to Mar 26, 2015",['Winter 2015'],Thursdays at 21:55 (JST),['Earth Star Entertainment'],"None found,","['feel.', 'Assez Finaud Fabric']",['Web manga'],,['Anthropomorphic'],,2 min. per ep.,PG-13 - Teens 13 or older,6.39,#7737,#8693,"5,389",5,2652,"A-gata-kun, B-gata-kun, O-gata-kun, and AB-gata-kun are back again to explore more cultural stereotypes associated with blood type! With assistance from their feminine counterparts, the blood types delve into a range of topics related to relationships, such as one's own charms, how to react to a mediocre gift, and... How to properly hide adult content on a computer? Whether they are stranded on an uninhabited island or sharing a dorm room together, no two blood types will react the same way to any of these humorous yet relatable situations. [Written by MAL Rewrite]","['Prequel (TV) Ketsuekigata-kun!', 'Sequel (TV) Ketsuekigata-kun! 3', 'Adaptation (Manhwa) A Simple Thinking About Blood Type', '']",Ketsuekigata-kun! 2,,Ketsuekigata-kun! Second Season,['Comedy'],
30,みんな集まれ！ファルコム学園ＳＣ,,,,,['TV'],12,Finished Airing,"Jan 4, 2015 to Mar 22, 2015",['Winter 2015'],Unknown,['DAX Production'],"None found,","None found,",['4-koma manga'],,,['Seinen'],2 min. per ep.,PG-13 - Teens 13 or older,6.10,#9380,#9826,"3,755",1,1244,"The warriors who have been warped by the rampaging power of Justice have been summoned into the world of Xanadu. It is up to Dark Fact, a former villain, and principal Lappi to re-educate these students. (Source: AniDB)","['Prequel (TV) Minna Atsumare! Falcom Gakuen', 'Adaptation (Manga) Minna Atsumare! Falcom Gakuen']",Minna Atsumare! Falcom Gakuen SC,"['Parody', 'School']",Minna Atsumare! Falcom Gakuen Second Season,['Comedy'],
31,ドアマイガーD,Doamayger-D,,,,['TV'],13,Finished Airing,"Jan 5, 2015 to Mar 30, 2015",['Winter 2015'],Mondays at 19:55 (JST),"None found,",['Funimation'],['ILCA'],Original,"['Action', 'Comedy', 'Gourmet']",,,2 min. per ep.,G - All Ages,5.35,#12565,#11522,"2,244",1,888,"Kyougoku Daijirou is the 15th generation owner of the Kyoto sweets shop Amashoudou. One day, Daijirou discovers a giant robot named Doamaiger D in his store's basement. At the same time, enemies called ""Mekaijuu"" appear in Kyoto and begin wreaking havoc. (Source: ANN)",[],Doamaiger D,"['Mecha', 'Parody']",,,
