,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,German,Spanish,French,Genre,Demographics
10,"Story in Which I Was Kidnapped by a Young Lady's School to be a ""Sample of the Common People"", Ore ga Ojou-sama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",俺がお嬢様学校に「庶民サンプル」としてゲッツされた件,Shomin Sample,['TV'],12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",['Fall 2015'],Wednesdays at 23:30 (JST),"['Sotsu', 'AT-X', 'Memory-Tech', 'Showgate', 'Happinet Pictures', 'BS Fuji', 'MAGES.', 'Contents Seed', 'Ichijinsha']",['Funimation'],['SILVER LINK.'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.66,#6141,#897,"290,044",465,137527,"Kimito Kagurazaka is a commoner with a fetish for men's muscles—or at least that's the lie he must keep telling if he wants to keep himself out of trouble at the elite all-girls school, Seikain Academy. Kidnapped by the school under the assumption that he prefers men, Kimito is made to be their ""commoner sample,"" exposing the girls to both commoner and man so that the transition to the world after school is not jarring. Threatened with castration should his sexual preferences not match the school's assumptions, Kimito keeps up the facade to protect his manhood. But there are eccentric individuals around every corner who begin to make Kimito's life even more difficult. Among them are Aika Tenkuubashi, a social outcast who blurts out whatever comes to mind; Hakua Shiodome, a young genius; Karen Jinryou, the daughter of samurai who is obsessed with defeating Kimito; and Reiko Arisugawa, the perfect student who has delusions of marrying Kimito. Along with the commoner himself, these four girls make up the Commoner Club, which attempts to teach the girls more about life outside the school, while Kimito gradually learns about the odd girls surrounding him. [Written by MAL Rewrite]","['Adaptation (Manga) Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken', 'Adaptation (Light Novel) Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken']","Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",,Shomin Sample: Get's Shomin Sample,,,,
11,Attack! Titan Junior High,進撃！巨人中学校,Attack on Titan: Junior High,['TV'],12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",['Fall 2015'],Sundays at 01:58 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['Funimation'],['Production I.G'],['Manga'],,"['Parody', 'School']",['Shounen'],17 min. per ep.,PG-13 - Teens 13 or older,7.21,#3306,#937,"275,039",835,152144,"On his first day of junior high, Eren Yeager comes face-to-face with a titan—and has his lunch stolen! From that day on, he holds a grudge against titans for taking his favorite food from him, a cheeseburger, vowing to eliminate their kind once and for all. Along with his adoptive sister Mikasa Ackerman and their friend Armin Arlert, the trio traverse the halls of Titan Junior High, encountering familiar faces and participating in various extracurricular activities as part of the Wall Cleanup Club. A parody of the immensely popular parent series, Shingeki! Kyojin Chuugakkou places beloved characters as junior high school students, fighting to protect their lunches from gluttonous titans. [Written by MAL Rewrite]","['Adaptation (Manga) Shingeki! Kyojin Chuugakkou', '']",Shingeki! Kyojin Chuugakkou,,Attack on Titan: Junior High,Ataque a los Titanes: Junior High,Attack on Titan: Junior High,['Comedy'],
12,G-Tekketsu,機動戦士ガンダム 鉄血のオルフェンズ,Mobile Suit Gundam: Iron-Blooded Orphans,['TV'],25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",['Fall 2015'],Sundays at 17:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System']",['Funimation'],['Sunrise'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Space']",,24 min. per ep.,R - 17+ (violence & profanity),8.06,#585,#1016,"256,728","3,468",129036,"Over three hundred years have passed since the Calamity War, the great conflict between Earth and its outer space colonies. Now Earth is ruled over by four economic blocs, and the military organization Gjallarhorn is responsible for keeping the peace. Mars, on the other hand, depends heavily on Earth's economy. Horrified by the appalling living conditions that Mars' inhabitants have to bear, Kudelia Aina Bernstein, a young aristocrat from the Chryse Autonomous Region, gets involved in the Red Planet's independence movement. She hires the services of a local company, Chryse Guard Security (CGS), to escort her on the journey to Earth to negotiate economic conditions with the earthly bloc that controls the region. The Third Army Division—consisting of Mikazuki Augus, Orga Itsuka, and many other child soldiers—are chosen to protect her. When Gjallarhorn attacks the CGS facilities to assassinate the young revolutionary threatening their interests, Orga and his comrades must not let the attackers accomplish their goal—in fact, Gjallarhorn's actions might turn out to be the unintentional catalyst that leads the children to be the forgers of their own destiny. [Written by MAL Rewrite]","['Sequel (TV) Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season', 'Sequel (ONA) Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt', 'Adaptation (Manga) Kidou Senshi Gundam: Tekketsu no Orphans', '']",Kidou Senshi Gundam: Tekketsu no Orphans,,,Mobile Suit Gundam Iron Blooded Orphans,,,
13,A Corpse is Buried Under Sakurako's Feet.,櫻子さんの足下には死体が埋まっている,Beautiful Bones -Sakurako's Investigation-,['TV'],12,Finished Airing,"Oct 8, 2015 to Dec 24, 2015",['Fall 2015'],Thursdays at 00:30 (JST),"['Lantis', 'DAX Production', 'Kadokawa']",['Sentai Filmworks'],['TROYCA'],Novel,"['Drama', 'Mystery', 'Suspense']",,,23 min. per ep.,R - 17+ (violence & profanity),7.42,#2268,#1164,"224,246","1,004",93367,"When Shoutarou Tatewaki first meets Sakurako Kujou, he knows his life will never be the same. Initially believing her to be responsible for a disappearance in the neighborhood, he later learns of her true talent: analyzing bone specimens. Sakurako has quite the collection of reconstructed animal bones, but she wishes she had more of the human variety, much to the chagrin of those around her. Soon, Shoutarou begins accompanying the eccentric osteologist on the many different unsolved cases she comes across—usually in the form of decomposing bodies. But with so many incidents happening around them, could there be a larger mystery at work in their lives? Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru is a story of two unlikely partners, each showing in their own way that bones can tell how one died, but only people can tell how they lived. [Written by MAL Rewrite]","['Adaptation (Manga) Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru', 'Adaptation (Manga) Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru: Chou wa Juuichigatsu ni Kieta', 'Adaptation (Novel) Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru', '']",Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,Beautiful Bones: Sakurako's Investigation,Beautiful Bones -Sakurako's Investigation-: Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Beautiful Bones -Sakurako's Investigation-,,
14,Everything Becomes F: The Perfect Insider,すべてがFになる THE PERFECT INSIDER,The Perfect Insider,['TV'],11,Finished Airing,"Oct 9, 2015 to Dec 18, 2015",['Fall 2015'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Sentai Filmworks'],['A-1 Pictures'],Novel,"['Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",,23 min. per ep.,R - 17+ (violence & profanity),7.23,#3221,#1423,"176,808",730,70685,"In a research facility hidden away on a remote island, genius programmer Shiki Magata has lived as a recluse for years. She rarely sees guests, but associate professor Souhei Saikawa and university student Moe Nishinosono still seek her out. However, their meeting is cut short when they are caught up in a locked-room murder mystery. Everything is not as it seems, and many secrets are hidden. Within an isolated facility, a seemingly impossible and gruesome crime takes place, and Saikawa and Moe must unravel the truth behind the murder and Magata's shrouded past. [Written by MAL Rewrite]","['Adaptation (Manga) Subete ga F ni Naru', 'Adaptation (Manga) Subete ga F ni Naru']",Subete ga F ni Naru,,The Perfect Insider: Subete ga F ni naru,The Perfect Insider,The Perfect Insider: Surdduee et Meurtriere - Elle est la Cle de l'Enquête,,
15,,おそ松さん,Mr. Osomatsu,['TV'],25,Finished Airing,"Oct 6, 2015 to Mar 29, 2016",['Fall 2015'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'Dentsu', 'Rakuonsha', 'Avex Pictures', 'Daiichi Shokai', 'Fujio Production']",['VIZ Media'],['Pierrot'],Original,,"['Gag Humor', 'Parody']",,23 min. per ep.,R - 17+ (violence & profanity),7.93,#768,#1425,"176,418","3,577",68326,"The majority of the Matsuno household is comprised of six identical siblings: self-centered leader Osomatsu, manly Karamatsu, voice of reason Choromatsu, cynical Ichimatsu, hyperactive Juushimatsu, and lovable Todomatsu. Despite each one of them being over the age of 20, they are incredibly lazy and have absolutely no motivation to get a job, choosing to live as NEETs instead. In the rare occurrence that they try to look for employment and are somehow able to land an interview, their unique personalities generally lead to their swift rejection. From trying to pick up girlfriends to finding the perfect job, the daily activities of the Matsuno brothers are never dull as they go on all sorts of crazy, and often downright bizarre, adventures. Though they desperately search for a way to improve their social standing, it won't be possible if they can't survive the various challenges that come with being sextuplets! [Written by MAL Rewrite]","['Prequel (TV) Osomatsu-kun (1988)', 'Sequel (TV) Osomatsu-san 2nd Season', 'Adaptation (Manga) Osomatsu-san', '']",Osomatsu-san,,Mr. Osomatsu,Mr.Osomatsu,Mr. Osomatsu,['Comedy'],
16,"Diabolik Lovers 2nd Season, Diabolik Lovers Second Season, Diabolik Lovers: More Blood","DIABOLIK LOVERS MORE,BLOOD","Diabolik Lovers II: More,Blood",['TV'],12,Finished Airing,"Sep 24, 2015 to Dec 10, 2015",['Fall 2015'],Thursdays at 00:30 (JST),['Frontier Works'],['Sentai Filmworks'],['Zexcs'],Visual novel,"['Drama', 'Supernatural']","['Reverse Harem', 'School', 'Vampire']",['Josei'],12 min. per ep.,R - 17+ (violence & profanity),5.52,#12040,#1520,"166,145",587,88116,"Yui Komori, still held captive by the Sakamaki brothers—pureblood vampires after her blood—experiences yet more bizarre twists to her life following her stay at their household. Though haunted by enigmatic dreams, Yui soon deciphers their meaning when caught in a car crash, which subsequently leads to meeting four new vampires: the Mukami brothers, Ruki, Azusa, Kou, and Yuuma, who themselves capture the bewildered girl. Yui later awakens in the Mukami mansion, where the brothers reveal their plans for her: she is their ""Eve,"" and her blood will find the ""Adam"" among them; together, they will have the power to rule the world. However, with the Sakamaki brothers hot on their heels, things might not go quite as smoothly as they had imagined. [Written by MAL Rewrite]","['Prequel (TV) Diabolik Lovers', 'Adaptation (Manga) Diabolik Lovers More,Blood: Mukami-hen']","Diabolik Lovers More,Blood",,"Diabolik Lovers II: More,Blood","Diabolik Lovers II: More,Blood","Diabolik Lovers II: More,Blood",,
17,,ヘヴィーオブジェクト,Heavy Object,['TV'],24,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",['Fall 2015'],Saturdays at 00:30 (JST),"['Movic', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'GREE']",['Funimation'],"['J.C.Staff', 'SANZIGEN']",['Light novel'],"['Action', 'Sci-Fi']","['Mecha', 'Military']",,23 min. per ep.,PG-13 - Teens 13 or older,7.24,#3173,#1582,"158,549",457,61934,"In the distant future, the nature of war has changed. ""Objects""—massive, spherical tanks impermeable to standard weaponry and armed with destructive firepower—rule the battlefield; their very deployment ensures victory, rendering traditional armies useless. However, this new method of warfare is about to be turned on its head. Qwenthur Barbotage, a student studying Object Design, and Havia Winchell, a radar analyst of noble birth, serve in the Legitimate Kingdom's 37th Mobile Maintenance Battalion, tasked with supporting the Baby Magnum, one of the nation's Objects. Unfortunately, a battle gone awry places the duo in a precarious situation: mere infantry stand face-to-face against the unfathomable might of an enemy Object. As they scramble to save themselves and their fellow soldiers, a glimmer of hope shines through, and the world's perception of Objects is changed forever. Heavy Object follows these two soldiers alongside Milinda Brantini, the Baby Magnum's pilot, and their commanding officer Frolaytia Capistrano as the unit treks all over the globe to fight battle after battle. Facing one impossible situation after another, they must summon all their wit and courage to overcome the insurmountable foes that are Objects. [Written by MAL Rewrite]","['Adaptation (Manga) Heavy Object', 'Adaptation (Manga) Heavy Object S', 'Adaptation (Manga) Heavy Object A', 'Adaptation (Light Novel) Heavy Object']",Heavy Object,,,,,,
18,"Pocket Monsters XY&Z, Pokémon XY&Z",ポケットモンスターXY&Z,Pokémon the Series: XYZ,['TV'],47,Finished Airing,"Oct 29, 2015 to Oct 27, 2016",['Fall 2015'],Thursdays at 18:55 (JST),"None found,",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.78,#1087,#1623,"152,936","1,178",97375,"The journey of Satoshi and his friends through the Kalos region continues! After Satoshi obtains his seventh gym badge, the group is moving toward the next town when Eureka discovers a mysterious Pokémon resting in her pochette. Soon given the name Puni-chan, it is one that even Satoshi and Serena's new Pokémon Zukan cannot identify. However, it quickly becomes apparent that Puni-chan is the target of a mysterious group clad in bright red suits known as Team Flare, aiming to capture the new Pokémon to further their agenda. But when Satoshi and the gang realize that the enigmatic organization has no intention of treating Puni-chan with any decency, they take a stand in opposition to Team Flare's plans, daring to fight back. With Gojika's predictions looming above them, Satoshi aims for his final gym badge while Serena contests for her last Princess Key in order to be able to compete at the TriPokalon Master Class. But as Team Flare begins to move in search of the mysterious Z, the stories of Pokemon XY and Pokemon XY: Mega Evolution cross paths as Satoshi and his friends, along with Team Rocket, get caught up in a scheme that could put Kalos in great danger. [Written by MAL Rewrite]","['Prequel (TV) Pokemon XY', 'Sequel (TV) Pokemon Sun & Moon']",Pokemon XY&Z,,Pokémon XYZ,Pokémon Temporada XYZ,Pokémon XYZ,,
19,,ヴァルキリードライヴ　マーメイド,Valkyrie Drive: Mermaid,['TV'],12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015",['Fall 2015'],Saturdays at 23:30 (JST),['Genco'],['Funimation'],['Arms'],Original,"['Action', 'Fantasy', 'Girls Love', 'Erotica']",,,24 min. per ep.,R+ - Mild Nudity,6.05,N/A,#1661,"148,046",519,58027,"Naïve 16-year-old Mamori Tokonome is accustomed to being teased at school for having an unfortunate surname that can also be read as ""virgin."" However, young Mamori will soon have to get used to being teased in other ways... Kidnapped during gym class, Mamori wakes up only to find herself stranded and under attack on the exotic island of Mermaid. Luckily, enigmatic fellow castaway Mirei Shikishima knows exactly how to take the lead—through a passionate kiss, Mirei unleashes Mamori's Exter transformation abilities, turning the innocent red-head into a battle-ready cutlass through the power of arousal. The duo will need to tap into that power as Mermaid Island is full of potential friends and foes: Charlotte, the sadistic Liberator of an Exter harem; the gluttonous and crafty Meifon; the mysterious but charismatic Akira Hiiragi; and the erotic biker duo Lady Lady. Mamori and Mirei's powerful and intimate embrace is the only way for the pair to ensure their survival on this scandalous island. [Written by MAL Rewrite]","['Adaptation (Manga) Valkyrie Drive: Mermaid', '']",Valkyrie Drive: Mermaid,,,,,,
20,"Gochuumon wa Usagi desu ka? 2, GochiUsa 2",ご注文はうさぎですか??,Is the Order a Rabbit??,['TV'],12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015",['Fall 2015'],Saturdays at 21:30 (JST),"['Frontier Works', 'AT-X', 'Magic Capsule', 'Bushiroad', 'Showgate', 'Houbunsha', 'NBCUniversal Entertainment Japan', 'i0+', 'Hakuhodo DY Music & Pictures', 'RAY']",['Sentai Filmworks'],"['Kinema Citrus', 'White Fox']",['4-koma manga'],,"['CGDCT', 'Iyashikei', 'Workplace']",,23 min. per ep.,PG-13 - Teens 13 or older,7.77,#1102,#1764,"136,585",866,61972,"With a new year comes new adventures, especially at the Rabbit House! Since her arrival at the café, Kokoa Hoto has become accustomed to her new life as a waitress even though the Rabbit House isn't the rabbit paradise she initially envisioned it to be. Life is pleasant, and she enjoys spending time both working and playing with her friends and fellow waitresses Chino Kafuu, a cute middle school student with a fuzzy bunny companion named Tippy, and Rize Tedeza, the pig-tailed daughter of a soldier who is readily armed for any scenario. Together with Chiya Ujimatsu and Sharo Kirima, who also work at neighboring cafés in town, the Rabbit House crew gets involved in all sorts of crazy adventures. Throughout these adventures, the girls encounter troubled novelists, rival cafes, secret treasure, and... alcoholic chocolates? [Written by MAL Rewrite]","['Prequel (TV) Gochuumon wa Usagi desu ka?', 'Sequel (Movie) Gochuumon wa Usagi desu ka?? Dear My Sister', 'Adaptation (Manga) Gochuumon wa Usagi desu ka?', '']",Gochuumon wa Usagi desu ka??,,Is the Order a Rabbit?? Staffel 2,Is the Order a Rabbit??: Gochuumon wa Usagi Desu ka?? Temporada 2,Is the Order a Rabbit?? Saison 2,['Slice of Life'],
21,,ダンス・ウィズ・デビルス,Dance with Devils,['TV'],12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",['Fall 2015'],Wednesdays at 23:30 (JST),"['Avex Entertainment', 'Nihon Ad Systems', 'Movic', 'KlockWorx', 'DIVE II Entertainment']",['Funimation'],"[""Brain's Base""]",Mixed media,"['Romance', 'Supernatural']","['Mythology', 'Reverse Harem', 'School', 'Vampire']",,23 min. per ep.,R - 17+ (violence & profanity),6.19,#8908,#1811,"132,655",549,60381,"Ritsuka Tachibana has always been a good student, so she is completely shocked when she is suddenly summoned by the student council for breaking school rules. Led by Rem Kaginuki, the student council—also consisting of Urie Sogami, Shiki Natsumezaka, and Mage Nanashiro—tries to interrogate her, but it soon becomes clear that they have ulterior motives. However, this is only the beginning of Ritsuka's misfortune. When her mother gets kidnapped, her life is turned upside down, and Ritsuka gets drawn into a battle for supremacy between vampires and devils. Both groups are searching for the ""Grimoire,"" a forbidden item that allows its owner to rule the world, and Ritsuka is somehow connected to this strange artifact. The return of Ritsuka's protective brother Lindo from overseas gives her hope that life could return to normal. But even her sibling is harboring his own dark secrets. Ritsuka begins to question whom she can trust, and if she can ignore her growing attraction toward the devilishly handsome student council members. [Written by MAL Rewrite]","['Sequel (Movie) Dance with Devils: Fortuna', 'Adaptation (Manga) Dance with Devils: Blight']",Dance with Devils,,,,,,
22,"Yuru Yuri 3rd Season, Yuru Yuri Third Season, Yuru Yuri-san High!: YuruYuri S3",ゆるゆり さん☆ハイ！,,['TV'],12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",['Fall 2015'],Tuesdays at 02:05 (JST),"['Sotsu', 'Pony Canyon']","None found,",['TYO Animations'],['Manga'],"['Comedy', 'Girls Love']","['CGDCT', 'Gag Humor', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,7.91,#796,#1849,"128,653",678,67728,"The members of the Amusement Club are back with more of Kyouko Toshinou's antics, Chinatsu Yoshikawa's schemes, Yui Funami's retorts, and Akari Akaza's small social presence as they strive to make each day as fun as the last! Whether the activity is an arm wrestling contest or making pancakes together, the group of entertainment-seekers are sure to give it their all. The club members are often joined by their friends in the Student Council, who know how to have a good time as well. While it can get a little chaotic when all eight girls get together, it sure doesn't stop them from meeting up and having fun! [Written by MAL Rewrite]","['Prequel (TV Special) Yuru Yuri Nachuyachumi!+', 'Sequel (OVA) Yuru Yuri,', 'Adaptation (Manga) Yuru Yuri', '']",Yuru Yuri San☆Hai!,,Yuru Yuri Season 3,Yuru Yuri Temporada 3,Yuru Yuri Saison 3,,
23,Utawarerumono: The False Mask,うたわれるもの 偽りの仮面,Utawarerumono: The False Faces,['TV'],25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",['Fall 2015'],Sundays at 01:00 (JST),"['KlockWorx', 'Toranoana', 'AQUAPLUS', 'ensky', 'King Records']",['Sentai Filmworks'],['White Fox'],Visual novel,"['Action', 'Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.26,#3067,#2014,"115,341",415,46469,"Waking up cold and alone in the woods, a nameless man is surrounded by unfamiliar scenes. Without any memories, he is utterly lost until he stumbles upon Kuon—a young girl with animal ears and a tail. She saves him, leading him back to her town while protecting them both from ""boro-gigiri""—giant centipede-like creatures—and a mysterious red slime. After they arrive, she names him Haku after a prominent historical figure from the area. He quickly realizes he is one of a kind—the only one without animal ears and a tail. The two journey to the capital of Yamato, the country in which Kuon lives, meeting more people and making new friends, all the while unknowingly delving deeper into the politics and inner conflicts of Yamato... Utawarerumono: Itsuwari no Kamen follows Haku as he slowly uncovers the secrets of this alien world. He works to solve the mysteries surrounding the red slimes, as well as to stop war from erupting among the nearby countries. [Written by MAL Rewrite]","['Prequel (TV) Utawarerumono', 'Prequel (OVA) Utawarerumono: Tusukuru-koujo no Karei Naru Hibi', 'Sequel (TV) Utawarerumono: Futari no Hakuoro', 'Adaptation (Manga) Utawarerumono: Itsuwari no Kamen']",Utawarerumono: Itsuwari no Kamen,,Utawarerumono: The False Faces,Utawarerumono: The False Faces,Utawarerumono: The False Faces,,
24,,コメット・ルシファー,Comet Lucifer,['TV'],12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",['Fall 2015'],Sundays at 22:30 (JST),"['Bandai Visual', 'Lantis', 'Bushiroad', 'Good Smile Company', 'BS11', 'Sony PCL']",['Sentai Filmworks'],['8bit'],Original,"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.83,#10792,#2104,"108,466",93,46029,"In the world of Gift, the bowels of the planet hide a highly sought after crystalline substance known as Giftium. A young boy on Gift named Sougo Amagi inherited his interest in Giftium from his mother, a researcher. As an inhabitant of Garden Indigo, a small and prosperous miner's town, Sougo has many opportunities to forage and collect rare crystals that can only be found there. However, the most exciting treasure that Sougo discovers is not a crystal, but a person. After being pulled into a school quarrel, he plummets into the deep caverns of an old mine. There, in the abysmal depths of the earth, Felia—an enigmatic girl with red eyes and blue hair—emerges from a large crystal. Through this strange first encounter, bonds of friendship are formed between Felia and Sougo. But Felia is being pursued by a secret organization that aims to use her powers for their own benefit, and Sougo and his friends must help her, all while discovering the true nature of this girl from the crystal. [Written by MAL Rewrite]",[],Comet Lucifer,['Mecha'],,,,,
25,Hidan no Aria Double A,緋弾のアリアAA（ダブルエー）,Aria the Scarlet Ammo AA,['TV'],12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",['Fall 2015'],Tuesdays at 23:00 (JST),"['AT-X', 'flying DOG', 'Kadokawa', 'Fujishouji']",['Funimation'],['Doga Kobo'],['Manga'],"['Action', 'Comedy']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.19,#8918,#2144,"105,294",78,44950,"Akari Mamiya, a first-year student from Tokyo Butei High, idolizes the S-rank Butei Aria Holmes Kanzaki and wishes to follow in her footsteps. Despite only being an inept E-rank Butei, Akari's resolve to improve remains strong. After the idea of having an Amica contract (a senior-student mentorship program) with Aria is brought up, Akari submits a request form attempting to establish said contract. Her classmates and friends do not expect Aria to accept Akari's request, mainly because of the girl's strict selection process, but to everyone's surprise, Aria gives Akari a chance through a test, which Akari miraculously passes! However, Aria will not officially make Akari her Amica until Akari meets her standards. Training under Aria will be no easy feat, as she has to concurrently manage her relationships with her friends. Will Akari have what it takes to walk down the same path as her idol? [Written by MAL Rewrite]","['Adaptation (Manga) Hidan no Aria AA', '']",Hidan no Aria AA,['School'],,,,,
26,ConRevo,コンクリート・レボルティオ～超人幻想～,Concrete Revolutio,['TV'],13,Finished Airing,"Oct 4, 2015 to Dec 27, 2015",['Fall 2015'],Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Tokyo MX', 'Animatic', 'Hakuhodo DY Media Partners', 'Techno Sound', 'Anime Consortium Japan']",['Funimation'],['Bones'],Original,"['Action', 'Fantasy', 'Mystery', 'Sci-Fi']","['Mythology', 'Super Power', 'Urban Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.64,#6268,#2321,"93,045",214,28101,"On a sunny July day in the 41st year of the Shinka Era, Jirou Hitoyoshi is tasked with covertly listening in on a secret meeting between a top government scientist and an industrial spy. However, his cover is blown, and the spy reveals himself to be an alien in disguise. Amidst the ensuing chaos, Jirou enlists the aid of cafe waitress and magical girl Kikko Hoshino, one of many ""superhumans"" who blend into society and secretly protect humanity from extraterrestrial threats. As a member of the government agency known as the Super Population Research Laboratory, Jirou has the dual task of protecting superhumans that defend humanity and disposing of any deemed too dangerous to live. Having proven herself a worthy ally, Kikko is invited to join the agency as its newest recruit. Fast forward five years: disapproval and distaste for superhumans are now commonplace in Tokyo. From government corruption and conflicting ideas of justice, to the morality of superhuman rights, the relationship between humans and the supernatural minority balances precariously in a world pervaded by whispers of unrest and unease. Under mysterious circumstances, Jirou has betrayed the agency, and is now a fugitive on the run. As he skulks through the rainy back alleys of Shinjuku, he is pursued by the very same superhumans that he himself once recruited. [Written by MAL Rewrite]","['Sequel (TV) Concrete Revolutio: Choujin Gensou - The Last Song', 'Adaptation (Manga) Concrete Revolutio: Choujin Gensou']",Concrete Revolutio: Choujin Gensou,,Concrete Revolutio,,Concrete Revolutio,,
27,,ヤング ブラック・ジャック,Young Black Jack,['TV'],12,Finished Airing,"Oct 2, 2015 to Dec 18, 2015",['Fall 2015'],Fridays at 02:16 (JST),"['TBS', 'Grooove', 'Being']",['Sentai Filmworks'],['Tezuka Productions'],['Manga'],,"['Historical', 'Medical']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.21,#3315,#2437,"86,290",158,36401,"In the 1960s, a gifted young medical student tries to make a name for himself. Kuroo Hazama is a reserved young man with unusual black-and-white hair, a body covered with scars, and a dark past. Despite only being a medical student, his surgical brilliance starts to attract attention after he completes a seemingly impossible operation. Together with the spirited and honest intern Maiko Okamoto and Yabu, a close friend with a troubled life, Hazama devotes himself to the world of medicine. However, his path to becoming a respectable surgeon is a difficult one as student riots, war, and corruption are consuming Japan. Hazama quickly finds himself caught up in a series of nefarious circumstances that challenge his integrity as a person and his path towards becoming a surgeon. Young Black Jack chronicles the story of a man capable of performing unthinkable feats of medicine, and the journey that leads him to become the legend known as Black Jack. [Written by MAL Rewrite]","['Sequel (OVA) Black Jack', 'Adaptation (Manga) Young Black Jack']",Young Black Jack,,,,,['Drama'],
