,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographic,Demographics
20,Kyousogiga (TV),京騒戯画,Kyousougiga,Kyousougiga,Kyousougiga,Kyousougiga,['TV'],10,Finished Airing,"Oct 10, 2013 to Dec 19, 2013",['Fall 2013'],Thursdays at 01:30 (JST),"['Asatsu DK', 'Dwango', 'Sony Music Communications', 'Bandai Channel', 'Aoni Production']",['Discotek Media'],['Toei Animation'],Original,"['Action', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.69,#1311,#1291,"198,156","2,008",54631,"Long ago, there was a monk named Myoue who could bring anything he drew to life. He quietly lived with his wife Koto—a black rabbit in human form—and their three children: Yakushimaru, Kurama, and Yase. One day, the high priest of the land concluded that Myoue's drawings caused too many problems for the locals and ordered him to find a solution. In response, the family secretly fled to an alternate world of Myoue's own creation—the Looking Glass City. Everything was peaceful until Myoue and Koto suddenly vanished. Their three children are left to take care of the city, and Yakushimaru inherits Myoue's name and duties. Stranded in this alternate world, their problems only get worse when a young girl—also named Koto—crashes down from the sky and declares that she is also looking for the older Myoue and Koto. Armed with a giant hammer and two rowdy familiars, Koto just might be the key to releasing everyone from the eternal paper city. [Written by MAL Rewrite]",[],Kyousou Giga (TV),,,,
21,"Pocket Monsters XY, Pokémon XY",ポケットモンスターXY,Pokémon the Series: XY,Pokémon Staffel XY,Pokémon Temporada XY,Pokémon Saision XY,['TV'],93,Finished Airing,"Oct 17, 2013 to Oct 22, 2015",['Fall 2013'],Thursdays at 19:00 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.44,#2200,#1396,"182,392",638,112893,"Satoshi and Pikachu have arrived in Lumiose City of the illustrious Kalos region to capture more Pokémon and continue their journey toward becoming the very best. Meanwhile, a genius inventor named Citron and his little sister Eureka wander the city when they run into Satoshi who quickly challenges them to a battle. However, they are soon caught up in a dangerous incident when Team Rocket, following Satoshi into Kalos, cause a Gaburias to rampage through the city. Far away in the quiet Vaniville Town, a young girl named Serena slogs through daily Sihorn riding practice at the behest of her mother, a professional Sihorn racer. After practice, she sees the events unfolding in Miare City on television where she recognizes a boy from her childhood. Having left a significant impact on her life, the sight of him stirs in her a desire to meet him again; and so, Serena sets off to Miare City, determined to find the boy from her past. Pokemon XY follows the group as they travel throughout Kalos in pursuit of their ambitions—Satoshi challenging Pokémon gyms, Citron learning from Satoshi, and Serena searching for what exactly her dream is. Along the way, they meet new friends, face new rivals, and continue to thwart Team Rocket's schemes, all the while discovering a little about the mysteries of mega evolution. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Best Wishes! Season 2: Decolora Adventure', 'Prequel (TV Special) Pokemon XY SP: Road to Kalos', 'Sequel (TV) Pokemon XY&Z', '']",Pokemon XY,,,['Kids'],
22,Freezing Season 2,フリージング ヴァイブレーション,Freezing Vibration,,,,['TV'],12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013",['Fall 2013'],Fridays at 21:30 (JST),"['Media Factory', 'S-Wood', 'Kill Time Communication']",['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'Military', 'Super Power']",23 min. per ep.,R+ - Mild Nudity,6.70,#5916,#1479,"171,041",207,90083,"Ever since the 10th NOVA clash, the Chevalier had concluded that the NOVA have been appearing at a steadier rate and they are losing more Pandoras than they can produce. Their solution is the E-Pandora Project which involves normal humans being given the power to become Pandoras. Inviting Pandora from around the world to their Alaskan base witness the unveiling of their new project, Satellizer, Kazuya and Rana are among those who have been summoned. However, as time goes the E-Pandora Project starts to become fishier and the Pandoras start to grow more and more concerned...","['Prequel (TV) Freezing', 'Adaptation (Manga) Freezing']",Freezing Vibration,,,['Seinen'],
23,LB!: Refrain,リトルバスターズ！～Refrain～,Little Busters! ~Refrain~,Little Busters! Refrain,,Little Busters! Refrain,['TV'],13,Finished Airing,"Oct 5, 2013 to Dec 28, 2013",['Fall 2013'],Unknown,"['Warner Bros. Japan', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],Visual novel,"['Comedy', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,8.17,#431,#1482,"170,913","2,124",79395,"Following the Little Busters after they lost their first baseball game, the team decides to have a pancake party. It has been almost one semester since the return of Kyousuke Natsume. As usual, Riki Naoe continues to help the Little Busters' members—both old and new—with confronting their inner struggles. However, strange happenings begin to occur, leading Rin Natsume and Riki closer to unraveling the truth behind the ""secret of this world."" Little do Rin and Rikki know, their discovery will end up changing the peaceful everyday lives created by the Little Busters once and for all. Little Busters!: Refrain brings a conclusion to the colorful stories of its ensemble cast—forged with the weight of emotions and strengthened with the bond of friendship—as they come to terms with their regrets and weaknesses. [Written by MAL Rewrite]","['Prequel (TV) Little Busters!', 'Adaptation (Manga) Little Busters!: End of Refrain']",Little Busters! Refrain,['School'],,,
24,Aoki Hagane no Arpeggio: Ars Nova,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,Arpeggio of Blue Steel -Ars Nova-,Arpeggio of Blue Steel: Ars Nova,,,['TV'],12,Finished Airing,"Oct 8, 2013 to Dec 24, 2013",['Fall 2013'],Tuesdays at 02:55 (JST),"['Sotsu', 'KlockWorx', 'flying DOG', 'Ultra Super Pictures', 'Showgate', 'Shounen Gahousha']","['Discotek Media', 'Crunchyroll']",['SANZIGEN'],['Manga'],"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.34,#2624,#1616,"153,806",958,70788,"In the year 2039, the drastic effects of global warming have caused sea levels to rise, resulting in major loss of land. To ensure humanity learns its lesson, a fleet of powerful warships equipped with advanced weaponry emerges, causing overwhelming defeat for naval forces throughout the world. Calling themselves the Fleet of Fog, each ship has a ""Mental Model,"" a humanoid avatar which represents the ship's heart, its ""Union Core."" Each model has a different personality but all follow an unknown authority known as the Admiralty Code, who have implemented a blockade to prevent humans from traveling across the sea. Seventeen years after the blockade, Gunzou Chihaya, a National Marine Academy alumnus, stumbles upon I-401 and its Mental Model, Iona, who sides with mankind for unknown reasons. Utilizing this newfound hope of achieving peace for humanity, Gunzou and his friends form a group of privateers, known as the Blue Steel, as they set out on a dangerous journey. [Written by MAL Rewrite]","['Adaptation (Manga) Aoki Hagane no Arpeggio', '']",Aoki Hagane no Arpeggio: Ars Nova,,,['Seinen'],
25,"Valkyrie Romanze, Walkure Romance, Walroma",ワルキューレロマンツェ,,,,,['TV'],12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013",['Fall 2013'],Mondays at 00:30 (JST),"['Frontier Works', 'Lantis', 'Pony Canyon', 'AT-X', 'KlockWorx']","None found,",['8bit'],Visual novel,"['Romance', 'Sports', 'Ecchi']","['Harem', 'School']",23 min. per ep.,R+ - Mild Nudity,6.29,#8313,#1688,"145,228",184,56149,"Taking place at Winford Academy located in an old town called Helen's Hill, the story is all about knights and the sport of jousting. At this school, students learn how to become knights, ride horses and joust properly. The main character is a young man named Takahiro Mizuno who was training to become a knight and jouster but after suffering an injury he dropped out of the knight program and joined the begleiter (assistant) program instead. Due to his animal handling skills and former experience as a jouster, this makes him a hot commodity. Multiple beautiful girls in the school want him to become their personal begleiter, though Takahiro always refuses their offers. One day a bizarre accident causes his friend, Mio Kisaski, to be challenged to a jousting duel despite her not actually being a knight. Takahiro agrees to become her temporary begleiter, but that ends up only being the beginning of their partnership as she enrolls in the annual tournament.","['Adaptation (Manga) Walkure Romanze: Shoujo Kishi Monogatari', 'Adaptation (Light Novel) Walkure Romanze']",Walkure Romanze,,,,
26,Samumenco,サムライフラメンコ,Samurai Flamenco,,,,['TV'],22,Finished Airing,"Oct 11, 2013 to Mar 28, 2014",['Fall 2013'],Fridays at 01:20 (JST),"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Hobibox', 'DeNA']",['Aniplex of America'],['Manglobe'],Original,"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",23 min. per ep.,R - 17+ (violence & profanity),6.88,#4928,#1794,"134,215",898,48860,"""A hero will never give up, never hide, never be defeated and never accept evil!"" Firmly believing these words, Masayoshi Hazama has been obsessed with superhero shows since childhood. By day, he earns his living as a famous model, and by night, he becomes the gallant hero Samurai Flamenco. Armed with only his superhero costume, he seeks to bring justice to the city and faces anybody who tries to break the law—even rebellious juveniles and people who litter on the street. Masayoshi's heroic antics later catch the attention of the public, leading to the fateful discovery of his identity by policeman Hidenori Gotou. Although initially telling Masayoshi to leave the crime-busting activities to the police, Gotou ends up joining him in his antics. However, things soon escalate from preventing littering and petty thefts to bizarre adventures that involve even the fate of the world. Together with their newfound comrades, Masayoshi and Gotou embark on a battle with the world and themselves in order to find the true meaning of being a hero—with or without superpowers. [Written by MAL Rewrite]","['Adaptation (Manga) Samurai Flamenco: Another Days', '']",Samurai Flamenco,,,,
27,,夜桜四重奏 ～ハナノウタ～,,,,,['TV'],13,Finished Airing,"Oct 6, 2013 to Dec 29, 2013",['Fall 2013'],Sundays at 23:30 (JST),"None found,","None found,",['Tatsunoko Production'],['Manga'],"['Action', 'Comedy', 'Fantasy']","['Mythology', 'Urban Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.44,#2215,#1845,"128,923",441,38308,"Hundreds of years ago, the borders between the worlds of humans and youkai temporarily overlapped, resulting in many residents of both crossing over to the other side. In the years since this event, the city of Sakurashin has become a central hub for all inter-dimensional affairs—a result of both the sacred Seven Pillars around the city serving as a beacon for the youkai, and the efforts of the Hiizumi Life Counseling Office in keeping the townsfolk happy. This office is composed of Hime Yarizakura, the young mayor of the city; satori Ao Nanami, who can read people's minds; half-youkai Kotoha Isone, who can summon anything by speaking a word; oni siblings, Kyousuke and Touka Kishi; and the office director Akina Hiizumi, who inherited his family's ability to force youkai back to their world. Besides volunteer and arbitration work, the Life Counseling Office also suppresses any Strikes: rare occurrences where humans are suddenly infused with youkai powers and go on a rampage. But the appearance of a sinister man signals trouble as Strikes become increasingly common, political rivals make their moves, and malicious individuals descend upon the city. As the self-appointed defenders of Sakurashin, it's up to the Life Counseling Office to protect the idyllic city they call home! [Written by MAL Rewrite]","['Sequel (OVA) Yozakura Quartet: Tsuki ni Naku', 'Adaptation (Manga) Yozakura Quartet']",Yozakura Quartet: Hana no Uta,,,['Shounen'],
28,,コッペリオン,Coppelion,,,,['TV'],13,Finished Airing,"Oct 2, 2013 to Dec 25, 2013",['Fall 2013'],Wednesdays at 21:00 (JST),['Starchild Records'],['VIZ Media'],['GoHands'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7256,#1910,"123,770",227,54232,"At first glance, Ibara Naruse and her friends Aoi Fukasaku and Taeko Nomura look like average, carefree high school students. But the streets they walk on, their destination, and their surroundings are anything but normal. As they continue forward, the trio find themselves stepping deeper into an uninhabitable version of Tokyo, one that has been ravaged by a nuclear disaster 20 years ago. As part of the Dispatch 3rd Special Force Coppelion, known as the Health Care team, Ibara, Aoi, and Taeko are supported by the Japanese Ground Self-Defense Force (JGSDF) and Colonel Onihei Mishima as they scour the eerily silent streets for survivors. Finding the last remaining humans and having them evacuated by the JGSDF's helicopters is a daily occurrence for the girls. But as their work progresses, Ibara and her friends start to question their own humanity—namely, how they themselves are able to survive in Tokyo without any protective gear. [Written by MAL Rewrite]","['Adaptation (Manga) Coppelion', '']",Coppelion,['Military'],,['Seinen'],
29,"Kakumeiki Valvrave Second Season, Valvrave the Liberator Second Season",革命機ヴァルヴレイヴ　2ndシーズン,Valvrave the Liberator 2nd Season,Kakumeiki Valvrave Staffel 2,Kakumeiki Valvrave Temporada 2,Kakumeiki Valvrave Saison 2,['TV'],12,Finished Airing,"Oct 10, 2013 to Dec 27, 2013",['Fall 2013'],Unknown,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Bandai', 'Bandai Namco Entertainment']",['Aniplex of America'],['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),7.25,#3105,#2282,"96,214",199,54161,"Haruto and his comrades continue to fight against the forces of Dorssia. However, many things remain unanswered in the midst of battle, including the past of L-Elf and his fellow soldier's past, the destiny of the mysterious girl Liselotte, and the feelings of Haruto, Shouko, and Saki. The relationships and loyalty of each and every member of each army will be tested as the clash of ideals and power reaches its climax. (Source: ANN)","['Prequel (TV) Kakumeiki Valvrave', 'Adaptation (Light Novel) Kakumeiki Valvrave']",Kakumeiki Valvrave 2nd Season,,,,
