,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
221,DRIFTERS,Drifters,['OVA'],2,Finished Airing,"Dec 23, 2017",,,"['Rakuonsha', 'NBCUniversal Entertainment Japan', 'Shounen Gahousha']","None found,",['Hoods Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Seinen'],26 min. per ep.,R - 17+ (violence & profanity),7.53,#1834,#2502,"82,634",72,30406,"Despite the Ends’ attack on Verlina being successfully repelled, the war has not yet ended. With the monster armies regrouping, the Black King tightens his grasp on the already conquered territory. New conflicts erupt all across Orte, as its remaining forces struggle to retain control over long-oppressed demi-human races. While Ends grow more potent each day, Toyohisa Shimazu remains unconscious after heavy injuries suffered during the Battle of Verlina. Facing enemies on every side, humanity’s fate is still on a knife's edge. [Written by MAL Rewrite]","['Prequel (TV) Drifters', 'Sequel (OVA) Drifters: The Outlandish Knight', 'Adaptation (Manga) Drifters', '']",Drifters (OVA),"Drifters: Battle in a Brand-new World War, Drifters Second Season, Drifters 2nd Season",,,,,"['Adult Cast', 'Gore', 'Historical', 'Isekai', 'Military', 'Samurai']",,
222,ネコぱらOVA,,['OVA'],1,Finished Airing,"Dec 22, 2017",,,"None found,","None found,","['lxtl', 'Felix Film']",Visual novel,"['Comedy', 'Romance']",,58 min.,PG-13 - Teens 13 or older,6.92,#4751,#2531,"81,259",297,39507,"Despite being the proud owner of six catgirls alongside his sister Shigure, Kashou Minazuki moves away from home to open his patisserie La Soleil. While unpacking, he makes a startling discovery: two of his catgirls, Chocola and Vanilla, have stowed away in his luggage! Although the twins desperately want to stay by their master's side, Kashou has no idea if he can manage both his new shop and the two catgirls. But what if having more hands on deck is exactly what he needs? With the support of his caring sister and loyal catgirls, Kashou puts all his heart into making his dream a reality! [Written by MAL Rewrite]","['Prequel (ONA) Nekopara: Koneko no Hi no Yakusoku', 'Adaptation (Manga) Nekopara: Chocola & Vanilla']",Nekopara OVA,Neko Para OVA,,,,['Anthropomorphic'],,,
223,機動戦士ガンダムTHE ORIGIN,Mobile Suit Gundam: The Origin,['OVA'],6,Finished Airing,"Feb 28, 2015 to May 5, 2018",,,['Sotsu'],"['Nozomi Entertainment', 'NYAV Post']",['Sunrise'],['Manga'],"['Action', 'Sci-Fi']",['Shounen'],1 hr. 11 min. per ep.,R+ - Mild Nudity,8.33,#252,#2583,"78,236",915,33429,"In the year 0068 of the Universal Century, Casval Rem Deikun's life is thrown into chaotic disarray after the assassination of his father, a prolific figure in the crusade towards civil rights for people who live away from the Earth's surface. Casval and his sister Artesia receive aid from soldiers who were loyal to their father, and the siblings are whisked away from their home, separated, and thrown into a twisted fate that sees them come into their own as soldiers and adults. Years before stealing the name Char Aznable or his ""Red Comet"" moniker, Casval must contend with the rise of a militarized version of his father's ideology and his own vengeful nature as intergalactic war molds him into a legendary mobile suit pilot. [Written by MAL Rewrite]","['Adaptation (Manga) Kidou Senshi Gundam: The Origin', '']",Kidou Senshi Gundam: The Origin,,,,,,"['Mecha', 'Military', 'Space']",,
224,はじめてのギャル はじめての文化祭,My First Girlfriend is a Gal: My First Cultural Festival,['OVA'],1,Finished Airing,"Dec 26, 2017",,,"None found,",['Funimation'],['NAZ'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Shounen'],23 min.,PG-13 - Teens 13 or older,6.46,#7359,#2638,"75,693",105,36785,"It is the day of the school festival, and Junichi Hashiba and Yukana Yame's class cafe is doing well. During a break from her shift, Yukana hears an urban legend about the festival’s after-party. According to the tale, couples who share the last dance together will be lovers for the rest of their lives. Unfortunately, others catch on to this rumor and decide to separate Junichi and Yukana before they can dance. Will the two be able to stick together, or will someone else whisk them apart? [Written by MAL Rewrite]","['Prequel (TV) Hajimete no Gal', 'Adaptation (Manga) Hajimete no Gal']",Hajimete no Gal: Hajimete no Bunkasai,"Hajimete no Gyaru, Hajimete no Gal OVA, Hajimete no Gal Episode 11",,,,,"['Harem', 'School']",,
225,青の祓魔師 OVA,Blue Exorcist: Kyoto Saga OVA,['OVA'],2,Finished Airing,"Apr 4, 2017 to Oct 4, 2017",,,"None found,","None found,",['A-1 Pictures'],['Manga'],"['Action', 'Supernatural']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.09,#3961,#2667,"74,222",58,27542,Bundled with the 19th and 20th volumes of the Ao no Exorcist manga. The first episode is based on the second chapter of the second Ao no Exorcist novel Home Sweet Home. The second episode is based on the title chapter from the Ao no Exorcist: Spy Game novel.,"['Adaptation (Light Novel) Ao no Exorcist', '']",Ao no Exorcist: Kyoto Fujouou-hen OVA,Blue Exorcist: Kyoto Impure King Arc OVA,,,,['Mythology'],,,
226,武装少女マキャヴェリズム ドキッ！「五剣だらけ」の慰安旅行,,['OVA'],1,Finished Airing,"Nov 25, 2017",,,"None found,",['Sentai Filmworks'],"['SILVER LINK.', 'Connect']",['Manga'],"['Action', 'Ecchi']",['Shounen'],23 min.,PG-13 - Teens 13 or older,6.78,#5421,#3221,"52,466",32,25881,Original 13th episode bundled with the limited edition 7th volume of the Busou Shoujo Machiavellianism manga.,"['Prequel (TV) Busou Shoujo Machiavellianism', '']","Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",Busou Shoujo Machiavellianism Episode 13,,,,['School'],,,
227,To LOVEる -とらぶる- Multiplication ~前から後ろから~,,['OVA'],1,Finished Airing,"Nov 2, 2017",,,"None found,","None found,",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Shounen'],12 min.,R+ - Mild Nudity,7.14,#3714,#3279,"51,019",94,22383,"On what would typically be another ordinary day, Lala Satalin Deviluke takes one of her recent inventions—a robotic cat with cloning powers—to school for a chance to show it to Rito Yuuki. Upon accidentally touching the gadget, Rito begins repeatedly duplicating himself, and the school is soon entirely overrun by a horde of his clones. The only way to deactivate the cat is to hold its tail; however, its agility makes this a challenge. Will Rito's army of himself be able to catch it, or will the Earth be flooded by an unstoppable wave of duplicates? [Written by MAL Rewrite]","['Prequel (Special) To LOVE-Ru Darkness 2nd Specials', 'Adaptation (One-shot) To LOVE-Ru Bangai-hen: Multiplication - Mae kara Ushiro kara']",To LOVE-Ru: Multiplication - Mae kara Ushiro kara,"To LOVE-Ru (2017), To Loveru: Trouble - Multiplication, From the Front, from Behind",,,,,"['Harem', 'School']",,
228,小女ラムネ,,['OVA'],Unknown,Currently Airing,"Oct 7, 2016 to ?",,,['Mary Jane'],"None found,",['New Generation'],Visual novel,,,19 min.,Rx - Hentai,6.75,N/A,#3796,"39,182",605,19916,"Kiyoshi Tachikawa runs a candy store located in a small town on the outskirts of Tokyo. He had quit his previous job to get away from the commotion of a major city and now enjoys his days surrounded by little girls. Kiyoshi's shop is regularly visited by three girls in particular: Chie Sayama, Tenka Adachi, and Komako Semenovich. Due to his friendly and easygoing demeanor, the not-so-innocent girls quickly take to Kiyoshi, seeking his attention and help with their problems. They soon develop romantic feelings toward him and gladly leave their bodies in his care, passing time in his house by indulging in sexual pleasures. [Written by MAL Rewrite]",[],Shoujo Ramune,,,,,,,['Hentai'],
229,妹ビッチに搾られたい,,['OVA'],2,Finished Airing,"Oct 6, 2017 to Nov 3, 2017",,,['Lune-Pictures'],"None found,",['T-Rex'],Original,,,16 min. per ep.,Rx - Hentai,7.16,N/A,#4625,"25,728",168,11947,"When Mina agrees to come as a last-minute invitee to a mixer, she is surprised to see her brother sitting across the table. However, she decides to bite her tongue and not reveal this to her peers—even when the king's game that they are playing starts to get increasingly sexual. Elsewhere, the nature of Sayaka and her brother's relationship changes when her brother discovers a hole at waist-level in the wall between their rooms. Will Sayaka notice her brother watching her most intimate moments? [Written by MAL Rewrite]",[],Imouto Bitch ni Shiboraretai,I Want To Be Squeezed By My Bitch Sister,,,,,,['Hentai'],
230,ばくあね2 弟いっぱいしぼっちゃうぞ! THE ANIMATION,Bombastic Sisters 2,['OVA'],1,Finished Airing,"Nov 24, 2017",,,['Pink Pineapple'],"None found,",['Seven'],Visual novel,,,30 min.,Rx - Hentai,7.23,N/A,#5032,"21,054",127,9209,"The protagonist and his lover want to have their first time together, but due to past trauma, he can't go any further. The elder sister of the Takesaka household notices his problem and wants to help him... with sexual lessons! Even his cousin and the one who caused his trauma join the party, and the battle of the best sexual lesson begins.","['Adaptation (Light Novel) Baku Ane!! Otouto Ippai Shibocchau zo!', '']",Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,,,,,,,['Hentai'],
231,片田舎に嫁いできた○シア娘とHしまくるお話,,['OVA'],4,Finished Airing,"Nov 24, 2017 to Mar 30, 2018",,,"None found,","None found,",['Collaboration Works'],['Web manga'],,,17 min. per ep.,Rx - Hentai,7.25,N/A,#5615,"15,870",134,6785,"Kenta Suzumura is an unemployed man who has never managed to maintain a job or a loving relationship. On the other hand, his brother Kouta is handsome, intelligent, and married to a beautiful Russian woman named Arisa. However, when Kouta announces that he will be away on a business trip, Kenta decides to seize the opportunity and ""educate"" Arisa about Japan in the absence of her husband—of course, in the most obscene ways possible... [Written by MAL Rewrite]",[],Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,A Story of How a Russian Girl Suddenly Became a Part of My Back-Country Household and How Lots of Sex Ensued,,,,,,['Hentai'],
232,ヤマノススメ おもいでプレゼント,"Encouragement of Climb: ""Omoide"" Present",['OVA'],1,Finished Airing,"Oct 28, 2017",,,['Yomiuri TV Enterprise'],"None found,",['8bit'],['Manga'],"['Adventure', 'Slice of Life']",,26 min.,PG-13 - Teens 13 or older,7.40,#2354,#5636,"15,647",7,6866,"On the final day of summer vacation, Kokona Aoba is ready to spend some long-awaited time with her mother, but these plans are unfortunately canceled due to work. Opting to go outside instead, she takes a stroll down a familiar path—one where fond memories appear at every corner. Later, in the middle of autumn, Hinata Kuraue and Aoi Yukimura are looking through a scrapbook of their childhood. Snooping around in Aoi's room, Hinata finds that she has kept a strange acorn as a keepsake, but doesn't remember the reason why. As its discovery dwells on her, a wave of old memories comes forth, causing her to reminisce about a forgotten event from her childhood. From time spent with loved ones to promises from the past, Yama no Susume: Omoide Present follows the three girls as they cherish old memories while crafting entirely new ones to remember. [Written by MAL Rewrite]","['Prequel (TV) Yama no Susume Second Season', 'Sequel (TV) Yama no Susume Third Season']",Yama no Susume: Omoide Present,Yama no Susume OVA,,,,,"['CGDCT', 'Iyashikei']",,
233,ジュヴナイル・ポルノグラフィ THE ANIMATION,Milf Park,['OVA'],1,Finished Airing,"Dec 1, 2017",,,"['MS Pictures', 'BOOTLEG']",['Kitty Media'],['Office TakeOut'],['Manga'],,,16 min.,Rx - Hentai,6.55,N/A,#6149,"12,552",63,6231,A boy stumbles upon a beautiful girl reading something in the park. What could she be reading?,"['Adaptation (One-shot) Juvenile Pornography', '']",Juvenile Pornography The Animation,,,,,,,['Hentai'],
234,一求乳魂,Only My Oppai Soul,['OVA'],4,Finished Airing,"Oct 20, 2017 to Jun 22, 2018",,,"['Queen Bee', 'Mediabank']","None found,","None found,",['Manga'],,,22 min. per ep.,Rx - Hentai,6.95,N/A,#6178,"12,408",76,4486,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Ikkyu Nyuukon', '']",Ikkyuu Nyuukon,,,,,['Harem'],,['Hentai'],
235,八尺八話快樂巡り 異形怪奇譚 The Animation,,['OVA'],3,Finished Airing,"Nov 25, 2016 to Dec 22, 2017",,,['Pink Pineapple'],"None found,",['Seven'],['Manga'],"['Supernatural', 'Hentai']",,15 min. per ep.,Rx - Hentai,6.35,N/A,#6294,"11,816",71,5347,"Based on the manga by Jyoka. A young man caught hitchhiking tells a woman a horrific story. In it, we find a very young boy who, one afternoon, crossed the path of a woman of unreal greatness. Panicked, he went home and told his grandparents what he had seen. But this woman was not unknown to them... (Source: Nautiljon)","['Adaptation (Manga) 8-shaku 8-wa Kerakumeguri: Igyou Kaikitan', '']",8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,Hachishaku Hachiwa Keraku Meguri,,,,,,,
236,は~とふるママン THE ANIMATION,Heartful Maman The Animation,['OVA'],1,Finished Airing,"Oct 27, 2017",,,['Pink Pineapple'],"None found,","['G-Lam', 'Studio CA']",Visual novel,,,25 min.,Rx - Hentai,6.83,N/A,#6367,"11,450",60,5157,"Mao-kun is an ordinary high schooler-looking guy to the naked eye. What isn't ordinary in him though, is his family. His mother died when he was little, and his dad raised him alone since then. Because of the lack of motherly love, Mao-kun slowly became scared of women, also known as gynophobia. Suddenly, his dad remarries and give the new mother permission to fulfill Mao-kun's desire of motherly love—maybe a bit too much love.",[],Heartful Maman The Animation,,,,,,,['Hentai'],
237,巨乳大家族催眠,,['OVA'],2,Finished Airing,"Dec 1, 2017 to Jan 26, 2018",,,['Lune-Pictures'],"None found,",['T-Rex'],Visual novel,,,15 min. per ep.,Rx - Hentai,7.03,N/A,#6400,"11,335",35,4303,"Turning the powerful hypnotism capabilities of his penlight on his foster mother and stepsisters, Mamiya Yuuichi uses his family as an outlet for his sexual desires. As the absurdity that is the Mamiya household unfurls, the neighbors begin to notice. Worrying for the moral state of the Mamiya household, their neighbor Nanae comes over to talk. She is powerless to resist his powers of hypnotism, and their other neighbor, Yachiyo, later shares the same fate. Finally Ruiko, President of the Neighborhood Association, approaches the Mamiyas' house (Source: TMDB)","['Prequel (OVA) Kyonyuu Kazoku Saimin', '']",Kyonyuu Daikazoku Saimin,,,,,,,['Hentai'],
238,キメ恋!,Kimekoi! - Love Decision! The Reason Why I'm Going after a Girl Out of My League and My Childhood Friend,['OVA'],2,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",,,['Mary Jane'],"None found,",['Silver'],['Light novel'],,,15 min. per ep.,Rx - Hentai,6.89,N/A,#6779,"9,946",39,3666,"Hero Hajime is going to school with Misa and Megumi. He loves Megumi, and asks Misa if there is a way to win Megumi over. Misa produces a pill that is supposed to make the taker reveal their exact feelings for someone. It turns out Megumi has been wanting Hajime, but so has Misa.","['Adaptation (Light Novel) Kime Koi! Takane no Hana to Osananajimi ga Kimatta Riyuu', '']",Kime Koi!,"Kimekoi!, Kimekoi! Takane no Hana to Osananajimi ga Kimatta Riyuu",,,,,,['Hentai'],
239,さきゅばみすと・すとーりー,Demoness of Dreams,['OVA'],1,Finished Airing,"Oct 6, 2017",,,"['MS Pictures', 'BOOTLEG']",['Kitty Media'],['Office TakeOut'],['Manga'],,,15 min.,Rx - Hentai,6.39,N/A,#7077,"8,943",17,3760,Based on the manga Non-Human Life by Kimura Neito. A love story between a human boy and a succubus. (Source: Xanim),"['Adaptation (Manga) Non-Human Life', '']",Succubu-ist Story The Animation,"Succuba Mist Story, Sakyubamist Story",,,,,,['Hentai'],
240,Lostorage conflated WIXOSS -missing link-,,['OVA'],1,Finished Airing,"Dec 14, 2017",,,"None found,","None found,",['J.C.Staff'],Card game,,,25 min.,R - 17+ (violence & profanity),6.53,#6900,#8275,"6,051",2,1631,"Suzuko Homura and Chinatsu Morikawa's victory against the nefarious Bookmaker Kou Satomi has allowed the two girls to finally return to a life of normalcy and seize the chance to move on. However, the peace does not last long, as Kiyoi Mizushima requests Suzuko's help to prevent the next cycle of Selector battles; even after Satomi's defeat, efforts to continue his plans seem to persist. Troubled by lingering doubts and the unresolved situation, Suzuko decides to assist Mizushima with her investigation—unknowingly becoming involved in the escalating fight that will determine the fate of Selectors once and for all. [Written by MAL Rewrite]","['Prequel (TV) Lostorage Incited WIXOSS', 'Sequel (TV) Lostorage Conflated WIXOSS']",Lostorage Conflated WIXOSS: Missing Link,,,,,,"['High Stakes Game', 'Psychological', 'Strategy Game']",['Suspense'],
241,かぎろひ~勺景~ Another,,['OVA'],4,Finished Airing,"Oct 27, 2017 to Feb 23, 2018",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,17 min. per ep.,Rx - Hentai,6.16,N/A,#8483,"5,744",13,1825,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kagirohi: Shaku Kei - Another,,,,,,,['Hentai'],
242,バジャのスタジオ,,['OVA'],1,Finished Airing,"Oct 28, 2017",,,"['Lantis', 'Rakuonsha']","None found,",['Kyoto Animation'],Original,,['Kids'],21 min.,PG - Children,6.98,#4460,#8572,"5,596",5,2454,"Baja is a little hamster that lives in an animation studio. During the day, the studio staff fawn over him as they take a much-needed break from their busy production schedule. By night, however, Baja is all alone—except for the ever-present duck floating in the pond outside his window. One night, when the duck is suddenly threatened, Baja desperately wants to do something to save it. With the power of the animation studio on his side, Baja steps into a magical world where anything seems possible. [Written by MAL Rewrite]","['Sequel (OVA) Baja no Studio: Baja no Mita Umi', '']",Baja no Studio,Baja's Studio,,,,,,['Fantasy'],
243,"パコマネ わたし, 今日から名門野球部の性処理係になります... THE ANIMATION",,['OVA'],1,Finished Airing,"Dec 12, 2017",,,['Pink Pineapple'],"None found,",['Office No. 8'],Visual novel,,,28 min.,Rx - Hentai,6.53,N/A,#8764,"5,267",13,2024,Based on erotic game by Frill.,"['Adaptation (Light Novel) Pakomane: Watashi, Kyou kara Meimon Yakyuubu no Seishorigakari ni Narimasu...', '']","Pakomane: Watashi, Kyou kara Meimon Yakyuubu no Seishorigakari ni Narimasu... The Animation",,,,,,,['Hentai'],
244,龍堂寺士門の淫謀,,['OVA'],2,Finished Airing,"Oct 20, 2017 to Apr 20, 2018",,,"['Mediabank', 'Gold Bear']","None found,",['Anime Antenna Iinkai'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.44,N/A,#8889,"5,067",25,1929,"A former science teacher receives a mysterious recruitment document, inviting him to a prestigious school. However, this school is not what it seems...",[],Ryuudouji Shimon no Inbou,,,,,,,['Hentai'],
245,HiGH&LOW g-sword OVA,,['OVA'],1,Finished Airing,"Oct 17, 2017",,,"None found,","None found,","None found,",Other,"['Action', 'Drama']",['Shounen'],5 min.,G - All Ages,[],#21198,#17952,424,0,,"Bundled with the limited edition volume 5 of the High & Low: G-Sword manga. The DVD contained all the episodes of the previously released G-Sword anime (the TV eps, the Movie eps, the Special theme park eps), as well as containing 5 brand new episodes focusing primarily on rival gangs.","['Prequel (Special) High & Low: G-Sword (Special)', 'Adaptation (Manga) High & Low: G-Sword']",High & Low: G-Sword OVA,,,,,,,,
246,劇場版「Fate/stay night [Heaven's Feel] Ⅰ.presage flower」,Fate/stay night: Heaven's Feel - I. Presage Flower,['Movie'],1,Finished Airing,"Oct 14, 2017",,,"['Aniplex', 'Notes', 'Kadokawa']",['Aniplex of America'],['ufotable'],Visual novel,"['Action', 'Fantasy']",,2 hr.,R - 17+ (violence & profanity),8.15,#459,#501,"476,334","2,646",267537,"The Holy Grail War: a violent battle between mages in which seven masters and their summoned servants fight for the Holy Grail, a magical artifact that can grant the victor any wish. Nearly 10 years ago, the final battle of the Fourth Holy Grail War wreaked havoc on Fuyuki City and took over 500 lives, leaving the city devastated. Shirou Emiya, a survivor of this tragedy, aspires to become a hero of justice like his rescuer and adoptive father, Kiritsugu Emiya. Despite only being a student, Shirou is thrown into the Fifth Holy Grail War when he accidentally sees a battle between servants at school and summons his own servant, Saber. When a mysterious shadow begins a murderous spree in Fuyuki City, Shirou aligns himself with Rin Toosaka, a fellow participant in the Holy Grail War, in order to stop the deaths of countless people. However, Shirou's feelings for his close friend Sakura Matou lead him deeper into the dark secrets surrounding the war and the feuding families involved. [Written by MAL Rewrite]","['Prequel (TV) Fate/Zero 2nd Season', ""Sequel (Movie) Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly"", ""Adaptation (Manga) Fate/stay night: Heaven's Feel"", '']",Fate/stay night Movie: Heaven's Feel - I. Presage Flower,,Fate/stay night der Film: Heaven's Feel I. - Presage Flower,,,['Urban Fantasy'],,,
247,コードギアス 反逆のルルーシュⅠ 興道,Code Geass: Lelouch of the Rebellion I - Initiation,['Movie'],1,Finished Airing,"Oct 21, 2017",,,"None found,",['Funimation'],['Sunrise'],Original,"['Action', 'Sci-Fi']",,2 hr. 14 min.,R+ - Mild Nudity,7.88,#864,#2110,"107,713",192,41685,"The Holy Britannian Empire is a powerful nation that uses its military strength to expand its rule, and the small island nation of Japan is yet another victim. During a worldwide conflict in 2010 known as the Second Pacific War, the once-proud country was reduced to rubble and mockingly renamed to Area 11. However, one student plans to free Japan from Britannia's control through an extraordinary rebellion. His name is Lelouch Lamperouge, and he is fueled with hatred for the Empire, plotting to wipe its accursed name off the face of the planet. Lelouch's malicious plans are unexpectedly accelerated upon meeting the mysterious woman C.C., who grants him a supernatural ability known as Geass that makes anyone Lelouch commands unable to defy his will. Now armed with a devastating power, Lelouch assumes the persona of Zero, a revolutionary figure who carries the hopes and dreams of the oppressed around the world. He vows to restore the glorious nation of Japan and deliver divine retribution to Britannia. [Written by MAL Rewrite]","['Sequel (Movie) Code Geass: Hangyaku no Lelouch II - Handou', '']",Code Geass: Hangyaku no Lelouch I - Koudou,Code Geass: Lelouch of the Rebellion - Awakening,Code Geass: Lelouch of the Rebellion - Initiation,,,,"['Mecha', 'Military', 'School', 'Super Power']",,
248,特別版 Free!-Take Your Marks-,,['Movie'],1,Finished Airing,"Oct 28, 2017",,,['ABC Animation'],['Funimation'],"['Kyoto Animation', 'Animation Do']",Original,,,1 hr. 48 min.,PG-13 - Teens 13 or older,7.74,#1181,#2418,"87,328",153,33159,"Taking place between the events of Free!: Eternal Summer and Free!: Dive to the Future, Free!: Take Your Marks plays out the graduated seniors' last summer through four different stories before they set sail for the future. Unmei no Choice! (Destined Choice!) follows Haruka Nanase and Makoto Tachibana searching for a new apartment for Haruka as he settles into Tokyo. Hitou no Cooling Down! (Cooling Down at the Secret Hot Spring!) sees Aiichiro Nitori choose a graduation gift for Rin Matsuoka and Sousuke Yamazaki, while Momotaro Mikoshiba wins tickets to the Anago Hot Springs. Hoping for a trip together, Aiichiro and Momotaro invite Rin and Sousuke. Kessoku no Batafurai! (United Butterfly!) shows Rei Ryugazaki, Nagisa Hazuki, and Gou Matsuoka creating a recruitment video to attract new club members for the next school year. Tabidachi no Etanaru Buru! (Departing Eternal Blue!) looks into the Iwatobi and Samezuka swim teams' plans for Rin's surprise going-away party, as he will be departing for Australia soon. [Written by MAL Rewrite]","['Prequel (TV) Free! Eternal Summer', 'Prequel (Movie) Free! Movie 2: Timeless Medley - Yakusoku', 'Sequel (Special) Free! Dive to the Future - Soushun no Build-up!', '']",Free! Take Your Marks,Tokubetsuban Free! Take Your Marks,Free! Take your Marks,,,['School'],,['Slice of Life'],
249,GODZILLA -怪獣惑星-,Godzilla: Planet of the Monsters,['Movie'],1,Finished Airing,"Nov 17, 2017",,,"['TOHO', 'TOHO animation']","None found,",['Polygon Pictures'],Original,"['Action', 'Adventure', 'Sci-Fi']",,1 hr. 27 min.,R - 17+ (violence & profanity),6.43,#7547,#2874,"65,401",68,37580,"Twenty thousand years after the fall of humanity, Earth succumbed to legions of ravenous creatures who now freely roam the planet. Far away in the depths of space, the last surviving members of humanity float aimlessly in the same ship they escaped Earth with so many years ago. With the spacecraft running dangerously low on resources, the survivors' leading council must decide on their path forward: should they continue to gamble on finding another Earth-like planet to inhabit, or take to heart an anonymous essay theorizing what may be the only weakness of the ""Godzilla,"" who forced the last remnants of humanity off their home world? The author of the controversial essay is Haruo Sakaki, a man who witnessed the death of his parents to Godzilla at a young age, which has led him to harbor an obsessive hatred for the monster. Now, he spearheads the operation aimed at reclaiming humanity's birthright from the king of monsters and slaying him once and for all. But, alongside humanity, Earth has undergone drastic change since their departure; Godzilla and its numerous spawns may pale in comparison to the darkness lurking within the hearts of this close-knit community of survivors. [Written by MAL Rewrite]","['Sequel (Movie) Godzilla 2: Kessen Kidou Zoushoku Toshi', 'Adaptation (Manga) Godzilla: Kaijuu Wakusei']",Godzilla 1: Kaijuu Wakusei,,Godzilla: Planet der Monster,,,,,,
250,『ガールズ＆パンツァー 最終章』第1話,Girls und Panzer das Finale – Part 1,['Movie'],1,Finished Airing,"Dec 9, 2017",,,"['Bandai Visual', 'Lantis', 'Movic', 'Q-Tec', 'Hakuhodo DY Music & Pictures']",['Sentai Filmworks'],['Actas'],Original,,,47 min.,PG-13 - Teens 13 or older,7.95,#730,#3205,"53,162",143,25519,"Rumor has it that Momo Kawashima, former student council member at Ooarai Girls Academy, is bound to repeat a year. Having failed her university entry exams, she is far from spending another year at Ooarai, but her plight is unenviable nevertheless. The only way for her to gain admission into a university is to be granted an athletic scholarship. With the Winter Continuous Track Cup rapidly approaching, Momo becomes the commander of Ooarai's tankery team, so as to demonstrate her sport skills and wipe away the stain on her honor. Their first opponent—French-themed BC Freedom High School—is split into two factions that are constantly at odds with each other. Despite this seemingly fortuitous match against a disorganized rival, Ooarai might soon find itself taking one step too far. [Written by MAL Rewrite]","['Prequel (Special) Girls & Panzer Movie Specials', 'Sequel (Movie) Girls & Panzer: Saishuushou Part 2']",Girls & Panzer: Saishuushou Part 1,,,,,,"['CGDCT', 'Military', 'School']",,
251,ご注文はうさぎですか??～Dear My Sister～,Is the Order a Rabbit?? Dear My Sister,['Movie'],1,Finished Airing,"Nov 11, 2017",,,['Showgate'],"None found,",['production doA'],['4-koma manga'],,,1 hr.,PG-13 - Teens 13 or older,7.79,#1065,#3559,"44,284",136,18860,"Cocoa visits her family, in the mountains, after quite some time again after her sister Mocha wrote her, through a letter, to come back soon. Her friends will have to spend a week in the town without her, while Cocoa has time with her family that she hasn't seen for a long time. But Chino, Cocoa's self proclaimed little sister, wants to go watch, with Cocoa and all her friends, the fireworks in the fireworks festival, which is coming up in less than a week. Cocoa decides to return early as she misses them all, but will she arrive in time for the climax of the festival? (Source: TMDB)","['Prequel (TV) Gochuumon wa Usagi desu ka??', 'Sequel (OVA) Gochuumon wa Usagi desu ka?? Sing for You', 'Sequel (TV) Gochuumon wa Usagi desu ka? Bloom', 'Adaptation (Manga) Gochuumon wa Usagi desu ka?']",Gochuumon wa Usagi desu ka?? Dear My Sister,,,,,,"['CGDCT', 'Iyashikei', 'Workplace']",['Slice of Life'],
252,劇場版 はいからさんが通る 前編 ～紅緒、花の17歳～,Haikara-san: Here Comes Miss Modern,['Movie'],1,Finished Airing,"Nov 11, 2017",,,"['Kodansha', 'Warner Bros. Japan', 'KlockWorx', 'Tokyo MX', 'Asahi Shimbun']",['Eleven Arts'],['Nippon Animation'],['Manga'],"['Comedy', 'Romance']",['Shoujo'],1 hr. 37 min.,PG-13 - Teens 13 or older,7.48,#2050,#4239,"30,910",100,9440,"The story follows Benio ""Haikara-san"" Hanamura, who lost her mother when she was very young and has been raised by her father, a high-ranking official in the Japanese army. As a result, she has grown into a tomboy—contrary to traditional Japanese notions of femininity, she studies kendo, drinks sake, dresses in often outlandish-looking Western fashions instead of the traditional kimono, and is not as interested in housework as she is in literature. She also rejects the idea of arranged marriages and believes in a woman's right to a career and to marry for love. (Source: ANN)","['Sequel (Movie) Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman', 'Adaptation (Manga) Haikara-san ga Tooru']","Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai","Gekijouban Haikara-san ga Tooru Zenpen, Smart-san, Mademoiselle Anne, There Goes the Modern Girl, Here Comes a Dandy",,,,['Historical'],,,
