,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
145,ストレンヂア -無皇刃譚-,Sword of the Stranger,['Movie'],1,Finished Airing,"Sep 29, 2007",,,"['Bandai Visual', 'Shochiku', 'Sony Music Entertainment', 'Hakuhodo DY Media Partners', 'Fonishia']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure']","['Historical', 'Samurai']",1 hr. 42 min.,R - 17+ (violence & profanity),8.25,#330,#746,"342,996","3,022",168367,"In the Sengoku period of Japan, a young orphan named Kotarou and his dog Tobimaru steal from unsuspecting villagers in order to make ends meet. However, Kotarou is forced to remain on the run when he finds himself being hunted down by assassins sent by China's Ming Dynasty for mysterious reasons not involving his petty crimes. Fortunately, the duo run into Nanashi, a ronin who has taken refuge in a small temple, when Kotarou is attacked and Tobimaru poisoned. Although the samurai saves the helpless pair from their pursuers, he feels that there is no need to help them further; but when offered a gem in exchange for his services as a bodyguard, he reluctantly accepts Kotarou's offer of employment—just until Tobimaru is healed and the two reach their destination. As the three set out on a perilous journey, it soon becomes evident that their path is riddled with danger, as the Ming Dynasty has now sent a terrifying swordsman after them to capture Kotarou and fulfill a certain prophecy. [Written by MAL Rewrite]","['Adaptation (Manga) Stranger: Mukou Hadan', '']",Stranger: Mukou Hadan,,,,Sword of the Stranger,,,Sword of the Stranger,Sword of the Stranger: El Samurai sin Nombre
146,劇場版NARUTO -ナルト- 疾風伝,Naruto Shippuden the Movie 1,['Movie'],1,Finished Airing,"Aug 4, 2007",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 34 min.,PG-13 - Teens 13 or older,7.29,#2875,#846,"308,201",323,178393,"A group of ninja is planning to revive a powerful demon, and once its spirit is reunited with its body, the world will be destroyed. The only way to prevent this from happening is for Shion, a shrine maiden, to seal it away for good. Naruto Uzumaki is tasked to guard her, but one thing stops Shion from accepting his help: she also has the ability to predict death—and she has foreseen his demise approaching soon. In order to escape his fate, Naruto must stay away from Shion; however, undeterred, he chooses to challenge the prophecy in order to protect Shion and the world. [Written by MAL Rewrite]","['Adaptation (Light Novel) Gekijouban Naruto: Shippuuden', '']",Naruto: Shippuuden Movie 1,"Naruto Shippuden Movie, Naruto Movie 4, Gekijouban Naruto Shippuuden",,['Shounen'],Naruto Shippuden Le Film: Un Funeste Présage,,,Naruto Shippuden: Der Film,Naruto Shippuden: La Película
147,劇場版 クラナド,Clannad The Motion Picture,['Movie'],1,Finished Airing,"Sep 15, 2007",,,"None found,",['Sentai Filmworks'],['Toei Animation'],Visual novel,"['Drama', 'Romance', 'Supernatural']",,1 hr. 33 min.,PG-13 - Teens 13 or older,7.24,#3154,#1399,"181,875",450,93562,"Tomoya Okazaki is a cynical delinquent who lacks ambition as he apathetically labors through high school. During his childhood, a tragedy had caused his father to seek solace in alcoholism and neglect his son. Yet, meaningful human interaction can be a benediction, as Tomoya learns when he meets the enigmatic Nagisa Furukawa. The odd girl offers a gesture of friendship to Tomoya, but he rejects the request, dismissing it as a trivial incident. However, as he soon realizes that he is encountering Nagisa more and more often during school, Tomoya drops his discompassions and befriends the girl. When he learns that Nagisa's dream is to revive the Drama Club, Tomoya decides to shed his detachment from the ordinary pleasures of life and dedicate himself to helping his new friend achieve her ambition. But what starts as a simple friendship may progress into something far more deep, intimate, and life-changing. As the pair face various hardships and afflictions, Tomoya and Nagisa gradually come to terms with the challenges of life. [Written by MAL Rewrite]",[],Clannad Movie,Gekijouban Clannad,,,,['School'],,Clannad: Der Film,
148,ポケットモンスター ダイヤモンド＆パール ディアルガVSパルキアVSダークライ,Pokémon: The Rise Of Darkrai,['Movie'],1,Finished Airing,"Jul 15, 2007",,,['Shogakukan Productions'],"['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",,1 hr. 30 min.,PG - Children,7.31,#2804,#1936,"120,698",145,75206,"The beautiful Alamos Town is home to a pair of century-old structures known as the Space-Time Towers, built by the architect Godey to play orchestral music in the area. The towers are also home to the Alamos Town Contest Hall, which is the next destination for Hikari, Satoshi, and Takeshi in their journey through the Sinnoh region. A woman named Alice and her partner Chimchar are happy to guide Satoshi and his friends through the town and its hallmarks. But the tour is suddenly interrupted when Alice's friend Tonio notices a wave of dimensional disturbances throughout the town—all of which is blamed on an ominous Pokémon named Darkrai. The space-time disturbances continue to intensify as two legendary Pokémon, the Temporal Pokémon Dialga and the Spatial Pokémon Palkia, appear to duel each other, isolating the town and everyone present in it from the world into another dimension! As he learns that this event was foreseen long ago, Tonio finds that his great-grandfather left behind a way to stop the dueling Pokémon. Will Satoshi and his friends be able to use this last resort to save Alamos Town from vaporizing between the dimensions? [Written by MAL Rewrite]","['Adaptation (Manga) Gekijouban Pocket Monsters Diamond & Pearl: Dialga vs. Palkia vs. Darkrai', '']",Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,"Gekijouban Pocket Monsters Diamond and Pearl: Dialga vs. Palkia vs. Darkrai, Pokemon Diamond & Pearl: Dialga vs. Palkia vs. Darkrai",,['Kids'],Pokemon Film 10: L'ascension de Darkrai,,,Pokémon Film 10: Der Aufstieg von Darkrai,Pokémon Película 10: Pokémon: El desafío de Darkrai
149,ピアノの森 The Perfect World of Kai,The Piano Forest,['Movie'],1,Finished Airing,"Jul 21, 2007",,,"['Sony Music Entertainment', 'Cyclone Graphics']","None found,",['Madhouse'],['Manga'],,"['Music', 'School']",1 hr. 40 min.,G - All Ages,7.61,#1568,#2759,"70,471",123,28233,"Piano no Mori tells the story of Shuuhei Amamiya, a transfer student, and Kai Ichinose, a problem child from the rough areas of town. Upon transferring to Moriwaki Elementary and telling the other kids about his talent for piano, Shuuhei quickly finds himself as the victim of bully Daigaku Kanehira. Daigaku dares Shuuhei to find and play a cursed piano in the forest, which leads him to meet Kai, who claims to be the owner of the piano and the only one who can play it. Intrigued, Shuuhei follows Kai to the hidden piano in the forest and listens to him play a beautiful medley. Earning the respect of not only Shuuhei but school music teacher Sousuke Ajino as well, Kai now finds himself formally learning how to play the piano. [Written by MAL Rewrite]","['Adaptation (Manga) Piano no Mori Read Manga', '']",Piano no Mori,"The Perfect World of Kai, Forest of Piano",['Drama'],['Seinen'],Piano Forest,,,The Piano Forest,
150,ジーニアスパーティー,,['Movie'],7,Finished Airing,"Jul 7, 2007",,,"None found,",['GKIDS'],['Studio 4°C'],Original,"['Action', 'Avant Garde', 'Fantasy', 'Romance', 'Sci-Fi']","['Mecha', 'Music', 'Psychological']",14 min. per ep.,R+ - Mild Nudity,7.11,#3875,#3753,"40,231",75,13302,"A collection of seven individual and unique shorts which range from touching to downright bizarre. With each story different from the last, we encounter monsters going to school, a man who has a hard time dealing with himself, and a child who learns the hard way about the circle of life, as well as many other unique characters and experiences. A journey through the minds of the most prolific artists in Japan, this compilation truly is the setting of a Genius Party. [Written by MAL Rewrite]",[],Genius Party,"Shanghai Dragon, Deathtic 4, Doorbell, Limit Cycle, Happy Machine, Baby Blue",,,,,,,
151,ベクシル 2077日本鎖国,Vexille,['Movie'],1,Finished Airing,"Aug 18, 2007",,,"['Avex Entertainment', 'Shochiku', 'TBS', 'Yahoo! Japan', 'Shogakukan', 'Shogakukan Productions']",['Funimation'],['Oxybot'],Original,"['Action', 'Sci-Fi']",,1 hr. 49 min.,PG-13 - Teens 13 or older,6.89,#4876,#5227,"19,276",24,11048,"In an alternate 21st century, the robotics industry undergoes a period of rapid advancement worldwide. By the year 2050, Japan has firmly established itself as the leader in robotic technology and manufacture with Daiwa Heavy Industries. As the technology evolves to include robotic enhancements to the human body, the blurring of the line between man and machine triggers a sudden shift in world opinion. In response, the U.N. passes a unilateral ban of further research and development on robotics in 2067. Japan fiercely objects to this ban, but is unable to prevent its passage. In protest, Japan withdrew from international politics and chose to pursue a policy of high-tech national isolation. While only trade continues, Japan disappears from the world scene. Ten years later, a series of bizarre incidents lead the American technology police agency SWORD to believe that Japan has concealed extensive development of banned technologies through the use of the RACE network. SWORD dispatches a unit of special agents to infiltrate Japan and gather intelligence on the country. Vexille, a veteran agent among the group, uncovers the horrifying truth behind the ten years of isolation.",[],Vexille: 2077 Nihon Sakoku,"Vexille: 2077 Nippon Sakoku, Vexille: 2077 Japan National Isolation",,,Vexille 2077,['Military'],,Vexille,Vexille
152,河童のクゥと夏休み,Summer Days with Coo,['Movie'],1,Finished Airing,"Jul 28, 2007",,,"['Dentsu', 'TV Asahi', 'Shochiku', 'Sony Music Entertainment', 'Dentsu Tec', 'Imagine']",['GKIDS'],['Shin-Ei Animation'],Original,"['Adventure', 'Award Winning', 'Fantasy']",,2 hr. 21 min.,PG - Children,7.49,#2008,#5241,"19,070",52,8161,"Kouichi Uehara is a fourth grade student living in the suburb of Tokyo. One day, he picks up a large stone which turns out to be a fossil of a baby ""Kappa"" who has been sleeping underground for the past 300 years, and names it ""Coo."" They become good friends and Coo starts living with Kouichi's family. However, Coo has a hard time adjusting to life among humans and misses his kind.",[],Kappa no Coo to Natsuyasumi,Kappa no Coo to Natsuyasumi,,,Un été avec Coo,['Mythology'],,Summer Days with Coo,El Verano de Coo
153,劇場版アクエリオン -壱発逆転篇-,,['Movie'],1,Finished Airing,"Sep 22, 2007",,,['Sankyo'],"None found,",['Satelight'],Original,"['Drama', 'Fantasy']",,1 hr. 56 min.,PG-13 - Teens 13 or older,6.71,#5809,#7852,"6,905",3,2363,"This movie is an alternative version of the TV series; it is composed of the two 2007 OVAs, edited to improve the pacing of the plot, and an extra segment akin to a TV episode where the cast are given the task of studying flowers. The plot has several differences to the TV series.",[],Aquarion Movie: Ippatsu Gyakuten-hen,Gekijouban Aquarion: Ippatsu Gyakuten Hen,,,,['Mecha'],,,
154,キディ・グレイド　劇場版　第三部: 黎明篇,,['Movie'],1,Finished Airing,"Sep 1, 2007",,,"['Kadokawa Shoten', 'gimik']","None found,","['Gonzo', 'asread.']",Original,"['Action', 'Sci-Fi']","['Mecha', 'Space', 'Super Power']",1 hr. 30 min.,PG-13 - Teens 13 or older,7.06,#4084,#8840,"5,158",6,1605,A is the retelling of the original anime's finale.,"['Prequel (Movie) Kiddy Grade: Maelstrom', '']",Kiddy Grade: Truth Dawn,"Kiddy Grade: Reimei-hen, Kiddy Grade Movie 3",,,,,,,
155,銀河鉄道999 星空はタイムマシーン,,['Movie'],1,Finished Airing,"Jul 14, 2007",,,"None found,","None found,",['Toei Animation'],Unknown,"['Drama', 'Sci-Fi']",,32 min.,G - All Ages,6.33,#8108,#13709,"1,165",0,188,"Sometime in the 21st century on the Earth, Galaxy Express 999 destined for Great Andromeda is about to depart. A mysterious girl, Jula, suddenly appears in front of Maetel and Tetsuro who are visiting a museum. After predicting the fall of the human race, Jula has disappeared into outer space. Matel and Tetsuro follow her riding in the 999. Tetsuro finds Jula on asteroid Itokawa, which was once explored by the Hayabusa probe. Jula disappears into space again but her spacecraft crashes into an asteroid, falling down to Jupiter. Will Tetsuro be able to rescue Jula? What does Jula mean by the ""fall of the human race""? Transcending space and time, this is the saga of the 999 traveling among the stars in our solar system. (Source: Toei Animation)",[],Ginga Tetsudou 999: Hoshizora wa Time Machine,"Galaxy Express 999: The Starlit Sky is a Time Machine, Galaxy Express 999: The Starlit Sky is a Time Machine - Solar System/Extinction of the Dinosaurs",,,,,,,
156,それいけ! アンパンマン シャボン玉のプルン,"Anpanman: Purun, the Soap Bubble",['Movie'],1,Finished Airing,"Jul 14, 2007",,,"['VAP', 'Tokyo Movie Shinsha']","None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,51 min.,PG - Children,6.15,#9072,#15484,707,1,208,"Anpanman's friends go see a bubble show performed by Shabondama-hime and her Shabondama Girls, who make exquisite bubbles by playing their flutes. One of the girls, Purun, can't make big bubbles no matter how much she rehearses. She feels inadequate as she goes to retrieve her lost flute, which Creampanda finds and goes to return. Meanwhile Baikinman takes over Shabondama-hime's castle and steals the flutes, using their power to create evil bubbles, and Purun must realize her own importance and save the day with Anpanman's help. (Source: ANN)",[],Sore Ike! Anpanman: Shabondama no Purun,,,['Kids'],,,,,
157,大ちゃん、だいすき。,,['Movie'],1,Finished Airing,"Aug 18, 2007",,,"['Tama Production', 'Tokyo MX']","None found,","None found,",Book,"['Drama', 'Slice of Life']",,1 hr. 20 min.,G - All Ages,[],#17522,#16995,508,0,,"Main character in this film, Mai, has a handicapped brother, who is totally deaf, called Dai-Chan. He is like a younger brother for Mai yet he is actually her older brother because Dai-Chan always asks Mai to hold him up with smiling all over. One day, an elementary school Mai goes to and a handicapped school Dai-Chan goes to start to communicate each other. And then, Mai's class mates started to make fun of Mai and draw a funny portrait of Dai-Chan on black board in the class. Mai gets shocked and hurt at that mischief. And moreover, their mother gets sickness at the same time. That's why Dai-Chan should enter in an orphanage for handicapped children; however, Mai really wants to take care of him by herself, so she tries to stop it. This story is written about a love of family, close bond, and relationship between human and human. We definitely have a common warm heart and a moment we have to use it with honest feeling. This film could remind us some important things we should never forget about our life. (Source: AniDB)",[],"Dai-chan, Daisuki.","Daichan, Daisuki.",,,,['School'],,,
158,それいけ!アンパンマン ホラーマンとホラ・ホラコ,,['Movie'],1,Finished Airing,"Jul 14, 2007",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,20 min.,PG - Children,[],#14525,#17831,433,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Horrorman to Hora Horako,,,['Kids'],,,,,
159,보글보글 보물선,Submarine Bubble Bubble,['Movie'],1,Finished Airing,"Jul 25, 2007",,,"None found,","None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,55 min.,PG-13 - Teens 13 or older,[],#17007,#18263,403,0,,A bunch of dreamers and treasure hunters go hunting for a legendary dragon treasure. (Source: AniDB),[],Bogeul Bogeul Bomulseon,,,,,,,,
160,モモタロスのなつやすみ,,['Movie'],1,Finished Airing,"Aug 4, 2007",,,"None found,","None found,","None found,",Other,"['Action', 'Comedy']","['Parody', 'Super Power']",2 min.,G - All Ages,5.38,#12481,#18619,373,0,136,"Momotaros's Summer Vacation is a short film that debuted between the Gekiranger movie and I'm Born!. Using live action photographs, 3D computer graphics, and traditional animation (all of which is termed a Momotion Picture, it has Momotaros gloating of his strength until Sha-Fu dared him to proved it by swimming. After being made fun of by Urataros and Ryutaros, and bashed by Kintaros, Momotaros is talked into believing he can swim by Deneb. But as the ""mind over matter"" influence wears off, the Imagin and Sha-Fu tell the audience the movie's coming up soon. (Source: Wikipedia)",[],Momotaros no Natsuyasumi,"Momotaros's Summer Vacation, Momo Natsu",,['Kids'],,,,,
161,鉄の子カナヒル,,['Movie'],1,Finished Airing,"Aug 4, 2007",,,['Higa Brothers Production'],"None found,","None found,",Unknown,,,32 min.,G - All Ages,[],#14818,#19797,297,0,,"There came a time when iron vanished from Okinawa. A Cana baby called Kanahiru arrived at the shores of Okinawa. He was from a far away land called Iron Hills. A place far beyond the seas. He was baffled by the deformity of Gana Hill, even teased the citizens, but he decided to stay. Years later ferocious demons capture Gana Hill and take Kanahiru to the demon island.",[],Tetsu no Ko Kanahiru,Kanahiru The Iron Boy,['Fantasy'],,,,,,
162,Pooky's,Pooky's,['Movie'],1,Finished Airing,"Sep 11, 2007",,,"None found,","None found,",['Spooky graphic'],Original,"['Comedy', 'Supernatural']",,25 min.,PG - Children,[],#21111,#22551,153,1,,"Charming but Surreal. Scary but Adorable. Pooky's is a ""Cool and Stylish"" animation comedy full of cute & unique ghost characters. Designers'unit ""Spooky graphic"" presents a great 3DCG animation piece to all the kids in the world. (Source: AniDB)",[],Pooky's,,,,,,,,
163,海之傳說－媽祖,Mazu,['Movie'],1,Finished Airing,"Jul 27, 2007",,,"None found,","None found,","None found,",Other,,"['Martial Arts', 'Mythology']",1 hr. 30 min.,PG - Children,[],#18378,#25329,91,0,,"It was clear that Mazu was different from the common people from the moment she was born. She never cried nor fussed and carried the protections of the primordial spirit. When a jellyfish monster from the sea tried to harm the newborn Mo Niang, the spirit manifested and chased it away. During the struggle, the jellyfish monster knocks down a candlestick and sets fire to the curtains. Although the family put it out immediately, it still frightened Mo Niang and she began to hold a deep fear towards fire from then on.",[],Hai Zhi Chuan Shugo: Mazu,,['Fantasy'],['Kids'],,,,,
164,ディレクターズカット完全決着版 〜リライト,Death Note: Relight,['TV Special'],2,Finished Airing,"Aug 31, 2007 to Aug 22, 2008",,,['Shueisha'],['VIZ Media'],['Madhouse'],['Manga'],"['Supernatural', 'Suspense']",,1 hr. 52 min. per ep.,R - 17+ (violence & profanity),7.71,#1276,#1206,"215,189",758,96297,"When approached by a fellow death god tempted to visit the human realm, Ryuk recounts his own journey to the other side and the story of Light Yagami—a brilliant young man who impressed him there. One day at school, Light stumbles upon Ryuk's lost Death Note and realizes it is not an ordinary notebook. He learns that it has the ability to kill every person whose name is written inside, provided that the user can visualize the victim's face. Having long deplored the decadence of current society, Light believes this sinister weapon offers him an unexpected opportunity: to eradicate all evil and bring about a new ideal world. Following a string of fatal heart attacks, the authorities start to suspect that the alarming number of dead criminals is not coincidental. Determined to uncover the mysterious culprit, they join forces with L, an internationally renowned detective. As the death count escalates, Light and L clash in a breathtaking confrontation of wits and deception—a duel that will decide the future of humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Death Note', '']",Death Note: Rewrite,"Death Note Director's Cut: The Complete Ending Edition Special, Death Note Special, Genshisuru Kami, Visions of a God, L o Tsugu Mono, L's Successors",,['Shounen'],Death Note: Relight,['Psychological'],,Death Note: Relight,Death Note Relight: La Visión de un Dios
165,ひぐらしのなく頃に 猫殺し編,Higurashi: When They Cry - Cat Killing Chapter,['Special'],1,Finished Airing,"Aug 2, 2007",,,"['Frontier Works', 'Sotsu']","None found,",['Studio Deen'],['Light novel'],,,23 min.,PG-13 - Teens 13 or older,7.13,#3740,#2545,"80,659",76,44580,"As a punishment for losing an intense poker game, Keiichi Maebara, Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude must walk around town dressed in costumes. Wanting to avoid being seen by more people, Keiichi convinces the group to visit Yagouchi—a deserted neighboring village. Mion's mention of a nearby abandoned quarry spikes the attention of Rena and Keiichi. Still, as she tells them more about the mysterious incidents surrounding the place, they debate whether it would be wise to explore it. [Written by MAL Rewrite]","['Adaptation (Light Novel) Higurashi no Naku Koro ni Gaiden: Nekogoroshi-hen', '']",Higurashi no Naku Koro ni Special: Nekogoroshi-hen,Higurashi no Naku Koro ni - Cat Killing Chapter,['Mystery'],,,,,,
166,ひぐらしのなく頃に解「うら☆ひぐ」,Higurashi: When They Cry – Kai Specials,['Special'],24,Finished Airing,"Sep 21, 2007 to Aug 22, 2008",,,"['Frontier Works', 'Sotsu', 'Movic']","None found,",['Studio Deen'],Visual novel,,,33 sec. per ep.,PG-13 - Teens 13 or older,7.14,#3723,#3285,"51,060",124,20624,Specials that come with the DVDs.,[],Higurashi no Naku Koro ni Kai Specials,"Ura☆Higu, Ura Higu",['Comedy'],,,['Parody'],,,
167,ef - a tale of memories. ~prologue~,,['Special'],1,Finished Airing,"Aug 24, 2007",,,['Rondo Robe'],"None found,",['Shaft'],Visual novel,,,4 min.,PG-13 - Teens 13 or older,7.03,#4250,#4190,"31,820",17,13094,"The prologue for ef - a tale of memories, released on a separate DVD two months before the premiere of the TV series.","['Sequel (TV) ef: A Tale of Memories.', '']",ef: A Tale of Memories. - Prologue,Ef: The First Tale,['Drama'],,,['Music'],,,
168,灼眼のシャナたん＠劇場版Ver,,['Special'],1,Finished Airing,"Sep 21, 2007",,,"None found,","None found,",['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,5 min.,PG-13 - Teens 13 or older,7.10,#3893,#4713,"24,620",13,11037,Shana-tan special bundled with the Shakugan no Shana Movie director's cut special collection DVD.,[],Shakugan no Shana-tan Movie,Shakugan no Shana-tan Gekijouban,,,,['Parody'],,,
169,一騎当千 Dragon Destiny,,['Special'],6,Finished Airing,"Jun 24, 2007 to Nov 24, 2007",,,['Genco'],['Media Blasters'],['Arms'],['Manga'],"['Action', 'Ecchi']","['Martial Arts', 'School', 'Super Power']",3 min. per ep.,R+ - Mild Nudity,6.59,#6521,#4748,"24,168",14,10994,Ikkitousen Dragon Destiny Specials.,[],Ikkitousen: Dragon Destiny Specials,Ikkitousen Dragon Destiny OVA,,['Seinen'],,,,,
170,アニ＊クリ15,,['TV Special'],15,Finished Airing,"May 7, 2007 to Dec 10, 2007",,,"None found,","None found,","['Gonzo', 'Gainax', 'Production I.G', 'Madhouse', 'Studio 4°C', 'Satelight', 'CoMix Wave Films']",Original,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Martial Arts', 'Mecha', 'School', 'Strategy Game', 'Super Power']",1 min. per ep.,PG-13 - Teens 13 or older,6.68,#5997,#4762,"24,050",10,11251,"15 one-minute shorts created by various people from Japan's animation industry. The title of the collection, Ani*Kuri15, is abbreviated from the words ""anime"" and ""creators"". Season One Shinji Kimura (Studio 4°C; Art Director, Steamboy) - title: Attack of Higashimachi Ni Chome/Attack of Higashimachi 2nd Burough Shōjirō Nishimi (Studio 4°C; Character Designer, Tekkonkinkreet) - Uchujin Raikou Hiroshi no Baai/Invasion from Space - Hiroshi's Case Akemi Hayashi (Gainax; Character Designer, Fruits Basket) - Namida no Mukou/From the Other Side of the Tears Osamu Kobayashi (Madhouse; Art/Mecha Desgin, Gungrave) - Sancha Blues/The Aromatic Tea Blues Yasufumi Soejima (Gonzo; 3D/CG Director, Last Exile) - Hyotoko/Blaze Man Season Two Atsushi Takeuchi (Production I.G; Mecha Design, Ghost in the Shell) - Wandaba Kiss Mamoru Oshii (Production I.G; Director, Ghost in the Shell) - Project Mermaid Kazuto Nakazawa (Studio 4°C; First Unit Director, Kill Bill Chapter 3: The Origin of O-Ren from Kill Bill: Volume 1) - ""yurururu"" ~Nichijou Hen~ Ranji Murata (Gonzo; Character Design, Blue Submarine No. 6) and Tatsuya Yabuta (Gonzo; Story Design, Final Fantasy VII) - Gyrosopter Tobira Oda (Original Manga, Danchi Tomō) and Yasuyuki Shimizu (Key Animation, Naruto (movies)) (Studio 4°C) - Supaatsu Taisa/Colonel Sports Season Three Michael Arias (Studio 4°C; Director, Tekkonkinkreet) - Okkakekko Makoto Shinkai (Comix Wave Film; Director, The Place Promised in Our Early Days) - Neko no Shuukai/A Gathering of Cats Shōji Kawamori (Satelight; Director, The Super Dimension Fortress Macross: Do You Remember Love?) - Project Omega Mahiro Maeda (Gonzo; Director, Gankutsuou: The Count of Monte Cristo) - Onmitsu Hime/Princess Onmitsu Satoshi Kon (Madhouse; Director, Paprika) - Ohayō/Good Morning",[],Ani*Kuri15,"Ani*Cre15, Ani Kuri 15, Ani-Kuri 15, Anikuri 15, Neko no Shuukai",,,,,,,
171,sola,,['Special'],2,Finished Airing,"Sep 25, 2007 to Oct 26, 2007",,,['Bandai Visual'],['Bandai Entertainment'],['Nomad'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.90,#4808,#5639,"15,654",4,8606,DVD-exclusive specials. The first takes place between episode 4 and 5 of the main series and and the second is a prologue to the series leading up to the events on the last day before the beginning of episode 1. (Source: AniDB),[],Sola Specials,Sola OVA,,,,,,,
172,ミヨリの森,Miyori's Forest,['TV Special'],1,Finished Airing,"Aug 25, 2007",,,"['Fuji TV', 'Atelier Musa']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Drama', 'Fantasy']",,1 hr. 47 min.,G - All Ages,6.88,#4920,#5877,"14,106",21,4737,"After being deserted by her parents, 11-year-old Miyori shuts her heart from the rest of the world and denies any form of human relationships. She was entrusted in the care of her grandmother who lives near a forest. Miyori will take a walk in the forest where she felt a strong sense of loneliness in the forest which seems to have nothing. However, she soon encounters unbelievable things and gradually realizes that the forest is more than what it seems... (Source: ANN)","['Adaptation (Manga) Miyori no Mori', '']",Miyori no Mori,,,['Shoujo'],La Forêt de Miyori,,,,
173,すもももももも ～地上最強のヨメ～,Sumomomo Momomo: The World's Strongest Bride Specials,['Special'],2,Finished Airing,"Aug 24, 2007",,,['Square Enix'],"None found,",['Studio Hibari'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.86,#5039,#6065,"12,986",8,5885,"DVD episodes 23 and 24.[/b] Based on a seinen manga by Shinobu Ohtaka, serialized in Young Gangan. Koushi Inuzuka is a smart high school student who aims to become a public prosecutor. Unfortunately for our good guy, he was born into a martial arts family whose head (ie his father) only knows one language: violence. When Koushi was still a baby, his father made a pact with his biggest rival to marry Koushi to his opponent-turned-friend's daughter. The union of the two blood lines is supposed to bring forth Earth's strongest martial arts clan. Skip forward: Koushi is in high school, oblivious to the marriage arranged for him at his birth. Enter Momoko Kuzuryuu: sugar bomb, airhead, loli martial arts artist and Koushi's self-proclaimed bride (the strongest on Earth, no less). Her wish for sexual intercourse meets with Koushi's square refusal as he has absolutely no desire to get it on with someone who looks like she could be his little sister, not to mention that he doesn't have the foggiest idea who she actually is. Meanwhile, a war has broken out between the martial arts families. For Koushi, this means that numerous fighters are out to challenge him. As if that weren't bad enough, our protagonist also has a fight phobia due to a traumatic incident that took place in his childhood. Now it's up to Momoko and her superhuman fighting skills to protect her ""husband."" Will the two sweethearts survive the trials and tribulations ahead of them? More importantly, will Momoko get her way receiving a baby from Koushi?","['Prequel (TV) Sumomomo Momomo: Chijou Saikyou no Yome', '']",Sumomomo Momomo: Chijou Saikyou no Yome Specials,,,,,['Martial Arts'],,,
174,攻殻機動隊 ウチコマナ日々,Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days,['Special'],1,Finished Airing,"Jul 24, 2007",,,"None found,",['Bandai Entertainment'],['Production I.G'],['Manga'],"['Comedy', 'Sci-Fi']",,4 min.,PG - Children,6.87,#4977,#6076,"12,919",13,4845,"Uchikomatic Days is a 5 minute short telling the story of the birth of the Uchikomas, the 'ugly duckling' second generation think-tanks that made substandard replacement models for the Tachikomas. The short features a music performance by the A.I. Tough Guy Uchikomas, a group of rising stars that will provide entertainment at the Harima City for Academic Research New Year's Eve Party. This special feature is available on the Ghost in the Shell: S.A.C. Solid State Society DVD.",[],Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,"Ghost in the Shell: Stand Alone Complex - Solid State Society - Uchikoma na Hibi, Koukaku Kidoutai Stand Alone Complex: Solid State Society - Uchikoma na Hibi, GitS SAC SSS - Uchikoma na Hibi, GitS: SAC 3 - Uchikoma na Hibi",,,,['Mecha'],,,
