,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Spanish,Themes,Genre,Demographics
84,,キ・ファイター テラン,Ki Fighter,['TV'],26,Finished Airing,"Aug 21, 2002 to Mar 19, 2003",['Summer 2002'],Unknown,"None found,","None found,","None found,",Unknown,,22 min. per ep.,PG - Children,[],#19411,#19021,345,0,,"The Grand Evil was sealed in a cave behind an energized shield. But now, thousand years have passed and he is about to regain his former power to break away free from the shield. In order to prevent this disaster, the Elders of Fantasia have to take measure to keep the radioactive power in the shield. They send out nymph warriors to find and fetch Ki-fighter cocoons hidden somewhere in the word. During the mission, the nymphs come across with TaeRang, the Ki-Fighter, our heroic kid. He turns out to be the one who has a power to defeat of the Grand Evil, TaeRang sets on his way to find other weak creatures and their villages that are endangered by the unjust evil power. TeaRang is the one wise and brave kid to set it all to justice. (Source: ANN)",[],Ki-Fighter Taerang,,,,['Kids'],,,['Adventure'],
85,Chaechaepong Kimchipong,채채퐁 김치퐁,,['TV'],26,Finished Airing,"Aug 9, 2002 to Feb 28, 2003",['Summer 2002'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",24 min. per ep.,PG - Children,[],#17180,#19035,344,1,,The story follows as Tochi and Milo travel the world in search of new Kimchi Pong to save their homes and uncover the secrets behind these creatures.,[],Chaechaepong Kimchi Pong,,,,['Kids'],,,,
86,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",6 min. per ep.,PG - Children,[],#18441,#22580,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,,['Kids'],,,,
87,,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,11 min. per ep.,PG - Children,[],#18180,#23244,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,['Kids'],,,,
88,The Diary of Tortov Roddle,或る旅人の日記,A Traveller's Diary,['ONA'],6,Finished Airing,"Mar 19, 2003 to Jun 4, 2003",,,['Robot Communications'],"None found,","None found,",Original,"['Adventure', 'Fantasy']",3 min. per ep.,G - All Ages,7.04,#4186,#4499,"27,493",131,12270,"Tortov Roddle is a man of few words on a journey through a calm and obscure new land, interacting with its inhabitants along the way. As he rides on his long-legged pig through the desert from town to town, he observes the interesting and quirky customs of the locals and reminisces about his past. [Written by MAL Rewrite]",[],Aru Tabibito no Nikki,,,,,,,,
89,Icon War,Icon大战,,['ONA'],1,Finished Airing,"Jan 17, 2003",,,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",1 min.,PG-13 - Teens 13 or older,[],#18843,#23489,124,0,,A short animation by Maso Lin where the Windows XP app icons fight each other.,[],Icon's Story,,,,,,,,
90,Hunter X Hunter OVA 2,HUNTER×HUNTER Greed Island,,['OVA'],8,Finished Airing,"Feb 5, 2003 to Apr 16, 2003",,,"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.18,#424,#1551,"162,859",307,89109,"After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island."" However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro.","['Prequel (OVA) Hunter x Hunter: Original Video Animation', 'Sequel (OVA) Hunter x Hunter: Greed Island Final', 'Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter: Greed Island,,,,['Shounen'],,,,
91,,MUNTO [ムント],Munto,['OVA'],1,Finished Airing,"Mar 18, 2003",,,"None found,",['Central Park Media'],['Kyoto Animation'],Original,"['Fantasy', 'Romance']",54 min.,PG-13 - Teens 13 or older,6.73,#5702,#4957,"21,881",53,8188,"Above Earth, invisible to humans, float the Heavens—a collection of floating island kingdoms supported by the magic of their godlike inhabitants. The mysterious power source known as Akuto enables this magic to exist, but this is quickly running out. In response to this energy crisis, most of the kingdoms in the Heavens agree to use the minimum amount of Akuto required to sustain themselves, except for the Magical Kingdom. The leader of this kingdom, the Magical King Munto, believes that Akuto can be replenished if he travels to Earth and meets a mysterious girl shown to him by a seer. While Munto sets off on the dangerous journey, the other kingdoms attempt to destroy the Magical Kingdom and acquire the remaining Akuto for themselves. On Earth, Yumemi Hidaka is dealing with her own problems. She can see floating islands in the sky that nobody else can. While her best friend Ichiko Ono believes her, Yumemi wonders if she is going insane. When Munto suddenly appears before her, Yumemi dismisses him as a mere delusion. She is more concerned about her 13-year-old friend Suzume Imamura, who is attempting to elope with her delinquent boyfriend. As the Magical Kingdom nears the point where it will fall from the sky, Munto's quest to save both the Heavens and Earth grows increasingly desperate. [Written by MAL Rewrite]","['Sequel (OVA) Munto: Toki no Kabe wo Koete', '']",Munto,,,,,,,,
92,,愛姉妹2 ～二人の果実～,Immoral Sisters 2,['OVA'],2,Finished Airing,"Feb 28, 2003 to May 23, 2003",,,"['Pink Pineapple', 'Toshiba Entertainment']",['Media Blasters'],['Actas'],Visual novel,,32 min. per ep.,Rx - Hentai,6.47,N/A,#7067,"8,996",19,3942,"Rumi and Tomoko's father has returned, but he seems to have developed an uncontrollable urge for Tomoko, after seeing her all grown up. He tries to fight off his urges, and Takedo, in order to keep the family together. (Source: ANN)","['Prequel (OVA) Ai Shimai: Futari no Kajitsu', 'Sequel (OVA) Ai Shimai Tsubomi... Kegashite Kudasai']",Ai Shimai 2: Futari no Kajitsu,,,,,,,['Hentai'],
93,Darling Page,ダーリン,,['OVA'],3,Finished Airing,"Feb 18, 2003 to Jun 27, 2003",,,['Amumo'],"['Media Blasters', 'Kitty Media']",['Front Line'],Visual novel,"['Comedy', 'Hentai']",26 min. per ep.,Rx - Hentai,6.38,N/A,#7655,"7,338",12,2728,"Jun is a comic artist who is never afraid to put in a hard day of work. Naturally, he authors pornographic comics. He's been given a monumental deadline, but he has a special power allowing him to work at hyper speed as long as he is aroused. Lucky for him, his assistant Miyuki is also his wife and she's ready to give him a hand with work. (Source: AniDB)",[],Darling,,,,,,,,
94,Genmukan: Aiyoku to Ryoujoku no Intsumi,幻夢館,Genmukan: The Sin of Desire & Shame,['OVA'],2,Finished Airing,"Mar 21, 2003 to May 22, 2003",,,['Green Bunny'],['NuTech Digital'],['Studio Kyuuma'],Visual novel,,28 min. per ep.,Rx - Hentai,6.33,N/A,#7905,"6,799",8,2558,"Detective Satoru Kido is brought to a luxurious mansion to search for a lost jewel, but soon realizes there's more than meets the eye with the current lolita Mistress, the willing maid, the classic butler, the fugly manservant, and the sexy tutor. (Source: ANN)","['Sequel (OVA) Shinshou Genmukan', 'Adaptation (Light Novel) Genmukan: Aiyoku to Ryoujoku no Inzai']",Genmukan,,Genmukan: Le Manoir des Fantasmes,,,Genmukan: The Sin of Desire & Shame,,['Hentai'],
95,,Happy World!,,['OVA'],3,Finished Airing,"Dec 13, 2002 to Jun 27, 2003",,,"['KSS', 'Soft Garage']","None found,",['Zexcs'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",26 min. per ep.,PG-13 - Teens 13 or older,5.98,#10032,#8010,"6,566",7,2898,"Oomura Takeshi is one unlucky fellow. He has has this case of bad luck ever since he was little. One day, while on his normal runs with bad luck, he meets an Angel named Elle, and he finds out that his father wished the curse of bad luck upon him. Takeshi has the oppurtunity to pass on the curse, but accepts it to save a young girl. For his noble act, Elle becomes human and lives with Takeshi to protect him from the curse, which is something Takeshi isn't particularly happy with. (Source: ANN)","['Adaptation (Manga) Happy World!', '']",Happy World!,,,,,,,,
96,,水夏 ~SUIKA~,Wet Summer Days,['OVA'],3,Finished Airing,"Feb 25, 2003 to Jun 25, 2003",,,"None found,",['Kitty Media'],['APPP'],Visual novel,"['Drama', 'Fantasy', 'Hentai']",27 min. per ep.,Rx - Hentai,6.42,N/A,#8227,"6,140",9,2317,"Dramatic Tension leads to sexual release! Sayaka Shirakawa is the daughter of an art professor who specializes in death-themed paintings. She is dating one of his students, Souji Kamishiro. For some reason, Sayaka seems to be harboring hatred for her father. One day, Mie Wakabayashi, who has romantic feelings for Souji, tells him what she's heard about the Professor: that he has been killing his models so that he can paint their corpses. Meanwhile, Mie happens to witness Shirakawa purchasing poison, and she runs to find Sayaka... (Source: AniDB)","['Adaptation (Light Novel) Suika', '']",Suika,,,,,,,,
97,,ANGEL CORE エンゼル・コア～天使たちの住処～,Angel Core,['OVA'],2,Finished Airing,"Jan 25, 2003 to Apr 25, 2003",,,['Blue Eyes'],"None found,",['Shura'],Visual novel,"['Action', 'Hentai']",28 min. per ep.,Rx - Hentai,5.53,N/A,#8349,"5,947",10,2302,"This first entry in the Angel Core series follows a young soldier (fighting for a fictional, futuristic empire) as he's transferred to a secret military installation, where's he surprised to discover that his new job will be having sex with gorgeous young ""Angels,"" a group of genetically unique women who need regular intercourse to nurture their powers.",[],Angel Core: Tenshi-tachi no Sumika,,,,,,"['Historical', 'Mecha', 'Military']",,
98,,おねがい☆ティーチャー Reminiscenceディスク,,['OVA'],1,Finished Airing,"Mar 28, 2003",,,"['Bandai Visual', 'Genco']","None found,","None found,",Original,"['Comedy', 'Romance', 'Sci-Fi']",57 min.,PG-13 - Teens 13 or older,6.64,#6228,#8729,"5,349",0,1878,An hour long OVA summarizing the plot of the original Onegai Teacher series. Also bundled with the BD box release of Onegai Teacher.,[],Onegai☆Teacher: Reminiscence Disc,,,,,,,,
99,Ho Ta Ru Ko,螢子,Crimson Climax,['OVA'],3,Finished Airing,"Feb 21, 2003 to Sep 25, 2003",,,['Green Bunny'],['Central Park Media'],['Arms'],Visual novel,,30 min. per ep.,Rx - Hentai,6.09,N/A,#8760,"5,292",16,1973,"Lured to a cursed island by a carnal cult, victims are brought to the throes of ecstasy, then brutally sacrificed in a bloody occult ritual. When sexy Ryo visits her late mother's island home, she's in for a terrifying surprise. Can she escape with her life and her virtue intact. (Source: ANN)",[],Hotaruko,,,,,,,['Hentai'],
100,Groper Train,痴漢電車,Xpress Train,['OVA'],2,Finished Airing,"Feb 14, 2003 to May 9, 2003",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,29 min. per ep.,Rx - Hentai,6.18,N/A,#8975,"4,956",9,1929,"Kazuo Sugimoto is your typical young salaryman until he is wrongfully accused of molesting a girl on a train and forced to confess. After finding and confronting the true culprit, Kazuo becomes the man's 500th apprentice in Chikan-do: The Way of the Groper. Follow Kazuo's saga as he learns strategies such as The Berlin Wall, The Battle of Odawara and works to master his own technique The Gold Finger. Chikan-do: It will change the way you think.","['Sequel (OVA) Shuudan Chikan Densha', '']",Chikan Densha,,,,,,,['Hentai'],
101,,奴隷介護,Slave Nurses,['OVA'],3,Finished Airing,"Jan 24, 2003 to Jul 25, 2003",,,"['Silky’s', 'CherryLips']","None found,",['Arms'],Visual novel,,24 min. per ep.,Rx - Hentai,6.17,N/A,#9068,"4,777",9,1714,"There is a strange epidemic running rampant at the local inpatient hospital. For some reason every night the nurses are feeling an uncontrollable urge. They have no choice but to satisfy it with the patients, the doctors, and even each other. The new resident doctor has his own itch to scratch, as well as a suspicion that someone is behind this impromptu sex ring.",[],Dorei Kaigo,,,,,,,['Hentai'],
102,,ハンドメイドマイ,,['OVA'],1,Finished Airing,"Jan 18, 2003",,,['Lantis'],"None found,",['Tokyo Kids'],Original,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",25 min.,PG-13 - Teens 13 or older,5.92,#10358,#9101,"4,741",1,1860,"Hideo Ozu is an editor in a shady adult video company. For years, he has dreamed of being a motion picture director while his childhood friend Mai Kurosawa has become an upcoming actress. Then one day, his dreams are shattered when Mai takes all of his amateur videos of her and tells him to get out of her life. On his way home after a few drinks, Hideo bumps into Cyberdoll Sara, who makes him mark an invoice. When he arrives at his pad, Hideo is greeted by three Cyberdolls - Mai, Ai and Mie. All three of them happen to look like different age variations of Mai Kurosawa. And when Kurosawa announces the release of a biography video of her using Hideo's old footage, Hideo decides to start his directing dreams over again using his three Cyberdolls. (Source: ANN)",[],Hand Maid Mai,,,,,,,,
103,"Sakura Wars: School of Paris, Sakura Wars: Ecole de Paris, Sakura Wars OVA 3",サクラ大戦 エコール・ド・巴里,Sakura Taisen: Ecole de Paris,['OVA'],3,Finished Airing,"Mar 19, 2003 to Aug 20, 2003",,,"['Sega', 'Imagine']",['Funimation'],['Radix'],Game,"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.37,#7848,#9123,"4,712",3,1782,"An unseen evil lurks in the streets of Paris, and unless something is done, the darkness will unleash its destruction and consume all that is good. The City of Love will be lost to her people forever. All hope rests within the hearts of five young ladies. The only problem is, they don’t even know it yet! But will an apprenticed nun, a reserved aristocrat, a hardened criminal, the daughter of a wealthy Japanese Baron, and traveling circus emcee set aside their unique differences and come together as one for the defense of many? The war continues and the Paris Floral Assault Division is born! (Source: Funimation Entertainment)","['Prequel (OVA) Sakura Taisen: Gouka Kenran', 'Sequel (OVA) Sakura Taisen: Le Nouveau Paris']",Sakura Taisen: Ecole de Paris,,Sakura Taisen: École de Paris,,,,"['Mecha', 'Performing Arts']",,
104,,Memories Off 2nd (メモリーズオフ 2nd),,['OVA'],3,Finished Airing,"Jan 22, 2003 to May 21, 2003",,,"None found,","None found,","['Picture Magic', 'Rikuentai']",Visual novel,"['Drama', 'Romance']",30 min. per ep.,PG-13 - Teens 13 or older,6.10,#9369,#9282,"4,472",1,1882,"Shirakawa Hotaru, a girl who's in love with Inami Ken, finally confesses her love. From there on, they were happy couples, until one summer. Ken met a new friend, Tobise Tomoe, who is Hotaru's best friend. Tomoe seems to have her own charm. Ken, now have two paths to choose from; to be with Shirakawa Hotaru or Tobise Tomoe. Otherwise, he will lose them both. (Source: ANN)","['Prequel (OVA) Memories Off', '']",Memories Off 2nd,,,,,,,,
105,Sex Judge,性裁,Perverse Investigations,['OVA'],2,Finished Airing,"Jan 10, 2003 to Apr 11, 2003",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,"['Avant Garde', 'Fantasy', 'Horror', 'Hentai']",28 min. per ep.,Rx - Hentai,5.25,N/A,#9324,"4,395",7,1315,"A horrible murder has been committed on the grounds of Nankai Academy. Professor Yuko, one of the school's most popular teachers, died when she was pushed off of the roof of one of the school's buildings. Her death has left her students with feelings of confusion, pain, and above all else... anger. Four of her male students, Masayoshi, Daisuke, Mitsuru and Shinya, are determined to uncover the truth. They soon discover an important clue: Professor Yuko's planner had been marked on the very night she was killed... marked with the names of seven girls. With this evidence, the boys begin their investigations... and they'll use any method required in order to find the murderer. Through rape, manipulation and torture, they uncover important details, but piecing the puzzle together won't be easy. And the longer their search draws on, the more they feel themselves being overtaken by their own dark desires... Will they ever find out the truth behind Yuko's death? (Source: ANN)","['Adaptation (Light Novel) Seisai: Hakudaku no Misogi', '']",Seisai,,,,,,,,
106,,アーリーレインズ,Early Reins,['OVA'],1,Finished Airing,"Feb 14, 2003",,,['TOHO'],['Media Blasters'],['OLM'],Original,"['Action', 'Adventure']",44 min.,R - 17+ (violence & profanity),5.92,#10354,#9485,"4,169",5,1995,"Margaret Hart is a young woman who dreams of becoming a sheriff in the American West following the Civil War. When she boards a train to the next town over and prepares to relax, she gets caught up in a hijacking attempt by a group of bandits composed of former Confederate soldiers. After being taken hostage, Margaret teams up with the other captive women to fight back against the outlaws. [Written by MAL Rewrite]",[],Early Reins,,,,,,,,
107,"In a Distant Time OVA 2, Haruka Naru Toki no Naka de 2: Shiroki Ryuu no Miko",遙かなる時空の中で2~白き龍の神子~,,['OVA'],3,Finished Airing,"Mar 23, 2003 to Feb 2, 2005",,,"None found,","None found,",['Yumeta Company'],Visual novel,"['Fantasy', 'Romance']",30 min. per ep.,PG-13 - Teens 13 or older,6.38,#7803,#9666,"3,949",2,1288,"Harukanaru Toki no Naka de 2 takes place 100 years after the original Harukanaru Toki no Naka de story. In the past that is, very little time has gone by in the future. Kyou, which resembles Kyoto in the Heian period, is in turmoil because of a power struggle going on between the emperor and the retired emperor, and the people of Kyou are falling into desperation, fearing the coming of the end of the world. Karin was walking with her friends when suddenly she is brought by the White Dragon to the land of Kyou. She was chosen as the new priestess of the White Dragon and she must fight against the evil with the help of her guardians while meantime, she keeps having visions of a mysterious man...","['Prequel (OVA) Harukanaru Toki no Naka de: Ajisai Yumegatari', 'Prequel (TV) Harukanaru Toki no Naka de: Hachiyou Shou', 'Sequel (TV Special) Harukanaru Toki no Naka de 3: Kurenai no Tsuki', '']",Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,,,,,,"['Historical', 'Isekai', 'Mythology', 'Time Travel']",,
108,"Leave it to Piyoko!, DiGi Charat - Leave It To Piyoko pyo!, Piyoko Can Help You pyo!, Di Gi Charat - Leave It To Piyoko pyo",ぴよこにおまかせぴょ！,,['OVA'],8,Finished Airing,"Mar 21, 2003 to May 3, 2003",,,['Broccoli'],"['Sentai Filmworks', 'Synch-Point']",['Madhouse'],Original,"['Comedy', 'Sci-Fi']",15 min. per ep.,PG-13 - Teens 13 or older,6.57,#6656,#9965,"3,595",6,1540,"Leave it to Piyoko! Move over, Di Gi Charat! Piyoko and the Black Gema Gema Gang star in this new OVA series. From the Planet Analogue to Earth, the Black Gema Gema Gang try to kidnap Dejiko and hold her ransom to find their dream of a prosperous home! (Source: AniDB)",[],Piyoko ni Omakase pyo!,,,,['Shounen'],,,,
109,,IZUMO (2003),,['OVA'],5,Finished Airing,"Jan 25, 2003 to Oct 25, 2005",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Studio Jam'],Visual novel,"['Adventure', 'Comedy', 'Fantasy', 'Hentai']",29 min. per ep.,Rx - Hentai,5.93,N/A,#10034,"3,513",3,831,"My name is Toma Hikaru. I'm going to Izumo Gakuen High School with Miyuki who is my little sister-in-law, Nanami-chan who was my childhood friend, and Nagisa who thinks of me as a rival. I began to have a strange dream of a beautiful shrine maiden, who is praying something naked in a lake. I wonder who she is; I think I know her... I also see a strange room of Izumo Gakuen in my dream. Feeling uneasy, I decide to sneak into the room, not knowing it is the beginning of the long journey. (Source: AnimeNfo)","['Sequel (TV) Izumo: Takeki Tsurugi no Senki', '']",Izumo (2003),,,,,,,,
110,,学園の狩猟者,Wicked Lessons,['OVA'],2,Finished Airing,"Mar 14, 2003 to Jul 11, 2003",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,29 min. per ep.,Rx - Hentai,6.04,N/A,#10045,"3,501",12,1237,"After Noelle's parents die suddenly in an accident, her older stepbrother Shuichi returns to take care of her in ways she could never have imagined. Noelle is horrified when, on the very night of her parents' funeral, the stepbrother she remembered so fondly cruelly rapes her. Then, without explaining why, Shuichi forces Noelle to transfer to the prestigious Takamine College. Each night as he ravishes her body, Shuichi pumps Noelle for information about the women on campus. Women like the curvaceously timid Haruko, the sexually talented Shirone, and the beautiful blond-haired bombshell Elena... Women who will be able to satisfy his insatiable desires – and provide him with the information he needs to avenge the death of his mother.",[],Gakuen no Shuryousha,,,,,,,['Hentai'],
111,,百鬼,Hyakki: The Secret of Devil's Island,['OVA'],3,Finished Airing,"Mar 28, 2003 to Sep 26, 2003",,,['Pink Pineapple'],['Kitty Media'],['Arms'],Visual novel,"['Horror', 'Hentai']",29 min. per ep.,Rx - Hentai,5.54,N/A,#10250,"3,278",6,944,"A group of young adults have decided to travel to a mysterious island through a tour line. The island has been deserted of human life and the ruins of a once promising city continue to decay. Each of the group members have a reason to visit the island, including returning to their former homes or embarking on a scavenger hunt. During their visit, strange events start to take place and past memories and sexual emotions began to surface among the group. The tour takes a turn for the worst when several of tourists are found murdered, showing that someone remains on the desolated island. (Source: ANN)",[],Hyakki,,,,,Hyakki. El Secreto de la Isla del Diablo,,,
112,,悲花陵辱~罠にはまった義兄妹(ふたり)~,Hika Ryoujoku: The Lust of Shame,['OVA'],1,Finished Airing,"Jan 18, 2003",,,['Five Ways'],['NuTech Digital'],['Potato House'],['Manga'],,27 min.,Rx - Hentai,5.28,N/A,#10715,"2,868",2,994,"Shinichi becomes Megumi's stepbrother after his mother marries Megumi's father. Eventually, Megumi starts to love and regard Shinichi as her older brother. However, their idyllic life will soon turn into a nightmare of lust and debauchery...",[],Hika Ryoujoku: Wana ni Hamatta Futari,,,,,,,['Hentai'],
113,"Shusaku the Letch, Shusaku the Letch: Liberty",臭作 ～Ｌｉｂｅｒｔｙ～,,['OVA'],2,Finished Airing,"Jan 24, 2003 to Apr 25, 2003",,,['Pink Pineapple'],['Kitty Media'],['ORADA COMPANY'],Visual novel,,29 min. per ep.,Rx - Hentai,5.80,N/A,#10795,"2,798",1,966,"Just when you thought that no one could drive harder, move faster, and hang lower than Kisaku, here comes the continued adventures of the original Letch. Thanks to Shusaku's position at an all girls' school, his story is packed with more girls, more perversion, and twice the lesbianism that Kisaku could ever handle. (Source: AniDB)","['Prequel (OVA) Shusaku Replay', '']",Shusaku Liberty,,,,,,,['Hentai'],
114,"NSN Specials, Night Shift Nurses Specials, Yakin Byoutou Episode 5.5 and 10.5",夜勤病棟 特別実験記録集,,['OVA'],2,Finished Airing,"Mar 28, 2003 to Apr 30, 2004",,,['Discovery'],['Adult Source Media'],['AT-2'],Visual novel,,26 min. per ep.,Rx - Hentai,5.61,N/A,#11124,"2,537",1,807,Two recap episodes of the original Yakin Byoutou OVA also known as episodes 5.5 and 10.5.,[],Yakin Byoutou Specials,,,,,,,['Hentai'],
115,Lesbian Ward,レズ病棟,,['OVA'],2,Finished Airing,"Mar 6, 2003 to Jun 20, 2003",,,"None found,",['NuTech Digital'],['Shura'],Other,"['Girls Love', 'Hentai']",26 min. per ep.,Rx - Hentai,5.40,N/A,#11133,"2,524",5,885,"Based on a live-action adult movie by DEEP'S. Ryoka University Hospital is a prestigious medical center consisting solely of women. At night, the hospital begins a special type of treatment meant only for VIPs.",[],Lesbian Byoutou,,,,,,,,
116,23 year old Female Teacher,女教師 二十三歳,,['OVA'],2,Finished Airing,"Jan 24, 2003 to Jun 27, 2003",,,['Japan Home Video'],"None found,",['Shura'],Visual novel,,28 min. per ep.,Rx - Hentai,5.62,N/A,#11402,"2,337",3,649,Honjou Rumiko is a school teacher caught in a web of blackmail and deceit. (Source: AniDB),[],Onna Kyoushi Nijuusan-sai,,,,,,,['Hentai'],
117,Dirty Thoughts,プライベートエモーション,,['OVA'],2,Finished Airing,"Mar 25, 2003 to Jul 25, 2003",,,"['Milky Animation Label', 'MS Pictures']",['Media Blasters'],['Dream Entertainment'],Visual novel,,27 min. per ep.,Rx - Hentai,5.41,N/A,#12039,"1,930",2,633,"Professor Sayaka is a popular new girl on campus. She's well-liked and friendly to everyone. In fact, she's a little too friendly, in the dean's mind. She's a shameless flirt and needs to be put in her place. Maybe he's right. During Sayaka's last teaching position, she fell in love with Shin, one of her students, and the scandal forced her to move on to another college. (Source: AniDB)",[],Private Emotion,,,,,Pensamientos Lascivos,,['Hentai'],
118,,気分きぶん,,['OVA'],2,Finished Airing,"Feb 25, 2003 to May 25, 2003",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Ai Yume Mai'],['Manga'],,26 min. per ep.,Rx - Hentai,5.60,N/A,#12119,"1,888",7,578,"Adapted from the manga of the same name, Kibun Kibun deals with the normal life and problems of a young couple, with a mixture of comic situations along the way. (Source: The Unofficial LineMarvel Forums)",[],Kibun Kibun,,,,,,,['Hentai'],
119,"Hamtaro OVA 2, Tottoko Hamutarou: Hamuchanzu no Takara Sagashi Daisaku Hamuha! Sutekina Umi Nonatsuyasumi",ハムちゃんずの宝さがし大作戦〜はむはー!すてきな海のなつやすみ〜,Hamtaro: Ham-Hams Ahoy!,['OVA'],1,Finished Airing,"Mar 1, 2003",,,"None found,","None found,",['TMS Entertainment'],Unknown,,44 min.,PG - Children,6.50,#7050,#12245,"1,795",1,575,"As Laura heads out to summer camp, Hamtaro and Oxnard come across a young girl by the name of Haibi, who's trying to find the ocean. Haibi found a treasure map while searching through the storage burrow and is now willing to find the treasure to help her heat exhausted granny. The Ham-Hams, who are more than willing to help her, pack their things and set out to find the treasure. (Source: Wikipedia)","['Prequel (OVA) Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi', 'Sequel (OVA) Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono']",Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,,,,['Kids'],,,,
120,"Shoujo Yuugi, Girl's Game",Tragic Silence 少女遊戯,Tragic Silence,['OVA'],1,Finished Airing,"Feb 18, 2003",,,['Five Ways'],['NuTech Digital'],['Onion Studio'],['Manga'],,27 min.,Rx - Hentai,5.27,N/A,#12632,"1,586",1,527,"Luticia is a vampire. However, she has fallen in love with her childhood friend, a human named Shou. She is afraid that their love will not be able to overcome their differences... Rick, a vampire from Luticia’s Clan, is murdered by a woman from Shou’s village. Rick had been having an affair with her, and the vampires are enraged to find out that Rick has been sleeping with humans instead of preying on them. Regardless, the clan starts planning to revenge the murder of their own kind. Humans are also enraged to discover thee existence of vampires in the vicinity and they are also planning to find nad destroy the vampires. What will happen to Luticia and Shou? Will their love survive the hatred between their people? (Source: animeondvd)","['Adaptation (Manga) Shoujo Yuugi', '']",Tragic Silence: Shoujo Yugi,,,,,,,['Hentai'],
121,,失格医師,,['OVA'],2,Finished Airing,"Jan 25, 2003 to Mar 25, 2003",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Studio Jam'],Visual novel,,28 min. per ep.,Rx - Hentai,5.36,N/A,#13028,"1,404",1,346,"Dr. Shinji Ishida is a doctor working at a hospital on the brink of ruin. People have heard that this doctor has brought many hospitals back from financial ruin, however his methods are what you might say ""unorthodox"". After his sessions the patients can't seem to get enough of being treated by him which naturally causes the hospital to be full of money again. (Source: AniDB)",[],Shikkaku Ishi,,,,,,,['Hentai'],
122,,蒼い告白,,['OVA'],1,Finished Airing,"Feb 25, 2003",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Studio OX'],Unknown,,25 min.,Rx - Hentai,4.67,N/A,#13199,"1,337",0,361,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (OVA) Suishou no Yoru: Aoi Kokuhaku yori', '']",Aoi Kokuhaku,,,,,,,['Hentai'],
123,,みんなで跳んだ 城北中学2年1組の記録,,['OVA'],1,Finished Airing,"Jan 7, 2003",,,"None found,","None found,","['Liberty Animation Studio', 'Animation Studio Wagumi']",Novel,,28 min.,G - All Ages,[],#20303,#21640,196,0,,An educational film about compassion. The story follows a class trying to break a jump rope record and one student is terrible at the task. The issue causes a divide in the classroom.,[],Minna de Tonda: Jouhoku Chuugaku 2-nen 1-kumi no Kiroku,,,,['Kids'],,,['Drama'],
