,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Genres,Demographics,French,Theme,German
94,,新リヨン伝説　もう一人のフレア,,['OVA'],1,Finished Airing,"Jul 16, 1999",,,['Media Station'],"None found,",['Wise Guy'],Unknown,['Hentai'],,,39 min.,Rx - Hentai,5.21,N/A,#13621,"1,190",1,342,"An evil entity named Ternel has returned after being sealed away for 300 years, and she intends to continue to inflict suffering as well as unworldly pleasures on mankind. However, her plans are being threatened by the powerful Baron Zeke, the beautiful Neris and a spunky girl called Flair. (Source: AniDB)","['Prequel (OVA) Shin Reyon Densetsu: Shikkoku no Majin', '']",Shin Reyon Densetsu: Mou Hitori no Flair,,,,,,
95,,櫻の杜,,['OVA'],2,Finished Airing,"Jul 30, 1999 to Aug 27, 1999",,,"['Allure', 'Mediabank']","None found,","None found,",Visual novel,['Hentai'],,,51 min. per ep.,Rx - Hentai,4.96,N/A,#14542,933,0,218,"Based on the same-name videogame by the company Active (MediaBank). Features minimal animation, mostly pans and zooms. (Source: AniDB)",[],Sakura no Mori,,,,,,
96,,みさとちゃんの夢日記,,['OVA'],1,Finished Airing,"Jul 30, 1999",,,"['Allure', 'Mediabank']","None found,","None found,",Visual novel,['Hentai'],,,55 min.,Rx - Hentai,5.10,N/A,#14790,872,1,197,Based on an ero-game for PC released by the Japanese company Active. (Source: AniDB),[],Misato-chan no Yume Nikki,,,,,,
97,Kingdom of Light in the Himalayas,ヒマラヤの光の王国,,['OVA'],1,Finished Airing,"Jul 10, 1999",,,['Shinano Kikaku'],"None found,",['Toei Animation'],Unknown,,,,26 min.,G - All Ages,5.64,#11637,#17089,497,0,149,"In a small village overlooking the scenic Himalayas, a young boy, Suruya, receives a letter from a princess. It was a heartbreaking cry for help. So Suruya who is not the most courageous of boys, sets out to rescue a princess and along the way, through his adventures, he manages to find the courage to carry out his mission.",[],Himalaya no Hikari no Oukoku,El Reino de la Luz en los Himalayas,"['Adventure', 'Fantasy']",,,['Music'],
98,,ゲッターロボ メモリアル,Getter Robo Memorial,['OVA'],1,Finished Airing,"Jul 21, 1999",,,"None found,","None found,",['Toei Animation'],['Manga'],,,['Shounen'],58 min.,PG-13 - Teens 13 or older,[],#18190,#18368,395,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Getter Robo Memorial,,"['Action', 'Sci-Fi']",,,['Mecha'],
99,,きんぎょが　にげた,Where's the Fish?,['OVA'],4,Finished Airing,"Jul 1, 1999",,,"None found,","None found,","None found,",Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#19446,#22981,138,0,,Episode 1 - Isoide Isoide Episode 2 - Guu Guu Guu Episode 3 - Kingyo ga Nigeta Episode 4 - Wani-san Dokki Haisha-san Dokki (Source: Official Site),[],Kingyo ga Nigeta,,,,,,
100,"The Power of One, Gekijouban Pocket Monsters: Revelation Lugia, Pokémon Movie 2",ポケットモンスター 幻のポケモンルギア爆誕,Pokémon: The Movie 2000,['Movie'],1,Finished Airing,"Jul 17, 1999",,,['Shogakukan Productions'],"['4Kids Entertainment', 'Warner Bros. Pictures']",['OLM'],Game,,,['Kids'],1 hr. 20 min.,PG - Children,7.35,#2587,#1301,"197,165",227,128535,"An ancient prophecy tells of a day when the titans of ice, lightning, and fire are disturbed. When this occurs, Lugia, the guardian of the sea, will rise up and restore harmony. Enchanted by the words of the prophecy, Gelardan, a Pokémon collector, sets out on his airship with a dreadful plan to capture Lugia by going after these three titans. After Gelardan makes his move, drastic climate change begins to take place, as terrible storms start popping up all over the globe. One such storm causes the ship carrying Pokémon trainers Satoshi, Kasumi, and Kenji to drift off course and land on Shamouti Island. Upon arriving, Satoshi is told of the ancient prophecy, and of his destiny as the chosen one who will help Lugia restore balance to the world. With the fate of the world in his hands, Satoshi must summon the courage to face the chaos that threatens to tear everything apart and stop Gelardan. [Written by MAL Rewrite]",[],Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,Pokémon Película 2: El Poder de Uno,"['Adventure', 'Comedy', 'Fantasy']",,Pokémon Film 2: Le Pouvoir Est en Toi,,Pokémon Film 2: Die Macht des Einzelnen
101,"Card Captor Sakura, Cardcaptors: The Movie",劇場版 カードキャプターさくら,Cardcaptor Sakura The Movie,['Movie'],1,Finished Airing,"Aug 21, 1999",,,"['Bandai Visual', 'Shochiku', 'Shelty']","['Nelvana', 'Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],,,['Shoujo'],1 hr. 21 min.,PG - Children,7.63,#1480,#2176,"103,193",204,60347,"During an after-school shopping trip, Sakura Kinomoto decides to participate in the Tomoeda Shopping District's year-end lottery, with the grand prize being a round trip to Hong Kong. Surprisingly, she draws the winning ball. Alongside her best friend Tomoyo Daidouji, her older brother Touya, her crush Yukito Tsukishiro, and Keroberos, Sakura heads off to Hong Kong. However, vacation for the Cardcaptor will get cut short. Little does Sakura know, the trip may be connected to her recent, prophetic dreams featuring a mysterious woman and Clow Reed himself, creator of the Clow Cards. [Written by MAL Rewrite]","['Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura Movie 1,Sakura Cazadora de Cartas: La Película,"['Award Winning', 'Comedy', 'Drama']",,Card Captor Sakura: Le Film,['Mahou Shoujo'],Cardcaptor Sakura: Der Film
102,Revolutionary Girl Utena: Adolescence Apocalypse,少女革命ウテナ　アドゥレセンス黙示録,Revolutionary Girl Utena: The Adolescence of Utena,['Movie'],1,Finished Airing,"Aug 14, 1999",,,"['Movic', 'Sega', 'King Records', 'Audio Tanaka']","['Nozomi Entertainment', 'Central Park Media']",['J.C.Staff'],Original,,"['Mahou Shoujo', 'School']",,1 hr. 25 min.,R+ - Mild Nudity,7.67,#1361,#3087,"57,319",713,28569,"All eyes are on Utena Tenjou, a mysterious transfer student to Ohtori Academy. But Utena's eyes seem to be fixed on one familiar face that stands out among the rest—Touga Kiryuu, Utena's childhood friend. Touga knows of Utena's past and possesses knowledge of the Mark of the Rose, a set of unique rings worn by those who compete for the hand of the Rose Bride. The Rose Bride, Himemiya Anthy, belongs to whomever wins her in a duel, and the one that wins all the duels is said to be given the power to bring revolution to the world. Utena is drawn into the duels, but Touga and their complicated history together may end up unraveling everything. Nothing is as it seems in this retelling of the original anime series. [Written by MAL Rewrite]","['Adaptation (Manga) Shoujo Kakumei Utena: Adolescence Mokushiroku', '']",Shoujo Kakumei Utena: Adolescence Mokushiroku,,"['Avant Garde', 'Drama', 'Fantasy', 'Girls Love']",,Shôjo kakumei Utena: Adolescence mokushiroku,,
103,"Houhokekyo Tonari no Yamada-kun, Hoohokekyo Tonari no Yamada-kun",ホーホケキョ となりの山田くん,My Neighbors the Yamadas,['Movie'],1,Finished Airing,"Jul 17, 1999",,,['Tokuma Shoten'],"['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],['4-koma manga'],,,,1 hr. 43 min.,G - All Ages,7.09,#3956,#3260,"51,548",113,28064,"From squabbles about groceries against the ambient noise of the TV to their daily shenanigans, the Yamada family invites only a few unusual gazes—similar to any typical household. But despite their prickly exteriors, each of them genuinely cares for one another, making sure to smile and laugh through their otherwise dull and mundane lives. Tonari no Yamada-kun is an intimate and fun look into the lives of a typical Japanese family. [Written by MAL Rewrite]","['Adaptation (Manga) Tonari no Yamada-kun', '']",Tonari no Yamada-kun,Mis Vecinos Los Yamada,"['Award Winning', 'Comedy']",,Mes voisins Les Yamada,,Meine Nachbarn die Yamadas
104,Pocket Monsters: Pikachu Tankentai,ピカチュウたんけんたい,Pokémon: Pikachu's Rescue Adventure,['Movie'],1,Finished Airing,"Jul 17, 1999",,,['Shogakukan Productions'],"['4Kids Entertainment', 'Warner Bros. Pictures']",['OLM'],Game,,,['Kids'],23 min.,PG - Children,6.56,#6731,#4531,"27,034",6,14853,"Satoshi and his companions Kasumi and Kenji are enjoying a well-earned break from their journey around the Pokémon world. The group are resting outside on a warm day when Kasumi's Togepy accidentally gets distracted and separated. With their trainers asleep, it is up to Pikachu and the rest of the Pokémon to rescue Togepy! When inclement weather threatens the forest they are searching in, the group must band together to weather the storm. [Written by MAL Rewrite]",[],Pokemon: Pikachu Tankentai,,"['Adventure', 'Comedy', 'Fantasy']",,Pokémon: Pikachu à la rescousse,,
105,,ハッピーバースデー 命かがやく瞬間,Re-Birthday,['Movie'],1,Finished Airing,"Jul 27, 1999",,,"None found,","None found,",['Magic Bus'],Book,['Slice of Life'],,['Kids'],1 hr. 19 min.,G - All Ages,7.02,#4290,#9194,"4,610",23,1613,After being abused by her mother physically and mentally Asuka gets taken in by her grandparents. Slowly she learns her own worth as a human being and overcomes many obstacles.,[],Happy Birthday: Inochi Kagayaku Toki,,,,,['Iyashikei'],
106,"Cyber Team in Akihabara: The Movie, Akihabara Cyber Team 2011, Akihabara Denno Gumi 2011 Nen no Natsuyasumi",劇場版 アキハバラ電脳組 2011年の夏休み,Cyber Team in Akihabara: 2011 Summer Vacations,['Movie'],1,Finished Airing,"Aug 14, 1999",,,"['Kodansha', 'Movic', 'Sega', 'GANSIS', 'King Records', 'Audio Tanaka']","None found,",['Production I.G'],Original,,,,1 hr.,PG-13 - Teens 13 or older,6.59,#6522,#10361,"3,165",7,1396,"One year after Crane's visit to earth, Hibari dreams about him not being able to sleep well. So, she decides that the Cyberteam has to travel towards the Metatrone and find out if things are ok. Metatrone surveillance system has gone wild, and it's up to Hibari and her friends to fix things out and help Prince Crane. (Source: ANN)","['Prequel (TV) Akihabara Dennou-gumi', '']",Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,,"['Adventure', 'Comedy', 'Sci-Fi']",,,['Mecha'],
107,"Megumi no Daigo, Me-gumi no Daigo",め組の大吾 火事場のバカヤロー,Daigo of Fire Company,['Movie'],1,Finished Airing,"Jul 27, 1999",,,"None found,","None found,",['Sunrise'],['Manga'],,"['Adult Cast', 'Workplace']",['Shounen'],42 min.,PG-13 - Teens 13 or older,6.23,#8688,#10508,"3,045",4,1215,"Daigo Asahina is Medaka Gumi #2's/Me Gumi's new rookie firefighter, and already he's done crazy things, like throwing people off of a rooftop to save them from an explosion. He had good intentions, but his deeds are starting to hurt the company's reputation. At Sengoku City's Concert Hall, a fire breaks, and the some Emergency Rescue Squad needs rescuing. Daigo will do all he can to keep his promise: Not to let anyone die on the job. (Source: ANN)","['Sequel (TV) Megumi no Daigo: Kyuukoku no Orange', 'Adaptation (Manga) Megumi no Daigo']",Megumi no Daigo: Kajiba no Baka Yarou,,"['Action', 'Drama']",,,,
108,,金田一少年の事件簿 殺戮のディープブルー,Young Kindaichi's Casebook: Deep Blue Massacre,['Movie'],1,Finished Airing,"Aug 21, 1999",,,"None found,","None found,",['Toei Animation'],['Light novel'],['Mystery'],,['Shounen'],1 hr. 30 min.,PG-13 - Teens 13 or older,6.98,#4476,#11180,"2,492",4,796,"The movie is an alternative version to the ""Satsuriku no Deep Blue"" arc of the 1997 Kindaichi TV series. Kindaichi, Miyuki and Fumi are invited to the resort of the Deep Blue Island by their senpai Akane, the daughter of the president of the Aizawa Group. A group of criminals infiltrate the hotel diguised as waiters to kill the members of the Aizawa Group. The criminals don't know their boss in person, and they don't know either that he's in the hotel with the members of the Aizawa Group.","['Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', '']",Kindaichi Shounen no Jikenbo Movie 2: Satsuriku no Deep Blue,,,,,,
109,Astro Boy: Volume of the Blue Knight,鉄腕アトム ~青騎士の巻~,,['Movie'],1,Finished Airing,"Jul 20, 1999",,,['Tezuka Productions'],"None found,","None found,",Unknown,,,,11 min.,G - All Ages,5.84,#10706,#13801,"1,134",0,276,"The film begins with the Phoenix retelling the tales and hopes of Astro Boy. Many of the visual being directly taken from the 1980s TV series as it recaps some of his adventures. Following this recap, Astro Boy confronts Blue Bon and tries to convince him to change his mind about the humans. But Blue Bon misunderstands, assuming that if Astro Boy does not agree then he is an enemy. Blue Bon hates humans because they broke apart his family (Maria and Tonto). A battle begins between the two after Astro Boy fails to convince Blue Bon that they aren't each others' enemy. (Source: Astro Boy Wiki)","['Sequel (Movie) Shinsengumi', '']",Tetsuwan Atom: Ao Kishi no Kan,,"['Action', 'Sci-Fi']",,,['Mecha'],
110,Super Doll Liccachan: Rika-chan's Desperate Situation! The Doll Knights' Miracle,スーパードール★リカちゃん リカちゃん絶体絶命! ドールナイツの奇跡,,['Movie'],1,Finished Airing,"Jul 31, 1999",,,"None found,","None found,",['Madhouse'],Original,,,,30 min.,G - All Ages,6.05,#9652,#14365,977,1,250,"A fun day at the amusement park is interrupted when the evil witch Dana is reawakened. Queen Yae has sent her after Rika and only the Doll Knights can stop this threat. Meanwhile, Dai and the others must deal with other dangers. (Source: ANN)",[],Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,,"['Action', 'Adventure', 'Fantasy']",,,['Super Power'],
111,Shinsengumi,新撰組,Shinsen-gumi,['Movie'],1,Finished Airing,"Jul 20, 1999",,,['Tezuka Productions'],"None found,","None found,",['Manga'],,,,4 min.,R - 17+ (violence & profanity),5.70,#11389,#16444,569,0,124,"The Phoenix asks us why humans choose war as a means of solving problems, while it looks back on the history of Kyoto and ponders on the riot at Ikeda-ya by the Shinsengumi in the last days of the Tokugawa regime. The short film was also included on the Osamu Tezuka Sakuhin-shuu: Kyoto Animation Theater-hen DVD released in 2015. (Source: Official Site)","['Adaptation (Manga) Shinsengumi', '']",Shinsengumi,,,,,['Historical'],
112,,小さな巨人 ミクロマン 大激戦! ミクロマンVS最強戦士ゴルゴン,,['Movie'],1,Finished Airing,"Jul 31, 1999",,,['Toei Video'],"None found,",['Pierrot'],Other,,"['Mecha', 'Super Power']",,31 min.,G - All Ages,[],#17305,#17265,482,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon,,"['Action', 'Adventure', 'Sci-Fi']",,,,
113,,それいけ!アンパンマン 勇気の花がひらくとき,,['Movie'],1,Finished Airing,"Jul 24, 1999",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,,,['Kids'],56 min.,PG - Children,6.21,#8792,#17300,478,0,140,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Yuuki no Hana ga Hiraku Toki,,"['Comedy', 'Fantasy']",,,,
114,Anpanman Movie 19,それいけ! アンパンマン アンパンマンとたのしい仲間たち,,['Movie'],1,Finished Airing,"Jul 24, 1999",,,"None found,","None found,",['TMS Entertainment'],Unknown,,,['Kids'],25 min.,PG - Children,[],#14511,#17962,424,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Anpanman to Tanoshii Nakama-tachi,,"['Adventure', 'Fantasy']",,,,
115,Euro Boys,ユーロボーイズ,,['Movie'],1,Finished Airing,Sep 1999,,,"None found,","None found,","None found,",Original,['Comedy'],,,3 min.,PG-13 - Teens 13 or older,5.07,#13139,#20624,252,0,115,Short animation by AC-Bu. Winner of NHK's Digital Stadium Grand Prix in 2000.,[],Euroboys,,,,,['Mecha'],
116,"Rupan Sansei, Lupin III: Da Capo of Love - Fujiko's Unlucky Days, Lupin III: Fujiko's Unlucky Days",ルパン三世『愛のダ・カーポ ～Fujiko's Unlucky Days』,Lupin III: The Columbus Files,['TV Special'],1,Finished Airing,"Jul 30, 1999",,,"['VAP', 'Tokyo Movie Shinsha', 'Tohokushinsha Film Corporation']","['Funimation', 'Discotek Media']","None found,",['Manga'],,,['Seinen'],1 hr. 31 min.,PG-13 - Teens 13 or older,6.72,#5771,#7355,"8,186",5,3463,"When Fujiko acquires and memorizes papers called the Columbus Files, she is attacked and loses her memory. Lupin, a treasure hunter named Rosaria, and the cackling villain Nazaroff all pursue Fujiko, as she is the only key to the location of Columbus' Egg, a treasure connected to the mysterious Orgone Energy. (Source: ANN)",[],Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,,"['Action', 'Adventure', 'Comedy', 'Mystery']",,,['Adult Cast'],
117,,トゥハート おまけ,,['Special'],6,Finished Airing,"Jul 9, 1999 to Dec 17, 1999",,,['KSS'],['Nozomi Entertainment'],['OLM'],Visual novel,['Comedy'],"['Harem', 'School']",,4 min. per ep.,PG-13 - Teens 13 or older,6.17,#8975,#9865,"3,725",0,1256,"Six short ""Special Broadcasts"" (omake) were produced and aired after selected episodes. They lasted around five minutes and followed the general style of the main anime, although the characters are drawn as chibis. (Source: Wikipedia)",[],To Heart Omake,,,,,,
118,"Nuku Nuku Special, Nuku Nuku hourou!? Akemashite Suteraremashita, Nuku Nuku Abandoned? Happy New Year, I've Been Thrown Out, Nuku Nuku Special, Koisuru Nuku Nuku! Valentine wa dare n tame n, Nuku Nuku Falls in Love! Who's the Valentine for?",万能文化猫娘,,['Special'],2,Finished Airing,"Aug 1, 1999",,,['Movic'],['ADV Films'],['Ashi Productions'],['Manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.31,#8220,#11323,"2,392",1,998,Special episodes that take place between episodes 10 & 11 of the TV series.,[],Bannou Bunka Neko-Musume Specials,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,['Mecha'],
119,"Slime Adventures - Yay, the Sea!, Slime Adventures - Yeah! The Sea!",スライム冒険記 ～海だ，イエー～,,['Special'],1,Finished Airing,"Jul 30, 1999",,,['Shueisha'],"None found,",['Production I.G'],Game,,,,15 min.,G - All Ages,5.58,#11883,#12260,"1,789",4,460,"A short anime directed by Yuasa Masaaki with Production IG, distributed on VHS as a bonus to a video game magazine subscription. The main character is a Slime from the Dragon Quest video games.",[],"Slime Boukenki: Umi da, Yeah!",,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,['Strategy Game'],
120,,ドクタースランプ ほよよ！アラレの秘密大公開だよ！！,,['Special'],1,Finished Airing,"Sep 15, 1999",,,"None found,","None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,5.83,#10788,#13311,"1,299",0,306,A special episode aired between episode 72 and 73 of Dr. Slump 2.,[],Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai da yo!!,,"['Comedy', 'Sci-Fi']",,,['Gag Humor'],
121,"Torajima no Mime, Mii the Tabby, Miime the Tabby",トラジマのミーめ,,['Special'],2,Finished Airing,"Aug 6, 1999 to Dec 8, 1999",,,"None found,","None found,","None found,",Unknown,['Slice of Life'],,,10 min. per ep.,G - All Ages,6.01,#9868,#13460,"1,247",0,435,"A special that appeared with the Queen Emeraldas OVA, a short story dedicated to Leiji Matsumoto's beloved cat ""Mii-kun.""","['Adaptation (Manga) Torajima no Miime', '']",Torajima no Miime,,,,,['Pets'],
122,"Dokkiri Doctor: Maidens' Secret Physical Examination!!, Dokkiri Doctor: Otome no Himitsu KenkouShindan!!",ドッキリドクター 乙女の(秘)健康診断!!,,['Special'],1,Finished Airing,"Aug 10, 1999",,,"None found,","None found,",['Pierrot'],['Manga'],,,,25 min.,PG-13 - Teens 13 or older,[],#17697,#17147,492,2,,Dokkiri Doctor special. Also known as Episode 27.,[],Dokkiri Doctor Special,,"['Comedy', 'Ecchi']",,,['School'],
123,Momoiro Sisters Special,アイドル伝説桃子!?,,['Special'],1,Finished Airing,"Jul 22, 1999",,,"None found,","None found,",['Studio Deen'],['4-koma manga'],['Comedy'],,,6 min.,PG-13 - Teens 13 or older,5.93,#10300,#19365,323,0,119,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Momoiro Sisters', '']",Momoiro Sisters: Idol Densetsu Momoko!?,,,,,['Idols (Female)'],
