,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
10,可愛ければ変態でも好きになってくれますか？,"Hensuki: Are you willing to Fall in Love with a Pervert, as long as she's a Cutie?",['TV'],12,Finished Airing,"Jul 8, 2019 to Sep 23, 2019",['Summer 2019'],Mondays at 20:00 (JST),"['AT-X', 'Bandai Namco Live Creative', 'GYAO!', 'Kadokawa', 'INCS toenter', 'Bandai Namco Arts']",['Funimation'],['Geek Toys'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.47,#7284,#741,"342,971",952,165882,"As far as it goes, many boys, especially in their teenage years, want to have a girlfriend. Keiki Kiryuu is no exception. One eventful afternoon, his days of yearning for a lover seem to come to an end when he receives a love letter from an anonymous sender—along with a pair of white panties. To determine the identity of his secret admirer, referred to as Cinderella, he proceeds to investigate several possible candidates including his senior Sayuki Tokihara, his underclassman Yuika Koga, and his classmate Mao Nanjou. However, as Keiki seeks to uncover who this mystery girl might be, he comes to know about the perverted fetishes hidden behind each candidate's innocent exteriors... [Written by MAL Rewrite]","['Adaptation (Manga) Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?', 'Adaptation (Light Novel) Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?']",Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['Harem', 'School']",Would you love a pervert as long as she's cute?,"Hensuki: Are You Willing to Fall in Love with a Pervert, as Long as She's a Cutie?","Hensuki: Are You Willing to Fall in Love with a Pervert, as long as She's a Cutie?","Hensuki: Are You Willing to Fall in Love with a Pervert, as Long as She's a Cutie?",,,
11,彼方のアストラ,Astra Lost in Space,['TV'],12,Finished Airing,"Jul 3, 2019 to Sep 18, 2019",['Summer 2019'],Wednesdays at 21:00 (JST),"['AT-X', 'Docomo Anime Store', 'Shueisha', 'Kadokawa Media House', 'Kadokawa']",['Funimation'],['Lerche'],['Manga'],"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",['Shounen'],28 min. per ep.,PG-13 - Teens 13 or older,8.07,#567,#801,"321,746","3,300",153428,"In the year 2063, space travel is feasible and commercially available. As the cheerful Aries Spring arrives at the spaceport to attend a camp on the distant planet McPa, her purse is suddenly snatched by a reckless thief. Luckily, the athletic Kanata Hoshijima is able to retrieve it for her, and Aries soon discovers that he is among the group of teenagers who will be traveling with her on the excursion as team B-5. Upon arriving at their campsite, the group's trip takes a turn for the worse when a strange sphere of black light sucks them into the vast reaches of outer space. Stranded with seemingly no hope, they find an abandoned ship nearby that provides them with the means to return home. However, they soon discover that they are not as close to their campsite as they initially thought, but are in fact thousands of light-years away from home. With this realization, the nine members must cautiously manage their resources, maintain their strength, and unite as one to conquer the darkness of space together. While the reason behind their trip's sudden obstruction remains unknown, they nevertheless embark on the treacherous voyage back home aboard their new ship, the Astra. [Written by MAL Rewrite]","['Adaptation (Manga) Kanata no Astra', '']",Kanata no Astra,"['Space', 'Survival']",Astra Lost in Space,,,,,,
12,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,['TV'],12,Finished Airing,"Jul 13, 2019 to Sep 28, 2019",['Summer 2019'],Saturdays at 00:00 (JST),"['Aniplex', 'Toranoana', 'Tokyo MX', 'Q-Tec', 'BS11', 'Contents Seed', 'Kadokawa', 'KLab']",['Aniplex of America'],['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,5.54,#11984,#882,"298,077",498,130332,"Forming a party with one's mother in an online game seems not only unlikely but also uncomfortable to most teenage gamers. Unfortunately, Masato Oosuki finds himself in that exact scenario. After completing a seemingly meaningless survey, he is thrown into the world of a fantasy MMORPG—and his mother Mamako actually tagged along with him! On top of all of that, Mamako turns out to be an overpowered swordswoman, possessing the power of two-hit multi-target attacks! After minor tension between the two, they search for party members, meeting the merchant Porta and the sage Wise, starting their journey to clear the game. [Written by MAL Rewrite]","['Adaptation (Manga) Tsuujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka?', 'Adaptation (Light Novel) Tsuujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka?']",Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,,"Do You Like Your Mom? Her Normal Attack is Two Attacks at Full Power, Okaa-san Online",Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,,,
13,手品先輩,Magical Sempai,['TV'],12,Finished Airing,"Jul 2, 2019 to Sep 17, 2019",['Summer 2019'],Tuesdays at 23:00 (JST),"['Nihon Ad Systems', 'Kodansha', 'KlockWorx', 'flying DOG', 'Avex Pictures', 'Q-Tec', 'Docomo Anime Store', 'GYAO!', 'BS NTV', 'Marui Group']","None found,",['LIDENFILMS'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Seinen'],12 min. per ep.,PG-13 - Teens 13 or older,6.39,#7763,#901,"288,402",481,133457,"Starting his new term at Tanenashi High School, an unmotivated freshman searches for a club that requires minimal participation to suit his needs. He then comes across the magic clubroom, and inside is a cute upperclassman practicing her magic tricks. Suffering from stage fright that causes her to slip up in her acts, she has a tendency to end up in the most embarrassing situations. Despite having little interest in a club run by an incapable magician, the freshman finds himself involved as a new member, experiencing all sorts of awkward moments with his eccentric mentor. [Written by MAL Rewrite]","['Adaptation (Manga) Tejina-senpai', '']",Tejina-senpai,"['Performing Arts', 'School']",,Magical Sempai,Magical Sempai,Magical Sempai,,,
14,魔王様、リトライ！,"Demon Lord, Retry!",['TV'],12,Finished Airing,"Jul 4, 2019 to Sep 19, 2019",['Summer 2019'],Thursdays at 00:00 (JST),"None found,",['Funimation'],['EKACHI EPILKA'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.55,#6755,#965,"268,670",673,140905,"Akira Oono is an ordinary working adult who manages the MMORPG Infinity Game. Fifteen years after creating the game, Oono decides to shut the servers down once and for all. However, as the clock strikes midnight, he somehow finds himself in the body of middle-aged Hakuto Kunai, Infinity Game's Demon Lord! Soon after his mysterious transportation, he witnesses the demon Greole chasing after a little girl named Aku. Although he effortlessly dispatches the creature, Hakuto is still concerned; after all, he does not remember creating the girl or the demon! Doubting whether he truly is in the world of his creation, Hakuto decides to investigate. Bringing Aku along as his guide and companion, Hakuto sets out on a journey to find out exactly who or what summoned him to this fantasy world—all while leaving chaos and destruction in his wake. [Written by MAL Rewrite]","['Sequel (TV) Maou-sama, Retry! R', 'Adaptation (Manga) Maou-sama, Retry!', 'Adaptation (Manga) Maou-sama, Retry! R', 'Adaptation (Light Novel) Maou-sama, Retry!']","Maou-sama, Retry!",,,"Demon Lord, Retry!",,,['Isekai'],,
15,とある科学の一方通行〈アクセラレータ〉,A Certain Scientific Accelerator,['TV'],12,Finished Airing,"Jul 12, 2019 to Sep 27, 2019",['Summer 2019'],Fridays at 22:00 (JST),"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,R - 17+ (violence & profanity),7.21,#3313,#1041,"247,670",954,103337,"Academy City stands at the forefront of scientific and technological progress, best known for their development of espers: those capable of wielding superhuman abilities that alter the rules of reality. The most powerful among them are the Level 5s, and the one known as Accelerator reigns supreme, even after being weakened by a severe brain injury. By his side is the young girl known as Last Order, whom despite his cold demeanor, he holds closely and vows to protect at all costs. Though Accelerator may be recovering from his injury, the dark side of Academy City never rests, and so he finds himself unwillingly caught up in the midst of a new conflict. When a mysterious young woman approaches Accelerator in pursuit of Last Order, the highest-ranked esper is confronted by a venomous organization that has taken root in Anti-Skill, Academy City's peacekeeping organization. With dangerous forces on the move that threaten to put Last Order and her sisters at risk, the self-proclaimed villain prepares to step into the darkness once again. [Written by MAL Rewrite]","['Adaptation (Manga) Toaru Majutsu no Index Gaiden: Toaru Kagaku no Accelerator', '']",Toaru Kagaku no Accelerator,"['Super Power', 'Urban Fantasy']","To Aru Majutsu no Index Gaiden, Toaru Kagaku no Ippou Tsuukou",A Certain Scientific Accelerator,A Certain Scientific Accelerator,A Certain Scientific Accelerator,,,
16,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,"If It's for My Daughter, I'd Even Defeat a Demon Lord",['TV'],12,Finished Airing,"Jul 4, 2019 to Sep 19, 2019",['Summer 2019'],Thursdays at 23:30 (JST),"['Genco', 'Asmik Ace', 'Hobby Japan', 'ZERO-A', 'BS11', 'Muse Communication']","None found,",['Maho Film'],['Light novel'],"['Fantasy', 'Slice of Life']",,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4032,#1132,"229,731",774,110964,"Eighteen-year-old Dale Reki is a skilled, kind, and respected traveler, acknowledged as one of the leading adventurers in the city of Kreuz. One day while on the hunt for magical beasts, he comes across a sweet devil girl named Latina. She is alone, dressed in rags, and bears the devils' symbol of a criminal: a broken horn. Concerned for her wellbeing, Dale decides to ensure Latina's safety by bringing her to his home, eventually leading to him adopting her. Latina is sweet, innocent and compassionate, charming Dale beyond his expectations. He begins to enjoy the life of parenthood— experiencing the trials that come with raising a child and coping with the heartache he feels whenever his busy lifestyle as an adventurer parts him from her. Although work and life as a new parent become reassuring constants for Dale, the mysteries surrounding the girl remain. Why was Latina alone in the forest, and why does she harbor the symbol of a criminal? At the same time, Latina also begins to learn about the world and herself as she adjusts to her new life with Dale. [Written by MAL Rewrite]","['Adaptation (Manga) Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.', 'Adaptation (Light Novel) Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.']","Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",,"Uchi no Musume no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai., UchiMusume","If It'sFor My Daughter, I'd Even Defeat A Demon Lord","If it's for My Daughter, I'd Even Defeat a Demon Lord","If it's for My Daughter, I'd Even Defeat a Demon Lord",['Childcare'],,
17,まちカドまぞく,The Demon Girl Next Door,['TV'],12,Finished Airing,"Jul 12, 2019 to Sep 27, 2019",['Summer 2019'],Fridays at 01:28 (JST),"['Pony Canyon', 'TBS', 'Houbunsha', 'Medicos Entertainment', 'RAY']",['Sentai Filmworks'],['J.C.Staff'],['4-koma manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.63,#1466,#1455,"173,605","1,228",66218,"After a strange dream of a mysterious ancestor, high school student Yuuko Yoshida wakes to see that she has grown demonic horns and a tail. Dazed and confused, her mother reveals to her a dark family secret: her family is descended from a Dark Clan that was banished to live powerless and destitute by their mortal enemies, the magical girls of the Light Clan. The only way to lift their ancestry's curse is for Yuuko to find a magical girl, murder her, and splatter her blood all over her ancestor's Demon God statue. Fortunately for ""Shadow Mistress Yuuko,"" a magical girl saves her from being run over by an oncoming truck. Unfortunately, Momo Chiyoda happens to be Yuuko's classmate at Sakuragaoka High and is much stronger than her in both strength and endurance. Taking pity on her wimpy assailant, the magical girl agrees to train Yuuko and help her unlock her dormant powers. Now, Yuuko must rise up and defeat her generous frenemy to save her family from the terrible grip of poverty. [Written by MAL Rewrite]","['Sequel (TV) Machikado Mazoku: 2-choume', 'Adaptation (Manga) Machikado Mazoku']",Machikado Mazoku,"['CGDCT', 'Mahou Shoujo', 'School']",Street Corner Demon,,,,,['Comedy'],
18,ソウナンですか?,Are You Lost?,['TV'],12,Finished Airing,"Jul 2, 2019 to Sep 17, 2019",['Summer 2019'],Tuesdays at 23:15 (JST),"['Nihon Ad Systems', 'Kodansha', 'KlockWorx', 'flying DOG', 'Avex Pictures', 'Docomo Anime Store', 'GYAO!', 'BS NTV', 'Marui Group']","None found,",['Ezόla'],['Manga'],"['Adventure', 'Comedy', 'Suspense']",['Seinen'],12 min. per ep.,PG-13 - Teens 13 or older,6.59,#6513,#1525,"165,667",259,78228,"After a school trip goes terribly wrong, Homare Onishima, Shion Kujou, Asuka Suzumori, and Mutsu Amatani are left stranded on a deserted island. While Shion, Asuka, and Mutsu are frightened and desperate, Homare seems strangely calm. Fortunately for the group, this isn't the first time she's been stranded! Homare spent her childhood training with her survivalist father all over the world, climbing cliffs, trapping prey, building shelters, and obtaining valuable nutrition from moose testicles. To Homare, surviving on an uninhabited island with a slim chance of rescue is child's play. The only problem is the other three. As Homare shamelessly guides her classmates through the finer points of survival, including drinking fish blood and eating cicadas, the girls start to realize that being stranded might not be as bad as they had imagined. [Written by MAL Rewrite]","['Adaptation (Manga) Sounan desu ka?', '']",Sounan desu ka?,"['CGDCT', 'Survival']",,Are You Lost?,Are You Lost?,Are You Lost?,,,
19,ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note-,Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note,['TV'],13,Finished Airing,"Jul 7, 2019 to Sep 29, 2019",['Summer 2019'],Sundays at 00:00 (JST),"['Aniplex', 'Notes']",['Aniplex of America'],['TROYCA'],['Light novel'],"['Fantasy', 'Mystery']",,23 min. per ep.,R - 17+ (violence & profanity),7.38,#2458,#1583,"158,498",443,66902,"Ten years after facing defeat in the Fourth Holy Grail War, Waver Velvet, now Lord El-Melloi II, teaches classes at the Clock Tower—the center of education for mages. However, his new status as Lord comes with a caveat: obey the orders of Reines, the younger sister of the deceased Kayneth El-Melloi, until she is old enough to rule the House of El-Melloi. Waver, along with his mysterious apprentice Gray, takes on a series of cases assigned by Reines and the Mages Association. With each case proving to be more complex than the last, could there be more to the Clock Tower than meets the eye, and what secrets does Reines hide? [Written by MAL Rewrite]","['Prequel (TV Special) Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi', 'Adaptation (Manga) Lord El-Melloi II-sei no Jikenbo', 'Adaptation (Light Novel) Lord El-Melloi II-sei no Jikenbo', '']",Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note,,,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,['Urban Fantasy'],,
20,かつて神だった獣たちへ,To the Abandoned Sacred Beasts,['TV'],12,Finished Airing,"Jul 1, 2019 to Sep 16, 2019",['Summer 2019'],Mondays at 23:00 (JST),"['Kodansha', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'BS11', 'JR East Marketing & Communications', 'Cygames', 'A-Sketch']",['Anime Limited'],['MAPPA'],['Manga'],"['Action', 'Drama', 'Fantasy']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),6.41,#7652,#1708,"142,699",240,56297,"With the initiation of the Patrian civil war came the creation of half-beast, half-human soldiers—a development of the outnumbered Northerners in a desperate attempt to counter the overwhelming Southern forces. Able to quickly dominate battlefields and achieve victory with ease, the soldiers' godlike abilities earned them the name ""Incarnates."" However, as the war raged on, the Incarnates encountered a problem involving the beasts inside them that they were unable to rectify by ordinary means. Once the war was over, mysteries and accounts of the Incarnates submitting to the misfortune of their war days surfaced. Aware of the horrors they faced during the war, Special Sergeant Major and former captain of the Incarnates Hank Henriette becomes a Beast Hunter—those who take the lives of Incarnates who have succumbed to the issues they experienced on the battlefields. After witnessing her father, a former Incarnate soldier, meet his end at the hands of one such Beast Hunter, Nancy Schaal Bancroft resolves to hunt the man who took her father's life. However, Nancy's eye-opening encounter with the Beast Hunter influences her to instead seek the reason behind her father's death and the Incarnates' problematic existence in society. [Written by MAL Rewrite]","['Adaptation (Manga) Katsute Kami Datta Kemono-tachi e', '']",Katsute Kami Datta Kemono-tachi e,,To the Abandoned Sacred Beasts,To the Abandoned Sacred Beasts,To the Abandoned Sacred Beasts,To the Abandoned Sacred Beasts,['Military'],,
21,ナカノヒトゲノム【実況中】,The Ones Within,['TV'],12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019",['Summer 2019'],Sundays at 22:00 (JST),"['Lantis', 'AT-X', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'Muse Communication', 'Bandai Namco Arts', 'Bit Promotion']",['Funimation'],['SILVER LINK.'],['Web manga'],"['Adventure', 'Drama', 'Mystery']",,23 min. per ep.,PG-13 - Teens 13 or older,6.86,#5057,#1744,"138,784",598,57785,"Iride Akatsuki has unlocked hidden content in the game he's playing, 'Nakanohito Genome,' and it turns out that this content is a real-life game! He soon wakes up to find that he has been kidnapped and taken to a strange place, along with a number of other teammates. Each of them specializes in a certain sort of game, like cultivation games, fighting games, puzzle games, etc. A llama-headed 'teacher' gathers them after level 1 is cleared to explain how the game will proceed. Will this group of gamers succeed, and make it back to their real lives? (Source: MangaHelpers)","['Adaptation (Manga) Nakanohito Genome [Jikkyouchuu]', '']",Nakanohito Genome [Jikkyouchuu],,Naka no Hito Genome [Jikkyouchuu],,,,['Video Game'],,
22,女子高生の無駄づかい,Wasteful Days of High School Girls,['TV'],12,Finished Airing,"Jul 5, 2019 to Sep 20, 2019",['Summer 2019'],Fridays at 21:30 (JST),"['AT-X', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['Passione'],['Web manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.70,#1296,#1839,"129,205",729,50793,"As she heads off to her entrance ceremony at Sainotama Girls' High School, Akane Kikuchi muses over her grade school dream of becoming a manga artist and the lack of progress that she has made. When she finally arrives at school, she is surprised to learn that she is once again in the same class as her two best friends: the deadpan and emotionless Shiori Saginomiya and the hyperactive and ridiculous Nozomu Tanaka. Tanaka then comes to the obvious realization that she can't achieve her grade school dream of being popular with the boys and getting a boyfriend by going to an all-girls high school. In desperation, she begins asking the girls in her class to introduce her to their guy friends. Her classmates, however, are anything but ordinary. From a grandmother-loving loli to a reclusive chuunibyou to an overly analytical stalker, each one is given a fitting nickname by Tanaka to accentuate their weirdness. And so begin the wasteful days of these high school girls, each day kicked off with a simple question: ""Hey, wanna hear something amazing?"" [Written by MAL Rewrite]","['Adaptation (Manga) Joshikousei no Mudazukai', '']",Joshikousei no Mudazukai,"['CGDCT', 'Gag Humor', 'School']",Joshimuda,,,,,['Comedy'],
23,COP CRAFT [コップクラフト],,['TV'],12,Finished Airing,"Jul 9, 2019 to Oct 1, 2019",['Summer 2019'],Tuesdays at 00:00 (JST),"['WOWOW', 'Pony Canyon', 'Hakuhodo DY Music & Pictures', 'Good Smile Film']",['Funimation'],['Millepensee'],['Light novel'],"['Action', 'Fantasy', 'Mystery', 'Sci-Fi']",,23 min. per ep.,R - 17+ (violence & profanity),6.71,#5841,#1903,"124,252",229,53793,"Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific Ocean, connecting Earth to a strange world filled with fairies and monsters. The city of San-Teresa became a home for over two million of these otherworldly visitors. Unfortunately, the population boom also brought its fair share of problems—drugs, prostitution, and trafficking. To combat the rampant crime lurking in the city's shadows, a new department was established in the San-Teresa Metropolitan Police. Former JSDF soldier Kei Matoba is one of the best cops that the department has to offer, despite his inclination to occasionally bend the rules. After a fairy trafficking case goes wrong, Kei loses Rick Fury, his friend and partner of four years, setting him on a quest for vengeance. To help him with the case, the department pairs him with Tilarna Exedilika, a noble of the Farbani Kingdom. As one of the Knights of Mirvor, her duty is to rescue the noble fairy that Kei encountered during his last case. Despite his distaste for non-humans, he accepts the arrangement at the request of his superiors. Now, the unlikely duo must come together and overcome their differences in order to return the missing fairy to her country and avenge the death of Kei's partner. [Written by MAL Rewrite]","['Adaptation (Light Novel) Cop Craft: Dragnet Mirage Reloaded', '']",Cop Craft,"['Detective', 'Urban Fantasy']",,,,,,,
24,BEM,,['TV'],12,Finished Airing,"Jul 15, 2019 to Oct 14, 2019",['Summer 2019'],Mondays at 01:35 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Pony Canyon', 'KlockWorx', 'flying DOG']",['Funimation'],['LandQ studios'],Original,"['Action', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.07,#9579,#2623,"76,225",101,22951,"Young detective Sonia Summers has been transferred to the outskirts of the port city Libra after stirring up trouble with her superiors. Libra is separated into two sectors—""the Upper,"" the center of wealth and politics, and ""the Outside."" The Outside is home to crime, corruption, and curious incidents involving monstrosities or youkai. Each case that Sonia works on seems to implicate the involvement of these mysterious creatures. Sonia crosses paths with three peculiar humanoid youkai—Bem, Bela and Belo—who seek to protect humans and fight against the evil youkai that terrorize them. Living as ""Youkai-Ningen,"" they are excluded by other youkai for their human-like lifestyles, and rejected and hurt by humans when they reveal their true forms. Despite the hardships they face, these three Youkai-Ningen secretly live among humans, continuing to pursue their dreams of one day becoming human as well. [Written by MAL Rewrite]","['Sequel (Movie) Bem Movie: Become Human', 'Adaptation (Manga) Bem']",Bem,,,,,,['Mythology'],,
25,グランベルム,,['TV'],13,Finished Airing,"Jul 6, 2019 to Sep 27, 2019",['Summer 2019'],Saturdays at 01:55 (JST),"['Mainichi Broadcasting System', 'Infinite', 'DMM pictures']",['Sentai Filmworks'],['Nexus'],Original,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.67,#6103,#3135,"55,434",137,20018,"Long ago, magic was abundant and enriched the lives of all people until its usage in war. To end the chaos, seven of the most powerful mages gave up their lives in order to seal all magic. Now, almost one thousand years later, their magic seal Magiaconatus hosts Granbelm, a monthly series of battles meant to determine who among its participants is worthy of the title of Princeps, the one true mage. On the night of a full moon, high school student Mangetsu Kohinata is suddenly transported to an illusionary world where six mages are participating in Granbelm. Mistaken for an enemy mage, Mangetsu is attacked by two mages until she is rescued by Shingetsu Ernesta Fukami and her Armanox Viola Katze. However, when Shingetsu is ambushed for protecting her, Magiaconatus grants Mangetsu the Armanox White Lily, allowing her to fight off Shingetsu's assailant. Overwhelmed by the revelations presented to her, Mangetsu decides to help her new friend fight in Granbelm and make her wish come true. [Written by MAL Rewrite]",[],Granbelm,"['Mahou Shoujo', 'Mecha']",,,,,,,
26,あんさんぶるスターズ！,,['TV'],24,Finished Airing,"Jul 7, 2019 to Dec 22, 2019",['Summer 2019'],Sundays at 22:30 (JST),"['Frontier Works', 'Movic', 'Happy Elements', 'Bandai Namco Arts']",['Funimation'],['David Production'],Game,,,23 min. per ep.,PG-13 - Teens 13 or older,6.94,#4650,#3301,"50,589",685,13643,"Yumenosaki Academy has been home to the best boy idols of different generations. Holding immense influence over the school, its student council maintains the status quo by enforcing old traditions with an iron fist. Transfer student Anzu winds up attending as the very first member in the production course, making her the sole female student in the entire school. There, she meets Subaru Akehoshi, Hokuto Hidaka, Mao Isara, and Makoto Yuuki—her classmates and members of the idol unit ""Trickstar."" The academy holds Dream Idol Festivals—stage battles that put its students' singing and dancing skills against each other, with the audience voting on the winner. Winning these ""DreFes"" guarantees the members of the idol unit various privileges and prestige. However, with the student council intervening and punishing everyone involved in an unsanctioned DreFes, the members of Trickstar find that they can no longer sit around and let it continue. Alongside Anzu as their producer, they plot to become the revolutionaries of the academy. [Written by MAL Rewrite]","['Sequel (Movie) Ensemble Stars!! Road to Show!!', 'Adaptation (Manga) Ensemble Stars!', 'Adaptation (Light Novel) Ensemble Stars!', 'Adaptation (Manga) Ensemble Stars!: Ready for Star']",Ensemble Stars!,"['Idols (Male)', 'Music', 'School']",Enstars,,,,,,
27,戦姫絶唱シンフォギアXV,Symphogear XV,['TV'],13,Finished Airing,"Jul 7, 2019 to Sep 29, 2019",['Summer 2019'],Sundays at 01:00 (JST),"['Memory-Tech', 'Bushiroad', 'MAGES.', 'King Records', 'Kinyosha']",['Discotek Media'],['Satelight'],Original,"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,8.19,#411,#3691,"41,462",901,14992,"Humanity is finally confronted with the threat of the Custodians—the ancient, sentient species held responsible for cursing humanity to speak different languages thousands of years ago. The Symphogear wielders—Hibiki Tachibana, Tsubasa Kazanari, Chris Yukine, Maria Cadenzavna Eve, Kirika Akatsuki, and Shirabe Tsukuyomi—are sent to the Antarctic in order to retrieve an ancient relic. After securing it and rescuing the scientific staff present there from a Coffin, the automated defense mechanism protecting it, the relic is given to American researchers due to international agreements. The criminal organization Noble Red, a remnant of the previously fought Bavarian Illuminati, starts targeting the relic. Will the Symphogear wielders and their supporting organization S.O.N.G. be able to foil the plans of the organizations conspiring against them? [Written by MAL Rewrite]","['Prequel (TV) Senki Zesshou Symphogear AXZ', '']",Senki Zesshou Symphogear XV,"['Idols (Female)', 'Music']",,Symphogear XV,Symphogear XV,Symphogear XV,,,
