,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
20,アスラクライン 2,,['TV'],13,Finished Airing,"Oct 1, 2009 to Dec 24, 2009",['Fall 2009'],Thursdays at 08:00 (JST),"['TV Tokyo', 'Starchild Records', 'Raku High Student Council']",['Maiden Japan'],['Seven Arcs'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3179,#2931,"63,272",94,32918,"Following the first season, Tomoharu is now faced with a dilemma: if he doesn't form a contract with an ""akuma,"" he risks losing his dear friend Takatsuki. However, doing so would compromise his own existence as it would result in him and his ghost friend Misao becoming an Asura Cryin'—mankind's biggest threat, according to their school's presidents. To make the decision even harder, Tomoharu and Misao have recovered some of their past memories—memories of a world that they didn't even know existed.","[""Prequel (TV) Asura Cryin'"", ""Adaptation (Manga) Asura Cryin'"", ""Adaptation (Light Novel) Asura Cryin'"", '']",Asura Cryin' 2,,,,,,"['Harem', 'Mecha', 'School']",,
21,クイーンズブレイド 玉座を継ぐ者,Queen's Blade: Inheritor of the Throne,['TV'],12,Finished Airing,"Sep 24, 2009 to Dec 10, 2009",['Fall 2009'],Unknown,"['Genco', 'Media Factory', 'AT-X', 'Magic Capsule', 'Hobby Japan', 'Toranoana']",['Media Blasters'],['Arms'],Other,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.52,#6935,#3091,"57,137",89,22897,"After experiencing the numerous trials encountered on her journey, Reina has grown as a warrior. Determined to take part in the Queen's Blade tournament, she arrives at the capital city Gainos, where Queen Aldora awaits. There gathers a number of beautiful warriors who, like Reina, are there for the Queen's Blade. Amongst them is Reina's sister, Claudette, determined to restore the glory of House Vance; Tomoe and Shizuka, who are both fighting for their homeland of Hinomoto; Nanael who has been ordered to participate by the Archangel; and the subordinates of the Marshland Witch. All these beautiful fighters who gather in Gainos have been one objective, to win through the Queen's Blade, the tournament to select the strongest, most beautiful queen. Who would ascend to that glorious throne? That can only be determined via battle. (Source: AnimeNfo)","[""Prequel (TV) Queen's Blade: Rurou no Senshi"", ""Sequel (OVA) Queen's Blade: Utsukushiki Toushi-tachi""]",Queen's Blade: Gyokuza wo Tsugu Mono,"Queen's Blade 2, Queen's Blade: Gyokuza wo Tsugumono, Queen's Blade: The Successor of the Throne, Queen's Blade and the Evil Eye",,Queen's Blade: Saison 2,,Queen's Blade: Die Thronfolgerin,,,
22,WHITE ALBUM 第2期,White Album Season 2,['TV'],13,Finished Airing,"Oct 3, 2009 to Dec 24, 2009",['Fall 2009'],Unknown,"None found,","None found,",['Seven Arcs'],Visual novel,"['Drama', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,6.75,#5631,#3196,"53,530",78,21435,"The second season of White Album, also known as episodes 14-26.","['Prequel (TV) White Album', '']",White Album 2nd Season,"White Album Second Season, White Album the Latter Half",White Album Temporada 2,White Album 2,,White Album 2,"['Harem', 'Idols (Female)', 'Music']",,
23,真恋姫†無双 ～乙女繚乱☆三国志演義～,,['TV'],12,Finished Airing,"Oct 5, 2009 to Dec 21, 2009",['Fall 2009'],Unknown,['Marvelous Entertainment'],['Sentai Filmworks'],['Doga Kobo'],Visual novel,"['Adventure', 'Comedy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.77,#5460,#4109,"33,342",40,12782,"Following the battle for Touka Village and clearing the area of bandits, Unchou Kan'u, Chouhi Yokutoku, and Shokatsuryou Koumei prepare for the next step of their journey. They encounter someone surprising—a young woman claiming to be Gentoku Ryuubi! After being framed for various crimes, Ryuubi is on a mission to reclaim her family heirloom, the sword of Chuuzan Seiou, and clear her name from the evil deeds she allegedly committed. For Ryuubi's own safety, the four girls join forces and pursue the sword as it repeatedly changes hands, but they are never quite able to catch up to the current owner. During the adventure, Kan'u and the others meet several familiar faces who happily do what they can to assist in the hunt. Meanwhile, Kan'u and Chouhi continue to learn that there is more to family than blood relations. [Written by MAL Rewrite]","['Prequel (TV) Koihime†Musou', 'Sequel (TV) Shin Koihime†Musou: Otome Tairan']",Shin Koihime†Musou,Shin Koihime Musou: Otome Ryouran Sangokushi Engi,Shin Koihime Musou,Shin Koihime Musou,,Shin Koihime Musou,"['Historical', 'Martial Arts']",,
24,冬のソナタ,Winter Sonata,['TV'],26,Finished Airing,"Oct 17, 2009 to May 1, 2010",['Fall 2009'],Unknown,"[""Yoon's Color""]","None found,","['Studio Comet', 'KeyEast', 'REALTHING']",Other,"['Drama', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.31,#2790,#4705,"24,746",69,5571,"Based on the Korean drama of the same name, Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident, she decides to marry her childhood friend. However, Yoo Jin meets someone looking exactly like her lost love, putting her in a bind.","['Adaptation (Manga) Fuyu no Sonata', '']",Fuyu no Sonata,"Winter Ballad, Winter Love Story",,,,,,,
25,夏のあらし!春夏冬中,Summer Storm! Open for Business,['TV'],13,Finished Airing,"Oct 5, 2009 to Dec 28, 2009",['Fall 2009'],Mondays at 01:30 (JST),"['Starchild Records', 'Rakuonsha']","None found,",['Shaft'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3050,#4934,"22,015",16,8303,"The summer of a man's boyhood memories continue. Still on the cusp between childhood and being a man, he has linked with the ghost of a young woman from the World War 2 era. She, and the ghosts of other young ladies from that time, continue adventures alongside their linked partners, learning more about each other and travelling through time via their supernatural connection. While he struggles to see his crush on her come to fruition, meanwhile his friend—a girl his age, pretending to be a boy—seeks his attention as well. (Source: ANN)","['Prequel (TV) Natsu no Arashi!', 'Adaptation (Manga) Natsu no Arashi!']",Natsu no Arashi! Akinaichuu,"Natsu no Arashi! 2, Natsu no Arashi! Akinai-chuu",,Natsu no Arashi! Saison 2,['Time Travel'],Natsu no Arashi! Staffel 2,,,
26,ミラクル☆トレイン〜大江戸線へようこそ〜,Miracle Train: Welcome to the Oedo Line,['TV'],13,Finished Airing,"Oct 5, 2009 to Dec 28, 2009",['Fall 2009'],Unknown,"['TV Tokyo', 'Aniplex', 'Lantis', 'DAX Production', 'TYO Animations']","None found,",['Yumeta Company'],Mixed media,,,23 min. per ep.,PG-13 - Teens 13 or older,6.46,#7312,#5139,"19,973",41,7858,"Another version of Miracle Train: Chuo-sen e Youkoso. The first version of the Miracle Train project focused on the stations of the central Chuo line, while the new anime and related stories deal with the Oedo subway line. As a result, the anime will feature a newer cast of characters—specifically, Fumi Roppongi, Rintarou Shinjuku, Izayoi Tsukishima, Iku Shiodome, Saki Tochou, and Itsumi Ryougoku.",[],Miracle☆Train: Oedo-sen e Youkoso,Miracle☆Train: Ooedo-sen e Youkoso,Miracle Train,Miracle Train,,Miracle Train,,['Fantasy'],
27,キディ・ガーランド,Kiddy Girl-AND,['TV'],24,Finished Airing,"Oct 16, 2009 to Mar 26, 2010",['Fall 2009'],Fridays at 00:40 (JST),"['Lantis', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'gimik']",['Funimation'],['Satelight'],Original,"['Action', 'Comedy', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.81,#5284,#5290,"18,635",34,6667,"Twenty-five years after Éclair and Lumière, (from the flagship Kiddy Grade series), rescued the galaxy from destruction's doorstep, the GTO (Galactic Trade Organization), created after the defeat of the GOTT (Galactic Organization of Trade and Tariffs), act on behalf of universal peace by combating criminal activity. Their special ES division mirrored after the GOTT's ES (Encounter of Shadow-work) force, now includes publicly acknowledged ES member candidates. The series follows two such trainees, Ascoeur and Q-feuille, as they work their way to ES membership. (Source: Wikipedia)","['Prequel (TV) Kiddy Grade', 'Prequel (OVA) Kiddy GiRL-AND Pilot', 'Adaptation (Manga) Kiddy GiRL-AND Pure', '']",Kiddy GiRL-AND,Kiddy Grade 2,,,['Super Power'],,,,
28,怪談レストラン,,['TV'],23,Finished Airing,"Oct 13, 2009 to Jun 8, 2010",['Fall 2009'],Tuesdays at 19:30 (JST),['TV Asahi'],"None found,",['Toei Animation'],Picture book,"['Horror', 'Mystery', 'Supernatural']",['Kids'],19 min. per ep.,PG - Children,7.24,#3128,#5403,"17,550",50,5615,"TV Asahi announced a new kids anime ""Kaidan Restaurant (Thriller Restaurant)"" based on a picture book. Each episode will consist of three stories or ""dishes"": the appetizer, the main dish, and dessert. The first two ""dishes"" will deal with an ordinary sixth-grade schoolgirl named Ako Ozara and the bizarre occurrences that befall her classmates. The third ""dish"" will be a standalone short ghost story told by Ako and her friends.",[],Kaidan Restaurant,Thriller Restaurant,,,,,,,
29,あにゃまる探偵 キルミンずぅ,,['TV'],50,Finished Airing,"Oct 5, 2009 to Sep 20, 2010",['Fall 2009'],Mondays at 17:30 (JST),"['HAL Film Maker', 'Sotsu', 'Starchild Records', 'MediaNet', 'AT-X', 'JM Animation', 'Aoni Entertainment']","None found,",['Satelight'],Original,,,23 min. per ep.,G - All Ages,7.14,#3665,#6866,"9,627",64,2541,"While searching for a run-away cat the twins Riko and Rimu Mikogami find a strange device that transforms them into ""Kirumin."" It also enables them to turn into real animals. Their older sister Nagisa soon joins them. Now the three have cute, funny and sometimes dangerous adventures.",[],Anyamal Tantei Kiruminzoo,"Anymal Tantei Kiruminzoo, Animal Tantei Kiruminzoo, Animal Detectives Kiruminzoo, Anyamaru Tantei Kiruminzoo, Anyamaru Tantei Kiruminzuu",,,,,,['Comedy'],
30,天体戦士サンレッド,,['TV'],26,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Unknown,['flying DOG'],"None found,",['AIC ASTA'],['Manga'],,['Seinen'],13 min. per ep.,PG-13 - Teens 13 or older,7.83,#973,#7307,"8,277",29,3678,The second season of Tentai Senshi Sunred.,"['Prequel (TV) Tentai Senshi Sunred', 'Adaptation (Manga) Tentai Senshi Sunred']",Tentai Senshi Sunred 2nd Season,Astro Fighter Sunred 2,,,,,"['Gag Humor', 'Parody', 'Super Power']",['Comedy'],
31,バトルスピリッツ 少年激覇ダン,,['TV'],50,Finished Airing,"Sep 13, 2009 to Sep 5, 2010",['Fall 2009'],Unknown,"None found,","None found,",['Sunrise'],Card game,,,23 min. per ep.,PG - Children,6.96,#4538,#9295,"4,435",11,1720,"Dan Bashin is a spirited teenager known for his aggressive playstyle in the card game Battle Spirits, earning him the title of ""Clash King."" One day, a mysterious green-haired girl transports him to the otherworldly land of ""Grand Rolo,"" where disputes are settled by card duels. Upon his arrival, Dan is immediately thrust into a conflict between the kingdom's imperial army and its oppressed natives. There, he learns that he is a prophetic warrior known as a ""bearer of cores' light,"" chosen to save the land from its evil king. Accompanied by a young boy named Zungurii and the eccentric witch Magisa, Dan travels across Grand Rolo and encounters the other chosen warriors through card battles. With the name of the Clash King gaining fame throughout Grand Rolo, secrets that lurk within the shadows of the kingdom's colonial past begin to surface. Only time will tell if Dan's campaign will affect the world on a scale much larger than he ever could have imagined. [Written by MAL Rewrite]","['Sequel (TV) Battle Spirits: Brave', 'Adaptation (Manga) Battle Spirits: Shounen Gekiha Dan']",Battle Spirits: Shounen Gekiha Dan,Battle Spirits Season 2,,,,,"['Isekai', 'Military', 'Strategy Game']",['Adventure'],
32,チェブラーシカ あれれ？,,['TV'],26,Finished Airing,"Oct 7, 2009 to Mar 31, 2010",['Fall 2009'],Unknown,['Dream Force'],"None found,",['GoHands'],Book,"['Comedy', 'Slice of Life']",['Kids'],3 min. per ep.,G - All Ages,6.42,#7563,#9955,"3,592",3,1680,"Based on the Russian ""national character"" Cheburashka. The character comes from Eduard Uspensky's story about a mysterious creature who gets accidentally transported in a box of oranges to Russia.",[],Cheburashka Arere?,,,,,,,,
33,ヒピラくん,,['TV'],10,Finished Airing,"Dec 21, 2009 to Dec 25, 2009",['Fall 2009'],Unknown,"None found,","None found,",['Sunrise'],Picture book,"['Comedy', 'Fantasy', 'Supernatural']",['Kids'],5 min. per ep.,PG - Children,6.07,#9578,#10007,"3,542",1,1545,"In the city of Salta, a place where the sun never shines, a community of vampires lives. Hipira is a little vampire who lives the life of a typical boy, attending school and dealing with bullies along the way. However, he also has a soft spot for exploring, playing pranks on others and having grand adventures! Whether he's befriending a human soul, scaring his neighbours by pretending day has come or encountering giant frogs and aliens, Hipira is always getting himself into and out of trouble.","['Sequel (ONA) Hipira-kun ONA', 'Adaptation (Manga) Hipira: The Little Vampire']",Hipira-kun,Hipira: The Little Vampire,,,['Vampire'],,,,
34,スティッチ！～いたずらエイリアンの大冒険～,Stitch! The Mischievous Alien's Great Adventure,['TV'],29,Finished Airing,"Oct 13, 2009 to Jun 29, 2010",['Fall 2009'],Unknown,['Tohokushinsha Film Corporation'],"None found,",['Madhouse'],Other,"['Adventure', 'Comedy', 'Sci-Fi']",['Kids'],25 min. per ep.,G - All Ages,6.15,#9117,#10751,"2,826",3,929,"The second season of Stitch!, episode numbers continue from 27.","['Prequel (Special) Stitch!: Piko Kara no Chousenjou', 'Sequel (TV) Stitch!: Zutto Saikou no Tomodachi', 'Sequel (Special) Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan', '']",Stitch! Itazura Alien no Daibouken,Stitch! 2,,,,Yuna & Stitch Staffel 2,,,
35,たまごっち!,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,,['Kids'],25 min. per ep.,G - All Ages,6.34,#8029,#11901,"2,006",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,,,,,,['Comedy'],
36,秘密結社 鷹の爪 カウントダウン,,['TV'],11,Finished Airing,"Oct 7, 2009 to Dec 23, 2009",['Fall 2009'],Unknown,"['Kaeruotoko Shokai', 'TV Asahi Music']","None found,",['DLE'],Unknown,,,11 min. per ep.,PG-13 - Teens 13 or older,5.73,#11226,#15139,780,0,185,The second season of Eagle Talon.,"['Prequel (Movie) Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha', 'Sequel (Movie) Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni']",Himitsukessha Taka no Tsume Countdown,"Eagle Talon 2, The Frogman Show",,,,,"['Parody', 'Super Power']",['Comedy'],
37,炬燵猫,Table Cat,['TV'],26,Finished Airing,"Oct 3, 2009 to Mar 28, 2010",['Fall 2009'],Unknown,['Iyasakadou Film'],"None found,","None found,",Other,,,3 min. per ep.,G - All Ages,[],#19561,#15601,688,0,,"Kotatsu Neko is based on a ""live-action science-fiction/fantasy romance"" film of the same name which was released in Japan in 2006. The story is set in a certain neighborhood of Tokyo where two cats live under a kotatsu. Shito is a girlish white cat, while Zero is a cool black cat. The cat's owner, Rei ""Junior"" Fujisaki, is a third-year middle-school hikikomori obsessed with games. He likes a girl in his class, but naturally, he cannot work up the nerve to tell her. Shito herself harbors a secret one-sided love also. (Source: ANN)",[],Kotatsu Neko (TV),,,,,,,['Comedy'],
38,ご姉弟物語,,['TV'],32,Finished Airing,"Oct 10, 2009 to Jun 26, 2010",['Fall 2009'],Unknown,['TV Asahi Music'],"None found,","None found,",['Manga'],,,19 min. per ep.,G - All Ages,[],#18223,#15572,692,1,,"Japan's TV Asahi network will premiere a television anime adaptation of Tetsu Adachi's Baka-Kyoudai (Idiotic Siblings) manga under the title Gokyoudai Monogatari (Sibling Stories) on October 10. The original manga has been running on an irregular schedule in Kodansha's Young Magazine since 1999. The story centers on a sister and her twin brother who live carefree lives in Tokyo's lower-class neighborhoods and have heartwarming encounters with the local people. It received an award of excellence at the 7th Cultural Media Arts Festival in 2003. Yuki Matsuoka will voice the sister Onei Jinushi, and Yumiko Kobayashi will play her twin brother Junichirō Jinushi. Sayaka Ohara will play the local restaurant waitress Shizuka.",[],Gokyoudai Monogatari,,,,,,,['Comedy'],
39,와라! 편의점 the animation,Welcome to Wara Store!,['TV'],24,Finished Airing,"Oct 23, 2009 to Apr 2, 2010",['Fall 2009'],Unknown,"None found,","None found,","None found,",['Web manga'],,,24 min. per ep.,G - All Ages,[],#15217,#17488,460,0,,A comedy about three part time workers in a little convenience store and the zany customers they come in contact with. Based on the Webtoon by Ji Kang-Min.,"['Adaptation (Manhwa) Wara! Pyunuijum', '']",Wala! Pyeon-uijeom The Animation,Welcome to Convenience Store!,,,,,,['Slice of Life'],
40,古墳ギャルのコフィー　キャンパスライフ,Tumulus Gal Coffy Campus Life,['TV'],11,Finished Airing,"Oct 7, 2009 to Dec 16, 2009",['Fall 2009'],Unknown,"None found,","None found,","None found,",Unknown,,,10 min. per ep.,PG-13 - Teens 13 or older,[],#17409,#17855,431,0,,"The sequel to Cofun Gal no Coffy (TV), it takes place 3 year later via a college campus life comedy about 20-year-old college student Coffy, her boyfriend Nintoku-kun, her childhood friend Daniel, her love rival Dorothy, and Okehazama-sensei, who quit being a teacher and became the chief of the college mart.","['Prequel (TV) Cofun Gal no Coffy (TV)', '']",Cofun Gal no Coffy Campus Life,"Kofun Gal no Coffy Campus Life, The Frogman Show",,,,,,['Comedy'],
