,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Spanish,Genre,Demographics
17,,捏造トラップ―NTR―,Netsuzou Trap -NTR-,Netsuzou Trap -NTR-,Netsuzô Trap -NTR-,['TV'],12,Finished Airing,"Jul 5, 2017 to Sep 20, 2017",['Summer 2017'],Wednesdays at 20:00 (JST),"['DMM.com', 'Ichijinsha', 'Cloud22']","None found,",['Creators in Pack'],['Manga'],"['Drama', 'Girls Love']",,,9 min. per ep.,R+ - Mild Nudity,5.31,#12665,#1511,"167,500",338,75385,"High school students Yuma Okazaki and Hotaru Mizushina are childhood friends. With their respective boyfriends, Takeda and Fujiwara, their lives couldn't be more perfect. From playing in school to going on group dates, it seems nothing can break their bond. However, during one such group date, Hotaru makes an unexpected move. While Takeda and Fujiwara are distracted, she begins stroking Yuma's thighs. Taken aback by this peculiar action, Yuma awkwardly retreats to the toilets, followed shortly by her aggressor. Now in private, Hotaru forces the innocent Yuma into a locked cubicle and whispers into her ear: ""You'll be more nervous with a boy; I'll help you practice."" [Written by MAL Rewrite]","['Adaptation (Manga) Netsuzou TRap', '']",Netsuzou TRap,,Netsuzou Trap -NTR-,,
18,,活撃／刀剣乱舞,Katsugeki Touken Ranbu,Katsugeki Touken Ranbu,Katsugeki Touken Ranbu,['TV'],13,Finished Airing,"Jul 2, 2017 to Sep 24, 2017",['Summer 2017'],Sundays at 00:30 (JST),"['Aniplex', 'Nitroplus', 'Good Smile Company', 'DMM.com']",['Aniplex of America'],['ufotable'],Game,"['Action', 'Fantasy']","['Anthropomorphic', 'Historical', 'Samurai']",,23 min. per ep.,PG-13 - Teens 13 or older,6.73,#5689,#1865,"127,878",472,33491,"In 1863, Izuminokami Kanesada and his partner, Horikawa Kunihiro, arrive in the streets of Edo from the future to investigate their master's reports of an upcoming enemy invasion. As humanoid manifestations of the famous Toshizou Hijikata's swords, they have been tasked with protecting history from the Retrograde Army that seeks to alter it. Soon enlisting the help of other sword warriors, they continuously battle the mysterious army throughout the Bakumatsu period. However, their journey will not be an easy one. Fraught with blood and betrayal in the chaotic era closest to their hearts, the duo will be forced to make difficult decisions with everything they care about on the line. [Written by MAL Rewrite]","['Adaptation (Manga) Katsugeki/Touken Ranbu', '']",Katsugeki/Touken Ranbu,,Katsugeki Touken Ranbu,,
19,Convenience Store Boyfriends,コンビニカレシ,Convenience Store Boy Friends,Convenience Store Boy Friends,,['TV'],12,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",['Summer 2017'],Fridays at 01:58 (JST),"['VAP', 'Dentsu', 'TBS', 'chara-ani.com', 'Pierrot Plus', 'Being', 'Gzbrain', 'Cocoro Free', 'Tosho Printing']",['Funimation'],['Pierrot'],Mixed media,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.26,#8512,#2187,"102,669",148,36735,"The lives of high school freshmen Haruki Mishima and Towa Honda revolve around studying, clubs, and girls. Amid their hectic routines, romance is certainly budding for the two best friends. Since childhood, Haruki has been pining over Miharu Mashiki, and a chance encounter at the convenience store reignites his feelings. As for Towa, the class representative Mami Mihashi has caught his eye; but unfortunately for him, his affections are not reciprocated. While Haruki's more reserved approach to pursuing Miharu contrasts Towa's persistence with Mami, love seems to be elusive for both. As the months fly by, only time will tell if romance is in the cards for the duo. [Written by MAL Rewrite]",[],Konbini Kareshi,,,['Romance'],
20,Centaur's Worries,セントールの悩み,A Centaur's Life,A Centaur's Life,A Centaur's Life,['TV'],12,Finished Airing,"Jul 9, 2017 to Sep 24, 2017",['Summer 2017'],Sundays at 22:00 (JST),"['Tokuma Shoten', 'MAGES.', 'Yomiuri TV Enterprise', 'Kanon Sound', 'Emon', 'RAY', 'NichiNare', 'Top Marshal', 'Crunchyroll SC Anime Fund']",['Funimation'],['Haoliners Animation League'],['Manga'],"['Fantasy', 'Slice of Life']","['School', 'Urban Fantasy']",['Seinen'],23 min. per ep.,R+ - Mild Nudity,6.42,#7561,#2267,"97,178",144,40936,"Himeno is a sweet, shy little centaur girl. In her world, everyone seems to be a supernatural creature, and all her classmates have some kind of horns, wings, tails, halos, or other visible supernatural body part. Despite their supernatural elements, Himeno and her best friends, Nozomi and Kyouko, have a fun and mostly normal daily school life! (Source: MangaHelpers)","['Adaptation (Manga) Centaur no Nayami', '']",Centaur no Nayami,,A Centaur's Life (Centaur no Nayami),,
21,,将国のアルタイル,Altair: A Record of Battles,Altair: A Record of Battles,Altaïr,['TV'],24,Finished Airing,"Jul 8, 2017 to Dec 23, 2017",['Summer 2017'],Saturdays at 02:25 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Kodansha', 'Lucent Pictures Entertainment', 'Hakuhodo DY Music & Pictures', 'Lawson', 'GYAO!', 'Kanetsu Investment', 'Christmas Holly']","None found,",['MAPPA'],['Manga'],"['Adventure', 'Drama']","['Historical', 'Military']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1749,#2525,"81,462",331,24740,"Tuğrul Mahmut is a young pasha serving on the Divan of the Türkiye Stratocracy. The clouds of war are gathering over his country due to the threat of an aggressive Empire. With the Divan split between warmongers and the pacifists, Mahmut begins his quest to keep the peace at any cost. As he finds himself deeper and deeper in the politics of the ancient world, new enemies and allies surface. Who will prevail? What will Mahmut do if war proves to be inevitable?","['Adaptation (Manga) Shoukoku no Altair', '']",Shoukoku no Altair,,Altair: Un Registro de Batallas,,
22,"7O3X, Nanamaru Sanbatsu",ナナマル サンバツ,Fastest Finger First,Fastest Finger First,Fastest Finger First,['TV'],12,Finished Airing,"Jul 5, 2017 to Sep 20, 2017",['Summer 2017'],Wednesdays at 01:59 (JST),"['Toei Video', 'Enterbrain', 'Nippon Television Network']","None found,",['TMS Entertainment'],['Manga'],,"['School', 'Strategy Game']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.66,#6135,#2594,"77,668",73,33772,"As soon as he entered high school, the first year student Koshiyama Shiki was invited to the mysterious Quiz Study Group led by his senpai. What will Shiki run into when being dragged along by his class mate Mari into the dazzling world of competitive quizzes?! (Source: Comic Walker)","['Adaptation (Manga) Nana Maru San Batsu', '']",Nana Maru San Batsu,,Fastest Finger First (Nana Maru San Batsu),,
23,,妖怪アパートの幽雅な日常,Elegant Yokai Apartment Life,Elegant Yokai Apartment Life,Elegant Yokai Apartment Life,['TV'],26,Finished Airing,"Jul 3, 2017 to Dec 25, 2017",['Summer 2017'],Mondays at 23:00 (JST),"['TMS Entertainment', 'Kodansha', 'Asmik Ace', 'JR East Marketing & Communications', 'Sumitomo']","None found,",['Shin-Ei Animation'],Novel,"['Slice of Life', 'Supernatural']","['Mythology', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,7.18,#3480,#2760,"70,356",222,27588,"Inaba Yuushi's parents died in his first year of middle school, and he moved in with his relatives. Though they did care for him, he could tell he was a burden. After he graduated, he happily prepared to move to a high school with a dormitory. Unfortunately, the dormitory burned to the ground before he could move in! Yuushi doesn't want to live with his grudging relatives, but it's rough finding lodging as an orphaned student with little money. He finally finds a room in a nice old building which seems too good to be true. The catch is that it is a Monster House, a place where humans and supernatural creatures—ghosts, mononoke, etc.—live together. Another high schooler lives there, a cute girl named Akine, and she's completely unfazed by the monsters. In fact, she can even exorcise evil spirits! Yuushi's high school life just got much stranger than he ever bargained for! (Source: MangaHelpers)","['Adaptation (Manga) Youkai Apartment no Yuuga na Nichijou', 'Adaptation (Novel) Youkai Apartment no Yuuga na Nichijou']",Youkai Apartment no Yuuga na Nichijou,,Elegant Yokai Apartment Life (Yokai Apartment no Yuuga na Nichijou),,
24,,時間の支配者,Chronos Ruler,Chronos Ruler,Chronos Ruler,['TV'],13,Finished Airing,"Jul 8, 2017 to Sep 30, 2017",['Summer 2017'],Saturdays at 00:30 (JST),"['Lantis', 'NBCUniversal Entertainment Japan']",['Funimation'],['Project No.9'],['Manga'],"['Action', 'Supernatural']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.30,#8261,#2764,"70,079",91,21955,"​Like many in her class, Koyuki Honda looks forward to her graduation ceremony. However, while her peers have family to attend, Koyuki has no one, as her only family—her brother—died years ago. While visiting his grave, she meets two brothers named Kiri and Victor Putin chasing a strange creature. They try to assure her that they are just actors shooting a movie; Victor, however, piques Koyuki's curiosity about the old legend of the clock tower at the cemetery: if you make a wish under the clock tower at midnight during a full moon, time will turn back, allowing someone to reclaim what they have lost. Deciding to make her wish, Koyuki learns the horrifying truth: the legend is a ruse for time demons called ""Horologues"" to steal humans' time. As they are drawn to regrets, Victor uses Koyuki as bait to lure a demon there. Kiri and Victor explain that they are Chronos Rulers, warriors who fight against the Horologues using the ""Oath of Time""—an item allowing them to speed up or slow down time. With the demon destroyed and the crisis averted, Koyuki is able to go on her way free from regrets. However, she is not the only human with sorrows. The two boys must continue to hunt down Horologues in order to keep humanity safe. [Written by MAL Rewrite]","['Adaptation (Manhua) Chronos Ruler', '']",Jikan no Shihaisha,,Chronos Ruler,,
25,Tenshi no Three Piece!,天使の3P！〈スリーピース〉,Angel's 3Piece!,Angel's 3Piece!,Tenshi no 3P,['TV'],12,Finished Airing,"Jul 10, 2017 to Sep 25, 2017",['Summer 2017'],Mondays at 20:00 (JST),"['Sotsu', 'Lantis', 'AT-X', 'Barnum Studio', 'KlockWorx', 'GAGA', 'ASCII Media Works', 'Studio Mausu', 'Showgate', 'Happinet Pictures', 'Hakuhodo DY Music & Pictures']",['Discotek Media'],['Project No.9'],['Light novel'],,"['Music', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.60,#6498,#2819,"67,638",116,24024,"Since entering high school, Kyou Nukui has not attended a single class. Instead, he spends his days locked in his bedroom composing music and posting it on the internet accompanied by his only friend's drawings, an artist with the pseudonym ""Kiriyume."" One day, Kyou hesitantly uploads his newest composition, and first departure from his typical style, TR03. Additionally, he does not upload under his usual handle ""HibikiP,"" but simply under the name ""me,"" and without a drawing from his mysterious friend. Shortly after, Kyou receives a very polite email, not only praising his music but also somehow discerning that he is, in fact, the composer behind TR03. The e-mail also asks for a meetup in a nearby park, to which he cautiously decides to go. To his surprise, however, he finds three elementary school girls at the meeting place! Suddenly, Jun Gotou, Nozomi Momijidani, and Sora Kaneshiro ask for his help to hold a concert in their home, an old church now used as an orphanage. And though Kyou is reluctant at first, after seeing their musical abilities, he eventually decides to accept their proposal. Based on the light novel of the same name by the award-winning Sagu Aoyama, Tenshi no 3P! follows Kyou as these three angels change his life. [Written by MAL Rewrite]","['Adaptation (Manga) Tenshi no 3P!', 'Adaptation (Light Novel) Tenshi no 3P!']",Tenshi no 3P!,,Angel's 3Piece!,,
26,"Hell Girl 4, Jigoku Shoujo 4",地獄少女 宵伽,Hell Girl: Fourth Twilight,Hell Girl: Fourth Twilight,Hell Girl: Fourth Twilight,['TV'],6,Finished Airing,"Jul 15, 2017 to Aug 19, 2017",['Summer 2017'],Saturdays at 00:00 (JST),"['Aniplex', 'Fujishouji']",['Aniplex of America'],['Studio Deen'],Original,"['Horror', 'Mystery', 'Supernatural']",,,23 min. per ep.,R - 17+ (violence & profanity),6.62,#6400,#2908,"64,123",92,20596,"If you have a grudge against someone, you can access the Hell Correspondence website at the stroke of midnight, type in your grudge's name, and the Hell Girl, Ai Enma, will appear to grant your wish. However, the price for ridding yourself of such a burden is a steep one: in return for condemning the soul of your tormentor to Hell, your soul will also face eternal damnation. In her long vigil as the Hell Girl, Ai has met many willing to pay such a cost. In Jigoku Shoujo: Yoi no Togi, Ai and her enigmatic companions continue to carry out their work, ferrying soul after suffering soul into the depths of Hell. However, as of late, a mysterious girl has been following them. This strange child, unable to even remember her own identity, questions Ai about her duty as the Hell Girl. Who is this girl, and what connection does she have to Ai? [Written by MAL Rewrite]","['Prequel (TV) Jigoku Shoujo Mitsuganae', '']",Jigoku Shoujo: Yoi no Togi,['Psychological'],Hell Girl: Fourth Twilight (Jigoku Shoujo: Yoi no Togi),,
27,18 If,18if,18if,,,['TV'],13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",['Summer 2017'],Fridays at 22:00 (JST),"['Sotsu', 'DLE', 'BS Fuji', 'Tokyo MX', 'Mobcast', 'RAY']",['Funimation'],['Gonzo'],Mixed media,"['Mystery', 'Supernatural']",,,23 min. per ep.,R - 17+ (violence & profanity),6.11,#9307,#3047,"58,753",108,22011,"Waking up in a strange bedroom in a dream world, teenager Haruto Tsukishiro finds a strange app on his phone. When he activates the program, an odd woman appears and tries to drag him to her realm. Luckily, a mysterious, white-haired girl severs their connection and helps him escape, revealing that the woman is a witch; however, their conversation is cut short. As Haruto enters the realm again, he meets an anthropomorphic, talking cat named Katsumi Kanzaki. While the witch's minions pursue them, the white-haired girl opens a door for them to escape. After their ordeal, Haruto describes their savior—which only he can see—and Katsumi, the leading authority on dream world research, realizes that she must be ""Lily,"" a being that resurfaces repeatedly across multiple dreamscapes. Hoping to leave the dream world through a blue door, they enter the witch's realm once again. Finding themselves in peril, Lily reveals the truth to Haruto: witches suffer from ""Sleeping Beauty Syndrome,"" a coma-like sleep state induced by torment in their real world lives. Thus, they cannot wake until they are defeated in the dream world. After finally defeating the witch and locating the blue door, Haruto and Katsumi say their farewells, promising to meet up in the real world. However, when Haruto exits through the door, he awakens in the dream world bedroom once more. Seeking answers, Haruto and Katsumi try to uncover the mysteries of the witches, Lily, and Haruto's own inability to leave the dream world. [Written by MAL Rewrite]",[],18if,,,,
28,,DIVE!!,DIVE!!,,,['TV'],12,Finished Airing,"Jul 7, 2017 to Sep 22, 2017",['Summer 2017'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'DMM pictures']",['Sentai Filmworks'],['Zero-G'],Novel,"['Drama', 'Sports']",,,22 min. per ep.,PG-13 - Teens 13 or older,6.08,#9506,#3162,"54,439",74,18950,"The series revolves around the Mizuki Diving Club (MDC), which is on the verge of closing down after having financial troubles. The club's new coach persuades the club's parent company to stay open on one condition: that the club sends one of its members to next year's Olympics as part of Japan's Olympic team. (Source: ANN)","['Adaptation (Manga) Dive!!', 'Adaptation (Manga) Dive!!', 'Adaptation (Novel) Dive!!', '']",Dive!!,,¡Bucea!,,
29,,バチカン奇跡調査官,Vatican Miracle Examiner,,,['TV'],12,Finished Airing,"Jul 7, 2017 to Sep 22, 2017",['Summer 2017'],Fridays at 22:30 (JST),"['WOWOW', 'Lantis', 'Movic', 'KlockWorx', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['J.C.Staff'],Novel,"['Drama', 'Mystery', 'Supernatural']",,,24 min. per ep.,R - 17+ (violence & profanity),6.40,#7693,#3369,"48,417",97,17388,"Fathers Josef Kou Hiraga and Roberto Nicholas are Vatican Miracle Examiners who investigate the authenticity of miraculous phenomena reported from all over the world. In every seemingly sacred event lies horrors of hidden conspiracies, mysterious murders, and devil worship. In this battle of good and evil, Hiraga, a scientific and mathematical genius, and Roberto, a polymath in linguistics and classics, must work together to bring the truth to light. Will their friendship and faith endure the evils in their journey to find a true miracle? [Written by MAL Rewrite]","['Adaptation (Manga) Vatican Kiseki Chousakan: Kuro no Gakuin', 'Adaptation (Manga) Vatican Kiseki Chousakan: Satan no Sabaki', 'Adaptation (Manga) Vatican Kiseki Chousakan', '']",Vatican Kiseki Chousakan,,,,
30,Noratoto,ノラと皇女と野良猫ハート,"Nora, Princess, and Stray Cat",,,['TV'],11,Finished Airing,"Jul 12, 2017 to Sep 27, 2017",['Summer 2017'],Wednesdays at 22:45 (JST),['Magic Capsule'],"None found,","['W-Toon Studio', 'DMM.futureworks']",Visual novel,"['Comedy', 'Ecchi']",,,3 min. per ep.,PG-13 - Teens 13 or older,5.40,#12421,#3603,"43,142",34,15204,"Nora Handa is a boy who lives with Shachi Yuuri, who was adopted by his mother. With everyone supporting, the two of them grew up healthily even after their parents passed away. Shachi, who likes Nora the most, wakes him up every morning. Nora spends his happy student life with Michi Kuroki, who is a disciplinary committee, honor student at school and childhood friend of the main character, Yuuki Asuhara, who is a gal but is very bright and can talk his worries to, and more friends at school. One day, Nora meets a girl who calls herself Patricia at the park on the way to the school. Patricia is a queen at hell, and claims to come here to destroy the life on land. However, she is damaged heavily because she touched the life for the first time. The energy was stronger than her, so Nora needed to tend her. Patricia asked him to tell her about the mysteries of life, and he had to even explain the ero book that he found at the park...?! (Source: Amazon Japan)",[],Nora to Oujo to Noraneko Heart,,,,
31,,最遊記RELOAD BLAST,Saiyuki Reload Blast,Saiyuki Reload Blast,Saiyuki Reload Blast,['TV'],12,Finished Airing,"Jul 5, 2017 to Sep 20, 2017",['Summer 2017'],Wednesdays at 22:30 (JST),"['Pierrot', 'Dentsu', 'Frontier Works', 'Lantis', 'Media Factory', 'AT-X', 'Ichijinsha']",['Funimation'],['Platinum Vision'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",,['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3298,#3656,"42,117",107,12861,"At last, the Sanzou Party has arrived in India. In this foreign land, where the anomaly's influence runs rampant, their battles only heighten in their violence. And also awaiting them is their tragic fate from 500 years ago— What will they find at the end of their long and treacherous journey?","['Prequel (TV) Saiyuuki Reload Gunlock', 'Prequel (TV) Saiyuuki Reload: Zeroin', 'Adaptation (Manga) Saiyuuki Gaiden', 'Adaptation (Manga) Saiyuuki Reload Blast']",Saiyuuki Reload Blast,['Mythology'],Saiyuki Reload Blast,,
