,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,French,Demographics
10,佐々木と宮野,Sasaki and Miyano,['TV'],12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",['Winter 2022'],Mondays at 00:30 (JST),"['Frontier Works', 'Movic', 'Nippon Columbia', 'Sound Team Don Juan', 'TV Aichi', 'Kadokawa Media House', 'U-NEXT', 'BS NTV', 'Kadokawa']","None found,",['Studio Deen'],['Web manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,8.20,#391,#1211,"213,572","5,283",95144,"Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him. The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic. Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop. [Written by MAL Rewrite]","['Sequel (Movie) Sasaki to Miyano Movie: Sotsugyou-hen', 'Adaptation (Manga) Sasaki to Miyano']",Sasaki to Miyano,Sasamiya,"['Otaku Culture', 'School']",['Boys Love'],,,,
11,からかい上手の高木さん3,Teasing Master Takagi-san 3,['TV'],12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022",['Winter 2022'],Saturdays at 01:25 (JST),"['Shogakukan-Shueisha Productions', 'Magic Capsule', 'Asmik Ace', 'TOHO animation', 'Shogakukan', 'Toho Music']",['Sentai Filmworks'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.38,#208,#1286,"198,639","2,345",89585,"As summer break comes to an end, Nishikata is stoked to try out his newest pranks and finally outdo his classmate Takagi once and for all. Despite his losing streak, he is slowly getting to know the unrelenting workings of her crafty mind. However, he soon realizes that Takagi's motivations behind her teasing may not be what he initially assumed. One thing is certain, though: each fun-filled day of strategizing and competing brings the two closer than ever. [Written by MAL Rewrite]","['Prequel (TV) Karakai Jouzu no Takagi-san 2', 'Sequel (Movie) Karakai Jouzu no Takagi-san Movie', 'Adaptation (Manga) Karakai Jouzu no Takagi-san', 'Adaptation (Manga) Ashita wa Doyoubi']",Karakai Jouzu no Takagi-san 3,"Skilled Teaser Takagi-san 3rd Season, Karakai Jouzu no Takagi-san Third Season","['Love Status Quo', 'School']",,,,,
12,明日ちゃんのセーラー服,Akebi's Sailor Uniform,['TV'],12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",['Winter 2022'],Sundays at 00:30 (JST),"['Aniplex', 'Shueisha', 'BS Asahi']","None found,",['CloverWorks'],['Web manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.65,#1407,#1283,"199,026","1,179",74365,"Ever since she was young, Komichi Akebi has always adored sailor uniforms, even going so far as to ask her mother to sew one if she succeeds in getting into her mother's alma mater, Roubai Academy. And thus, when she gets accepted into the prestigious school, Komichi is ecstatic. However, much to her surprise, the middle school no longer uses sailor uniforms as its dress code—making Komichi stand out from her schoolmates. Despite this, Komichi is granted permission to continue wearing the traditional attire. With renewed confidence, Komichi meets fascinating classmates as they experience school life together. Under the colorful shower of blossoming prospects, an exciting tomorrow awaits them! [Written by MAL Rewrite]","['Adaptation (Manga) Akebi-chan no Sailor-fuku', '']",Akebi-chan no Sailor-fuku,,"['CGDCT', 'School']",['Slice of Life'],,,,
13,異世界美少女受肉おじさんと,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,['TV'],12,Finished Airing,"Jan 12, 2022 to Mar 30, 2022",['Winter 2022'],Wednesdays at 00:00 (JST),"['TV Tokyo', 'bilibili', 'Cygames', 'Bit grooove promotion', 'Bushiroad Move', 'Music Brains']","None found,",['OLM'],['Web manga'],"['Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.13,#3752,#1338,"191,113",827,86913,"Since their days as students, Tsukasa Jinguuji has had incredible luck with women due to his good looks; Hinata Tachibana has had almost none, overshadowed by Jinguuji's brilliance. However, while Jinguuji has never shown interest in the opposite sex, Tachibana is always desperate for a girlfriend. Despite their polar differences, they continue to be best friends even in their thirties as salarymen. One night, the two are returning home from a mixer where Jinguuji was the center of attention as usual. In his drunken rambles, a frustrated Tachibana inadvertently wishes to become a beautiful girl with irresistible charm. As if the heavens were listening, a goddess suddenly shows herself before Jinguuji and Tachibana, transporting them to another world to defeat the Demon Lord and simultaneously granting Tachibana's desire. Tachibana—now in the body of an impossibly perfect woman—has become so attractive that even Jinguuji is captivated. Moreover, Tachibana grows aware of Jinguuji's stunning appearance, finally understanding his popularity. Before they fall in love with each other, the duo must complete their mission or risk remaining prisoners to their infatuations forever. [Written by MAL Rewrite]","['Adaptation (Manga) Fantasy Bishoujo Juniku Ojisan to', '']",Fantasy Bishoujo Juniku Ojisan to,"Fabiniku, Isekai Bishoujo Juniku Ojisan","['Isekai', 'Magical Sex Shift', 'Parody']",,,,,
14,殺し愛,Love of Kill,['TV'],12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022",['Winter 2022'],Thursdays at 00:00 (JST),"[""Toy's Factory"", 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Bit Promotion', 'Bit grooove promotion', 'A3']","None found,",['Platinum Vision'],['Manga'],"['Action', 'Romance']",,['Josei'],23 min. per ep.,R - 17+ (violence & profanity),6.90,#4833,#1391,"182,658",993,66605,"Novice bounty hunter Chateau Dankworth never expected to encounter someone capable of overpowering her in combat. Even less so that the mysterious man would take an immediate interest in her—to the point of aiding her missions. However, Chateau makes it clear that she has no plans of entertaining any personal involvement with him. Chateau's company is soon tasked with eliminating Song Ryang-ha—an expert assassin and a former member of a powerful Asian organization. Coincidentally, Ryang-ha is the man that has been pursuing her. Despite his background, Chateau reluctantly agrees to meet with Ryang-ha as part of a deal: in exchange for going out with him, he will provide her with the locations of current targets, dead or alive. But when the past begins to haunt both killers, their arrangement may need to come to an end, as their entanglement puts their lives at grave risk. [Written by MAL Rewrite]","['Adaptation (Manga) Koroshi Ai', '']",Koroshi Ai,,"['Adult Cast', 'Organized Crime']",,,,,
15,リアデイルの大地にて,In the Land of Leadale,['TV'],12,Finished Airing,"Jan 5, 2022 to Mar 23, 2022",['Winter 2022'],Wednesdays at 23:30 (JST),"['Lantis', 'Crunchyroll', 'Kadokawa Media House', 'Sun TV', 'Kadokawa', 'Bandai Namco Arts', 'Simplicity']","None found,",['Maho Film'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.95,#4607,#1437,"175,269",934,86332,"The previously bedridden Keina Kagami finds herself in the world of her favorite VRMMORPG—titled Leadale—after the life support keeping her alive fails. Reincarnated in the body of her high-level character, ""Cayna,"" she notices that the world of Leadale is different from what she remembers playing. As she comes to learn, two hundred years have passed since she last interacted with the world. However, this does not sadden Cayna—as it means that a new journey awaits her, filled with exciting prospects and unfamiliar faces all waiting to be discovered. [Written by MAL Rewrite]","['Adaptation (Manga) Leadale no Daichi nite', 'Adaptation (Light Novel) Leadale no Daichi nite']",Leadale no Daichi nite,World of Leadale,"['Isekai', 'Reincarnation']",,,,,
16,賢者の弟子を名乗る賢者,She Professed Herself Pupil of the Wise Man,['TV'],12,Finished Airing,"Jan 12, 2022 to Mar 30, 2022",['Winter 2022'],Wednesdays at 00:30 (JST),"['DAX Production', 'MAGES.', 'Kadokawa', 'Micro Magazine Publishing', 'MAGNET', 'Micro House']",['Funimation'],['Studio A-CAT'],['Light novel'],"['Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.33,#8090,#1788,"134,551",645,54809,"With a dignified veteran's body and a long white beard, summoner mage Dunbalf was one of the strongest player characters in the virtual reality online multiplayer roleplaying game Ark Earth Online, even heralded as a one-man army. Together with the ""Nine Wise Mages"" and King Solomon, they formed the mage player Kingdom of Alcait. But one day, Dunbalf and the other Nine Wise Mages suddenly go missing, leaving no trace behind. In an effort to spend his expiring credits, Dunbalf had purchased a cosmetic kit and tinkered with his character; however, he accidentally fell asleep during the customization process. Upon waking up, Dunbalf not only notices that the world of Ark Earth Online has become more realistic, but also discovers that he has turned into a cute girl! After reaching Alcait, he learns it has been 30 years since he supposedly disappeared. Now tasked with finding the other missing mages by King Solomon, the avid role player proclaims his new identity as Mira—the Pupil of the Wise Man Dunbalf—and ventures forth to prove his legacy. [Written by MAL Rewrite]","['Adaptation (Manga) Kenja no Deshi wo Nanoru Kenja the Comic', 'Adaptation (Light Novel) Kenja no Deshi wo Nanoru Kenja']",Kenja no Deshi wo Nanoru Kenja,Kendeshi,"['Isekai', 'Magical Sex Shift']",,,,,
17,プリンセスコネクト! Re:Dive Season 2,,['TV'],12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",['Winter 2022'],Tuesdays at 00:00 (JST),"['WOWOW', 'Nippon Columbia', 'Tokyo MX', 'BS11', 'Cygames']","None found,",['CygamesPictures'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.75,#1156,#1789,"134,527",837,49400,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki's memories, Karyl's allegiance, and Pecorine's heritage begin to come together—seemingly forming the truth that makes up the world's very foundation. [Written by MAL Rewrite]","['Prequel (TV) Princess Connect! Re:Dive', '']",Princess Connect! Re:Dive Season 2,"Princess Connect! Re:Dive 2nd Season, Priconne 2nd Season",,,,,,
18,オリエント,Orient,['TV'],12,Finished Airing,"Jan 6, 2022 to Mar 24, 2022",['Winter 2022'],Thursdays at 00:00 (JST),"['TV Tokyo', 'Kodansha', 'AT-X', 'Avex Pictures', 'bilibili', 'Crunchyroll']","None found,",['A.C.G.T.'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.61,#6430,#1929,"121,337",518,42947,"Freed from the rule of samurai 150 years ago, the people of Hinomoto live peaceful lives and revere their liberators—demons whose true forms remain elusive—as gods. Fated to mine rocks for the demons to feast on, Musashi knows the grim truth: humanity is enslaved by these otherworldly beings and the samurai are the last bastion fighting for freedom. Hiding his true opinion from his peers and growing distant from his childhood friend Kojirou Kanemaki, Musashi lives in angst until the day of his graduation. When the fresh graduates arrive at the mine, they are horrified to see the inhumane treatment of miners and the uncanny physical appearance of their overseers. However, Musashi manages to endure thanks to Kojirou's help. As the demon leader wreaks havoc on the quarry, Musashi is saved once more from certain death by the Takeda samurai clan. Recovering from humiliation and yearning for adventure, Musashi embarks on a journey to become a samurai and form his own clan! [Written by MAL Rewrite]","['Sequel (TV) Orient: Awajishima Gekitou-hen', 'Adaptation (Manga) Orient']",Orient,,"['Historical', 'Samurai']",,,,,
19,平家物語,The Heike Story,['TV'],11,Finished Airing,"Jan 13, 2022 to Mar 24, 2022",['Winter 2022'],Thursdays at 01:05 (JST),"['Dentsu', 'Pony Canyon', 'Fuji TV', 'Asmik Ace', 'BS Fuji', 'bilibili']",['Funimation'],['Science SARU'],Book,"['Drama', 'Supernatural']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.79,#1066,#2440,"86,023",817,27287,"The Taira clan, also known as the Heike, holds immense authority over Japan. When a young girl, gifted with an odd eye that allows her to see the future, foolishly disrespects the clan, her father pays the price of her crime with his life. Soon after, as fate would have it, Taira no Shigemori—the eldest son of the clan leader—stumbles upon the same unfortunate girl, who now calls herself ""Biwa."" Biwa informs him that the downfall of the Heike is imminent. After learning of the great injustice Biwa suffered at the Heike's hands, Shigemori vows to take her in and care for her rather than let her be killed. In an era of rising military tension, the Heike are in the midst of a cunning struggle for power, and bloodstained war is on the horizon. Shigemori, whose eyes allow him to see spirits of the dead, is both anxious and hopeful to prevent his clan's demise. Biwa, however, is reluctant to reveal the future to him and must adapt to her new life filled with both happiness and sorrow in this pivotal chapter in Japanese history. [Written by MAL Rewrite]",[],Heike Monogatari,,"['Historical', 'Samurai']",,,,,
20,リーマンズクラブ,Salaryman's Club,['TV'],12,Finished Airing,"Jan 30, 2022 to Apr 17, 2022",['Winter 2022'],Sundays at 01:30 (JST),"['TV Asahi', 'Glovision']","None found,",['LIDENFILMS'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2593,#2506,"82,181",538,30297,"The world of corporate badminton is not as easy as it seems. Although considered a former child prodigy, Mikoto Shiratori has not been living up to his potential as a badminton player for Mitsuhoshi Bank. Due to a past incident, Mikoto tries to transition from playing doubles to singles; nevertheless, he fails to produce positive results, much to his employer's dismay. After being fired from the bank, Mikoto is recruited by the Sunlight Beverage corporate badminton team. Surprisingly, not only do practices start in the evening, but he also has to work in the sales department of the company by day. While this is not a novel arrangement, Mikoto had thought he was invited solely to play sports. To make matters worse, he is forced to compete in doubles despite his reluctance. Struggling to adjust to his new professional life, Mikoto begins to doubt his decision to join the company. However, as he learns more about his latest teammates, he might just find the strength necessary to advance his badminton career. [Written by MAL Rewrite]",[],Ryman's Club,,"['Adult Cast', 'Workplace']",['Sports'],,,,
21,東京24区,Tokyo 24th Ward,['TV'],12,Finished Airing,"Jan 6, 2022 to Apr 7, 2022",['Winter 2022'],Thursdays at 00:30 (JST),"['Aniplex', 'Movic', 'Nitroplus', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation']",['Aniplex of America'],['CloverWorks'],Original,"['Mystery', 'Sci-Fi']",['Super Power'],,24 min. per ep.,PG-13 - Teens 13 or older,6.34,#8040,#2747,"70,830",208,22015,"In a special jurisdiction area built in Tokyo Bay commonly known as the 24th Ward, the population enjoys a very safe life thanks to the Hazard Cast—a surveillance system that predicts accidents and assists victims immediately. However, the system cannot foresee the exact nature of these accidents nor prevent them from happening. Ran Akagi, Kouki Suidou, and Shuuta Aoi—a trio of friends nicknamed ""RGB"" due to their hair color—experienced the tragic nature of these limitations when Suidou's sister Asami passed away in a fire at her high school. A year later, Shuuta still blames himself for failing to save Asami, while Ran pursues his dream to become a famous street artist, and Kouki works in the Hazard Cast intervention unit. After the RGB trio reunites at a commemoration for the victims of the school fire, each of them receives a mysterious phone call. Bewildered to hear Asami's voice, the three friends are shown images of the future and asked to choose between two grim alternatives. Refusing to be bound by predetermined outcomes, the three tackle this troubling event head-on, marking the beginning of a series of cruel dilemmas that they will have to overcome in order to protect the 24th Ward and its people. [Written by MAL Rewrite]",[],Tokyo 24-ku,Tokyo Twenty Fourth Ward,,,,,,
22,スローループ,Slow Loop,['TV'],12,Finished Airing,"Jan 7, 2022 to Mar 25, 2022",['Winter 2022'],Fridays at 22:00 (JST),"['AT-X', 'flying DOG', 'Houbunsha', 'Kadokawa Media House', 'Kadokawa', 'eStream']","None found,",['Connect'],['Manga'],"['Gourmet', 'Slice of Life']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3077,#2837,"66,800",294,24440,"Since childhood, Hiyori Yamakawa has witnessed her father's various eccentricities, but one activity she has always loved doing with him is fly fishing—a complicated yet rewarding method of catching fish. Even after his sudden death, Hiyori still visits the seaside in her spare time, savoring the joy that her father's memento brings her. Three years later, Hiyori's mother decides to remarry and arranges a dinner with her fiancé, his daughter, and Hiyori to celebrate. Anxious and wanting to pass the time, Hiyori goes to her usual fishing spot when a rather energetic girl named Koharu Minagi suddenly appears before her. The two soon become acquainted, with Koharu taking an interest in fly fishing herself. However, their meeting is more than just a coincidence: Koharu turns out to be Hiyori's future stepsibling, which is only the beginning of treasured memories the both of them will reel in as they foster their sisterhood. [Written by MAL Rewrite]","['Adaptation (Manga) Slow Loop', '']",Slow Loop,,"['CGDCT', 'Iyashikei']",,,,,
23,薔薇王の葬列,Requiem of the Rose King,['TV'],24,Finished Airing,"Jan 9, 2022 to Jun 26, 2022",['Winter 2022'],Sundays at 22:30 (JST),"['Lantis', 'Akita Shoten']",['Crunchyroll'],['J.C.Staff'],['Manga'],"['Action', 'Drama', 'Supernatural']",['Historical'],['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7805,#2937,"62,834",396,13538,"Richard Plantagenet has dedicated his whole life to becoming strong enough to fight alongside his father, the Duke of York. Together they have waged war to reclaim the right to the throne of England from King Henry VI and the House of Lancaster. However, the young Richard hides a secret—one that his mother scorns him for, which the cruel voices in his head never fail to remind him of. Even amid his personal turmoil, he is fortunate to find solace in the light of his father's love. But when the War of the Roses takes a turn for the bloodier, the fervent ambitions of Richard grow while his old loyalties splinter, threatening to taint his family's path to glory. [Written by MAL Rewrite]","['Adaptation (Manga) Baraou no Souretsu', '']",Baraou no Souretsu,,,,,,,
24,怪人開発部の黒井津さん,Miss Kuroitsu from the Monster Development Department,['TV'],12,Finished Airing,"Jan 9, 2022 to Apr 3, 2022",['Winter 2022'],Sundays at 02:00 (JST),"['TV Asahi', 'ABC Animation', 'Crest', 'ABC Frontier']","None found,",['Quad'],['Web manga'],"['Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.70,#5876,#2981,"61,412",178,20033,"On the outside, Agastia is a firm specializing in entertainment, well-known for the theme park it operates. However, beneath such an exterior lies a monumental secret: Agastia is one of various highly advanced evil organizations that aim for world domination. Despite its true nature, the company boasts enticements that make it worthwhile to put up with the work environment. Led by its great leader Akashic, Agastia has recently become a frontrunner in reaching its fellow groups' common goal. Working for Agastia's Monster Development Division, Touka Kuroitsu is a researcher who primarily does fieldwork due to the eccentricities of her seniors. Kuroitsu's everyday jobs also include giving abrupt presentations and proposals, meeting ridiculous expectations for monster designs, and accompanying said monsters to face inevitable defeat by Agastia's enemies. Nevertheless, nothing will stop Kuroitsu from doing her best if it means getting the promotion she desires! [Written by MAL Rewrite]","['Adaptation (Manga) Kaijin Kaihatsu-bu no Kuroitsu-san', '']",Kaijin Kaihatsu-bu no Kuroitsu-san,,"['Urban Fantasy', 'Workplace']",,,,,
25,ハコヅメ～交番女子の逆襲～,Police in a Pod,['TV'],13,Finished Airing,"Jan 5, 2022 to Mar 30, 2022",['Winter 2022'],Wednesdays at 23:30 (JST),"['Magic Capsule', 'Kadokawa']",['Funimation'],['Madhouse'],['Manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.17,#3515,#3130,"55,531",166,23523,"After graduating from high school, Mai Kawai's top priority was to find a job with a stable income to avoid turning out like her father. However, despite having taken a variety of civil service exams, she was faced with a harsh reality: nearly every institute denied her entry. The only place that accepted her was a police academy, which she reluctantly joined. Even now that she is an actual police officer, the world continues to be cruel to Mai. Due to her profession, she unexpectedly receives constant criticism from disgruntled citizens. Disheartened by the hostile treatment, she decides to submit a letter of resignation after just a few months of employment. But on the same day Mai chooses to quit, she meets Seiko Fuji—the former ace of the Criminal Affairs Division who is assigned as her new instructor. Finding her new coworker to be enchanting, Mai delays leaving and gives her uninspiring job a second chance. [Written by MAL Rewrite]","['Adaptation (Manga) Hakozume: Koban Joshi no Gyakushuu', '']",Hakozume: Kouban Joshi no Gyakushuu,,"['Adult Cast', 'Workplace']",['Comedy'],,,,
26,ドールズフロントライン,Girls' Frontline,['TV'],12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022",['Winter 2022'],Saturdays at 01:00 (JST),"['Warner Bros. Japan', 'Ai Addiction']",['Funimation'],['Asahi Production'],Game,"['Action', 'Drama', 'Sci-Fi']",['Military'],,24 min. per ep.,PG-13 - Teens 13 or older,5.86,#10650,#3164,"54,387",291,15389,"After World War III decimated the world's population and rendered large amounts of land uninhabitable, various private military contractors began using combat androids—also known as ""T-Dolls""—to maintain peace in unstable countries. While they are physically superior to flesh-and-blood fighters, T-Dolls are incapable of formulating complex plans and thus require a human commander to issue orders. Sangvis Ferri was an industry-leading T-Doll manufacturer until they attempted to install a specialized T-Doll as the company's sole commander—resulting in the immediate deaths of everyone at that facility. Seizing control of Sangvis factories, the rogue AI declared war on the remnants of mankind. Now facing a hostile robot invasion, Griffin & Kryuger is the only paramilitary organization strong enough to withstand confrontation and halt their destructive advances. Investigating the events related to Sangvis Ferri's aggression, the elite task force ""Team Anti-Rain"" searches for highly confidential information in an abandoned warehouse, but they are shortly ambushed. Hoping to safeguard their findings, the group temporarily disbands and each Doll goes into hiding. Meanwhile, the lazy but gifted Gentiane is hired by Griffin as a rookie commander and given her critical first mission—track down Team Anti-Rain and recover the classified data before Sangvis Ferri can. [Written by MAL Rewrite]",[],Dolls' Frontline,,,,,,,
27,TRIBE NINE（トライブナイン）,Tribe Nine,['TV'],12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",['Winter 2022'],Mondays at 22:30 (JST),"['Lantis', 'Docomo Anime Store', 'JR East Marketing & Communications', 'Bandai Namco Arts']",['Funimation'],['LIDENFILMS'],Mixed media,"['Sci-Fi', 'Sports']",['Team Sports'],,23 min. per ep.,R - 17+ (violence & profanity),6.06,#9649,#3373,"48,175",228,13367,"Fed up with society, youngsters all around Neo-Tokyo formed tribes to find their place in the world. However, group loyalty among them grew fierce and often led to violence. As a countermeasure, the government implemented the XB Law—stating that the tribe conflict is to be resolved through Extreme Baseball. From players using extendable bats to pitchers wearing special equipment, Extreme Baseball is a futuristic version of the sport with modified rules, less restrictions, and bizarre applications of technology. When a group of youngsters bullies spineless Haru Shirokane, he is saved by an unexpected pair: Shun Kamiya and Taiga. As it turns out, Shun is a star player of Extreme Baseball who leads the Minato Tribe, the top-ranked team in Minato City. Meanwhile, Taiga aims to defeat Shun in hopes of becoming the strongest in the sport. In a string of spontaneous events that allow Shun to discover their potential, Taiga and Haru are roped into joining the Minato Tribe. As the tribes across Minato City face a new threat led by the mysterious Oujirou Otori, the Minato Tribe might just need the power of their two new rookies to overcome the clutches of evil. [Written by MAL Rewrite]",[],Tribe Nine,,,,,,,
28,フットサルボーイズ!!!!!,,['TV'],12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",['Winter 2022'],Sundays at 23:00 (JST),"['Lantis', 'Bandai Namco Entertainment', 'Good Smile Company', 'Live Viewing Japan', 'Bandai Namco Arts']","None found,",['Diomedéa'],Mixed media,,['Team Sports'],,24 min. per ep.,PG-13 - Teens 13 or older,5.46,#12226,#4061,"34,004",230,11031,"Haru Yamato was never interested in futsal ever since the sport gained international fame 10 years ago. However, a chance to watch Japanese futsal player Tokinari Tennoji compete at the U-18 World Cup completely changed his perspective. When given the opportunity on his first day at Koyo Gakuen High School, Haru enthusiastically joins the futsal club. There, he meets a variety of talented players including captain Toi Tsukioka, who was a part of the same U-18 team as Tennoji. Despite having a dynamic roster, the Koyo Futsal Club has a long way ahead when it comes to assembling a team that can stand up to powerhouse opponents—especially for Haru, who is a total beginner to the sport! [Written by MAL Rewrite]",[],Futsal Boys!!!!!,,,['Sports'],,,,
29,CUE!,,['TV'],24,Finished Airing,"Jan 8, 2022 to Jun 25, 2022",['Winter 2022'],Saturdays at 01:55 (JST),"['Pony Canyon', 'APDREAM', 'Liber Entertainment']","None found,","['Yumeta Company', 'Graphinica']",Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5427,#4542,"26,910",148,7878,"As a new agency, AiRBLUE's roster consists of voice actresses with absolutely no experience. Expecting to hone their skills and build courage at a gradual pace, the girls are taken aback when the head of their agency, Masaki Ootori, announces that they will be partaking in an audition for Bloomball—a popular sports manga receiving an anime adaptation. Despite all odds being stacked against them, each of the girls is now presented with a momentous chance to make their debut in the unrelenting world of voice acting. [Written by MAL Rewrite]",[],Cue!,,"['Music', 'Showbiz']",,,,,
