,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Theme,French,Genre,Demographics
82,,パンツぱんくろう,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,['Kids'],1 min. per ep.,G - All Ages,[],#20968,#19439,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,,,,
83,,モリゾーとキッコロ,,['TV'],52,Finished Airing,"Apr 3, 2004 to Sep 24, 2004",['Spring 2004'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],5 min. per ep.,PG - Children,[],#20431,#19508,314,0,,"Morizo and Kikkoro are the official mascot characters of EXPO 2004 Aichi, Japan. They are fairies of forest, they teach us the strength and beauty of nature that we tend to forget. The EXPO will be held on Kasho Forest in Seto, where Morizo and Kikkoro, the fairies of forest, are living. Morizo is an old and knowledgeable creature that has been living for thousands years. Kikkoro was a child of forest born little before, and he likes Kikkoro very much He is curious about everything he sees, and his daily lives are full of wonders. (Source: AnimeNfo)",[],Morizo to Kikkoro,,,,,,
84,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],6 min. per ep.,PG - Children,[],#18439,#22575,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,,,,
85,,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],11 min. per ep.,PG - Children,[],#18178,#23287,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,
86,Galaxy Express 999 (ONA),銀河鉄道９９９,,['ONA'],6,Finished Airing,"Sep 9, 2002 to Jul 2004",,,"None found,","None found,",['Toei Animation'],Unknown,"['Adventure', 'Drama', 'Sci-Fi']",,,15 min. per ep.,G - All Ages,6.07,#9572,#12847,"1,481",1,332,A flash animation remake of the Ginga Tetsudou 999 series.,"['Adaptation (Manga) Ginga Tetsudou 999', '']",Ginga Tetsudou 999 (ONA),,,['Space'],,,
87,"Hunter x Hunter: G I Final, Hunter x Hunter OVA 3",HUNTER×HUNTER G・I Final,,['OVA'],14,Finished Airing,"Mar 3, 2004 to Aug 18, 2004",,,"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.25,#333,#1643,"150,434",250,81047,"Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro.","['Prequel (OVA) Hunter x Hunter: Greed Island', 'Adaptation (Manga) Hunter x Hunter']",Hunter x Hunter: Greed Island Final,,,,,,
88,Eiken: From Eiken With Love,エイケン エイケンヴより愛をこめて,Eiken,['OVA'],2,Finished Airing,"Jun 25, 2003 to Jun 23, 2004",,,['Genco'],['Media Blasters'],['J.C.Staff'],['Manga'],"['Comedy', 'Ecchi']","['Harem', 'Parody', 'School']",['Shounen'],30 min. per ep.,R+ - Mild Nudity,4.29,#13721,#4006,"34,930",64,17460,"Zashono Academy is a massive educational institution with over thirty-five thousand students enrolled across all grades. It is here that the plain and unpopular Densuke Mifune enrolls in high school. While he looks forward to blending into the crowd, circumstances change when he runs into Chiharu Shinonome, an incredibly attractive and intelligent girl who has captured the attention of all the students at the school. Witnessing the encounter between the two, Kirika Misono pressures them into joining her mysterious ""Eiken Club"" to compete in the school's annual club tournament. The tournament causes Densuke to become more intimate with his fellow club members, but will he be able to maintain his composure or will he give in to their bold advances? [Written by MAL Rewrite]","['Adaptation (Manga) Eiken', '']",Eiken: Eikenbu yori Ai wo Komete,,,,,,
89,Re: Cutey Honey,Re:キューティーハニー,,['OVA'],3,Finished Airing,"Jul 24, 2004 to Sep 25, 2004",,,['Toei Video'],['Discotek Media'],"['Gainax', 'Toei Animation']",['Manga'],"['Action', 'Comedy', 'Girls Love', 'Sci-Fi', 'Ecchi']",,,45 min. per ep.,R+ - Mild Nudity,7.13,#3778,#4178,"32,147",194,12164,"The last words spoken to Honey Kisaragi by her father before his death at the hands of the mysterious organization Panther Claw have shaped her way of life. It is the sole reason she still continues to fight for the sake of others. The energetic Inspector Natsuko Aki does her absolute best to apprehend the members of Panther Claw and bring them to justice, but they are simply too much for the police to handle. The only one who can give these criminals a run for their money is the sexy warrior of love and justice, Cutie Honey—the secret alter ego of Kisaragi. Although Natsuko refuses to acknowledge vigilantes, her relationship with Honey progresses for the better as the strong-headed detective realizes the true intentions behind Honey's actions. Overtime, Honey grows more fearful of her burning desire for revenge; meanwhile, Natsuko wants to protect her friend, a sentiment that clashes with her ideals of upholding the law. If they ever hope to stand a chance against the menacing Panther Claw, the duo will have to put aside their differences and stand together. [Written by MAL Rewrite]","['Adaptation (Manga) Cutie Honey a Go Go!', '']",Re: Cutie Honey,,,,,,
90,Kidou Senshi Gundam MS IGLOO: Ichinen Sensou Hiwa,機動戦士ガンダム MS IGLOO: 1年戦争秘録,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,['OVA'],3,Finished Airing,"Jul 19, 2004 to Nov 3, 2004",,,"None found,","['Nozomi Entertainment', 'Bandai Visual USA']",['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",,27 min. per ep.,PG-13 - Teens 13 or older,6.51,#7002,#5438,"17,251",14,8784,"The year is Universal Century 0079. Oliver May is a technical officer in the Zeon 603rd Technical Evaluation Unit , in charge of testing new military technology. Stationed in the Jotunheim, a civilian transport ship that was converted into military use, Oliver must head into battle and experience the One Year War, only this time from the perspective of a weapon tester who struggles to make an impact on an evolving war during changing times. (Source: ANN)","['Sequel (OVA) Kidou Senshi Gundam MS IGLOO: Mokushiroku 0079', '']",Kidou Senshi Gundam MS IGLOO: 1-nen Sensou Hiroku,,,,,,
91,Kaleido Star: New Wings - The Amazing Princess Without a Smile,カレイドスター ～新たなる翼～ EXTRA STAGE,Kaleido Star: New Wings Extra Stage,['OVA'],1,Finished Airing,"Sep 24, 2004",,,['HAL Film Maker'],"['ADV Films', 'Funimation']",['Gonzo'],Original,"['Comedy', 'Drama', 'Supernatural']","['Performing Arts', 'Showbiz']",,24 min.,PG - Children,7.45,#2133,#5752,"14,978",13,7719,"Sora Naegino has finally consolidated herself as Kaleido Stage's greatest star ever, and a new star starts to shine as Rosetta Passel is selected to participate in the next attraction in a main role. But when things start to go wrong in the rehearsals, Rosetta starts to question her abillity to take the role, as her own capacity to remain in Kaleido Stage. Meanwhile, Fool also struggles with his demons from the past.","['Prequel (TV) Kaleido Star', 'Sequel (OVA) Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari']",Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,,,,
92,Negima!: Magister Negi Magi Introductin Film,魔法先生ネギま! ～introduction Film～,,['OVA'],3,Finished Airing,"Aug 25, 2004 to Mar 24, 2005",,,"None found,","None found,",['Xebec'],['Manga'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']",,,8 min. per ep.,R+ - Mild Nudity,6.59,#6553,#6041,"13,116",4,3907,"Before the beginning of the series, three OVAs were produced for the sole purpose of introducing the characters. The first two were released on DVD bundled with two drama CDs, with the third being sold separately. It is unknown if these will ever be released outside of Japan. The first OVA is a re-enactment of the first chapter, where Negi first learns of his job as a teacher and is introduced to the students of Mahora Academy 2-A. It ends with profiles of the Baka Rangers (Asuna, Makie, Yue, Ku Fei and Kaede) as well as Ayaka. Asuna is the only girl in the class that doesn't have romantic feelings for Negi. The second OVA is a re-enactment of the ""love potion"" incident of chapter 2, with profiles at the end of Nodoka, Konoka, the cheerleaders (Misa, Madoka, Sakurako) as well as Kazumi. The third OVA is a re-enactment of chapter 13: Negi's Mahora tour with the Narutaki twins. The tour shows Negi to several of the students (Yuna, Akira, Chao, Satsuki, Satomi, Chizuru, Natsumi, Zazie) as well as others that he ends up missing (Sayo, Evangeline, Chachamaru, Chisame, Misora, Ako). After being chewed out by Haruna for completely skipping her, a final scene introduces Setsuna and Mana, keeping watch from something on campus. (Source: Wikipedia)","['Adaptation (Manga) Mahou Sensei Negima! Read Manga', '']",Mahou Sensei Negima!: Introduction Film,,,['Harem'],,,
93,"Teizoku Rei Daydream, Vulgar Ghost Daydream",低俗霊DAYDREAM,Ghost Talker's Daydream,['OVA'],4,Finished Airing,"Jun 25, 2004 to Dec 23, 2004",,,"['Bandai Visual', 'Imagine']",['Geneon Entertainment USA'],['HAL Film Maker'],['Manga'],"['Comedy', 'Drama', 'Horror', 'Supernatural', 'Ecchi']",,['Shounen'],24 min. per ep.,R+ - Mild Nudity,6.10,#9388,#6051,"13,080",18,4866,"Saiki Misaki has been able to see ghosts since she was a kid. Now, working at an S&M club, her spare time goes to sending the spirits off to the other world by having to make them realize they're dead and have to leave. This would supposedly be a little bit easier if you didnt have a background of hardship and loneliness... and a perverted employer. (Source: ANN)","['Adaptation (Manga) Teizokurei Daydream', '']",Teizokurei Daydream,,,,Ghost Talker's Daydream,,
94,Ojamajo Doremi Naisho,おジャ魔女どれみ ナ・イ・ショ,,['OVA'],13,Finished Airing,"Jun 26, 2004 to Dec 11, 2004",,,"None found,","None found,",['Toei Animation'],Original,,,,25 min. per ep.,G - All Ages,7.83,#969,#6249,"12,058",109,5613,"Na-i-sho is a 13 episode OAV series detailing the summer between the ~motto~ and the Dokkaan season. It is a bit more mature than the TV seasons, and looks to develop each of the five witches romantically. Hana is back to a baby, and the mahou shop is a bakery. (Source: ANN)",[],Ojamajo Doremi Na-i-sho,,,['Mahou Shoujo'],,['Comedy'],
95,Mirage of Blaze OVA,炎の蜃気楼～みなぎわの反逆者～,Mirage of Blaze: Rebels of the River Edge,['OVA'],3,Finished Airing,"Jul 28, 2004 to Nov 26, 2004",,,['Aniplex'],['Media Blasters'],['Madhouse'],['Light novel'],"['Action', 'Boys Love', 'Drama', 'Supernatural']","['Historical', 'Reincarnation']",['Shoujo'],30 min. per ep.,R - 17+ (violence & profanity),6.80,#5342,#6381,"11,431",28,4250,"Takaya was sent to Kyoto to investigate the re-awakening of Ikko sect and Araki Murashige, a member of the Ikko sect who deserted the clan.With the help of his vassal Haruie, Takaya is finally successful in tracing Araki who hunts down a 400-years-old mandala (Buddhist artifact for meditating) that was made of the hair of the deceased Araki clansmen. Unfortunately, by the time they meet, Haruie recognizes Araki as Shintarou, her lover in her past-life. Takaya orders her to eliminate Araki, who is a threat, but will she be able to do it. Furthermore Takaya finally meets Naoe... (Source: ANN)","['Prequel (TV) Honoo no Mirage', '']",Honoo no Mirage: Minagiwa no Hangyakusha,,,,,,
96,Hana no Joshi Ana: Newscaster Etsuko,花の女子アナ ニュースキャスター・悦子,Foxy Nudes,['OVA'],2,Finished Airing,"Jun 25, 2004 to Sep 24, 2004",,,['Discovery'],['Media Blasters'],['AT-2'],Original,,,,27 min. per ep.,Rx - Hentai,6.45,N/A,#6661,"10,347",47,4766,"Etsuko Yamanobe is the most popular newscaster at Tokyo Flower Television thanks to her blatant disregard for morals and ethics. To beat her competitors, this crafty woman will resort to even the shadiest, most questionable methods. She has eyes only for fame and fortune, with everything—and everyone—else being secondary. During a slow week, Etsuko catches wind of an ongoing hostage situation: Marude Damesuke has recently been fired and is seeking revenge by taking out his anger on his former boss' daughter, Mayumi Wakabayashi. Etsuko hurries to the scene, but is upset to discover that the situation between Damesuke and the police has reached a standstill. With both sides too afraid to take action, Etsuko creates her own scenario—even if it means using her body and the lives of others. [Written by MAL Rewrite]",[],Hana no Joshi Announcer: Newscaster Etsuko,,,,,['Hentai'],
97,Demonbane OVA,機神咆吼デモンベイン,,['OVA'],1,Finished Airing,"Jul 1, 2004",,,"['Frontier Works', 'Kadokawa Shoten', 'Half H.P Studio', 'Digiturbo']","None found,","['Group TAC', 'Viewworks']",Visual novel,"['Comedy', 'Drama', 'Sci-Fi']",,,24 min.,PG-13 - Teens 13 or older,5.99,#9976,#6735,"10,119",13,3992,"Lily Bridge, a young journalist, arrives at Arkham City, hoping to find a big scoop. However, with all the strange things occuring around the city, only the exceptional findings are news-worthy, such as the mysterious mecha known as Demonbane. However, upon finding a small piece of machinery that seemed to be connected with the Hadou Combine, Lily is determined to find the truth. Little does she know, she enters into a dark world, involving herself with Demonbane and the powerful forces that control the city. (Source: ANN)","['Adaptation (Light Novel) Zanmataisei Demonbane', '']",Kishin Houkou Demonbane,,,['Mecha'],,,
98,"Hoi Hoi-san, Ichigeki Satchu Hoi Hoi San, One-Shot Bug Killer!! Interceptor Doll HoiHoi-san, Interceptor Doll HoiHoi-san",一撃殺虫!!ホイホイさん,,['OVA'],1,Finished Airing,"Sep 30, 2004",,,['Genco'],"None found,",['Daume'],['Manga'],"['Comedy', 'Sci-Fi', 'Slice of Life']",,,11 min.,PG-13 - Teens 13 or older,6.05,#9673,#7064,"9,003",7,4738,"The time is the near future. Cockroaches and other household pests have become immune to all forms of insecticides. In response to this crisis, a Japanese company has created small, doll-like, insect exterminating robots called Hoi Hoi-san. A competing company has also released their own version, Combat-san. Because of their adorable appearance, these little robots have become somewhat of a phenomenon and have gained many fans. Late at night, in the home of one such fan, Hoi Hoi-san and Combat-san search for insects to exterminate... but Combat-san is not above trying to exterminate Hoi Hoi-san while she's at it.","['Adaptation (Manga) Ichigeki Sacchuu!! Hoihoi-san', '']",Ichigeki Sacchuu!! Hoihoi-san,,,,,,
99,,異常性愛,Discode,['OVA'],3,Finished Airing,"Aug 13, 2004 to May 27, 2005",,,"['D3', 'Mediabank']","['Media Blasters', 'Kitty Media']",['Studio 9 Maiami'],Visual novel,,,,19 min. per ep.,Rx - Hentai,6.24,N/A,#7149,"8,722",36,3507,"Based on a game by Courreges. Futaba is a high school girl who has a strong sexual desire and she plays with herself at any place and anytime. However, she has a dark secret that no one knows... (Source: AnimeNfo)",[],Discode: Ijou Seiai,,,,,['Hentai'],
100,Hyper Shinobi Animation: Shadow,影Shadow,Shadow,['OVA'],4,Finished Airing,"Mar 26, 2004 to Dec 26, 2004",,,['Japan Home Video'],['Super Techno Arts'],['APPP'],Original,"['Action', 'Hentai']","['Gore', 'Historical', 'Martial Arts', 'Samurai']",,29 min. per ep.,Rx - Hentai,6.28,N/A,#7637,"7,380",27,2214,"It is the peaceful Edo period in Japan, and ninjas are hardly needed anymore. Karyu, a particularly skilled ninja, is forced to do work as a hired killer. She is asked to kill a merchant, but when she gets there, she finds that his servant is actually a ninja, who is just as skilled as Karyu. Her name is Uzume. Karyu and Uzume then compete against eachother in a bloody battle for superiority. (Source: ANN)",[],Kage (OVA),,,,,,
101,,ナースウィッチ小麦ちゃんマジカルてZ,,['OVA'],2,Finished Airing,"Sep 10, 2004 to Sep 22, 2005",,,['Geneon Entertainment'],"None found,",['Tatsunoko Production'],Original,"['Comedy', 'Fantasy']","['Gag Humor', 'Mahou Shoujo', 'Otaku Culture', 'Parody']",,26 min. per ep.,PG-13 - Teens 13 or older,6.63,#6323,#7688,"7,265",11,3142,Sequel to the first series.,"['Prequel (OVA) Nurse Witch Komugi-chan Magikarte', '']",Nurse Witch Komugi-chan Magikarte Z,,,,,,
102,"Yakin Byoutou 2, NSN 2",夜勤病棟・弐,Night Shift Nurses 2,['OVA'],5,Finished Airing,"Jul 30, 2004 to Jan 27, 2006",,,"['D3', 'White Bear', 'Mediabank']","None found,",['Studio 9 Maiami'],Visual novel,,,,27 min. per ep.,Rx - Hentai,6.02,N/A,#8441,"5,811",5,2135,"An elite doctor Kuwahara couldnt forget his thought toward Nanase Ren, whom he had loved in his youth. Then he changed the hospital to work one after another to look for her, and finally he met her again at the St. Cattleya Hospital. However, her attitude was remote and his love couldnt be fulfilled. To make the matter worse, he received photograph on which Ren was molested. Ren had been turned into a lewd woman by Hirasaka by the woman body experiment when she was at the St. Julianna Hospital. He was disappointed and he lost his mind. Kazama Mana who was a nurse of the gynecology and obstetrics section, loved Kuwahara, and she resembled Ren. Taking advantage of her thoughts, Kuwahara raped her and deprived her virginity shouting the name of Ren. (Source: AnimeNfo)","['Prequel (OVA) Yakin Byoutou', 'Sequel (OVA) Yakin Byoutou San', 'Adaptation (Light Novel) Yakin Byoutou 2', '']",Yakin Byoutou Ni,,,,,['Hentai'],
103,,ブラックゲート 姦淫の学園,,['OVA'],2,Finished Airing,"Jul 25, 2004 to Dec 25, 2004",,,['Milky Animation Label'],"None found,",['Studio Jam'],Visual novel,"['Fantasy', 'Supernatural', 'Hentai']",,,28 min. per ep.,Rx - Hentai,5.81,N/A,#8487,"5,747",8,2107,"Narifumi Hosokawa prepares for his high school's culture festival with the Kadomori twins, Shizuku and Kasumi. While everyone is distracted, Shizuku decides to open a mysterious gate through the use of magic and travel to an alternate world. She has broken the oath of her family's heritage, as to protect the Black Gate from those who seek the enormous power that lies within the world. The remaining defenders of the Black Gate, consisting of female students and a female teacher, must travel through to the other side and return before any distruptions come to either dimension. However, Narifumi accompanies the group and Shizuku is waiting for them with some new allies. (Source: ANN)",[],Black Gate: Kanin no Gakuen,Black Gate,,,,,
104,,アンジェリウム,,['OVA'],2,Finished Airing,"Sep 25, 2004 to Nov 25, 2004",,,"None found,",['Kitty Media'],['APPP'],Visual novel,,,,29 min. per ep.,Rx - Hentai,5.88,N/A,#8649,"5,466",8,2322,"Zeus was an omniscient and omnipotent god who rules Heaven where gods lived. However, he was a pervert who had a wish to flirt with young angels not being known by his wife, Hera. He came up with an idea to make use of the promotion examination took place every three years. Three angels, Yu, Miki, and Chado-ko came down to the earth to take the exams. When they began to work as part-time jobs at the flower shop, the severe trials occurred one after another. Zeus was taking care of them secretly. However it’s not from his kindness, but from his pervert desire. But, his activities were known in the lower world... (Source: AniDB)",[],Angelium,,,,,['Hentai'],
105,"Midnight Sleazy Train 2, Chikan Rail, New Midnight Sleazy Train, Midnight Sleazy Train Track 2",新・最終痴漢電車,,['OVA'],3,Finished Airing,"Aug 25, 2004 to May 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['Kitty Media'],['T-Rex'],Visual novel,,,,30 min. per ep.,Rx - Hentai,6.34,N/A,#9124,"4,710",4,1557,"Track two is now boarding. Some towns have legends of haunted houses or underground communities in the sewers. But in Takumi's town, the ultimate urban legend is the Midnight Sleazy Train. Desperate for a spot on the train, Takumi waits by the station after hours. But he finds that you can't just buy a ticket. Only by bringing the perfect female guest can you ensure permission to come aboard. (Source: ANN)","['Prequel (OVA) Saishuu Chikan Densha', 'Sequel (OVA) Saishuu Chikan Densha Next', 'Adaptation (Light Novel) Saishuu Chikan Densha 2', '']",Shin Saishuu Chikan Densha,,,,,['Hentai'],
106,Yugu Settai,優遇接待～孤島の極楽へようこそ～,Fruits Cup,['OVA'],2,Finished Airing,"Jul 25, 2004 to Jan 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['Kitty Media'],['Shinkuukan'],Visual novel,,,,23 min. per ep.,Rx - Hentai,5.60,N/A,#9162,"4,651",8,1504,"Riku Ohmi can fool every girl some of the time, he can fool some girls all of the time, and he can fool all the girls into his bed at the same time. Riku was asked to help with the girl's swim team's summer training when he finds some dirty videos of the girls, Yoshino, Nagisa, and Matsuri. Not content to stick with the videos, he uses them as a leverage to score some real action. (Source: ANN)",[],Yuuguu Settai: Kotou no Gokuraku e Youkoso,,,,,['Hentai'],
107,"A Time to Screw, Toki Neiro",刻音色,,['OVA'],2,Finished Airing,"Jul 30, 2004 to Oct 29, 2004",,,['Discovery'],['Media Blasters'],['AT-2'],Visual novel,,,,28 min. per ep.,Rx - Hentai,5.13,N/A,#9332,"4,384",8,1746,"I woke up to find I was in an old house deep in the snowy mountains. They said I was carried into there with my head being bruised. There were a mistress, who was surrounded by books and pictures and loved camera, and the four maids who smiled sadly. They seemed to know everything. However, I couldn’t remember anything. “You brought the time into this house where time had stopped”. The gear began to work as if it was led by the folklore of spiriting away talked in the candle light. At midnight, the big clock that had stopped for decades rang thirteen times. When a dark blue shadow crawled out from the depth of the well were wandering around, snivel of the maids came in the dark. Was it an ecstasy or else? (Source: AnimeNfo)",[],Tokineiro,,,,,['Hentai'],
108,,痴漢者トーマス,Perverted Thomas,['OVA'],1,Finished Airing,"Sep 25, 2004",,,"['Milky Animation Label', 'MS Pictures']",['Adult Source Media'],['Dream Entertainment'],Visual novel,,,,26 min.,Rx - Hentai,5.95,N/A,#9354,"4,355",9,1731,"Tohyama Masuo, who was called Thomas, was dull guy and out of work. When he was going to look for the job, he met Tachibana Ayane, a woman of his type, in a crowded train. Her refreshing smell made him so excited that he found himself touching her on her hip. This was the beginning of his pervert activities. With his technique, he gave sexual pleasure to women all over the place.",[],Chikansha Thomas,,,,,['Hentai'],
109,,ストラトス・フォー OVA,,['OVA'],2,Finished Airing,"May 28, 2004 to Aug 1, 2004",,,['Bandai Visual'],['Bandai Entertainment'],['Studio Fantasia'],Original,"['Comedy', 'Sci-Fi']",,,28 min. per ep.,PG-13 - Teens 13 or older,6.66,#6153,#9826,"3,776",1,1545,"After successfully returning to Earth on the renovated Stratos 4, the four main characters are visited by the Comet Blasters Chizuru Kubo and Annette Kerry, who bring them a shocking video. Meanwhile, Orbital Station 7 is in serious trouble... This two-episode OVA comes between the first and second seasons. (Source: ANN, edited by Glenn Magus Harvey)","['Prequel (TV) Stratos 4', 'Sequel (OVA) Stratos 4 Advance']",Stratos 4 OVA,,,['Military'],,,
110,,魔性の貌(かお),The Two Facials of Eve,['OVA'],1,Finished Airing,"Jul 25, 2004",,,['Discovery'],['Media Blasters'],['AT-2'],Visual novel,,,,29 min.,Rx - Hentai,6.11,N/A,#9985,"3,569",10,1444,"Keiichi Hayama always dreamed about hot sex with his childhood sweetheart, but one day she transformed in his dream into a mysterious beauty with perfect breasts and a seductive eyes. The next afternoon, Keiichi came back from school to find that very same woman masturbating in his room! His mother introduces her as Reika. Since her parents died in a car accident, Reika has been taken in by Keiichi's family. But Keiichi knows there's some dark truth behind this woman, and he has a hunch his prophetic dream wasn't a dream at all.","['Adaptation (Light Novel) Mashou no Kao', '']",Mashou no Kao,,,,,['Hentai'],
111,,こすぷれCOMPLEX,,['OVA'],1,Finished Airing,"Jul 3, 2004",,,['Lantis'],"None found,",['TNK'],Original,,,,5 min.,G - All Ages,5.67,#11505,#10233,"3,301",1,1354,The Extra Identification episode will allow you to match the different costumes in the series to the anime series they are from.,[],Cosplay Complex: Extra Identification,,,,,['Comedy'],
112,"Chikan Junin Tai, 10 Chikan Association",痴漢十人隊 THE ANIMATION,,['OVA'],5,Finished Airing,"Jul 8, 2004 to Aug 7, 2004",,,['Soft on Demand'],"None found,",['Sugar Boy'],Original,,,,30 min. per ep.,Rx - Hentai,5.90,N/A,#10361,"3,165",8,1023,"There are nine men and a single woman called ""Chikan Juunin-tai"" (the 10 pursuers). They make their client's dreams come true, that wish to be ""pursued"" on a train. (Source: ANN)",[],Chikan Juunin-tai The Animation,,,,,['Hentai'],
113,,姫辱 -プリンセスダブル狩り-,Slutty-Princess Diaries,['OVA'],3,Finished Airing,"Aug 27, 2004 to Dec 24, 2004",,,['Animac'],['JapanAnime'],['Studio Soul'],Visual novel,,,,26 min. per ep.,Rx - Hentai,5.85,N/A,#10664,"2,911",6,983,"Distol, a prince of Asteria, had passed humiliating days as a hostage in the neighboring country Bartrage, for 8 years. His mother had been also sent to the country, but she ended up dying. Since then, he made efforts to learn fencing and acquiring the knowledge and cultures in order to protect important himself. However, one day, he knew that his sister-in-law whom he had left in his country was elected as a ""Holy Lady"" in order to seal Satan. Holy Lady would devote her life to seal Satan. Because he couldn't save his loving sister, he felt his weakness. Then a beautiful girl in black clothes appeared in front of him, and she said she was a witch. In exchange for a strong magic to save his sister, she imposed two conditions on him. They were that he would invade Bartrage to get the secret treasure of the royal family, and that he would kidnap Princess Irina. (Source: AniDB)","['Adaptation (Light Novel) Kijoku: Princess Double Kari', '']",Kijoku: Princess Double Kari,,,,,['Hentai'],
114,Sensei no Ojikan: Dokidoki School Hours Episodes 14-20,せんせいのお時間: Doki Doki School Hours,,['OVA'],7,Finished Airing,"Aug 4, 2004 to Feb 2, 2005",,,"['Genco', 'King Records']",['Geneon Entertainment USA'],['J.C.Staff'],['4-koma manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.56,#6673,#11112,"2,542",2,1006,The series is centered on 27-year-old homeroom teacher Mika Suzuki (who only looks about half her age) and the eccentric and colorful students of her class. (Source: Wikipedia),"['Prequel (TV) Sensei no Ojikan: Dokidoki School Hours', '']",Sensei no Ojikan: Dokidoki School Hours OVA,,,['School'],,['Comedy'],
115,,相姦連鎖,Secret Sex Stories,['OVA'],1,Finished Airing,"Sep 24, 2004",,,['Animac'],['JapanAnime'],"None found,",Original,,,,26 min.,Rx - Hentai,5.54,N/A,#11512,"2,258",4,767,"Story 1: Having heard about a housewife passing down her late husband’s wealth to her daughter, two hoodlums invaded their home. After finding that the women did not have the money with them at the present time, the two men held the women hostage and used them to take care of their own personal sexual needs and desires. Story 2: A young woman accepts a job doing modeling poses for an art class. All was going well until the students demanded more out of the situation so exciting sexual encounters ensued.",[],Soukan Rensa,,,,,['Hentai'],
116,,羞中恥療室,Internal Medicine,['OVA'],2,Finished Airing,"Aug 13, 2004 to Nov 12, 2004",,,['Digital Works'],['Kitty Media'],['Y.O.U.C'],Visual novel,,,,30 min. per ep.,Rx - Hentai,5.67,N/A,#11759,"2,095",2,597,"Makoto Sugiura has studied his whole life to become a doctor. He's looking for revenge on the doctor with a scalpel scar across his left hand. It was that doctor who is responsible for his sister's death. After finally being assigned to the right hospital, Makoto finds that the entire staff is involved in something suspicious. He decides to sleep his way to the truth, squeezing a confession out of one nurse after another until he makes his way to the top. (Source: AniDB)",[],Shuuchuu Chiryou Shitsu,,,,,['Hentai'],
117,"Storm Rider: Wild Winds, Raging Clouds",風急雲怒,,['OVA'],1,Finished Airing,"Aug 12, 2004",,,"None found,","None found,","None found,",['Manga'],,,,5 min.,PG-13 - Teens 13 or older,4.89,#13335,#16506,561,0,214,"2002 OVA adaptation of Storm Riders manhua. Features Cloud, Wind, and Wave characters.","['Adaptation (Manhua) Feng Yun', '']",Feng Ji Yun Nu,,,['Martial Arts'],,['Action'],
118,Song of Hydrangea,あじさいの唄,,['OVA'],4,Finished Airing,"Aug 19, 2004 to Jan 19, 2006",,,['Soft on Demand'],"None found,",['Group TAC'],Unknown,"['Comedy', 'Drama']",,,54 min. per ep.,G - All Ages,[],#16514,#16887,519,0,,"This is a heartwarming story about a family during the Edo era. The main character, Kuritaro, lives with his father and a stray dog. Despite his mother's death, he continues to live a cheerful life. (Source: AnimeNfo)",[],Ajisai no Uta,,,['Historical'],,,
