,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Genre,Themes,Demographics
140,,MAGICAL WITCH ACADEMY～ボクと先生のマジカルレッスン～ The Animation,,,,,['OVA'],2,Finished Airing,"Jun 22, 2007 to Aug 24, 2007",,,['Pink Pineapple'],"None found,",['Maboroshi Koubou'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.19,N/A,#8212,"6,159",15,1983,"In a world where magic is common, there is the most prestigious school called Wizadia Magic Academy. Tsukasa Strobilanthus, the only guy in the all-girls school, is here to learn how to control his powers the Mystic Eyes. Whenever his glasses are removed, his powers go out of control, making any girl he glares at into a state of horniness. Tsukasa has been sent to this school to find the one person in which his powers are useless against so he can learn how to control his Mystic Eyes.","['Adaptation (Light Novel) Magical Witch Academy: Boku to Sensei no Magical Lesson', '']",Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,,['Hentai'],,
141,Rensa Byo-toh,連鎖病棟,,,,,['OVA'],2,Finished Airing,"Jun 25, 2007 to Sep 25, 2007",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Anime Antenna Iinkai'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.75,N/A,#8501,"5,720",11,2041,"Two hours away from Tokyo is Kiyosato Hospital. Shuji is assigned to work there after completing Medical School, but the fact that his father died there during a operation while he was in college haunts him to this day. In fact, the reason why Shuji became a doctor is the fact his father died and he wanted to be able to investigate just exactly why he died. Since it was almost 10 years ago, he finding that he is running into a lot of dead ends. Upon reporting to Kiyosato, he learns that Dr. Takao (the doctor who was operating on Shuji’s father when he died) is now the assistant director of the hospital. Also on the same day, he sees Misako, his girlfriend from the time that his father died. However, Shuji soon learns that Misako is now married to Dr. Takao under some suspicious circumstances. This leads Shuji to investigate Dr. Takao and take back Misako by what ever means are necessary . . .",[],Rensa Byoutou,,['Hentai'],,
142,Kiddy Grade 2 Pilot,キディ・ガーランド,,,,,['OVA'],1,Finished Airing,"May 25, 2007",,,['Kadokawa Shoten'],"None found,",['asread.'],Original,"['Action', 'Sci-Fi']",,6 min.,PG-13 - Teens 13 or older,6.63,#6300,#8849,"5,143",6,1695,"ES members Éclair and Lumière once were involved in a battle to decide the fate of the galaxy. They prevailed and peace was restored to the galaxy. Now, several years later, the galaxy once again stands on the brink of chaos. This conflict will see the dawn of two new heroines; Ascoeur and Q-feuille.","['Prequel (TV) Kiddy Grade', 'Sequel (TV) Kiddy GiRL-AND']",Kiddy GiRL-AND Pilot,,,"['Space', 'Super Power']",
143,,学園２,,,,,['OVA'],2,Finished Airing,"Jun 29, 2007 to Jun 27, 2008",,,"None found,","None found,","['Himajin Planning', 'Suzuki Mirano']",Visual novel,,['School'],29 min. per ep.,Rx - Hentai,6.22,N/A,#8937,"5,007",11,1586,"Due to a school conspiracy, Tetsuya is forced to drop out of school. In order to satisfy his need for revenge, Tetsuya needs to get his hands on Haruna, the principal's daughter. However, to do that, he needs another to girl to lure Haruna out. That's where Ayano comes in... (Source: AniDB)","['Prequel (OVA) Gakuen: Chijoku no Zushiki', 'Sequel (OVA) Gakuen 3', 'Adaptation (Light Novel) Gakuen 2: Ingyaku no Zushiki', '']",Gakuen 2,,['Hentai'],,
144,,艶欲 - ゑんよく,Captivating Lust,,,,['OVA'],1,Finished Airing,"Apr 25, 2007",,,"['MS Pictures', 'BOOTLEG']","None found,",['Studio Jam'],['Manga'],,,25 min.,Rx - Hentai,6.22,N/A,#9097,"4,742",13,1961,"Awashika Mizuho, a English teacher, strongly desired to have a relationship with Kusumoto Naria, who was a student of her's. She had an intense desire that was beginning to take hold of her every thought. One day, Mizuho finally began to take action on her feelings and seduced Naria in her office. That action set her on a prohibited course that would take both Mizuho and Naria to the heights of pleasure. But Mizuho has one obstacle in her way, Yukiha, a girl from her school that may have similar feelings for Naria. What happens from here as pent up lust comes to the surface?",[],Enyoku,,['Hentai'],,
145,"Study-A-Broad episode #2, Study-A-Broad 2, Study A-Broad 2, Study-A-Broad pt2",聖泉学淫,Holy Sleazy School,,,,['OVA'],1,Finished Airing,"Jun 25, 2007",,,"['Jam', 'MS Pictures']",['Kitty Media'],['Studio Jam'],Original,,,18 min.,Rx - Hentai,5.64,N/A,#9660,"3,952",10,1207,"At a school in Japan, a glowing phallus-shaped artifact possesses magical powers that turn innocent girls into raging sex maniacs. When a teacher is seduced by a student, he soon finds himself endowed with a power that the girls cannot resist... (Source: AniDB)",[],Seisen Gakuin,,['Hentai'],,
146,"Sakura Wars: New York, Sakura Taisen: New York NY, Sakura Wars OVA 5",サクラ大戦 ニューヨーク・紐育,,,,,['OVA'],6,Finished Airing,"Apr 4, 2007 to Aug 1, 2007",,,"['Sega', 'Imagine']","None found,",['AIC'],Game,"['Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.24,#8578,#9784,"3,806",3,1301,"New York City, the late 1920s. The battle with Nobunaga is over, the city restored to peace...until the owner of Little Lip Theater informs Shinjiro... ""This time, the leading lady will be...you."" Thus Shinjiro, disguised as the actress Petitmint, is forced into the role of ""Cleopatra."" The Star Division members set out to persuade a reluctant Shinjiro, beginning a chase across the five boroughs. Meanwhile, a dark-skinned youth and his servant have appeared unexpectedly in the midst of the flourishing city. His eyes, concealing a silent wrath, are fixed upon nothing less than the Statue of Liberty. Now Shinjiro and company must protect this city of hopes and dreams from a new menace while safely raising the curtain on a new show. (Source: ANN)","['Prequel (Movie) Sakura Taisen: Katsudou Shashin', '']",Sakura Taisen: New York,,,"['Mecha', 'Performing Arts']",
147,Pervs on a Train: Pleasure Commute,通勤快楽 痴漢でGO!!,,,,,['OVA'],1,Finished Airing,"May 25, 2007",,,"['Jam', 'MS Pictures']",['Kitty Media'],['Studio Jam'],Visual novel,,,18 min.,Rx - Hentai,5.69,N/A,#10215,"3,320",8,1159,"When horny men and beautiful women cram themselves into the train for their early morning commute, all that body-to-body contact begins to take a sexual toll on the passengers. The men's casual groping quickly leads to all-out molestation. Shocked, the women are resistant at first. But there's no escape from a moving train. So it's not long before these reluctant ladies give in to their own perverted passions and go with the flow. Soon the whole train is alive with sexual energy as it drives and thrusts toward its dripping-wet destination. (Source: ANN)","['Prequel (OVA) Kaihouku: Chikan Harem', '']",Tsuukin Kairaku: Chikan de Go!!,,['Hentai'],,
148,The Galaxy Railways: Planet of Forgotten Time,銀河鉄道物語 ～忘れられた時の惑星～,The Galaxy Railways: A Letter from the Abandoned Planet,,,,['OVA'],4,Finished Airing,"Dec 30, 2006 to Apr 25, 2007",,,"None found,",['Discotek Media'],['Planet'],Original,"['Drama', 'Sci-Fi']",['Space'],30 min. per ep.,PG-13 - Teens 13 or older,6.68,#6010,#10256,"3,266",2,1116,This is the OVA of The Galaxy Railways. The Galaxy Express 999 crashes on the off-limits planet of Herise and it's up to the SDF Sirius Platoon to assist. (Source: Wikipedia),"['Prequel (TV) Ginga Tetsudou Monogatari', 'Sequel (TV) Ginga Tetsudou Monogatari: Eien e no Bunkiten']",Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,,,,
149,,一寸法師,The Erotic Adventures Of Tom Thumb,,,,['OVA'],2,Finished Airing,"Jun 8, 2007 to Sep 14, 2007",,,['Digital Works'],['Kitty Media'],['Y.O.U.C'],Original,,,27 min. per ep.,Rx - Hentai,6.02,N/A,#10649,"2,913",4,1087,"The Erotic Adventures Of Tom Thumb follows the adventures of Issunbashi, a man who, after waking up from a nightmare, discovers that he has shrunk down to a minuscule few inches. But being small has significant advantages as Issunbashi can now explore the female anatomy in an entirely different and unusual fashion.",[],Issunboushi (OVA),,['Hentai'],,
150,,下級生2～Sketchbook～,,,,,['OVA'],2,Finished Airing,"May 25, 2007 to Jun 22, 2007",,,['Pink Pineapple'],"None found,",['Inugoya'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.92,N/A,#10895,"2,711",3,905,"Tamaki happens to find a sketchbook in her closet. Upon seeing the pictures within, she realizes that Roma has been with her in her memories. Meanwhile, the kickboxing club Roma belongs to is about to close because Roma is the only member and thus cannot take part in team tournaments. However, Roma isn`t concerned, and draws a nude picture of Misaki during his supplementary art class. When he beats up a stalker, the grateful Misaki begins to seduce him. On the other hand, Tamaki begins to be unsatisfied with their relationship as mere childhood friends. (Source: AnimeNfo)",[],Kakyuusei 2: Sketchbook,,['Hentai'],,
151,,オフサイドガール,,,,,['OVA'],2,Finished Airing,"Apr 25, 2007 to Aug 25, 2007",,,"['MS Pictures', 'AniMan']","None found,",['Cutie Bee'],['Manga'],"['Sports', 'Hentai']",,15 min. per ep.,Rx - Hentai,3.93,N/A,#11116,"2,535",5,825,"Nanami is a girl who always liked Akira, but she thinks that the thing that got in the middle of their love was soccer, therefore she kind of hates soccer. One day Akira asks her to be the soccer school team manager and she denies it, but after that she is forced to be and after that their new sex lives begin a new cycle.","['Adaptation (Manga) Offside Girl', '']",Offside Girl,,,,
152,"Red Coloured Elegy, Red Colored Elegy",赤色エレジー,,,,,['OVA'],1,Finished Airing,"Jun 29, 2007",,,"None found,","None found,",['Toei Animation'],Unknown,,,26 min.,PG-13 - Teens 13 or older,5.75,#11148,#12666,"1,564",3,340,"A legendary masterpiece of love comics, SEKISHOKU Elegy brought baby-boomers to tears for its depiction of the heart-rending sorrow of cohabitation symbolizing young Japanese couples in the 1970s. The famous painter Seiichi Hayashi, well known for his work in Koume Chan candies and Sendai's renowned confectionery Hagi No Tsuki, draws the animation as the original writer and also directs it. Hayashi also teams up with folk singer Morio Agata for the first time in more than three decades. Agata enjoyed a huge hit with a song originating from the comic. New renditions give new life to SEKISHOKU Elegy as a work of Ganime. (Source: Toei-anim.co.jp)","['Adaptation (Manga) Sekishoku Elegy', '']",Sekishoku Elegy,,['Romance'],,
153,,電気夢想花,Electric Full Flower Garden,,,,['OVA'],2,Finished Airing,"Jun 25, 2007 to Oct 25, 2007",,,"['MS Pictures', 'AniMan']","None found,",['Cutie Bee'],['Manga'],,,16 min. per ep.,Rx - Hentai,4.89,N/A,#13041,"1,398",0,362,"In Akihabara in the near future in 2037, the only income resource of the yakuza is electricity. Matsuyama, leader of the Kanto Cyber Imaginary Number Group, plans to light up a gigantic adult entertainment building with excess electricity in order to take over the land owned by the rival Nakahara-gumi. But its leader, Nakahara, has a reason to refuse it. His beloved Arika suffers from a rare disease where her body spasms to neon light - fatal if untreated. (Source: Geta)",[],Denki Musou Hana,,['Hentai'],,
154,,うたってあそぼ!ゆかいなえかきうた ワクワク編,,,,,['OVA'],1,Finished Airing,"May 23, 2007",,,"None found,","None found,","None found,",Unknown,,,31 min.,PG - Children,[],#15181,#23354,127,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Utatte Asobou! Yukai na Ekaki Uta: Wakuwaku-hen,['Kids'],,"['Educational', 'Music', 'Visual Arts']",
155,,うたってあそぼ!ゆかいなえかきうた はじめて編,,,,,['OVA'],1,Finished Airing,"May 23, 2007",,,['King Records'],"None found,","None found,",Unknown,,,30 min.,PG - Children,[],#15180,#23556,122,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Utatte Asobou! Yukai na Ekaki Uta: Hajimete-hen,['Kids'],,"['Educational', 'Music', 'Visual Arts']",
156,Gekijouban Shakugan no Shana,劇場版 灼眼のシャナ,Shakugan no Shana: The Movie,,,,['Movie'],1,Finished Airing,"Apr 21, 2007",,,"['ASCII Media Works', 'Showgate', 'Geneon Entertainment']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Romance']",,1 hr. 26 min.,PG-13 - Teens 13 or older,7.36,#2549,#2899,"64,753",54,31288,"Crimson Denizens and Rinne, beings from a parallel world, seek to devour humans' precious existences. To restore the delicate balance of the world, Flame Hazes hunt these entities down. Yet such things are unknown to Yuuji Sakai, who starts his day like any other and heads to school. His day, however, takes a turn for the extraordinary when he witnesses everyone around him freeze in place and is left the only one able to move. Immediately, a Rinne begins devouring the souls of those around him, but as the creature sets its sights on Yuuji, a katana-wielding Flame Haze with blazing red hair saves him. After his protector fixes the damage done, she explains why Yuuji was able to move: he has become a Torch, a remnant of a dead human being that will eventually fade from memory. Furthermore, he is also a Mystes, a Torch that houses an unknown treasure. Before his flame burns out completely, a Crimson Denizen will try to seize the treasure he holds, so the fiery hunter decides to watch over him. As Yuuji comes to terms with being dead, he resolves to live his life the best he can with the time he has remaining. [Written by MAL Rewrite]",[],Shakugan no Shana Movie,,,"['School', 'Urban Fantasy']",
157,"Kino's Journey: The Beautiful World - The Land of Sickness: For You, Land of Illness, Land of Disease",キノの旅 -the Beautiful World- 病気の国 -For You-,,,,,['Movie'],1,Finished Airing,"Apr 21, 2007",,,"None found,","None found,",['Shaft'],['Light novel'],"['Adventure', 'Drama', 'Fantasy']",,28 min.,R - 17+ (violence & profanity),7.66,#1385,#3252,"51,738",31,22924,"After a long journey, Kino and Hermes finally arrive at their destination—a very beautiful and clean country with many skyscrapers. Unlike the other places they have visited so far, the country's landscape is a little peculiar. Although the countryside appears to be farmland, the area seems to be abandoned. Filled with old and damaged buildings, there is no sign of life. In contrast, the city is hidden within a mountain, confined under a fabricated sky that is generated by advanced technology. The highly developed city is focused on healthcare, practicing strict hygiene regulations and aiming to turn its citizens into the healthiest of people. However, despite being in a beautiful and clean environment, Kino cannot help but feel a sense of uneasiness. The town's air slightly contains a peculiar smell, and there are no birds to be seen flying in the skies, bringing a sense of mystery and dizziness to the scenery. After all, as an experienced traveler, Kino knows that looks can be deceiving and that the town may not be what they had initially expected. [Written by MAL Rewrite]","['Prequel (TV) Kino no Tabi: The Beautiful World', 'Prequel (Movie) Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.', 'Adaptation (Manga) Kino no Tabi: The Beautiful World Read Manga', 'Adaptation (Manga) Kino no Tabi: The Beautiful World']",Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,,,,
158,Meitantei Conan: Konpeki no Hitsugi [Jolly Roger],名探偵コナン 紺碧の棺 （ジョリー・ロジャー）,Detective Conan Movie 11: Jolly Roger in the Deep Azure,Detektiv Conan Film 11: Die azurblaue Piratenflagge,,Detective Conan Film 11: Jolly Roger et Le Cercueil Bleu Azur,['Movie'],1,Finished Airing,"Apr 21, 2007",,,"['Big Bang', 'Shogakukan Productions']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],1 hr. 45 min.,PG-13 - Teens 13 or older,7.42,#2258,#3461,"46,543",11,27085,"The luscious hills of Koumi Island are one of many reasons tourists pay its shores a visit—a reason that comes second only to its scenic coral reefs and the legend of Anne Bonnie and Mary Read. The museum that houses the cutlass and pistol of the daring pirate duo does wonders for the small island's tourism. On a trip to the island, the famous Kogorou Mouri is joined by his daughter Ran, her best friend Sonoko Suzuki, the Detective Boys, and Conan Edogawa. Following a mix up at the hotel regarding their rooms, the group encounters treasure hunters and becomes acquainted with the island's treasure fever. Sent on a hunt of their very own, the Detective Boys scour the isle; while in far harsher waters, Conan discovers a murder. The police, following a clue from a recent robbery, arrive soon after, and Koumi is plunged into chaos. What follows is a mad dash by not only the treasure hunters but also the inhabitants of Koumi to secure Anne and Mary's long lost booty. All the while, however, Conan, Kogorou, and the police search for the one thing far greater than riches—justice. [Written by MAL Rewrite]",[],Meitantei Conan Movie 11: Konpeki no Jolly Roger,['Shounen'],,,
159,,いぬかみっ! THE MOVIE 特命霊的捜査官・仮名史郎っ!,Inukami! The Movie,,,,['Movie'],1,Finished Airing,"Apr 21, 2007",,,['ASCII Media Works'],['Discotek Media'],['Seven Arcs'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",,26 min.,PG-13 - Teens 13 or older,7.00,#4398,#5410,"17,528",7,8544,"In 2007, the Punishment of Sexual Perversions Law came into effect. The city is surrounded by a squadron wearing protective suits and they begin to arrest any who look like perversions. No wonder that Inukami Master Keita and Inukami Yoko are wanted for Class A perversions. What will happen to Keita, Yoko, Kaoru's Inukami, and the other lovely perversions? What about Karina? (Source: AniDB)","['Adaptation (Manga) Inukami!', 'Adaptation (Light Novel) Inukami!']",Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,,,,
160,Shin Kyuuseishu Densetsu Hokuto no Ken Raou-den Gekitou no Shou,真救世主伝説　北斗の拳　ラオウ伝　激闘の章,Fist of the North Star: Raoh Side Story Fierce Fighting Arc,Fist of the North Star - Chapter 3: Legend of Raoh - Fierce Fight,,Ken Le Survivant: L'Héritier du Hokuto,['Movie'],1,Finished Airing,"Apr 28, 2007",,,['Toei Animation'],['Discotek Media'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Romance']",['Martial Arts'],1 hr. 29 min.,R - 17+ (violence & profanity),7.56,#1744,#6505,"10,958",23,4844,The third chapter of the pentalogy (3 Movies + 2 OVAs). A retelling of Kenshiro's final battle with Raoh. (Source: Wikipedia),"['Prequel (OVA) Hokuto no Ken: Yuria-den', 'Sequel (OVA) Hokuto no Ken: Toki-den']",Hokuto no Ken: Raoh Gaiden Gekitou-hen,['Shounen'],,,
161,"Kiddy Grade: Kakusei-hen, Kiddy Grade Movie 1",キディ・グレイド　劇場版　第一部: 覚醒篇,,,,,['Movie'],1,Finished Airing,"Apr 7, 2007",,,['gimik'],"None found,","['Gonzo', 'asread.']",Original,"['Action', 'Sci-Fi']",,1 hr. 24 min.,PG-13 - Teens 13 or older,6.95,#4598,#8630,"5,495",3,1812,A recap of the original anime's first quarter.,"['Sequel (Movie) Kiddy Grade: Maelstrom', '']",Kiddy Grade: Ignition,,,"['Mecha', 'Space', 'Super Power']",
162,"Kiddy Grade: Hanran-hen, Kiddy Grade Movie 2",キディ・グレイド 劇場版 第二部: 氾濫篇,,,,,['Movie'],1,Finished Airing,"Jun 23, 2007",,,['gimik'],"None found,","['Gonzo', 'asread.']",Original,"['Action', 'Sci-Fi']",,1 hr. 20 min.,PG-13 - Teens 13 or older,7.02,#4287,#8806,"5,207",4,1661,A recap of the original anime's second quarter.,"['Prequel (Movie) Kiddy Grade: Ignition', 'Sequel (Movie) Kiddy Grade: Truth Dawn']",Kiddy Grade: Maelstrom,,,"['Mecha', 'Space', 'Super Power']",
163,"Eiga Crayon Shin-chan: Arashi wo Yobu Utau Ketsu dake Bakudan!, Crayon Shin-chan: The Storm Called: The Singing Buttocks Bomb",映画 クレヨンしんちゃん 嵐を呼ぶ歌うケツだけ爆弾,,,Shin Chan Película 15: Mi Perro es la Bomba,,['Movie'],1,Finished Airing,"Apr 21, 2007",,,"['TV Asahi', 'Futabasha']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],1 hr. 42 min.,G - All Ages,6.83,#5172,#9382,"4,310",3,2081,"A slapstick comedy on a bomb uproar, and a touching story about the ties between the Nohara Family and their dog Shiro. A film in the musical style including the scenes with inserted songs. When the Nohara Family enjoy a trip to Okinawa, a strange object like a flying saucer becomes stuck with Shiro's bottom. That is a special bomb dropped by ""The Only Buttocks Aliens,"" and it has the power to destroy the whole earth. The space monitoring center ""UNTI"" (Unidentified Nature Team Inspection) begins to pick up the bomb, but a female terrorist group ""Hinageshi Opera Company"" tries to get the bomb and disturbs UNTI's work. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!', 'Sequel (Movie) Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha']",Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,['Seinen'],,,
164,,ふるさとJAPAN,"Japan, Our Homeland",Mein Heimatland Japan,,La Chorale,['Movie'],1,Finished Airing,"Apr 7, 2007",,,"None found,","None found,",['WAO World'],Original,,,1 hr. 36 min.,G - All Ages,6.70,#5901,#10632,"2,928",2,945,"It was the spring of 1956, roughly 10 years after the end of the Pacific War. A new teacher named Rieko Sakamoto is assigned to an elementary school in Kiba, downtown Tokyo. At the same time, Shizu Miyanaga, a transfer student from Kobe, joins the class #4 of the 6th grade. Shizu is a bright, pretty girl who dreams to become a singer. Blessed with both athletic and academic abilities, Shizu quickly becomes the center of everyone's attention in the class. Akira, the son of a joiner and also the class president, starts to develop a special feeling for Shizu... (Source: AniDB)",[],Furusato Japan,,['Drama'],"['Historical', 'Music']",
165,One Piece Planetarium,ONE PIECE～宇宙っておもしれえ！星空島編～,One Piece: Departure to the Starry Sky,,,,['Movie'],1,Finished Airing,"Apr 21, 2007",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,30 min.,PG-13 - Teens 13 or older,6.34,#8016,#11147,"2,508",0,500,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],One Piece: Uchuu tte Omoshiree! Hoshizora Jima-hen,['Shounen'],,,
166,SOS! Tokyo Metro Explorers: The Next,新SOS大東京探検隊,,,,,['Movie'],1,Finished Airing,"May 19, 2007",,,['Bandai Visual'],['Bandai Visual USA'],['Sunrise'],['Manga'],,,41 min.,PG-13 - Teens 13 or older,5.98,#10025,#12120,"1,883",3,646,"""While packing for a move, elementary school student Ryuhei finds his father's old school notebook detailing a search for a treasure in Tokyo's vast network of underground passages. With his little brother tagging along, he and three friends from an online chat room gather and set out on a quest to find the treasure. What they discover instead is an entire underground community composed of assorted eccentrics, including a senile old soldier still performing a World War II-era mission."" (Source: ANN)","['Adaptation (Manga) SOS Dai Tokyo Tankentai', '']",Shin SOS Dai Tokyo Tankentai,,['Adventure'],,
167,,勇士,Warrior,,,,['Movie'],1,Finished Airing,"Jun 29, 2007",,,"None found,","None found,",['Shanghai Animation Film Studio'],Other,,,1 hr. 23 min.,G - All Ages,[],#16095,#18636,373,0,,"Based on a Mongolian folklore, the story begins with a young warrior Barter coming to Balin Grassland. He rescues a young girl from a herd of running horses and finds out she is the daughter of the wrestling coach working for the grassland lord. Barter starts learning wrestling while working for the grassland lord as a coolie. Barter falls in love with the girl he saved. However, there is a reason for his coming to the grassland – he is looking for the man who killed his father. (Source: Wikipedia)",[],Yongshi,,,"['Historical', 'Martial Arts']",
168,Monkey King vs. Er Lang Shen,孙悟空大战二郎神,The Big Fighting Between Wukong and God Erlang,,,,['Movie'],1,Finished Airing,"Jun 1, 2007",,,"None found,","None found,","None found,",Novel,"['Action', 'Adventure']",,1 hr. 15 min.,G - All Ages,[],#15377,#20798,242,0,,"Based on a few early chapters of classic fantasy novel Journey to the West, the story tells how the Monkey King rises against the heaven and has a horrific fight with Er Lang Shen, the nephew of Jade Emperor, who rules the Heaven. The film features puppet live action, about 30% of the movie, with animated 3D backgrounds and characters. It was nominated for the Asia Pacific Screen Award for Best Animated Feature Film at the 1st Asia Pacific Screen Awards.",[],Wu Kong Dazhan Er Lang Shen,,,,
169,BoBo&ToTo,燕尾蝶,Swallowtail Butterfly,,,,['Movie'],1,Finished Airing,"Apr 18, 2007",,,"None found,","None found,",['B&T'],Original,,,24 min.,G - All Ages,[],#15997,#21123,224,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yanwei Die,,['Drama'],,
170,Ikkitousen Dragon Destiny OVA,一騎当千 Dragon Destiny,,,,,['Special'],6,Finished Airing,"Jun 24, 2007 to Nov 24, 2007",,,['Genco'],['Media Blasters'],['Arms'],['Manga'],"['Action', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,6.59,#6521,#4748,"24,168",14,10994,Ikkitousen Dragon Destiny Specials.,[],Ikkitousen: Dragon Destiny Specials,['Seinen'],,"['Martial Arts', 'School', 'Super Power']",
171,"Ani*Cre15, Ani Kuri 15, Ani-Kuri 15, Anikuri 15, Neko no Shuukai",アニ＊クリ15,,,,,['TV Special'],15,Finished Airing,"May 7, 2007 to Dec 10, 2007",,,"None found,","None found,","['Gonzo', 'Gainax', 'Production I.G', 'Madhouse', 'Studio 4°C', 'Satelight', 'CoMix Wave Films']",Original,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi', 'Supernatural']",,1 min. per ep.,PG-13 - Teens 13 or older,6.68,#5997,#4762,"24,050",10,11251,"15 one-minute shorts created by various people from Japan's animation industry. The title of the collection, Ani*Kuri15, is abbreviated from the words ""anime"" and ""creators"". Season One Shinji Kimura (Studio 4°C; Art Director, Steamboy) - title: Attack of Higashimachi Ni Chome/Attack of Higashimachi 2nd Burough Shōjirō Nishimi (Studio 4°C; Character Designer, Tekkonkinkreet) - Uchujin Raikou Hiroshi no Baai/Invasion from Space - Hiroshi's Case Akemi Hayashi (Gainax; Character Designer, Fruits Basket) - Namida no Mukou/From the Other Side of the Tears Osamu Kobayashi (Madhouse; Art/Mecha Desgin, Gungrave) - Sancha Blues/The Aromatic Tea Blues Yasufumi Soejima (Gonzo; 3D/CG Director, Last Exile) - Hyotoko/Blaze Man Season Two Atsushi Takeuchi (Production I.G; Mecha Design, Ghost in the Shell) - Wandaba Kiss Mamoru Oshii (Production I.G; Director, Ghost in the Shell) - Project Mermaid Kazuto Nakazawa (Studio 4°C; First Unit Director, Kill Bill Chapter 3: The Origin of O-Ren from Kill Bill: Volume 1) - ""yurururu"" ~Nichijou Hen~ Ranji Murata (Gonzo; Character Design, Blue Submarine No. 6) and Tatsuya Yabuta (Gonzo; Story Design, Final Fantasy VII) - Gyrosopter Tobira Oda (Original Manga, Danchi Tomō) and Yasuyuki Shimizu (Key Animation, Naruto (movies)) (Studio 4°C) - Supaatsu Taisa/Colonel Sports Season Three Michael Arias (Studio 4°C; Director, Tekkonkinkreet) - Okkakekko Makoto Shinkai (Comix Wave Film; Director, The Place Promised in Our Early Days) - Neko no Shuukai/A Gathering of Cats Shōji Kawamori (Satelight; Director, The Super Dimension Fortress Macross: Do You Remember Love?) - Project Omega Mahiro Maeda (Gonzo; Director, Gankutsuou: The Count of Monte Cristo) - Onmitsu Hime/Princess Onmitsu Satoshi Kon (Madhouse; Director, Paprika) - Ohayō/Good Morning",[],Ani*Kuri15,,,"['Martial Arts', 'Mecha', 'School', 'Strategy Game', 'Super Power']",
172,Rurouni Kenshin DVD-BOX Zenshu Kenshinden,るろうに剣心,Samurai X DVD-BOX Special Ending,,,,['Special'],1,Finished Airing,"May 7, 2007",,,"['Aniplex', 'SME Visual Works', 'Fuji TV']","None found,",['Studio Deen'],['Manga'],,['Historical'],2 min.,G - All Ages,7.66,#1392,#5231,"19,205",60,7646,The last scene of the 10 Years Special DVD BOX released in Japan in 2007. Follows the manga's ending.,"['Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan', '']",Rurouni Kenshin DVD-BOX Special Ending,,['Romance'],,
173,"Otome wa Onee-sama ni Koi Shiteru, The Maiden Is Falling In Love With The Elder Sister, Otoboku, Otome wa Boku ni Koi Shiteru: Ookina Shounen Shoujo no Sekai Meisaku no Mori - Tsunderella",乙女はお姉さま[ボク]に恋してる 大きな少年少女の世界名作の森 ~ツンデレラ~,Otoboku: Maidens are Falling for Me! Special,,,,['Special'],1,Finished Airing,"Apr 21, 2007",,,"None found,",['Media Blasters'],['feel.'],Visual novel,"['Comedy', 'Romance']",,24 min.,PG-13 - Teens 13 or older,6.61,#6430,#6239,"12,087",8,6527,"Special DVD episode combining the storyline of Cinderella and Snow White (chibi style) with the ""Otome wa Boku ni Koishiteru"" cast.",[],Otome wa Boku ni Koishiteru Special,,,"['Crossdressing', 'School']",
