,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographics
10,"SK Eight, Skate",SK∞ エスケーエイト,SK8 the Infinity,SK8 the Infinity,,SK8 the Infinity,['TV'],12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",['Winter 2021'],Sundays at 02:00 (JST),"['Aniplex', 'Movic', 'ABC Animation']",['Aniplex of America'],['Bones'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,8.00,#662,#392,"591,095","13,460",300254,"High school student Reki Kyan is passionate about one thing: skateboarding. When night falls, he heads to ""S,"" an illegal underground race inside a mine where skaters compete in highly dangerous situations. After a loss that results in his skateboard being destroyed and his arm being broken, Reki is now incapable of practicing at all. While working, Reki runs into his new classmate, Langa Hasegawa, a half-Canadian and half-Japanese boy with no skateboarding experience whatsoever. Langa is in desperate need of money. After they both visit ""S"" when tasked by Reki's boss, they get into trouble and are forced into a bet that requires Langa to skate in a race. However, the mysterious transfer student holds a trump card that Reki is unaware of, one which might help him win the race in the most unexpected way. [Written by MAL Rewrite]","['Sequel (TV) SK∞ 2nd Season', '']",SK∞,['Sports'],['Racing'],
11,,蜘蛛ですが、なにか？,"So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?",['TV'],24,Finished Airing,"Jan 8, 2021 to Jul 3, 2021",['Winter 2021'],Fridays at 21:30 (JST),"['Movic', 'AT-X', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']","None found,",['Millepensee'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,23 min. per ep.,PG-13 - Teens 13 or older,7.45,#2143,#502,"473,648","4,600",250524,"The day is as normal as it can be in high school as the students peacefully go about their everyday activities until an unprecedented catastrophe strikes the school, killing every person in its wake. Guided by what seems to be a miracle, a handful of students are fortunate enough to be reincarnated into another world as nobles, princes, and other kinds of people with prestigious backgrounds. One girl, however, is not so lucky. Being reborn as a spider of the weakest kind, she immediately experiences the hardships of her dire situation. Even so, she must press on to survive the numerous threats that endanger her life. Discovering that her new world has a system like that of an RPG, she tries her best to hunt prey and defeat monsters to level up and evolve. As she gradually grows stronger, she hopes one day her efforts will be rewarded, and that she will be granted a better life. [Written by MAL Rewrite]","['Adaptation (Manga) Kumo desu ga, Nani ka?', 'Adaptation (Light Novel) Kumo desu ga, Nani ka?']","Kumo desu ga, Nani ka?",,,
12,,BEASTARS 2期,,,,,['TV'],12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",['Winter 2021'],Thursdays at 00:55 (JST),"['Movic', 'Fuji TV', 'Bandai', 'BS Fuji', 'TOHO animation', 'Q-Tec', 'Akita Shoten', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']","None found,",['Orange'],['Manga'],"['Drama', 'Suspense']","['Anthropomorphic', 'Psychological', 'School']",['Shounen'],22 min. per ep.,R - 17+ (violence & profanity),7.77,#1100,#513,"467,677","2,275",244741,"""Beastar""—a title awarded to beasts who prove their excellence through fighting inequality to unite carnivores and herbivores in an anthropomorphic animal society. Cherryton Academy has gone five years without one such leader. However, following the murder of an alpaca within the school boundaries, the growing tension between the different species poses a greater need for a Beastar to ensure peace and harmony. When Louis, the prime candidate for this prestigious role, rejects the offer and leaves the academy, the student council declares to honor any student who captures the culprit of the aforementioned murder as Beastar. Meanwhile, Legoshi's sense of duty as a strong wolf who must protect the weak pushes him to investigate the incident. To further complicate his life, he struggles to manage his complex feelings for the white rabbit, Haru. [Written by MAL Rewrite]","['Prequel (TV) Beastars', 'Sequel (ONA) Beastars Final Season', 'Adaptation (Manga) Beastars', '']",Beastars 2nd Season,,,
13,Nanatsu no Taizai: Fundo no Shinpan,七つの大罪 憤怒の審判,The Seven Deadly Sins: Dragon's Judgement,,,,['TV'],24,Finished Airing,"Jan 13, 2021 to Jun 23, 2021",['Winter 2021'],Wednesdays at 17:55 (JST),['TV Tokyo'],"None found,",['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.57,#6663,#532,"451,653","1,582",215995,"After the Kingdom of Liones faces a new threat, the Seven Deadly Sins split up in order to defeat an enemy force spanning Britannia. With their members divided, they face 3 powerful foes, attempt to rescue the lost part of a dear friend, and begin their rescue of Elizabeth. However, all is not quite as it seems. Along the way, the truth of what brought the end of the Holy War 3000 years ago is uncovered, causing old friends to come face to face against each other. Nanatsu no Taizai: Funnu no Shinpan continues the adventure of the Seven Deadly Sins and their friends, and sees a great power released.","['Prequel (TV) Nanatsu no Taizai: Kamigami no Gekirin', 'Sequel (TV) Nanatsu no Taizai: Mokushiroku no Yonkishi', 'Adaptation (Manga) Nanatsu no Taizai', '']",Nanatsu no Taizai: Funnu no Shinpan,,,
14,"Jakusha Character Tomozaki-kun, The Low Tier Character ""Tomozaki-kun""",弱キャラ友崎くん,Bottom-Tier Character Tomozaki,Bottom-Tier Character Tomozaki,,Bottom-Tier Character Tomozaki,['TV'],12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",['Winter 2021'],Fridays at 21:00 (JST),"['Pony Canyon', 'APDREAM', 'Bit grooove promotion', 'Dream Shift', 'Bergamo']",['Funimation'],['Project No.9'],['Light novel'],"['Drama', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.11,#3860,#594,"415,052","2,011",207923,"Fumiya Tomozaki is Japan's best player in the online game Attack Families, commonly known as ""Tackfam."" Despite holding such a revered title, a lack of social skills and amiability causes him to fall short in his everyday high school life. Failing to have any friends, he blames the convoluted mechanics and unfair rules of life, forcing him to give up and proclaim himself a bottom-tier character in this ""game."" After a fateful meeting with another top-tier Tackfam player, Fumiya is shocked to discover the player's true identity—Aoi Hinami, a popular, smart, and sociable classmate who is the complete opposite of himself. Aoi, surprised at how inept Fumiya is at everything besides Tackfam, decides to assist him in succeeding in what she calls the greatest game of them all. Through the gruesome ordeals of social interactions and relationships, Fumiya begins to advance tiers in the glorious game of life. [Written by MAL Rewrite]","['Sequel (TV) Jaku-Chara Tomozaki-kun 2nd Stage', 'Adaptation (Manga) Jaku-Chara Tomozaki-kun Comic', 'Adaptation (Light Novel) Jaku-Chara Tomozaki-kun', '']",Jaku-Chara Tomozaki-kun,,['School'],
15,Special training in the Secret Dungeon,俺だけ入れる隠しダンジョン,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,['TV'],12,Finished Airing,"Jan 9, 2021 to Mar 27, 2021",['Winter 2021'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'Crunchyroll', 'DMM pictures', 'DMM Music']","None found,",['Okuruto Noboru'],['Light novel'],"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.28,#8393,#597,"413,605","1,795",212332,"Despite his noble title, Noir Stalgia is at the bottom of the social hierarchy. Because of this, his fellow nobles oppress him and treat him like garbage. However, he possesses a rare yet powerful ability to communicate with the Great Sage, an oracle who grants Noir the answer to absolutely anything. After failing to secure a job as a librarian, Noir decides to join the Hero Academy. He knows he must become stronger to enter the institution. The Great Sage advises him to explore a hidden dungeon deep within the mountains. There, Noir meets Olivia Servant, a beautiful yet enchained maiden trapped within the labyrinth. Olivia bestows upon Noir a set of ridiculously powerful skills that grants him virtually total control over reality. Naturally, there is a catch—every time Noir attempts to use his powers, his life points decrease, putting his life at risk. To replenish his energy, he must give in to worldly pleasures such as kissing his childhood friend! With his newfound powers, Noir begins his journey as a student in the Hero Academy, meeting new acquaintances and helping them through the dire situations ahead. [Written by MAL Rewrite]","['Adaptation (Manga) Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou', 'Adaptation (Light Novel) Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou']",Ore dake Haireru Kakushi Dungeon,,['Harem'],
16,Monster Incidents,怪物事変,Kemono Jihen,,,Kemono incidents,['TV'],12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",['Winter 2021'],Sundays at 22:00 (JST),"['Frontier Works', 'Lantis', 'Shueisha', 'Yomiuri TV Enterprise', 'Bandai Namco Arts', 'JTB Next Creation']",['Funimation'],['Ajia-do'],['Manga'],"['Action', 'Mystery', 'Supernatural']","['Detective', 'Mythology']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.37,#2494,#627,"397,300","2,302",177471,"Kohachi Inugami, a detective who specializes in the occult, arrives at a remote village in the Japanese countryside, tasked by a hostess at a local inn to investigate a string of incidents involving rotting and mutilated livestock corpses that have been appearing for seemingly no reason. While surveying, Inugami notices a peculiar young boy working in the fields. Evaded by his peers and called ""Dorotabou"" for his stench, the young farmhand is surprised that anybody would take an interest in him. Inugami, piqued with curiosity, enlists Dorotabou in helping him with the investigation, despite scorned looks from the villagers. Unbeknownst to Dorotabou, this investigation will reveal a strange new world to him—one of the beast-like entities known as Kemono existing in tandem with humans—along with breathing new purpose into his previously empty life. [Written by MAL Rewrite]","['Adaptation (Manga) Kemono Jihen', '']",Kemono Jihen,,,
17,Last Dungeon Boonies Kid,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,Ein Landei aus dem Dorf vor dem Letzten Dungeon Sucht das Abenteuer in der Stadt,,"Imagine, un Cambrousard du Dernier Donjon dans la Ville de Départ !",['TV'],12,Finished Airing,"Jan 4, 2021 to Mar 22, 2021",['Winter 2021'],Mondays at 22:00 (JST),"['AT-X', 'NBCUniversal Entertainment Japan', 'Sammy', 'BS11', 'JR East Marketing & Communications', 'GREE', 'SB Creative', 'Tapioca']",['Funimation'],['LIDENFILMS'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.33,#8116,#869,"302,865",875,150072,"A long time ago, the ancient saviors of humanity founded a village as their haven, with their descendants said to assist humanity in times of extreme chaos. This village, Kunlun, is located just beside the infamous ""Last Dungeon""—a place where monsters of unimaginable strength reside and which serves as the hunting grounds for Kunlun residents. Despite being accustomed to defeating powerful enemies since childhood, Lloyd Belladonna regards himself as the weakest in his village in terms of magic, strength, and intelligence. Even so, to fulfill his desire of becoming a soldier, he goes to the Kingdom of Azami to enroll in its military academy. However, as someone whose upbringing defies common sense, Lloyd's innate power might just prove to be the key to end the crises enveloping the kingdom! [Written by MAL Rewrite]","['Adaptation (Manga) Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari', 'Adaptation (Light Novel) Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari']",Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,,,
18,"Cells at Work! 2nd Season, Hataraku Saibou 2nd Season",はたらく細胞!!,Cells at Work!!,Cells at Work!,Cells at Work!,Les Brigades immunitaires,['TV'],8,Finished Airing,"Jan 9, 2021 to Feb 27, 2021",['Winter 2021'],Saturdays at 23:30 (JST),"['Aniplex', 'Kodansha', 'Magic Capsule']",['Aniplex of America'],['David Production'],['Manga'],,"['Anthropomorphic', 'Educational', 'Medical']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2490,#906,"284,816",601,102676,"The cells of the human body never rest for too long; there's always something new to do and learn every day. At least, that's what Hakkekkyuu U-1146 feels as he rushes to and fro, searching for any pathogens that could cause harm to the body. Despite his dangerous line of work, it's all worth it to protect the happy smiles of Sekkekkyuu AE3803, the platelet crew, his fellow neutrophils, and the other cells he meets along the way. In his latest pathogen-hunting adventures, Hakkekkyuu U-1146 discovers how important cells can sometimes make mistakes, and that not all bacteria are actually bad. Everybody has their bad days, but everything eventually works out when their comrades have their backs. In the end, it's just another normal day for these hardworking cells! [Written by MAL Rewrite]","['Prequel (TV) Hataraku Saibou', 'Adaptation (Manga) Hataraku Saibou']",Hataraku Saibou!!,['Comedy'],,
19,"Log Horizon 3rd Season, Log Horizon Third Season",ログ・ホライズン 円卓崩壊,Log Horizon: Destruction of the Round Table,Log Horizon: Destruction of the Round Table,,Log Horizon: Destruction of the Round Table,['TV'],12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",['Winter 2021'],Wednesdays at 19:25 (JST),"None found,",['Funimation'],['Studio Deen'],['Light novel'],"['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Video Game']",,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4078,#1019,"256,288",647,89350,"Third season of Log Horizon. It's been a year since Shiroe and his friends were trapped in Akiba due to the Catastrophe. Their forging of the Round Table has brought order and prosperity to its people. But fracturing political alliances and the constant menace of the Genius monsters threaten to destabilize all they've fought for and built. Can faith be restored and they persevere, or is its destruction truly inevitable? (Source: Funimation)","['Prequel (TV) Log Horizon 2nd Season', 'Adaptation (Manga) Log Horizon', 'Adaptation (Manga) Log Horizon: Kanami, Go! East!', 'Adaptation (Light Novel) Log Horizon']",Log Horizon: Entaku Houkai,,,
20,"Yuru Camp 2nd Season, Yurukyan",ゆるキャン△ SEASON2,Laid-Back Camp Season 2,Laid Back Camp Staffel 2,Laid-Back Camp Temporada 2,Yuru Camp – Au grand air Saison 2,['TV'],13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",['Winter 2021'],Thursdays at 23:00 (JST),"['Half H.P Studio', 'MAGES.', 'DeNA']","None found,",['C-Station'],['Manga'],,"['CGDCT', 'Iyashikei']",,23 min. per ep.,PG-13 - Teens 13 or older,8.50,#145,#1090,"238,923","3,107",105306,"Having spent Christmas camping with her new friends, Rin Shima embarks on a solo-camping trip to see the New Year sunrise by the sea. All goes according to plan until unforeseen weather blocks the roads back home, making a return trip impossible. Rin, who is now stranded for a few days, is invited by Nadeshiko Kagamihara to stay at her grandmother's house. What is supposed to be a two-day trip becomes an extended period of sightseeing and new experiences for Rin, and she encounters some new and old faces along the way. Yuru Camp△ Season 2 continues the story of Rin, Nadeshiko, and their friends as they further explore the joys of camping. [Written by MAL Rewrite]","['Prequel (TV) Yuru Camp△', 'Sequel (TV) Yuru Camp△ Season 3', 'Adaptation (Manga) Yuru Camp△', '']",Yuru Camp△ Season 2,['Slice of Life'],,
21,,はたらく細胞BLACK,Cells at Work! CODE BLACK!,Cells at Work! Code BLACK,,Les Brigades Immunitaires BLACK,['TV'],13,Finished Airing,"Jan 10, 2021 to Mar 19, 2021",['Winter 2021'],Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Studio Mausu', 'Tokyo MX', 'NetEase']",['Aniplex of America'],['LIDENFILMS'],['Manga'],"['Action', 'Drama']","['Anthropomorphic', 'Educational', 'Medical']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.52,#1886,#1111,"234,516",457,82961,"Due to poor lifestyle choices, a certain human's body is in constant turmoil. With germs, bacteria, and foreign substances abound, the jobs of various cells become increasingly difficult and dangerous. As some of the unfortunate ones who matured in this chaotic environment, Sekkekkyuu AA2153 and Hakkekkyuu U-1196 strive to fulfill their duties—even if it means seeing many of their fellow cells lose their lives in duty. Set in an environment vastly different from its parent story, Hataraku Saibou Black portrays the cells' struggles as they try to maintain the body's health. However, the human's condition continues to deteriorate, and whether or not these efforts will amount to something concrete depends on the cells! [Written by MAL Rewrite]","['Adaptation (Manga) Hataraku Saibou Black', '']",Hataraku Saibou Black,,,
22,,ワールドトリガー,World Trigger 2nd Season,World Trigger Staffel 2,World Trigger Temporada 2,World Trigger Saison 2,['TV'],12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",['Winter 2021'],Sundays at 01:30 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.05,#605,#1546,"162,740",813,62806,"After successfully holding off the invasion by Aftokrator, the Border Defense Agency prepares an away mission into the Neighbor's dimension. However, like in previous scouting expeditions, only A-rank teams are certain to secure a spot. As the B-rank wars continue, Osamu Mikumo and the rest of Tamakoma-2 quickly fight to the top in an attempt to obtain a promotion before the operation begins. Meanwhile, a new Neighbor ship approaches Border Headquarters. Noticing that the attackers are targeting the Border Expedition Ship, forces are hastily sent to combat them. However, with fewer squads available due to the proceeding rank wars, the organization is sent into disarray. This latest offensive from the Neighbors shrouds the fate of the all-important expedition ship in uncertainty. [Written by MAL Rewrite]","['Prequel (TV) World Trigger', 'Sequel (TV) World Trigger 3rd Season', 'Adaptation (Manga) World Trigger', '']",World Trigger 2nd Season,,,
23,"Non Non Biyori 3rd Season, Non Non Biyori Third Season",のんのんびより のんすとっぷ,Non Non Biyori Nonstop,,,,['TV'],12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",['Winter 2021'],Mondays at 01:35 (JST),"['TV Tokyo', 'Lantis', 'AT-X', 'Kadokawa', 'Bandai Namco Arts', 'Bit grooove promotion', 'Sony Music Solutions']",['Sentai Filmworks'],['SILVER LINK.'],['Manga'],,"['CGDCT', 'Iyashikei']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,8.36,#228,#1819,"131,328",960,50609,"The carefree journeys of the four girls continue! As their fleeting yet eventful summer becomes a distant memory, the arrival of fall signals a new school year with limitless opportunities. Even as the four girls return to their peaceful routine, the appearance of new faces enlivens the anything but exciting rural life of Asahigaoka. Non Non Biyori Nonstop leisurely walks back into the lives of Hotaru Ichijou, Komari Koshigaya, Natsumi Koshigaya, and Renge Miyauchi as they fully embrace their rural lifestyles and turn anything they find into nothing but fun! [Written by MAL Rewrite]","['Prequel (Movie) Non Non Biyori Movie: Vacation', 'Sequel (OVA) Non Non Biyori Nonstop: Bukatsu wo Ganbatta', 'Adaptation (Manga) Non Non Biyori', '']",Non Non Biyori Nonstop,['Slice of Life'],,
24,,裏世界ピクニック,Otherside Picnic,,,Otherside Picnic,['TV'],12,Finished Airing,"Jan 4, 2021 to Mar 22, 2021",['Winter 2021'],Mondays at 23:30 (JST),"['Sony Pictures Entertainment', 'Square Enix', 'Frontier Works', 'AT-X', 'Hakuhodo DY Music & Pictures', 'Amusement Media Academy', 'BS11', 'Good Smile Film', 'Hayakawa Shobou']",['Funimation'],"['LIDENFILMS', 'Felix Film']",Novel,"['Adventure', 'Fantasy', 'Mystery', 'Suspense']","['Isekai', 'Survival']",,23 min. per ep.,R - 17+ (violence & profanity),6.65,#6168,#1864,"127,791",567,42073,"The ""Otherworld"" is a vast and dangerous realm hidden from the knowledge of the common folk. It is also home to many creatures that threaten any human who dare visit it. To witness its desolate yet oddly absorbing environment, one must search for portals that could reside anywhere, from secret elevators to shrine entrances. After a fateful encounter with a horrendous Otherworld denizen, Sorawo Kamikoshi ponders whether to keep going or give up in life. Meanwhile, Toriko Nishina scours the Otherworld in hopes of finding her friend Satsuki, who she believes is lost somewhere within the realm. When the two cross paths, friendship blossoms. In order to acquire as much information about this obscure dimension, the two travel back and forth from the real world to the other. Sorawo and Toriko's bodies are soon influenced by the Otherworld, preparing them for the many horrors to come as both of them try to fulfill their goals. [Written by MAL Rewrite]","['Adaptation (Manga) Urasekai Picnic', 'Adaptation (Novel) Urasekai Picnic']",Urasekai Picnic,,,
25,Bunsuto Wan!,文豪ストレイドッグス わん！,Bungo Stray Dogs Wan!,Bungo Stray Dogs WAN!,Bungo Stray Dogs WAN!,Bungo Stray Dogs WAN!,['TV'],12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",['Winter 2021'],Wednesdays at 00:30 (JST),['Kadokawa'],"None found,","['Bones', 'Nomad']",['Web manga'],,,,11 min. per ep.,PG-13 - Teens 13 or older,7.98,#685,#1882,"125,809","1,165",53591,"Atsushi Nakajima has finally grown accustomed to the crazy lifestyle that comes with being part of the Armed Detective Agency. But even during peaceful periods of time, there is bound to be chaos! As Atsushi, his friends, and the agency's rival group—the Port Mafia—go about their days roaming the streets of Yokohama, there are no limits to the strange situations they are unwillingly thrown into. A new take on its original work, Bungou Stray Dogs Wan! shows the more mundane yet hilarious aspects of the characters' lives. [Written by MAL Rewrite]","['Adaptation (Manga) Bungou Stray Dogs Wan!', '']",Bungou Stray Dogs Wan!,['Comedy'],,
26,,2.43 清陰高校男子バレー部,2.43: Seiin High School Boys Volleyball Team,2.43: Seiin High School Boys Volleyball Club,,2.43: Seiin High School Boys Volleyball Team,['TV'],12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",['Winter 2021'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Animax', 'Movic', 'Fuji TV', 'Fujipacific Music', 'Shueisha', 'Fuji Creative', 'Tohan Corporation', 'Japan Volleyball Association']",['Funimation'],['David Production'],Novel,"['Drama', 'Sports']","['School', 'Team Sports']",,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9155,#2005,"115,846",359,46946,"Genius setter Kimichika Haijima moves back to Fukui from Tokyo after an incident within his school's volleyball team forces him out. There, he is reunited with his childhood friend, Yuni Kuroba, a member of the Monshiro Middle School Boys' Volleyball Team, who is unaware of his own talents. Haijima notices Kuroba's abilities and is determined to form a new volleyball team with Kuroba as the team's ace. At the prefectural tournament, Kuroba crumbles under the pressure, which causes the Monshiro team to fall apart after losing. The loss also creates a rift between Haijima and Kuroba, leading the former to quit the team. Now, as students at Seiin High School, Haijima and Kuroba find themselves on the same volleyball team once again. Having learned from his past mistakes, Haijima helps Kuroba overcome his performance anxiety to become the ace and carry the team to the prefectural championship. With support from team captain Shinichirou Oda and vice captain Misao Aoki, Seiin aim to win the prefecturals and become Fukui's representatives at the Spring Tournament. To do this, they will need to beat Fukuho Technical High School, the reigning champions of Fukui. Will Haijima's team defeat the odds, or are they doomed to repeat his history of losing? [Written by MAL Rewrite]","['Adaptation (Manga) 2.43: Seiin Koukou Danshi Volley-bu', 'Adaptation (Novel) 2.43: Seiin Koukou Danshi Volley-bu']",2.43: Seiin Koukou Danshi Volley-bu,,,
27,,怪病医ラムネ,Dr. Ramune -Mysterious Disease Specialist-,Dr. Ramune -Mysterious Disease Specialist-,Dr. Ramune - Mysterious Disease Specialist,Dr. Ramune -Mysterious Disease Specialist-,['TV'],12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",['Winter 2021'],Sundays at 01:30 (JST),"['Kodansha', 'KlockWorx', 'King Records', 'Crunchyroll', 'Muse Communication']","None found,",['Platinum Vision'],['Manga'],"['Mystery', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.15,#3609,#2449,"85,392",335,33946,"At first glance, Ramune may not seem like a professional doctor—he is crass, rude, and often acts halfheartedly. But his true brilliance shines through once his patients pay him a visit: he is able to diagnose and treat all sorts of strange, mysterious diseases that come his way. From a young student whose fingers have turned into chili peppers to a child whose tears are made of condiments, Ramune is able to tap into a kind of innate, otherworldly sensibility that enables him to decipher the roots of their source. But finding the proper cure for these illnesses comes at a valuable price, and money certainly cannot be used to pay it. [Written by MAL Rewrite]","['Adaptation (Manga) Kai Byoui Ramune', '']",Kai Byoui Ramune,,['Medical'],
28,,EX-ARMエクスアーム,,,,,['TV'],12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",['Winter 2021'],Mondays at 01:05 (JST),"['Nippon Columbia', 'BS Fuji', 'Shueisha', 'Crunchyroll', 'Yomiuri TV Enterprise', 'MAGNET', 'Video Market', 'Royal Limousine']","None found,",['Visual Flight'],['Manga'],"['Action', 'Sci-Fi']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,2.88,#13831,#2479,"83,846",310,44428,"After being hit by a truck in the year 2014, Akira Natsume awakes to find himself inside a machine following a 16-year-long coma. As he adjusts to the new interface, he is greeted by police officer Minami Uezono and her android partner Alma. The pair shows Akira that his brain is contained inside a device called an EX-ARM—a weapon of mass destruction. Aboard an enemy smuggler ship, the three must escape using nothing but their ingenuity and combat skills. While initially reluctant to fight, Akira soon recalls his brother's words from before the accident. The memory inspires him to take action, possessing Alma's body to fight his opponents using martial arts. Once Alma plugs him into one of the ship's ports, he discovers the devastating potential of his EX-ARM by effortlessly hacking and assuming control of the vessel. Upon safely arriving back on land, Akira meets the other members of the EX-ARM Countermeasure Prevention Team, a police division working to mitigate the effects of EX-ARMs. Witnessing the atrocities committed by those who seek the power of EX-ARMs, he resolves to join the team and put an end to the terror caused by these weapons. [Written by MAL Rewrite]","['Adaptation (Manga) Ex-Arm', '']",Ex-Arm,,,
29,"Tenchisozo Design Bu, [Ten-De-Bu] What a strange animal!, Tendebu",天地創造デザイン部,Heaven's Design Team,Heaven's Design Team,Heaven`s Design Team,Heaven`s Design Team,['TV'],12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",['Winter 2021'],Thursdays at 23:30 (JST),"['Dentsu', 'Kodansha', 'AT-X', 'Studio Mausu', 'BS Fuji', 'Tokyo MX', 'Avex Pictures', 'TV Aichi']","None found,",['Asahi Production'],['Manga'],"['Comedy', 'Fantasy']","['Educational', 'Gag Humor', 'Mythology', 'Workplace']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.16,#3566,#2500,"82,812",308,33954,"In the beginning, God created the heavens and the earth. He also sought after a wide variety of animals to populate the planet. However, he felt that it was too tiresome to think of new ideas within his criteria. To address this problem, God appointed an organization—the Heaven's Design Team—to do the work instead! Shimoda is a newly-hired angel who serves as the mediator between God and the design team. As he steps into his role, he witnesses his coworkers conceive interesting ideas for many unique life forms according to God's desires. From giraffes and snakes to birds, anteaters, and everything in between, the possibilities for different animal species are endless! [Written by MAL Rewrite]","['Sequel (Special) Tenchi Souzou Design-bu: Idea 13', 'Adaptation (Manga) Tenchi Souzou Design-bu']",Tenchi Souzou Design-bu,,,
